Date,Change in private inventories,Durable goods,Equipment,Exports,Federal,Fixed investment,Goods,Government consumption expenditures and gross investment,Gross private domestic investment,Imports,Intellectual property products,National defense,Net exports of goods and services,Nondefense,Nondurable goods,Nonresidential,Personal consumption expenditures,Residential,Services,State and local,Structures
1947-04-01,-3.25,0.73,-0.51,-0.42,-0.27,-1.47,0.6233333333333333,0.04,-4.71,-0.26,-0.04,-2.53,-0.68,2.25,2.15,-0.59,4.3,-0.88,0.5833333333333334,0.32,-0.05
1947-07-01,-3.85,0.53,-0.79,-1.68,-0.29,2.02,0.33333333333333326,0.23,-1.83,1.52,0.0,0.98,-0.16,-1.27,0.65,-0.66,0.94,2.68,-0.07333333333333332,0.52,0.14
1947-10-01,5.38,2.35,1.52,-3.53,-0.67,5.32,-0.8966666666666668,-0.29,10.69,-0.7,-0.06,0.83,-4.23,-1.5,-1.52,1.34,0.25,3.98,-0.43333333333333335,0.38,-0.12
1948-01-01,3.96,-0.09,2.21,-1.32,1.37,2.31,-0.7200000000000001,1.36,6.28,-1.67,0.03,-0.13,-2.98,1.49,0.57,2.62,1.51,-0.31,0.22666666666666668,-0.01,0.39
1948-04-01,4.19,0.34,-1.69,-2.37,1.67,0.13,-0.3500000000000001,2.34,4.32,-0.63,-0.05,-0.61,-3.0,2.28,1.28,-1.26,3.12,1.39,0.38999999999999996,0.67,0.48
1948-07-01,1.46,0.68,-0.3,0.49,0.94,-0.54,0.01666666666666668,1.36,0.92,-0.81,0.01,-0.19,-0.32,1.13,-0.78,0.21,0.37,-0.75,0.0,0.42,0.5
1948-10-01,-2.3,-0.47,0.74,-0.79,1.69,-0.74,0.03333333333333333,2.26,-3.04,0.2,-0.02,1.09,-0.6,0.6,1.39,1.0,1.83,-1.74,0.3766666666666667,0.57,0.27
1949-01-01,-6.26,-0.61,-1.74,2.45,0.5,-3.65,0.6966666666666667,1.5,-9.91,0.4,-0.07,0.57,2.85,-0.07,0.24,-2.01,0.17,-1.63,0.31,0.99,-0.21
1949-04-01,-5.98,3.0,-1.28,-0.16,1.47,-1.88,1.04,2.92,-7.86,0.18,-0.01,0.47,0.02,1.0,0.13,-1.55,3.57,-0.33,0.15333333333333335,1.45,-0.26
1949-07-01,5.01,1.67,-1.26,-1.87,-0.77,-0.02,-0.27666666666666667,0.39,4.98,0.55,0.03,-0.13,-1.32,-0.64,-1.23,-1.77,0.15,1.75,-0.11333333333333333,1.15,-0.53
1949-10-01,-4.83,1.28,-0.22,-2.67,-1.78,2.32,0.13333333333333333,-1.21,-2.51,-0.19,0.13,-1.88,-2.86,0.11,1.78,-0.36,3.28,2.67,0.003333333333333336,0.56,-0.27
1950-01-01,9.87,1.22,0.5,-0.21,-1.7,4.24,0.6733333333333333,-0.9,14.11,-0.36,0.12,-0.96,-0.57,-0.74,1.46,1.36,4.03,2.88,0.48666666666666675,0.8,0.74
1950-04-01,1.66,0.13,2.54,0.23,1.35,5.95,0.32666666666666666,1.63,7.61,-0.72,0.06,0.32,-0.49,1.03,1.29,3.33,4.02,2.62,0.8533333333333334,0.28,0.73
1950-07-01,1.37,9.88,2.64,0.44,-0.74,5.06,3.0933333333333333,-0.69,6.43,-3.21,0.02,1.85,-2.77,-2.58,1.97,3.45,13.41,1.61,0.4566666666666667,0.04,0.8
1950-10-01,11.05,-5.78,-0.37,1.29,4.71,-1.42,-2.3033333333333332,4.72,9.63,-0.04,-0.03,4.29,1.25,0.42,-2.51,-0.07,-7.72,-1.35,0.14666666666666664,0.01,0.32
1951-01-01,-6.33,1.71,-1.06,0.82,7.59,-2.56,1.5333333333333332,7.31,-8.88,-0.02,-0.08,8.22,0.8,-0.64,2.02,-1.16,6.32,-1.4,0.84,-0.28,-0.02
1951-04-01,4.57,-5.9,0.05,1.78,9.55,-2.91,-1.7866666666666668,10.01,1.66,0.55,-0.03,8.86,2.33,0.69,-1.59,0.47,-6.88,-3.38,0.27,0.46,0.45
1951-07-01,-4.74,-0.56,0.54,0.5,9.09,-0.84,1.343333333333333,9.23,-5.58,1.46,0.05,9.18,1.96,-0.09,2.28,0.52,2.88,-1.36,0.2733333333333333,0.14,-0.07
1951-10-01,-5.04,-0.14,-0.19,-0.17,4.86,-0.37,0.5466666666666666,4.83,-5.41,0.32,0.11,4.67,0.15,0.19,1.27,-0.55,1.31,0.18,-0.06,-0.03,-0.47
1952-01-01,0.66,0.03,0.17,1.14,2.93,1.06,-0.48666666666666664,3.03,1.72,-1.9,0.25,2.07,-0.76,0.86,-0.87,0.54,0.35,0.52,0.3499999999999999,0.1,0.12
1952-04-01,-5.83,0.53,0.37,-2.19,2.74,1.12,0.24000000000000007,3.33,-4.71,-0.03,0.21,3.17,-2.23,-0.43,2.47,0.75,4.47,0.37,0.5,0.59,0.17
