Date,Durable goods,Equipment,Exports,Federal,Fixed investment,Goods,Government consumption expenditures and gross investment,Gross domestic product,Gross private domestic investment,Imports,Intellectual property products,National defense,Nondefense,Nondurable goods,Nonresidential,Personal consumption expenditures,Residential,Services,State and local,Structures
1947-01-01,2.821,3.641,3.926,22.03,6.947,5.320333333333333,16.5,11.129,6.553,1.837,0.991,31.676,8.754,17.937,4.863,10.168,19.04,4.832333333333334,12.054,25.32
1947-04-01,2.88,3.563,3.877,21.851,6.767,5.353333333333333,16.487,11.1,6.051,1.873,0.979,29.468,11.749,18.244,4.787,10.337,18.088,4.955,12.221,25.185
1947-07-01,2.921,3.443,3.68,21.576,6.985,5.222333333333333,16.485,11.077,5.873,1.661,0.978,30.266,9.954,18.328,4.699,10.371,20.854,4.8950000000000005,12.499,25.357
1947-10-01,3.11,3.642,3.263,21.101,7.561,5.079999999999999,16.354,11.25,7.01,1.75,0.958,30.928,7.989,18.088,4.83,10.374,24.873,4.991333333333333,12.694,24.992
1948-01-01,3.095,3.95,3.114,21.635,7.802,5.122,16.599,11.42,7.729,1.974,0.966,30.582,9.654,18.148,5.11,10.426,24.549,4.979666666666667,12.665,25.511
1948-04-01,3.116,3.688,2.823,22.5,7.791,5.066333333333334,17.186,11.609,8.207,2.052,0.951,29.904,12.711,18.325,4.94,10.547,25.97,5.032,13.012,26.221
1948-07-01,3.168,3.641,2.889,23.021,7.711,5.101333333333334,17.547,11.675,8.291,2.159,0.952,29.683,14.324,18.214,4.952,10.563,25.146,5.208666666666667,13.234,27.005
1948-10-01,3.123,3.758,2.788,24.06,7.623,5.082,18.195,11.689,7.895,2.124,0.945,30.807,15.289,18.452,5.067,10.647,23.303,5.172666666666666,13.548,27.391
1949-01-01,3.066,3.519,3.121,24.491,7.202,5.188666666666667,18.679,11.528,6.716,2.06,0.924,31.465,15.411,18.524,4.834,10.664,21.585,5.189,14.103,26.876
1949-04-01,3.332,3.346,3.094,25.371,6.983,5.229666666666667,19.492,11.488,5.823,2.03,0.921,31.968,16.867,18.575,4.655,10.828,21.223,5.264666666666667,14.893,26.247
1949-07-01,3.491,3.168,2.836,24.948,6.971,5.144333333333333,19.597,11.607,6.306,1.948,0.928,31.855,16.004,18.413,4.442,10.852,23.038,5.092666666666666,15.505,25.086
1949-10-01,3.63,3.133,2.455,23.925,7.224,5.1066666666666665,19.255,11.51,5.996,1.977,0.969,30.024,16.111,18.714,4.387,11.011,25.846,4.979666666666667,15.8,24.398
1950-01-01,3.769,3.188,2.415,22.789,7.668,5.163333333333333,18.899,11.963,7.419,2.032,1.002,28.936,14.895,18.954,4.514,11.195,28.731,5.107,16.187,25.56
