Date,Change in private inventories,Durable goods,Equipment,Exports,Federal,Fixed investment,Goods,Government consumption expenditures and gross investment,Gross domestic product,Gross private domestic investment,Imports,Intellectual property products,National defense,Net exports of goods and services,Nondefense,Nondurable goods,Nonresidential,Personal consumption expenditures,Residential,Services,State and local,Structures
1947-01-01,495.0,20722.0,14927.0,18394.0,26956.0,35359.0,38978.0,40274.0,243164.0,35854.0,7519.0,2002.0,22790.0,10875.0,4166.0,74872.0,24818.0,156161.0,10541.0,21713.333333333332,13318.0,7889.0
1947-04-01,-1240.0,21351.0,15226.0,19497.0,26424.0,35744.0,40424.0,40138.0,245968.0,34505.0,8203.0,1998.0,21105.0,11294.0,5319.0,76897.0,25171.0,160031.0,10573.0,22153.0,13714.0,7947.0
1947-07-01,-2917.0,21770.0,15044.0,19433.0,25038.0,37827.0,41013.0,39361.0,249585.0,34911.0,7663.0,2037.0,19985.0,11770.0,5053.0,78649.0,25361.0,163543.0,12466.0,22533.333333333332,14324.0,8280.0
1947-10-01,1456.0,23488.0,16067.0,17636.0,24525.0,41794.0,41583.0,39534.0,259745.0,43250.0,8347.0,2041.0,20410.0,9289.0,4115.0,79965.0,26540.0,167672.0,15254.0,22968.666666666668,15009.0,8432.0
1948-01-01,3626.0,23547.0,17334.0,16917.0,25350.0,43576.0,42336.333333333336,40875.0,265742.0,47202.0,9624.0,2064.0,20685.0,7293.0,4666.0,81546.0,28231.0,170372.0,15345.0,23301.333333333332,15525.0,8833.0
1948-04-01,5859.0,24019.0,16658.0,15241.0,26585.0,44477.0,42612.0,42884.0,272567.0,50336.0,10036.0,2065.0,20555.0,5205.0,6030.0,83169.0,28050.0,174142.0,16427.0,23861.0,16299.0,9327.0
1948-07-01,7152.0,25277.0,17130.0,15405.0,27485.0,45365.0,43192.333333333336,44660.0,279196.0,52516.0,10456.0,2097.0,20716.0,4949.0,6769.0,83465.0,29081.0,177072.0,16283.0,24451.666666666668,17174.0,9854.0
1948-10-01,5997.0,24971.0,17998.0,14625.0,28744.0,45337.0,42848.333333333336,46603.0,280366.0,51334.0,10124.0,2072.0,21593.0,4501.0,7150.0,83686.0,30160.0,177928.0,15177.0,24710.666666666668,17859.0,10090.0
1949-01-01,388.0,24436.0,16826.0,16082.0,30182.0,42752.0,42669.0,48585.0,275034.0,43140.0,9604.0,2021.0,22461.0,6478.0,7720.0,82731.0,28583.0,176831.0,14169.0,24836.666666666668,18403.0,9736.0
1949-04-01,-5148.0,26389.0,16090.0,15647.0,31243.0,41389.0,42767.333333333336,50381.0,271351.0,36241.0,9364.0,2008.0,22753.0,6283.0,8490.0,81894.0,27476.0,178446.0,13913.0,25051.666666666668,19138.0,9377.0
1949-07-01,-1307.0,27313.0,15176.0,14115.0,30476.0,40856.0,42024.333333333336,50356.0,272889.0,39549.0,8936.0,2021.0,22546.0,5179.0,7930.0,80255.0,26112.0,177806.0,14744.0,24928.0,19880.0,8915.0
1949-10-01,-4699.0,28356.0,14836.0,12091.0,29790.0,42167.0,42096.333333333336,49910.0,270627.0,37468.0,9092.0,2108.0,21602.0,2999.0,8188.0,80949.0,25628.0,180249.0,16538.0,25047.666666666668,20121.0,8684.0
1950-01-01,2024.0,29335.0,15130.0,11704.0,28544.0,44725.0,42536.0,48956.0,280828.0,46749.0,9501.0,2181.0,20890.0,2203.0,7654.0,81465.0,26386.0,182920.0,18339.0,25505.666666666668,20412.0,9075.0
1950-04-01,2833.0,29799.0,17114.0,11872.0,28924.0,49458.0,43382.333333333336,49643.0,290383.0,52291.0,10229.0,2239.0,20950.0,1643.0,7973.0,82788.0,28855.0,186806.0,20603.0,26253.333333333332,20720.0,9502.0
1950-07-01,4177.0,37355.0,19343.0,12293.0,28428.0,54465.0,48210.333333333336,49746.0,308153.0,58641.0,13033.0,2298.0,22696.0,-740.0,5732.0,86632.0,31910.0,200505.0,22555.0,27066.666666666668,21319.0,10269.0
1950-10-01,14044.0,33292.0,19609.0,13531.0,31776.0,54397.0,47356.0,53713.0,319945.0,68441.0,13685.0,2328.0,26061.0,-154.0,5715.0,86652.0,32919.0,197946.0,21478.0,27698.0,21937.0,10982.0
1951-01-01,10386.0,35638.0,19383.0,15043.0,39574.0,54196.0,50628.333333333336,62033.0,336000.0,64582.0,14866.0,2289.0,33539.0,177.0,6035.0,91966.0,33139.0,209207.0,21057.0,29077.333333333332,22460.0,11467.0
1951-04-01,14792.0,30735.0,19672.0,17121.0,46602.0,52591.0,49509.333333333336,69821.0,344090.0,67383.0,15178.0,2301.0,40264.0,1943.0,6338.0,91445.0,34124.0,204942.0,18467.0,29571.333333333332,23220.0,12151.0
1951-07-01,9740.0,30193.0,20198.0,18052.0,54303.0,52241.0,49756.0,78046.0,351385.0,61981.0,14310.0,2365.0,48081.0,3742.0,6222.0,93171.0,34843.0,207616.0,17398.0,30236.666666666668,23743.0,12280.0
1951-10-01,4719.0,30391.0,20242.0,18180.0,59311.0,52365.0,50329.666666666664,83314.0,356178.0,57084.0,13990.0,2482.0,52874.0,4190.0,6437.0,95454.0,34642.0,211590.0,17723.0,30923.666666666668,24003.0,11918.0
1952-01-01,4732.0,30776.0,20418.0,18679.0,60899.0,53400.0,50550.0,84998.0,359820.0,58132.0,14958.0,2684.0,53490.0,3721.0,7409.0,94762.0,35131.0,212969.0,18269.0,31652.0,24098.0,12029.0
1952-04-01,-1523.0,31007.0,20821.0,16581.0,64067.0,54528.0,50550.666666666664,88987.0,361030.0,53004.0,14630.0,2869.0,56979.0,1951.0,7088.0,96601.0,35765.0,217088.0,18763.0,32215.666666666668,24919.0,12075.0
1952-07-01,5574.0,29467.0,17671.0,15246.0,66178.0,51646.0,50369.666666666664,90931.0,367701.0,57220.0,15250.0,3071.0,58675.0,-4.0,7503.0,98474.0,32892.0,219553.0,18754.0,32980.0,24753.0,12150.0
1952-10-01,5274.0,33723.0,19867.0,15329.0,68116.0,55463.0,52626.333333333336,93418.0,380812.0,60737.0,16342.0,3307.0,60506.0,-1013.0,7610.0,100331.0,35816.0,227670.0,19647.0,33821.0,25302.0,12642.0
1953-01-01,3890.0,35186.0,21245.0,15128.0,69659.0,57773.0,52941.333333333336,95764.0,387980.0,61663.0,15795.0,3486.0,61306.0,-667.0,8353.0,100517.0,37791.0,231220.0,19982.0,34439.666666666664,26105.0,13061.0
1953-04-01,3577.0,35019.0,21306.0,15196.0,71950.0,58538.0,53132.666666666664,97925.0,391749.0,62115.0,16447.0,3660.0,61975.0,-1251.0,9975.0,100556.0,38465.0,232960.0,20073.0,35068.333333333336,25976.0,13499.0
1953-07-01,2331.0,34577.0,22125.0,15755.0,69969.0,59104.0,52812.0,96622.0,391171.0,61435.0,16307.0,3740.0,60964.0,-552.0,9004.0,99842.0,39614.0,233666.0,19490.0,35764.333333333336,26653.0,13749.0
1953-10-01,-2006.0,33683.0,21446.0,15172.0,69519.0,58452.0,52076.666666666664,96747.0,385970.0,56446.0,15507.0,3783.0,60290.0,-335.0,9229.0,99959.0,39200.0,233112.0,19251.0,35853.666666666664,27228.0,13971.0
1954-01-01,-1966.0,32910.0,20570.0,14424.0,66734.0,57683.0,51912.0,94831.0,385345.0,55717.0,14780.0,3842.0,57326.0,-356.0,9408.0,101261.0,38332.0,235154.0,19351.0,36207.333333333336,28097.0,13920.0
1954-04-01,-3378.0,33646.0,20424.0,16438.0,63692.0,58827.0,53212.666666666664,92534.0,386121.0,55449.0,16184.0,3859.0,55214.0,254.0,8478.0,101324.0,38159.0,237885.0,20668.0,36956.333333333336,28842.0,13877.0
1954-07-01,-2091.0,33233.0,21131.0,15878.0,61352.0,61062.0,52851.0,91148.0,390996.0,58971.0,15304.0,3896.0,53215.0,574.0,8137.0,102196.0,38879.0,240303.0,22183.0,37644.0,29796.0,13852.0
1954-10-01,-316.0,35064.0,21123.0,16605.0,61244.0,62455.0,54089.0,91356.0,399734.0,62139.0,15460.0,3956.0,52038.0,1145.0,9206.0,103431.0,38890.0,245093.0,23565.0,38297.0,30112.0,13811.0
1955-01-01,3804.0,38437.0,21144.0,17273.0,60720.0,64899.0,56074.333333333336,91869.0,413073.0,68702.0,16169.0,4062.0,52356.0,1104.0,8364.0,104502.0,39480.0,251398.0,25419.0,38872.333333333336,31149.0,14274.0
1955-04-01,4620.0,40709.0,23119.0,16942.0,60849.0,68068.0,57287.666666666664,92533.0,421532.0,72688.0,17097.0,4201.0,51867.0,-155.0,8982.0,106122.0,42063.0,256466.0,26005.0,39547.0,31684.0,14744.0
1955-07-01,4295.0,42421.0,25010.0,18145.0,61923.0,70452.0,58479.666666666664,94099.0,430221.0,74747.0,17421.0,4378.0,53076.0,724.0,8847.0,106942.0,44826.0,260651.0,25626.0,40259.333333333336,32176.0,15438.0
1955-10-01,7233.0,41413.0,26280.0,18349.0,60570.0,71650.0,59290.333333333336,93331.0,437092.0,78882.0,18109.0,4633.0,52152.0,240.0,8417.0,109046.0,47085.0,264639.0,24565.0,41075.0,32762.0,16172.0
1956-01-01,6398.0,39674.0,25442.0,19365.0,60989.0,71904.0,59712.0,94848.0,439746.0,78303.0,18925.0,4915.0,52758.0,440.0,8231.0,110541.0,47772.0,266156.0,24132.0,41770.0,33859.0,17415.0
1956-04-01,3585.0,39819.0,25920.0,20882.0,63516.0,73435.0,60333.0,98247.0,446010.0,77020.0,18973.0,5160.0,54943.0,1909.0,8574.0,111291.0,49062.0,268834.0,24374.0,42563.333333333336,34731.0,17982.0
1956-07-01,3569.0,39685.0,26822.0,21822.0,62796.0,74698.0,60929.666666666664,98279.0,451191.0,78267.0,19253.0,5334.0,55090.0,2569.0,7706.0,112432.0,50746.0,272075.0,23952.0,43453.666666666664,35483.0,18590.0
1956-10-01,2244.0,41497.0,27188.0,23068.0,65158.0,74902.0,62376.333333333336,101345.0,460463.0,77145.0,18541.0,5489.0,57042.0,4527.0,8116.0,113676.0,51410.0,277445.0,23491.0,43975.0,36187.0,18733.0
1957-01-01,2162.0,42597.0,28203.0,24919.0,67892.0,75566.0,63947.333333333336,105342.0,469779.0,77728.0,20100.0,5492.0,58831.0,4819.0,9061.0,115417.0,52465.0,281889.0,23101.0,45022.333333333336,37450.0,18770.0
1957-04-01,2657.0,42170.0,28112.0,24369.0,67524.0,75250.0,64036.333333333336,105842.0,472025.0,77907.0,20270.0,5536.0,59639.0,4099.0,7885.0,116479.0,52640.0,284176.0,22610.0,45569.0,38318.0,18992.0
1957-07-01,2808.0,41876.0,29334.0,23759.0,68355.0,76530.0,64568.333333333336,107405.0,479490.0,79339.0,19762.0,5636.0,60667.0,3997.0,7688.0,119353.0,54066.0,288750.0,22464.0,46188.666666666664,39050.0,19096.0
1957-10-01,-4518.0,41467.0,28595.0,23022.0,70043.0,75563.0,64055.666666666664,110062.0,474864.0,71045.0,19634.0,5678.0,60626.0,3388.0,9417.0,119052.0,53215.0,290368.0,22349.0,46952.666666666664,40019.0,18942.0
1958-01-01,-4009.0,39396.0,25526.0,20534.0,68738.0,70739.0,62799.0,109843.0,467540.0,66730.0,19455.0,5760.0,60841.0,1079.0,7897.0,119862.0,49369.0,289888.0,21370.0,47159.666666666664,41106.0,18084.0
1958-04-01,-4235.0,38636.0,24365.0,20546.0,71549.0,69300.0,62938.333333333336,113624.0,471978.0,65065.0,20075.0,5871.0,61977.0,471.0,9572.0,121183.0,47830.0,292819.0,21469.0,48208.333333333336,42075.0,17594.0
1958-07-01,1547.0,39396.0,24136.0,20595.0,71885.0,70452.0,63883.333333333336,115093.0,485841.0,71999.0,19739.0,6040.0,62633.0,856.0,9252.0,123026.0,47435.0,297893.0,23017.0,48859.0,43208.0,17259.0
1958-10-01,5235.0,40693.0,25482.0,20563.0,73912.0,74766.0,64957.666666666664,117992.0,499555.0,80001.0,20823.0,6272.0,63429.0,-260.0,10483.0,124080.0,49332.0,301823.0,25434.0,49445.0,44080.0,17579.0
1959-01-01,3876.0,43649.0,27077.0,21915.0,72367.0,79290.0,66586.33333333333,117195.0,510330.0,83166.0,21396.0,6469.0,61137.0,519.0,11230.0,126074.0,50942.0,309449.0,28348.0,51000.333333333336,44829.0,17397.0
1959-04-01,7288.0,45465.0,28059.0,21776.0,73580.0,82093.0,68019.0,118535.0,522653.0,89381.0,22544.0,6640.0,60290.0,-768.0,13290.0,127152.0,52735.0,315505.0,29358.0,51922.666666666664,44955.0,18037.0
1959-07-01,384.0,46336.0,29118.0,24079.0,74532.0,83222.0,69274.66666666667,119492.0,525034.0,83606.0,22868.0,6659.0,61398.0,1211.0,13134.0,128188.0,54421.0,320725.0,28801.0,53282.666666666664,44960.0,18644.0
1959-10-01,4120.0,44103.0,29127.0,23131.0,73836.0,82404.0,68620.0,118608.0,528600.0,86524.0,22504.0,6752.0,60956.0,627.0,12880.0,129461.0,54398.0,322842.0,28006.0,54205.333333333336,44772.0,18519.0
1960-01-01,11200.0,45455.0,30089.0,26145.0,70981.0,85276.0,70100.0,116951.0,542648.0,96476.0,23288.0,6874.0,60024.0,2858.0,10957.0,129605.0,56322.0,326364.0,28954.0,55165.666666666664,45970.0,19360.0
1960-04-01,3224.0,46434.0,30749.0,26850.0,71066.0,83872.0,71582.66666666667,118380.0,541080.0,87096.0,23455.0,6967.0,59522.0,3395.0,11544.0,131961.0,57188.0,332208.0,26684.0,55922.0,47314.0,19473.0
1960-07-01,4320.0,45922.0,29471.0,27561.0,74161.0,82057.0,71162.33333333333,122419.0,545604.0,86377.0,22879.0,7276.0,61963.0,4682.0,12198.0,131580.0,56165.0,332126.0,25892.0,56359.666666666664,48258.0,19418.0
1960-10-01,-5812.0,44690.0,28407.0,27622.0,75291.0,81775.0,70739.66666666667,124330.0,540197.0,75963.0,21742.0,7452.0,62094.0,5880.0,13197.0,132413.0,55882.0,334024.0,25893.0,57056.333333333336,49039.0,20022.0
1961-01-01,-2548.0,42240.0,27408.0,27560.0,75281.0,80926.0,70301.66666666667,126218.0,545018.0,78378.0,21658.0,7675.0,63393.0,5902.0,11888.0,133401.0,55012.0,334520.0,25914.0,57610.666666666664,50936.0,19929.0
1961-04-01,1792.0,43320.0,28635.0,26627.0,76174.0,82316.0,70624.0,127254.0,555545.0,84108.0,21899.0,7928.0,63357.0,4727.0,12817.0,134245.0,56198.0,339455.0,26118.0,58703.0,51080.0,19634.0
1961-07-01,6656.0,44580.0,28944.0,27779.0,78136.0,84261.0,71977.33333333333,129961.0,567664.0,90917.0,23326.0,8102.0,64961.0,4453.0,13175.0,134596.0,56712.0,342332.0,27550.0,59168.333333333336,51825.0,19665.0
1961-10-01,5996.0,46683.0,30628.0,28442.0,79925.0,86935.0,73507.33333333333,133516.0,580612.0,92931.0,23870.0,8212.0,66462.0,4572.0,13464.0,136167.0,58473.0,349593.0,28462.0,60460.666666666664,53591.0,19632.0
1962-01-01,9408.0,47702.0,31401.0,28325.0,83331.0,88666.0,74388.66666666667,137107.0,594013.0,98074.0,24314.0,8225.0,69164.0,4010.0,14167.0,137832.0,59656.0,354822.0,29010.0,61431.333333333336,53776.0,20030.0
1962-04-01,5444.0,49047.0,32197.0,29662.0,84127.0,91262.0,75656.0,138426.0,600366.0,96706.0,24884.0,8330.0,68916.0,4777.0,15211.0,138745.0,61356.0,360458.0,29906.0,62678.666666666664,54299.0,20828.0
1962-07-01,6188.0,49567.0,32321.0,29593.0,87019.0,91972.0,76291.66666666667,142052.0,609027.0,98160.0,25111.0,8425.0,70445.0,4482.0,16573.0,139960.0,62101.0,364333.0,29871.0,63387.333333333336,55033.0,21355.0
1962-10-01,3364.0,51546.0,32304.0,28683.0,87596.0,91604.0,77059.0,143562.0,612280.0,94968.0,25550.0,8615.0,70278.0,3133.0,17318.0,141477.0,61819.0,370618.0,29785.0,64557.666666666664,55966.0,20900.0
1963-01-01,6868.0,52589.0,32872.0,29161.0,86208.0,92821.0,77751.0,143724.0,621672.0,99689.0,25185.0,8867.0,69388.0,3976.0,16820.0,142458.0,61973.0,374283.0,30848.0,65125.333333333336,57517.0,20233.0
1963-04-01,4836.0,53881.0,33467.0,31448.0,85764.0,96814.0,79233.66666666667,144132.0,629752.0,101650.0,25890.0,9183.0,68896.0,5558.0,16868.0,142803.0,63883.0,378413.0,32930.0,66016.66666666667,58368.0,21233.0
1963-07-01,5716.0,54701.0,34894.0,31215.0,89876.0,98896.0,80594.66666666667,149927.0,644444.0,104612.0,26704.0,9381.0,70846.0,4511.0,19030.0,145166.0,65712.0,385394.0,33184.0,67176.33333333333,60051.0,21436.0
