Date,Change in private inventories,Durable goods,Equipment,Exports,Federal,Fixed investment,Goods,Government consumption expenditures and gross investment,Gross domestic product,Gross private domestic investment,Imports,Intellectual property products,National defense,Net exports of goods and services,Nondefense,Nondurable goods,Nonresidential,Personal consumption expenditures,Residential,Residual,Services,State and local,Structures
1947-01-01,6238.0,,,93767.0,,,,560515.0,2182681.0,227242.0,53861.0,,,,,,,1351397.0,,3621.0,,,
1947-04-01,-4326.0,,,92584.0,,,,560091.0,2176892.0,209836.0,54898.0,,,,,,,1373880.0,,-4601.0,,,
1947-07-01,-16874.0,,,87885.0,,,,560034.0,2172432.0,203662.0,48687.0,,,,,,,1378358.0,,-8820.0,,,
1947-10-01,-2822.0,,,77928.0,,,,555556.0,2206452.0,243072.0,51312.0,,,,,,,1378796.0,,2412.0,,,
1948-01-01,14095.0,,,74373.0,,,,563895.0,2239682.0,268012.0,57862.0,,,,,,,1385667.0,,5598.0,,,
1948-04-01,26813.0,,,67420.0,,,,583846.0,2276690.0,284598.0,60156.0,,,,,,,1401789.0,,-807.0,,,
1948-07-01,31333.0,,,69005.0,,,,596087.0,2289770.0,287514.0,63297.0,,,,,,,1403859.0,,-3397.0,,,
1948-10-01,24243.0,,,66573.0,,,,618100.0,2292364.0,273765.0,62270.0,,,,,,,1415063.0,,-18867.0,,,
1949-01-01,-2474.0,,,74540.0,,,,634547.0,2260807.0,232885.0,60402.0,,,,,,,1417353.0,,-38115.0,,,
1949-04-01,-21832.0,,,73902.0,,,,662174.0,2253128.0,201926.0,59521.0,,,,,,,1439077.0,,-64430.0,,,
1949-07-01,-4783.0,,,67729.0,,,,665721.0,2276424.0,218667.0,57095.0,,,,,,,1442341.0,,-60939.0,,,
1949-10-01,-21818.0,,,58631.0,,,,654121.0,2257352.0,207912.0,57955.0,,,,,,,1463488.0,,-68844.0,,,
1950-01-01,9151.0,,,57665.0,,,,642039.0,2346104.0,257271.0,59575.0,,,,,,,1487854.0,,-39150.0,,,
1950-04-01,13359.0,,,58361.0,,,,653806.0,2417682.0,284803.0,62863.0,,,,,,,1512357.0,,-28782.0,,,
1950-07-01,17541.0,,,59875.0,,,,643275.0,2511127.0,309285.0,77573.0,,,,,,,1590019.0,,-13755.0,,,
1950-10-01,56183.0,,,64728.0,,,,688730.0,2559214.0,348585.0,77719.0,,,,,,,1542087.0,,-7196.0,,,
1951-01-01,34908.0,,,67963.0,,,,762013.0,2593967.0,312966.0,77724.0,,,,,,,1579375.0,,-50626.0,,,
1951-04-01,50756.0,,,74651.0,,,,863552.0,2638898.0,320221.0,75148.0,,,,,,,1534744.0,,-79122.0,,,
