Date,Change in private inventories,Durable goods,Equipment,Exports,Federal,Fixed investment,Goods,Government consumption expenditures and gross investment,Gross private domestic investment,Imports,Intellectual property products,National defense,Net exports of goods and services,Nondefense,Nondurable goods,Nonresidential,Personal consumption expenditures,Residential,Services,State and local,Structures
1947-04-01,0.03,0.32,1.04,2.26,-0.49,2.16,1.0266666666666666,-0.14,2.2,-0.85,0.03,-0.17,1.41,-0.33,1.19,1.21,2.09,0.95,0.13333333333333333,0.35,0.14
1947-07-01,0.35,0.19,0.56,1.63,-1.7,1.46,1.1666666666666667,-1.22,1.81,-0.63,0.07,-2.72,1.01,1.01,2.21,1.03,4.88,0.43,0.7933333333333334,0.48,0.41
1947-10-01,-0.61,0.46,0.24,0.81,0.1,1.26,1.5466666666666669,0.84,0.65,-0.36,0.08,-0.03,0.45,0.13,3.7,0.68,6.54,0.58,0.7866666666666667,0.74,0.37
1948-01-01,0.11,0.25,-0.14,0.27,0.29,0.57,0.7400000000000001,1.12,0.68,-0.22,0.01,0.71,0.04,-0.43,1.89,0.11,2.84,0.46,0.21666666666666665,0.84,0.25
1948-04-01,0.02,0.42,0.74,-0.07,0.32,1.34,0.52,0.83,1.36,0.03,0.05,0.46,-0.04,-0.14,1.18,1.06,2.66,0.28,0.3566666666666667,0.51,0.27
1948-07-01,0.0,1.19,1.02,-0.24,0.42,1.89,0.79,1.3,1.9,0.21,0.04,0.45,-0.04,-0.03,1.24,1.34,4.0,0.55,0.53,0.88,0.28
1948-10-01,-0.27,-0.03,0.44,-0.35,-0.01,0.58,-0.4166666666666667,0.39,0.31,0.27,-0.02,0.11,-0.08,-0.12,-1.14,0.48,-0.77,0.1,0.13333333333333333,0.39,0.06
1949-01-01,-0.02,-0.23,-0.05,-0.44,1.28,-0.25,-0.6633333333333332,1.02,-0.27,0.33,-0.02,0.58,-0.11,0.71,-1.65,-0.37,-1.93,0.13,-0.013333333333333334,-0.26,-0.31
1949-04-01,0.04,-0.24,0.12,-0.49,-0.09,-0.23,-0.66,-0.53,-0.19,0.15,-0.02,-0.12,-0.34,0.03,-1.42,-0.17,-1.41,-0.05,0.07333333333333333,-0.44,-0.27
1949-07-01,0.11,-0.35,-0.11,-0.41,-0.46,-0.83,-0.6333333333333334,-0.54,-0.72,0.06,-0.01,-0.23,-0.35,-0.23,-1.25,-0.28,-1.24,-0.55,0.10666666666666667,-0.08,-0.15
1949-10-01,0.02,0.22,-0.32,-0.28,0.69,-0.4,-0.2966666666666667,0.46,-0.37,-0.04,0.0,0.46,-0.32,0.23,-0.84,-0.39,0.12,-0.01,0.22999999999999998,-0.23,-0.07
1950-01-01,-0.02,0.29,-0.03,-0.36,0.15,-0.22,-0.3466666666666667,-0.23,-0.25,-0.26,0.0,0.06,-0.62,0.09,-0.74,-0.16,-0.01,-0.06,0.1366666666666667,-0.38,-0.13
