Date,Durable goods,Equipment,Exports,Federal,Fixed investment,Goods,Government consumption expenditures and gross investment,Gross domestic product,Gross national product,Gross private domestic investment,Imports,Intellectual property products,National defense,Nondefense,Nondurable goods,Nonresidential,Personal consumption expenditures,Residential,Services,State and local,Structures
1947-01-01,51.874,35.346,19.617,9.665,14.817,20.17533333333333,7.185,11.141,11.113,15.778,13.96,22.294,9.615,9.191,14.928,19.178,11.556,7.154,11.079666666666668,5.184,5.237
1947-04-01,52.351,36.843,21.059,9.552,15.377,21.44666666666667,7.166,11.299,11.273,16.444,14.942,22.52,9.571,8.744,15.073,19.76,11.648,7.553,10.876666666666667,5.266,5.304
1947-07-01,52.644,37.673,22.112,9.166,15.765,22.464,7.028,11.489,11.464,17.141,15.739,22.985,8.824,9.804,15.346,20.282,11.865,7.725,10.834666666666669,5.377,5.489
1947-10-01,53.33,38.028,22.631,9.18,16.093,23.168000000000003,7.116,11.772,11.746,17.793,16.267,23.508,8.819,9.949,15.81,20.65,12.161,7.925,10.878666666666666,5.548,5.671
1948-01-01,53.739,37.828,22.746,9.255,16.259,23.439000000000004,7.249,11.865,11.84,17.612,16.633,23.568,9.039,9.335,16.069,20.759,12.295,8.077,11.058,5.752,5.82
1948-04-01,54.448,38.944,22.606,9.333,16.62,23.461,7.345,11.972,11.946,17.687,16.683,23.96,9.186,9.163,16.23,21.339,12.423,8.173,11.135,5.878,5.979
1948-07-01,56.35,40.562,22.324,9.43,17.127,23.361666666666668,7.492,12.193,12.165,18.266,16.519,24.303,9.326,9.128,16.388,22.07,12.613,8.367,11.207666666666666,6.09,6.134
1948-10-01,56.463,41.293,21.968,9.436,17.314,23.004,7.54,12.23,12.202,18.751,16.258,24.196,9.367,9.033,16.219,22.369,12.574,8.416,11.219333333333333,6.186,6.192
1949-01-01,56.286,41.225,21.575,9.734,17.282,22.573333333333334,7.657,12.165,12.137,18.524,15.9,24.138,9.54,9.676,15.972,22.218,12.476,8.482,11.154000000000002,6.123,6.089
1949-04-01,55.935,41.458,21.173,9.727,17.255,22.21066666666667,7.608,12.043,12.015,17.948,15.732,24.06,9.512,9.722,15.766,22.182,12.4,8.471,11.149333333333333,6.03,6.005
1949-07-01,55.257,41.301,20.84,9.649,17.063,21.917,7.564,11.988,11.96,18.086,15.651,24.014,9.459,9.57,15.587,22.09,12.328,8.27,11.155000000000001,6.016,5.974
