Date,Change in private inventories,Durable goods,Equipment,Exports,Federal,Fixed investment,Goods,Government consumption expenditures and gross investment,Gross domestic product,Gross private domestic investment,Imports,Intellectual property products,National defense,Net exports of goods and services,Nondefense,Nondurable goods,Nonresidential,Personal consumption expenditures,Residential,Services,State and local,Structures
1947-01-01,0.2,8.5,6.1,7.6,11.1,14.5,16.03333333333333,16.6,100.0,14.7,3.1,0.8,9.4,4.5,1.7,30.8,10.2,64.2,4.3,8.933333333333332,5.5,3.2
1947-04-01,-0.5,8.7,6.2,7.9,10.7,14.5,16.433333333333334,16.3,100.0,14.0,3.3,0.8,8.6,4.6,2.2,31.3,10.2,65.1,4.3,9.0,5.6,3.2
1947-07-01,-1.2,8.7,6.0,7.8,10.0,15.2,16.400000000000002,15.8,100.0,14.0,3.1,0.8,8.0,4.7,2.0,31.5,10.2,65.5,5.0,9.033333333333333,5.7,3.3
1947-10-01,0.6,9.0,6.2,6.8,9.4,16.1,16.0,15.2,100.0,16.7,3.2,0.8,7.9,3.6,1.6,30.8,10.2,64.6,5.9,8.833333333333334,5.8,3.2
1948-01-01,1.4,8.9,6.5,6.4,9.5,16.4,15.933333333333332,15.4,100.0,17.8,3.6,0.8,7.8,2.7,1.8,30.7,10.6,64.1,5.8,8.8,5.8,3.3
1948-04-01,2.1,8.8,6.1,5.6,9.8,16.3,15.633333333333333,15.7,100.0,18.5,3.7,0.8,7.5,1.9,2.2,30.5,10.3,63.9,6.0,8.766666666666667,6.0,3.4
1948-07-01,2.6,9.1,6.1,5.5,9.8,16.2,15.466666666666667,16.0,100.0,18.8,3.7,0.8,7.4,1.8,2.4,29.9,10.4,63.4,5.8,8.766666666666667,6.2,3.5
1948-10-01,2.1,8.9,6.4,5.2,10.3,16.2,15.299999999999999,16.6,100.0,18.3,3.6,0.7,7.7,1.6,2.6,29.8,10.8,63.5,5.4,8.799999999999999,6.4,3.6
1949-01-01,0.1,8.9,6.1,5.8,11.0,15.5,15.533333333333333,17.7,100.0,15.7,3.5,0.7,8.2,2.4,2.8,30.1,10.4,64.3,5.2,9.033333333333333,6.7,3.5
1949-04-01,-1.9,9.7,5.9,5.8,11.5,15.3,15.766666666666666,18.6,100.0,13.4,3.5,0.7,8.4,2.3,3.1,30.2,10.1,65.8,5.1,9.233333333333333,7.1,3.5
1949-07-01,-0.5,10.0,5.6,5.2,11.2,15.0,15.399999999999999,18.5,100.0,14.5,3.3,0.7,8.3,1.9,2.9,29.4,9.6,65.2,5.4,9.1,7.3,3.3
1949-10-01,-1.7,10.5,5.5,4.5,11.0,15.6,15.533333333333333,18.4,100.0,13.8,3.4,0.8,8.0,1.1,3.0,29.9,9.5,66.6,6.1,9.233333333333333,7.4,3.2
