Date,Gross domestic product,Gross domestic product excluding food and energy,Gross domestic purchases,Gross domestic purchases excluding food and energy,Market-based PCE,Market-based PCE excluding food and energy,Personal consumption expenditures,Personal consumption expenditures excluding food and energy
1948-01-01,6.3,,6.0,,,,6.4,
1948-04-01,6.1,,6.2,,,,6.7,
1948-07-01,6.3,,6.6,,,,6.3,
1948-10-01,4.1,,4.4,,,,3.4,
1949-01-01,2.6,,2.8,,,,1.4,
1949-04-01,0.7,,0.9,,,,-0.2,
1949-07-01,-1.7,,-1.6,,,,-2.3,
1949-10-01,-1.7,,-1.5,,,,-2.0,
1950-01-01,-1.6,,-1.3,,,,-1.4,
1950-04-01,-0.6,,-0.3,,,,-0.3,
1950-07-01,2.2,,2.6,,,,2.3,
1950-10-01,3.9,,4.3,,,,4.2,
1951-01-01,7.7,,8.1,,,,7.7,
1951-04-01,7.8,,8.2,,,,8.1,
1951-07-01,6.0,,6.2,,,,6.0,
1951-10-01,5.7,,5.8,,,,5.5,
1952-01-01,2.4,,2.3,,,,2.7,
1952-04-01,2.2,,2.0,,,,1.9,
1952-07-01,2.6,,2.4,,,,2.4,
1952-10-01,1.6,,1.4,,,,1.2,
1953-01-01,1.6,,1.4,,,,1.2,
1953-04-01,1.5,,1.2,,,,1.3,
1953-07-01,1.1,,0.9,,,,1.2,
1953-10-01,1.0,,0.9,,,,1.5,
1954-01-01,1.3,,1.4,,,,1.6,
1954-04-01,1.3,,1.4,,,,1.3,
1954-07-01,0.8,,1.0,,,,0.5,
1954-10-01,0.7,,0.8,,,,-0.1,
1955-01-01,0.6,,0.6,,,,-0.2,
1955-04-01,1.0,,0.9,,,,0.0,
1955-07-01,1.8,,1.7,,,,0.7,
1955-10-01,2.3,,2.2,,,,1.1,
1956-01-01,2.9,,2.9,,,,1.2,
1956-04-01,3.3,,3.3,,,,1.8,
1956-07-01,3.7,,3.7,,,,2.4,
1956-10-01,3.7,,3.6,,,,2.7,
1957-01-01,3.9,,3.8,,,,3.2,
1957-04-01,3.6,,3.5,,,,3.1,
1957-07-01,3.3,,3.1,,,,3.0,
1957-10-01,3.2,,3.1,,,,2.9,
1958-01-01,2.9,,2.8,,,,3.2,
1958-04-01,2.6,,2.5,,,,2.8,
1958-07-01,2.1,,2.0,,,,2.0,
1958-10-01,1.6,,1.6,,,,1.5,
1959-01-01,1.3,,1.3,,,,0.9,
1959-04-01,1.1,,1.2,,,,1.1,
1959-07-01,1.3,,1.3,,,,1.7,
1959-10-01,1.6,,1.6,,,,2.3,
1960-01-01,1.3,,1.3,,,,1.7,2.1
1960-04-01,1.4,,1.3,,,,1.8,1.9
1960-07-01,1.4,,1.4,,,,1.6,1.7
1960-10-01,1.4,,1.4,,,,1.5,1.4
1961-01-01,1.4,,1.3,,,,1.5,1.3
1961-04-01,1.2,,1.1,,,,1.0,1.2
1961-07-01,1.0,,0.9,,,,1.0,1.3
1961-10-01,0.8,,0.6,,,,0.6,1.2
1962-01-01,1.1,,1.0,,,,0.9,1.4
1962-04-01,1.2,,1.2,,,,1.3,1.4
1962-07-01,1.2,,1.2,,,,1.2,1.3
1962-10-01,1.3,,1.3,,,,1.4,1.3
1963-01-01,1.2,,1.3,,,,1.2,1.2
1963-04-01,1.1,,1.1,,,,1.0,1.2
1963-07-01,0.9,,1.0,,,,1.2,1.3
1963-10-01,1.3,,1.5,,,,1.3,1.6
1964-01-01,1.2,,1.3,,,,1.5,1.7
1964-04-01,1.4,,1.6,,,,1.6,1.6
1964-07-01,1.8,,1.9,,,,1.4,1.5
1964-10-01,1.6,,1.6,,,,1.4,1.3
1965-01-01,1.7,,1.5,,,,1.2,1.2
1965-04-01,1.8,,1.7,,,,1.5,1.2
1965-07-01,1.8,,1.7,,,,1.5,1.3
1965-10-01,2.0,,2.1,,,,1.5,1.3
1966-01-01,2.2,,2.2,,,,2.0,1.5
1966-04-01,2.7,,2.7,,,,2.3,2.0
1966-07-01,3.1,,3.0,,,,2.7,2.5
1966-10-01,3.2,,3.1,,,,3.2,3.0
1967-01-01,3.1,,2.8,,,,2.7,3.1
1967-04-01,2.7,,2.5,,,,2.3,2.9
1967-07-01,2.8,,2.6,,,,2.5,3.0
1967-10-01,3.1,,3.0,,,,2.6,3.2
1968-01-01,3.7,,3.7,,,,3.4,3.8
1968-04-01,4.3,,4.2,,,,3.9,4.3
1968-07-01,4.3,,4.3,,,,4.0,4.5
1968-10-01,4.6,,4.7,,,,4.3,4.7
1969-01-01,4.6,,4.5,,,,4.2,4.6
1969-04-01,4.8,,4.8,,,,4.5,4.6
1969-07-01,5.2,,5.2,,,,4.7,4.7
1969-10-01,5.1,,5.0,,,,4.7,4.7
1970-01-01,5.5,,5.5,,,,4.9,4.7
1970-04-01,5.6,,5.6,,,,4.7,4.6
1970-07-01,5.0,,5.2,,,,4.5,4.6
1970-10-01,5.0,,5.2,,,,4.6,4.8
1971-01-01,5.2,,5.3,,,,4.4,5.0
1971-04-01,5.1,,5.2,,,,4.4,5.0
1971-07-01,5.3,,5.4,,,,4.4,4.8
1971-10-01,4.8,,4.9,,,,3.7,4.0
1972-01-01,4.9,,5.0,,,,3.8,3.7
1972-04-01,4.1,,4.3,,,,3.3,3.2
1972-07-01,4.0,,4.2,,,,3.2,3.0
1972-10-01,4.3,,4.4,,,,3.4,3.1
1973-01-01,4.0,,4.2,,,,3.5,2.8
1973-04-01,5.1,,5.3,,,,4.9,3.5
1973-07-01,6.1,,6.3,,,,5.9,4.1
1973-10-01,6.7,,7.0,,,,7.2,4.9
1974-01-01,7.5,,8.4,,,,9.1,5.9
1974-04-01,8.1,,9.5,,,,10.0,7.1
1974-07-01,9.4,,10.8,,,,11.0,8.7
1974-10-01,10.8,,11.8,,,,11.5,9.8
1975-01-01,11.0,,11.3,,,,10.3,10.1
1975-04-01,10.2,,9.9,,,,8.6,9.1
1975-07-01,8.8,,8.4,,,,7.7,7.6
1975-10-01,7.3,,7.1,,,,6.8,6.8
1976-01-01,6.1,,6.0,,,,6.0,6.3
1976-04-01,5.6,,5.5,,,,5.6,6.0
1976-07-01,5.1,,5.2,,,,5.2,6.0
1976-10-01,5.2,,5.2,,,,5.1,6.0
1977-01-01,5.7,,6.0,,,,5.9,6.1
1977-04-01,6.3,,6.7,,,,6.8,6.5
1977-07-01,6.4,,6.8,,,,6.8,6.6
1977-10-01,6.4,,6.9,,,,6.6,6.5
1978-01-01,6.4,,6.7,,,,6.4,6.4
1978-04-01,6.8,,7.0,,,,6.8,6.6
1978-07-01,7.3,,7.3,,,,7.0,6.6
1978-10-01,7.6,,7.4,,,,7.5,7.0
1979-01-01,7.8,,7.8,,,,7.8,6.8
1979-04-01,8.3,,8.4,,,,8.5,7.3
1979-07-01,8.6,,9.2,,,,9.3,7.4
1979-10-01,8.4,,9.7,,,,9.9,7.7
1980-01-01,8.8,,10.5,,,,11.1,8.9
1980-04-01,8.7,,10.6,,,,10.8,8.9
1980-07-01,8.9,,10.2,,,,10.6,9.3
1980-10-01,9.8,,10.4,,,,10.7,9.7
1981-01-01,10.3,,10.3,,,,10.2,9.4
1981-04-01,9.7,,9.6,,,,9.4,9.1
1981-07-01,9.4,,9.0,,,,8.7,8.7
1981-10-01,8.4,,8.1,,,,7.7,8.0
1982-01-01,7.1,,6.7,,,,6.3,7.2
1982-04-01,6.5,,5.9,,,,5.5,6.6
1982-07-01,5.9,,5.6,,,,5.4,6.3
1982-10-01,5.3,,4.9,,,,5.0,5.9
1983-01-01,4.6,,4.1,4.7,,,4.5,5.8
1983-04-01,4.0,,3.6,3.9,,,4.5,5.2
1983-07-01,3.7,,3.3,3.7,,,4.2,5.1
1983-10-01,3.4,,2.9,3.2,,,3.8,4.5
1984-01-01,3.6,,3.4,3.4,,,4.0,4.2
1984-04-01,3.7,,3.5,3.7,,,4.1,4.6
1984-07-01,3.6,,3.3,3.5,,,3.5,4.0
1984-10-01,3.5,,3.3,3.6,,,3.5,3.9
1985-01-01,3.6,,3.2,3.5,,,3.6,4.3
1985-04-01,3.3,,2.9,3.2,,,3.4,3.9
1985-07-01,3.0,,2.9,3.2,,,3.4,4.0
1985-10-01,2.8,,2.9,3.2,,,3.5,4.0
1986-01-01,2.3,2.4,2.6,3.0,,,3.0,3.7
1986-04-01,2.0,2.2,2.0,2.9,,,2.1,3.6
1986-07-01,1.9,2.0,1.9,2.7,,,1.8,3.2
1986-10-01,1.9,2.2,1.8,2.8,,,1.7,3.3
1987-01-01,2.0,2.2,2.1,2.6,,,2.0,2.8
1987-04-01,2.4,2.5,2.8,2.8,,,3.1,3.1
1987-07-01,2.7,2.8,3.1,3.0,,,3.5,3.4
1987-10-01,2.8,2.8,3.2,3.1,,,3.8,3.6
1988-01-01,3.0,3.1,3.3,3.4,3.7,4.1,3.6,3.9
1988-04-01,3.3,3.3,3.4,3.7,3.8,4.2,3.8,4.2
1988-07-01,3.8,3.6,3.6,3.8,4.0,4.4,4.0,4.4
1988-10-01,4.0,3.8,3.8,4.0,4.2,4.5,4.2,4.5
1989-01-01,4.2,4.0,4.1,4.1,4.6,4.7,4.6,4.7
1989-04-01,4.3,4.0,4.2,3.9,5.0,4.5,4.8,4.3
1989-07-01,3.8,3.7,3.9,3.7,4.5,4.4,4.2,3.9
1989-10-01,3.5,3.6,3.6,3.4,4.4,4.3,3.9,3.7
1990-01-01,3.6,3.6,3.8,3.5,4.7,4.3,4.2,3.8
1990-04-01,3.7,3.7,3.5,3.6,4.3,4.6,3.8,4.0
