Date,Durable goods,Equipment,Exports,Federal,Final sales of domestic product,Final sales to domestic purchasers,Final sales to private domestic purchasers,Fixed investment,Goods,Government consumption expenditures and gross investment,Gross domestic product (GDP),Gross domestic purchases,Gross national product,Gross private domestic investment,Imports,Intellectual property products,National defense,Nondefense,Nondurable goods,Nonresidential,Personal consumption expenditures,Residential,Services,State and local,Structures
1948-01-01,9.7,8.5,-20.7,-1.8,1.7,3.8,4.4,12.3,-5.033333333333332,0.6,2.6,4.7,2.7,17.9,7.5,-2.5,-3.5,10.3,1.2,5.1,2.5,28.9,4.1000000000000005,5.1,0.8
1948-04-01,8.2,3.5,-27.2,3.0,1.7,4.4,4.4,15.1,-6.633333333333333,4.2,4.6,7.4,4.7,35.6,9.6,-2.9,1.5,8.2,0.4,3.2,2.0,43.6,1.5333333333333332,6.5,4.1
1948-07-01,8.5,5.8,-21.5,6.7,1.3,3.9,3.4,10.4,1.5,6.4,5.4,8.3,5.5,41.2,30.0,-2.7,-1.9,43.9,-0.6,5.4,1.9,20.6,10.499999999999998,5.9,6.5
1948-10-01,0.4,3.2,-14.6,14.0,2.0,3.7,2.3,0.8,3.366666666666667,11.3,3.9,5.7,4.0,12.6,21.4,-1.4,-0.4,91.4,2.0,4.9,2.6,-6.3,2.433333333333334,6.7,9.6
1949-01-01,-0.9,-10.9,0.2,13.2,2.0,2.2,0.2,-7.7,1.5333333333333332,12.5,0.9,1.1,0.9,-13.1,4.4,-4.3,2.9,59.6,2.1,-5.4,2.3,-12.1,4.233333333333333,11.4,5.4
1949-04-01,6.9,-9.3,9.6,12.8,2.7,2.2,0.0,-10.4,2.766666666666667,13.4,-1.0,-1.6,-1.1,-29.0,-1.1,-3.2,6.9,32.7,1.4,-5.8,2.7,-18.3,6.366666666666667,14.5,0.1
1949-07-01,10.2,-13.0,-1.8,8.4,2.4,2.2,0.2,-9.6,-2.2999999999999994,11.7,-0.6,-0.9,-0.6,-23.9,-9.8,-2.5,7.3,11.7,1.1,-10.3,2.7,-8.4,-4.966666666666667,17.2,-7.1
1949-10-01,16.2,-16.6,-11.9,-0.6,2.0,2.4,1.7,-5.2,-3.966666666666667,5.8,-1.5,-1.2,-1.6,-24.1,-6.9,2.5,-2.5,5.4,1.4,-13.4,3.4,10.9,-8.266666666666667,16.6,-10.9
1950-01-01,22.9,-9.4,-22.6,-6.9,3.2,4.5,5.3,6.5,-5.933333333333333,1.2,3.8,5.1,3.7,10.5,-1.4,8.4,-8.0,-3.3,2.3,-6.6,5.0,33.1,-5.2,14.8,-4.9
1950-04-01,14.1,6.0,-21.0,-7.9,4.6,6.1,7.8,19.5,-2.5,-1.3,7.3,8.9,7.3,41.0,5.6,10.5,-8.7,-5.4,3.2,5.0,5.1,48.4,-4.766666666666667,9.6,2.3
1950-07-01,34.7,24.0,-11.6,-9.0,8.5,10.4,13.6,28.3,15.0,-3.4,10.3,12.3,10.4,41.4,35.8,10.1,-2.9,-26.8,5.9,19.2,10.2,44.1,3.2000000000000006,5.4,13.2
1950-10-01,13.5,23.4,10.4,6.6,7.1,7.9,8.4,21.3,17.266666666666666,5.3,13.4,14.2,13.5,67.6,34.1,4.4,17.9,-24.2,1.9,20.5,5.4,22.5,14.533333333333333,3.4,19.4
1951-01-01,12.8,16.2,17.8,32.7,8.6,9.0,6.9,10.1,18.3,18.7,10.6,11.0,10.6,21.6,30.5,-1.8,53.2,-25.8,2.5,14.1,6.1,4.5,17.166666666666668,0.0,14.3
1951-04-01,-4.2,4.6,27.9,55.3,6.4,5.9,0.5,-3.3,15.266666666666666,32.1,9.2,8.7,9.3,12.4,19.5,-4.3,85.5,-24.9,-0.2,6.6,1.5,-17.4,18.133333333333333,0.8,12.6
