Date,Durable goods,Final sales,Final sales of computers,Final sales of domestic product,Goods,Gross domestic product,Gross domestic product excluding final sales of computers,Gross domestic product excluding motor vehicle output,Gross domestic product excluding research and development,Gross domestic purchases excluding final sales of computers to domestic purchasers,Motor vehicle output,Nondurable goods,Research and development,Services,Structures
1947-04-01,-7.3,1.4333333333333336,,2.1,-3.9,-1.0,,,-1.1,,,-1.7,3.5,3.9,-5.9
1947-07-01,4.0,1.3,,2.7,-4.9,-0.8,,,-0.9,,,-10.2,7.2,-3.4,42.5
1947-10-01,-5.9,-1.0666666666666667,,0.5,8.7,6.4,,,6.4,,,18.9,9.7,-6.0,53.9
1948-01-01,23.9,3.0,,1.5,11.1,6.2,,,6.1,,,3.9,9.2,1.0,1.3
1948-04-01,-17.5,-6.199999999999999,,2.3,3.2,6.8,,,6.8,,,18.1,7.7,7.0,24.9
1948-07-01,2.5,-0.26666666666666666,,0.9,2.3,2.3,,,2.3,,,2.3,4.2,2.6,1.2
1948-10-01,4.0,3.466666666666667,,3.3,-1.8,0.5,,,0.5,,,-5.2,-1.9,7.4,-11.3
1949-01-01,-10.4,1.9000000000000001,,1.6,-10.9,-5.4,,,-5.4,,,-11.2,-6.8,4.0,-10.8
1949-04-01,-8.6,7.133333333333333,,5.2,-6.8,-1.4,,,-1.3,,,-5.6,-3.2,4.6,3.4
1949-07-01,33.0,-2.5,,-0.4,6.4,4.2,,,4.2,,,-7.8,3.4,-2.8,21.8
1949-10-01,-28.7,0.19999999999999987,,1.8,-9.6,-3.3,,,-3.4,,,5.5,8.0,-2.8,26.5
1950-01-01,26.7,3.6,,6.4,25.6,16.7,,,16.6,,,24.9,19.7,3.6,27.8
1950-04-01,47.2,9.266666666666667,,11.2,11.5,12.7,,,12.7,,,-7.3,14.9,8.1,34.8
1950-07-01,62.5,34.9,,15.0,30.2,16.4,,,16.5,,,10.5,9.6,-0.7,20.0
1950-10-01,8.9,-15.133333333333335,,-3.5,7.2,7.9,,,7.9,,,6.0,3.3,14.4,-7.4
