Date,Change in private inventories,Durable goods,Final sales,Final sales of computers,Final sales of domestic product,Goods,Gross domestic product excluding final sales of computers,Gross domestic product excluding motor vehicle output,Gross domestic product excluding research and development,Motor vehicle output,Nondurable goods,Research and development,Services,Structures
1947-04-01,-2.435,-1.43,0.7366666666666667,,2.19,-2.14,,,-1.09,,-0.71,0.03,1.56,-0.47
1947-07-01,-2.8875,0.92,0.6266666666666666,,3.03,-2.9,,,-0.88,,-3.83,0.07,-1.2,3.29
1947-10-01,4.035,-0.87,-0.8266666666666667,,1.03,4.14,,,6.32,,5.01,0.09,-2.28,4.55
1948-01-01,2.97,4.74,0.82,,2.2,5.2,,,6.07,,0.46,0.09,0.66,0.3
1948-04-01,3.1425,-3.47,-1.7533333333333332,,2.59,1.56,,,6.7,,5.03,0.08,2.61,2.61
1948-07-01,1.095,0.52,-0.23,,0.86,1.12,,,2.27,,0.59,0.05,0.94,0.26
1948-10-01,-1.7225,0.66,0.96,,2.75,-0.85,,,0.47,,-1.51,-0.02,2.58,-1.28
1949-01-01,-4.695,-2.35,0.5433333333333333,,0.86,-5.44,,,-5.32,,-3.09,-0.07,1.26,-1.21
1949-04-01,-4.485,-2.07,1.6933333333333334,,4.63,-3.44,,,-1.32,,-1.37,-0.03,1.69,0.4
1949-07-01,3.755,5.34,-1.2566666666666666,,-0.81,3.12,,,4.16,,-2.22,0.04,-1.15,2.23
1949-10-01,-3.6225,-6.62,-0.1233333333333333,,1.52,-5.01,,,-3.39,,1.61,0.08,-1.09,2.79
1950-01-01,7.4025,4.65,1.0833333333333333,,6.81,11.49,,,16.48,,6.84,0.2,1.87,3.32
1950-04-01,1.245,7.77,2.533333333333333,,11.11,5.46,,,12.62,,-2.3,0.15,3.38,3.93
1950-07-01,1.0275,10.88,8.303333333333333,,15.01,13.83,,,16.28,,2.94,0.1,0.08,2.47
1950-10-01,8.2875,2.15,-4.87,,-3.17,3.75,,,7.85,,1.6,0.03,5.11,-0.98
1951-01-01,-4.7475000000000005,-2.67,3.626666666666667,,11.87,-0.89,,,5.6,,1.78,-0.05,7.36,-0.93
1951-04-01,3.4250000000000003,2.01,-2.013333333333333,,2.54,1.55,,,7.07,,-0.46,0.04,7.27,-1.71
1951-07-01,-3.555,2.05,4.946666666666666,,13.24,2.68,,,8.4,,0.63,0.09,6.89,-1.07
1951-10-01,-3.78,-2.32,2.953333333333333,,5.92,-0.61,,,0.7,,1.71,0.18,1.52,-0.03
1952-01-01,0.495,0.4,-0.9433333333333334,,3.67,-0.75,,,4.05,,-1.16,0.29,3.82,1.27
1952-04-01,-4.3725,-3.56,0.93,,6.69,-4.43,,,0.64,,-0.87,0.22,4.7,0.59
1952-07-01,4.8175,-3.23,-3.0933333333333333,,-3.51,1.79,,,2.67,,5.02,0.25,1.07,0.06
1952-10-01,0.14250000000000007,11.43,6.536666666666666,,13.6,10.0,,,13.53,,-1.43,0.27,1.84,1.96
1953-01-01,-0.79,4.13,3.0,,8.7,3.45,,,7.45,,-0.68,0.2,3.09,1.11
1953-04-01,-0.06,0.35,0.6566666666666666,,3.21,0.91,,,2.94,,0.56,0.19,2.13,0.09
