Date,Implicit price deflator for final sales of domestic product
1947-01-01,11.014
1947-04-01,11.162
1947-07-01,11.326
1947-10-01,11.573
1948-01-01,11.7
1948-04-01,11.838
1948-07-01,12.049
1948-10-01,12.055
1949-01-01,12.021
1949-04-01,11.948
1949-07-01,11.862
1949-10-01,11.858
1950-01-01,11.825
1950-04-01,11.875
1950-07-01,12.122
1950-10-01,12.307
1951-01-01,12.717
1951-04-01,12.787
1951-07-01,12.837
1951-10-01,13.01
1952-01-01,13.029
1952-04-01,13.082
1952-07-01,13.183
1952-10-01,13.235
1953-01-01,13.252
1953-04-01,13.286
1953-07-01,13.337
1953-10-01,13.377
1954-01-01,13.432
1954-04-01,13.456
1954-07-01,13.446
1954-10-01,13.465
1955-01-01,13.517
1955-04-01,13.594
1955-07-01,13.686
1955-10-01,13.776
1956-01-01,13.91
1956-04-01,14.041
1956-07-01,14.196
1956-10-01,14.284
1957-01-01,14.448
1957-04-01,14.551
1957-07-01,14.665
1957-10-01,14.753
1958-01-01,14.877
1958-04-01,14.939
1958-07-01,14.975
1958-10-01,14.993
1959-01-01,15.066
1959-04-01,15.108
1959-07-01,15.173
1959-10-01,15.232
1960-01-01,15.261
1960-04-01,15.317
1960-07-01,15.384
1960-10-01,15.452
1961-01-01,15.469
1961-04-01,15.5
1961-07-01,15.532
1961-10-01,15.567
1962-01-01,15.646
1962-04-01,15.69
1962-07-01,15.727
1962-10-01,15.765
1963-01-01,15.843
1963-04-01,15.858
1963-07-01,15.876
1963-10-01,15.98
1964-01-01,16.041
1964-04-01,16.089
1964-07-01,16.168
1964-10-01,16.237
1965-01-01,16.308
1965-04-01,16.385
1965-07-01,16.46
1965-10-01,16.569
1966-01-01,16.671
1966-04-01,16.824
1966-07-01,16.974
1966-10-01,17.112
1967-01-01,17.184
1967-04-01,17.288
1967-07-01,17.446
1967-10-01,17.64
1968-01-01,17.834
1968-04-01,18.036
1968-07-01,18.211
1968-10-01,18.467
1969-01-01,18.653
1969-04-01,18.9
1969-07-01,19.172
1969-10-01,19.412
1970-01-01,19.68
1970-04-01,19.966
1970-07-01,20.131
1970-10-01,20.393
1971-01-01,20.701
1971-04-01,20.977
1971-07-01,21.19
1971-10-01,21.368
1972-01-01,21.713
1972-04-01,21.845
1972-07-01,22.041
1972-10-01,22.29
1973-01-01,22.579
1973-04-01,22.953
1973-07-01,23.393
1973-10-01,23.808
1974-01-01,24.288
1974-04-01,24.822
1974-07-01,25.581
1974-10-01,26.362
1975-01-01,26.951
1975-04-01,27.343
1975-07-01,27.825
1975-10-01,28.295
1976-01-01,28.612
1976-04-01,28.898
1976-07-01,29.268
1976-10-01,29.768
1977-01-01,30.249
1977-04-01,30.726
1977-07-01,31.16
1977-10-01,31.685
1978-01-01,32.2
1978-04-01,32.843
1978-07-01,33.42
1978-10-01,34.08
1979-01-01,34.723
1979-04-01,35.566
1979-07-01,36.309
1979-10-01,36.97
1980-01-01,37.778
1980-04-01,38.672
1980-07-01,39.541
1980-10-01,40.59
1981-01-01,41.649
1981-04-01,42.432
1981-07-01,43.264
1981-10-01,43.99
1982-01-01,44.63
1982-04-01,45.228
1982-07-01,45.854
1982-10-01,46.32
1983-01-01,46.68
1983-04-01,47.029
1983-07-01,47.534
1983-10-01,47.882
1984-01-01,48.352
1984-04-01,48.784
1984-07-01,49.233
1984-10-01,49.591
1985-01-01,50.11
1985-04-01,50.413
1985-07-01,50.755
1985-10-01,51.019
1986-01-01,51.276
1986-04-01,51.465
1986-07-01,51.714
1986-10-01,52.014
1987-01-01,52.312
1987-04-01,52.665
1987-07-01,53.073
1987-10-01,53.481
1988-01-01,53.905
1988-04-01,54.448
1988-07-01,55.126
1988-10-01,55.63
1989-01-01,56.165
1989-04-01,56.777
1989-07-01,57.199
1989-10-01,57.593
1990-01-01,58.225
1990-04-01,58.884
1990-07-01,59.394
1990-10-01,59.861
1991-01-01,60.436
1991-04-01,60.875
1991-07-01,61.334
1991-10-01,61.691
1992-01-01,61.944
1992-04-01,62.315
1992-07-01,62.614
1992-10-01,63.056
1993-01-01,63.435
