Date,Durable goods,Final sales,Final sales of computers,Final sales of domestic product,Goods,Gross domestic product,Gross domestic product excluding final sales of computers,Gross domestic product excluding motor vehicle output,Gross domestic product excluding research and development,Motor vehicle output,Nondurable goods,Research and development,Services,Structures
1947-01-01,35.288,27.195000000000004,,11.015,27.815,11.148,,,11.093,,19.529,13.339,6.686,6.053
1947-04-01,36.642,27.887666666666664,,11.164,28.375,11.3,,,11.245,,19.704,13.395,6.692,6.257
1947-07-01,37.327,28.42833333333333,,11.328,28.997,11.478,,,11.423,,20.176,13.517,6.718,6.458
1947-10-01,37.644,28.955000000000002,,11.574,29.597,11.714,,,11.659,,20.745,13.702,6.844,6.63
1948-01-01,37.736,29.169,,11.702,29.907,11.849,,,11.792,,21.063,13.946,6.912,6.778
1948-04-01,38.384,29.547666666666668,,11.84,30.241,11.989,,,11.931,,21.219,14.109,6.986,6.904
1948-07-01,39.635,30.195999999999998,,12.05,30.744,12.198,,,12.141,,21.374,14.198,7.099,7.079
1948-10-01,39.878,30.155666666666665,,12.056,30.562,12.193,,,12.136,,21.091,14.215,7.137,7.121
1949-01-01,39.786,29.926333333333332,,12.021,30.238,12.153,,,12.097,,20.76,14.089,7.184,7.098
1949-04-01,39.546,29.65233333333333,,11.948,29.906,12.078,,,12.021,,20.469,14.043,7.186,7.046
1949-07-01,39.247,29.345333333333333,,11.862,29.566,11.991,,,11.934,,20.184,14.038,7.194,6.918
1949-10-01,39.087,29.156666666666666,,11.859,29.342,11.988,,,11.931,,19.982,14.071,7.26,6.912
1950-01-01,39.044,29.012,,11.828,29.14,11.954,,,11.897,,19.768,14.142,7.286,6.87
1950-04-01,39.449,29.224666666666668,,11.88,29.3,12.004,,,11.945,,19.806,14.305,7.297,6.927
1950-07-01,40.05,29.805333333333333,,12.127,29.94,12.254,,,12.194,,20.331,14.56,7.413,7.15
1950-10-01,40.919,30.423333333333336,,12.312,30.601,12.45,,,12.388,,20.784,14.905,7.468,7.28
1951-01-01,42.219,31.475666666666665,,12.72,31.738,12.871,,,12.807,,21.643,15.342,7.672,7.579
1951-04-01,42.488,31.699,,12.79,32.007,12.945,,,12.88,,21.861,15.659,7.661,7.728
1951-07-01,42.457,31.697999999999997,,12.839,31.985,12.987,,,12.921,,21.845,15.859,7.701,7.834
1951-10-01,43.137,32.14033333333334,,13.011,32.374,13.158,,,13.092,,22.048,15.943,7.823,7.903
1952-01-01,43.316,32.25266666666667,,13.03,32.466,13.175,,,13.108,,22.089,15.909,7.818,7.916
1952-04-01,43.132,32.138333333333335,,13.083,32.349,13.225,,,13.159,,22.02,15.909,7.909,7.968
1952-07-01,43.402,32.28433333333333,,13.184,32.463,13.325,,,13.259,,22.058,15.941,8.0,8.044
1952-10-01,42.94,32.160000000000004,,13.236,32.405,13.372,,,13.306,,22.16,16.007,8.095,7.997
1953-01-01,43.041,32.154,,13.254,32.342,13.385,,,13.318,,22.047,16.093,8.127,8.013
1953-04-01,43.137,32.13166666666667,,13.288,32.273,13.417,,,13.35,,21.927,16.147,8.185,8.038
