Date,Change in private inventories,Durable goods,Final sales,Final sales of computers,Final sales of domestic product,Goods,Gross domestic product,Gross domestic product excluding final sales of computers,Gross domestic product excluding motor vehicle output,Gross domestic product excluding research and development,Motor vehicle output,Nondurable goods,Research and development,Services,Structures
1947-01-01,371.25,49404.0,83614.66666666667,,242669.0,125918.0,243164.0,,,240802.0,,76514.0,2362.0,96652.0,20594.0
1947-04-01,-930.0,49703.0,85722.0,,247207.0,127343.0,245968.0,,,243575.0,,77641.0,2393.0,97657.0,20967.0
1947-07-01,-2187.75,51681.0,87766.66666666667,,252502.0,128734.0,249585.0,,,247129.0,,77052.0,2456.0,97199.0,23652.0
1947-10-01,1092.0,50087.0,89164.66666666667,,258289.0,135203.0,259745.0,,,257197.0,,85116.0,2549.0,97481.0,27061.0
1948-01-01,2719.5,53012.0,90446.66666666667,,262116.0,139296.0,265742.0,,,263090.0,,86284.0,2652.0,98675.0,27771.0
1948-04-01,4394.25,51618.0,90229.33333333333,,266708.0,141202.0,272567.0,,,269834.0,,89584.0,2733.0,101438.0,29927.0
1948-07-01,5364.0,53687.0,91674.66666666667,,272045.0,144664.0,279196.0,,,276418.0,,90977.0,2779.0,103741.0,30792.0
1948-10-01,4497.75,54657.0,92070.0,,274369.0,144102.0,280366.0,,,277597.0,,89445.0,2769.0,106193.0,30070.0
1949-01-01,291.0,53168.0,91696.0,,274646.0,137932.0,275034.0,,,272337.0,,84764.0,2696.0,107963.0,29138.0
1949-04-01,-3861.0,50434.0,92076.66666666667,,276499.0,132966.0,271351.0,,,268684.0,,82532.0,2666.0,109217.0,29167.0
1949-07-01,-980.25,54379.0,90353.33333333333,,274197.0,134223.0,272889.0,,,270201.0,,79844.0,2688.0,108584.0,30083.0
1949-10-01,-3524.25,49363.0,89776.33333333333,,275325.0,129966.0,270627.0,,,267881.0,,80603.0,2746.0,108800.0,31860.0
1950-01-01,1518.0,52851.0,89999.33333333333,,278804.0,137023.0,280828.0,,,277942.0,,84172.0,2887.0,110159.0,33646.0
1950-04-01,2124.75,59508.0,92357.66666666667,,287550.0,141370.0,290383.0,,,287361.0,,81861.0,3022.0,112471.0,36543.0
1950-07-01,3132.75,67785.0,100281.33333333333,,303976.0,154599.0,308153.0,,,305007.0,,86814.0,3147.0,114076.0,39479.0
1950-10-01,10533.0,72225.0,98400.66666666667,,305901.0,161645.0,319945.0,,,316698.0,,89420.0,3247.0,118854.0,39447.0
1951-01-01,7789.5,71041.0,104705.0,,325614.0,167444.0,336000.0,,,332699.0,,96402.0,3301.0,128182.0,40374.0
1951-04-01,11094.0,74044.0,103659.66666666667,,329297.0,170282.0,344090.0,,,340691.0,,96238.0,3399.0,134056.0,39752.0
1951-07-01,7305.0,75129.0,107794.0,,341646.0,171430.0,351385.0,,,347864.0,,96301.0,3522.0,140612.0,39343.0
1951-10-01,3539.25,72957.0,111777.0,,351459.0,172385.0,356178.0,,,352479.0,,99427.0,3699.0,144183.0,39609.0
1952-01-01,3549.0,73692.0,111358.66666666667,,355088.0,171770.0,359820.0,,,355881.0,,98078.0,3939.0,147354.0,40696.0
1952-04-01,-1142.25,69175.0,111872.66666666667,,362553.0,166286.0,361030.0,,,356896.0,,97111.0,4134.0,153318.0,41427.0
1952-07-01,4180.5,67127.0,109488.66666666667,,362127.0,169808.0,367701.0,,,363340.0,,102680.0,4361.0,156063.0,41830.0
1952-10-01,3955.5,77191.0,115168.66666666667,,375538.0,178027.0,380812.0,,,376193.0,,100836.0,4619.0,159466.0,43318.0
1953-01-01,2917.5,81158.0,117802.33333333333,,384090.0,180594.0,387980.0,,,383154.0,,99435.0,4826.0,162923.0,44463.0
1953-04-01,2682.75,81424.0,118259.33333333333,,388172.0,180966.0,391749.0,,,386729.0,,99542.0,5020.0,166110.0,44674.0
1953-07-01,1748.25,82330.0,118583.33333333333,,388839.0,180207.0,391171.0,,,385987.0,,97876.0,5184.0,166574.0,44390.0
1953-10-01,-1504.5,73139.0,116991.0,,387976.0,173481.0,385970.0,,,380649.0,,100341.0,5320.0,167853.0,44636.0
1954-01-01,-1474.5,71196.0,116506.66666666667,,387311.0,172794.0,385345.0,,,379899.0,,101599.0,5447.0,167431.0,45120.0
1954-04-01,-2533.5,72201.0,117375.33333333333,,389499.0,172685.0,386121.0,,,380579.0,,100484.0,5543.0,167188.0,46248.0
1954-07-01,-1568.25,72050.0,117418.33333333333,,393087.0,174037.0,390996.0,,,385382.0,,101987.0,5614.0,169187.0,47772.0
1954-10-01,-237.0,76764.0,119950.0,,400050.0,179609.0,399734.0,,,394020.0,,102845.0,5714.0,171158.0,48967.0
1955-01-01,2853.0,82407.0,122542.66666666667,,409270.0,187618.0,413073.0,,,407322.0,,105211.0,5751.0,174215.0,51240.0
1955-04-01,3465.0,88844.0,126568.33333333333,,416911.0,194473.0,421532.0,,,415516.0,,105629.0,6015.0,174688.0,52371.0
1955-07-01,3221.25,91211.0,129952.0,,425926.0,199223.0,430221.0,,,423835.0,,108012.0,6386.0,178362.0,52636.0
1955-10-01,5424.75,93000.0,131020.33333333333,,429859.0,203763.0,437092.0,,,430156.0,,110763.0,6936.0,181022.0,52307.0
1956-01-01,4798.5,91550.0,131266.66666666666,,433348.0,203299.0,439746.0,,,432116.0,,111749.0,7631.0,182775.0,53673.0
1956-04-01,2688.75,91126.0,133645.66666666666,,442425.0,204054.0,446010.0,,,437772.0,,112927.0,8238.0,186791.0,55166.0
1956-07-01,2676.75,91732.0,136108.0,,447621.0,207732.0,451191.0,,,442478.0,,116000.0,8712.0,187613.0,55846.0
1956-10-01,1683.0,96342.0,139472.0,,458219.0,211451.0,460463.0,,,451374.0,,115110.0,9089.0,193283.0,55728.0
1957-01-01,1621.5,98894.0,143152.0,,467617.0,216890.0,469779.0,,,460497.0,,117996.0,9282.0,196828.0,56061.0
1957-04-01,1992.75,99113.0,142941.0,,469368.0,217068.0,472025.0,,,462531.0,,117956.0,9494.0,199025.0,55932.0
1957-07-01,2106.0,100828.0,145778.33333333334,,476682.0,221476.0,479490.0,,,469769.0,,120647.0,9721.0,201968.0,56047.0
1957-10-01,-3388.5,93696.0,143683.33333333334,,479382.0,211006.0,474864.0,,,464945.0,,117310.0,9918.0,207905.0,55952.0
1958-01-01,-3006.75,84602.0,140228.33333333334,,471549.0,206333.0,467540.0,,,457444.0,,121731.0,10096.0,206305.0,54902.0
1958-04-01,-3176.25,83943.0,140128.0,,476213.0,205957.0,471978.0,,,461725.0,,122014.0,10254.0,211454.0,54568.0
1958-07-01,1160.25,89243.0,141972.66666666666,,484294.0,214506.0,485841.0,,,475311.0,,125262.0,10530.0,214827.0,56507.0
1958-10-01,3926.25,95204.0,144310.0,,494320.0,221700.0,499555.0,,,488760.0,,126496.0,10795.0,217926.0,59930.0
1959-01-01,2907.0,102242.0,148949.33333333334,,506454.0,227300.0,510330.0,,,499296.0,,125058.0,11034.0,220156.0,62874.0
1959-04-01,5466.0,107823.0,151343.33333333334,,515365.0,234303.0,522653.0,,,511355.0,,126480.0,11299.0,224121.0,64229.0
1959-07-01,288.0,103933.0,154663.33333333334,,524650.0,232379.0,525034.0,,,513551.0,,128446.0,11483.0,229059.0,63596.0
1959-10-01,3090.0,104485.0,153863.0,,524480.0,234915.0,528600.0,,,516868.0,,130429.0,11732.0,232133.0,61553.0
1960-01-01,8400.0,114780.0,157176.66666666666,,531448.0,246965.0,542648.0,,,530485.0,,132185.0,12163.0,232172.0,63511.0
1960-04-01,2418.0,108843.0,160064.0,,537856.0,243320.0,541080.0,,,528508.0,,134477.0,12572.0,235818.0,61942.0
1960-07-01,3240.0,110195.0,160298.0,,541284.0,244767.0,545604.0,,,532763.0,,134572.0,12841.0,239012.0,61825.0
1960-10-01,-4359.0,101982.0,159799.33333333334,,546009.0,233887.0,540197.0,,,527136.0,,131905.0,13061.0,243609.0,62701.0
1961-01-01,-1911.0,99564.0,159694.0,,547566.0,236993.0,545018.0,,,531665.0,,137429.0,13352.0,244235.0,63789.0
1961-04-01,1344.0,105862.0,161156.33333333334,,553753.0,243526.0,555545.0,,,541794.0,,137665.0,13751.0,249566.0,62453.0
1961-07-01,4992.0,113385.0,162894.0,,561008.0,250997.0,567664.0,,,553549.0,,137612.0,14115.0,252485.0,64182.0
1961-10-01,4497.0,116903.0,166892.0,,574616.0,256334.0,580612.0,,,566170.0,,139431.0,14442.0,257821.0,66457.0
1962-01-01,7056.0,121740.0,169330.66666666666,,584605.0,263404.0,594013.0,,,579277.0,,141664.0,14736.0,263700.0,66908.0
1962-04-01,4083.0,120959.0,171661.33333333334,,594922.0,262936.0,600366.0,,,585223.0,,141977.0,15143.0,268679.0,68751.0
1962-07-01,4641.0,125321.0,173691.33333333334,,602839.0,266725.0,609027.0,,,593444.0,,141404.0,15583.0,273047.0,69255.0
1962-10-01,2523.0,123450.0,175357.0,,608916.0,266399.0,612280.0,,,596172.0,,142950.0,16109.0,276730.0,69151.0
1963-01-01,5151.0,126188.0,177066.0,,614804.0,272467.0,621672.0,,,604925.0,,146279.0,16748.0,279308.0,69897.0
1963-04-01,3627.0,129546.0,179877.0,,624916.0,274652.0,629752.0,,,612402.0,,145105.0,17350.0,281986.0,73114.0
1963-07-01,4287.0,133130.0,183581.33333333334,,638728.0,281088.0,644444.0,,,626551.0,,147958.0,17892.0,288536.0,74819.0
1963-10-01,3798.0,134521.0,186140.66666666666,,648874.0,284275.0,653938.0,,,635609.0,,149754.0,18329.0,293938.0,75726.0
1964-01-01,3843.0,140644.0,191380.66666666666,,664698.0,292195.0,669822.0,,,651094.0,,151551.0,18729.0,299123.0,78504.0
1964-04-01,3342.0,142560.0,194318.66666666666,,674218.0,295934.0,678674.0,,,659553.0,,153374.0,19121.0,303769.0,78971.0
1964-07-01,3519.0,147450.0,199059.33333333334,,687339.0,303281.0,692031.0,,,672574.0,,155831.0,19458.0,309311.0,79440.0
1964-10-01,3762.0,145932.0,199463.33333333334,,692303.0,304211.0,697319.0,,,677551.0,,158279.0,19768.0,312962.0,80146.0
1965-01-01,8658.0,158593.0,204851.33333333334,,706246.0,318821.0,717790.0,,,697669.0,,160228.0,20121.0,317444.0,81525.0
