Date,Change in private inventories,Durable goods,Final sales,Final sales of computers,Final sales of domestic product,Goods,Gross domestic product,Gross domestic product excluding final sales of computers,Gross domestic product excluding motor vehicle output,Gross domestic product excluding research and development,Motor vehicle output,Nondurable goods,Research and development,Residual,Services,Structures
1947-01-01,6238.0,,,,2203239.0,453143.0,2182681.0,,,2172197.0,,,17717.0,-41896.0,1445337.0,341197.0
1947-04-01,-4326.0,,,,2214637.0,448705.0,2176892.0,,,2166198.0,,,17870.0,-50251.0,1459239.0,336030.0
1947-07-01,-16874.0,,,,2229365.0,443041.0,2172432.0,,,2161349.0,,,18181.0,-62260.5,1446719.0,367136.0
1947-10-01,-2822.0,,,,2231863.0,452378.0,2206452.0,,,2195028.0,,,18608.0,-50917.5,1424419.0,408901.0
1948-01-01,14095.0,,,,2240271.0,464453.0,2239682.0,,,2227927.0,,,19023.0,-38784.0,1427918.0,410195.0
1948-04-01,26813.0,,,,2252906.0,468055.0,2276690.0,,,2264697.0,,,19374.0,-40220.0,1452410.0,433639.0
1948-07-01,31333.0,,,,2257767.0,470741.0,2289770.0,,,2277601.0,,,19576.0,-38468.0,1461652.0,434983.0
1948-10-01,24243.0,,,,2275959.0,468537.0,2292364.0,,,2280317.0,,,19483.0,-47120.0,1488154.0,422074.0
1949-01-01,-2474.0,,,,2284726.0,455176.0,2260807.0,,,2249017.0,,,19138.0,-64439.0,1502862.0,410203.0
1949-04-01,-21832.0,,,,2314115.0,447203.0,2253128.0,,,2241480.0,,,18986.0,-83417.0,1519922.0,413682.0
1949-07-01,-4783.0,,,,2311600.0,454270.0,2276424.0,,,2264696.0,,,19147.0,-76076.0,1509305.0,434609.0
1949-10-01,-21818.0,,,,2321810.0,442933.0,2257352.0,,,2245098.0,,,19518.0,-93899.0,1498686.0,460893.0
1950-01-01,9151.0,,,,2357676.0,468903.0,2346104.0,,,2333210.0,,,20416.0,-72854.0,1512088.0,490098.0
1950-04-01,13359.0,,,,2421397.0,481817.0,2417682.0,,,2404280.0,,,21133.0,-75425.5,1541588.0,528053.0
1950-07-01,17541.0,,,,2507599.0,514685.0,2511127.0,,,2497596.0,,,21623.0,-54686.0,1539079.0,552722.0
1950-10-01,56183.0,,,,2485585.0,523699.0,2559214.0,,,2545710.0,,,21801.0,-40552.5,1591822.0,542246.0
1951-01-01,34908.0,,,,2560549.0,520661.0,2593967.0,,,2580972.0,,,21522.0,-66040.0,1671141.0,532756.0
1951-04-01,50756.0,,,,2575253.0,524146.0,2638898.0,,,2625900.0,,,21713.0,-68428.0,1750353.0,514144.0
1951-07-01,33468.0,,,,2661476.0,530851.0,2693259.0,,,2679933.0,,,22214.0,-83700.0,1826236.0,501886.0
1951-10-01,14383.0,,,,2701485.0,529238.0,2699156.0,,,2684653.0,,,23207.0,-95656.0,1843573.0,500944.0
1952-01-01,18048.0,,,,2725455.0,527634.0,2727954.0,,,2711711.0,,,24763.0,-107287.5,1885363.0,513984.0
1952-04-01,-4389.0,,,,2771477.0,515496.0,2733800.0,,,2716102.0,,,25988.0,-136965.0,1939007.0,519939.0
1952-07-01,19996.0,,,,2747011.0,520503.0,2753517.0,,,2734265.0,,,27358.0,-125918.5,1951249.0,520112.0
1952-10-01,20051.0,,,,2837526.0,547669.0,2843941.0,,,2823334.0,,,28857.0,-114708.5,1970314.0,541739.0
1953-01-01,16203.0,,,,2898301.0,557635.0,2896811.0,,,2875101.0,,,29990.0,-119165.5,2004912.0,554902.0
1953-04-01,15897.0,,,,2921652.0,560507.0,2919206.0,,,2896279.0,,,31090.0,-122485.5,2029540.0,555787.0
1953-07-01,9642.0,,,,2915603.0,557617.0,2902785.0,,,2878597.0,,,32066.0,-123483.0,2021828.0,547845.0
1953-10-01,-8267.0,,,,2900354.0,538590.0,2858845.0,,,2833380.0,,,32947.0,-142647.0,2016500.0,555806.0
1954-01-01,-7346.0,,,,2883493.0,534882.0,2845192.0,,,2818603.0,,,33834.0,-142770.0,1996314.0,568583.0
1954-04-01,-11829.0,,,,2894514.0,536525.0,2848305.0,,,2820969.0,,,34475.0,-143326.5,1983247.0,580806.0
1954-07-01,-9423.0,,,,2923399.0,541487.0,2880482.0,,,2852814.0,,,34886.0,-146075.0,1999286.0,598365.0
1954-10-01,-3480.0,,,,2971022.0,558800.0,2936852.0,,,2908847.0,,,35396.0,-137831.0,2010855.0,612168.0
1955-01-01,14027.0,,,,3027804.0,582136.0,3020746.0,,,2993071.0,,,35458.0,-126748.0,2028437.0,642584.0
1955-04-01,20699.0,,,,3066990.0,604874.0,3069910.0,,,3040780.0,,,36878.0,-108893.0,2012960.0,652083.0
1955-07-01,18889.0,,,,3112064.0,615694.0,3111379.0,,,3080078.0,,,38867.0,-107053.5,2044662.0,645557.0
1955-10-01,26017.0,,,,3120311.0,622360.0,3130068.0,,,3095317.0,,,41832.0,-101557.5,2059572.0,634993.0
1956-01-01,21944.0,,,,3115344.0,616057.0,3117922.0,,,3078703.0,,,45511.0,-108143.5,2062358.0,636427.0
1956-04-01,15246.0,,,,3150930.0,617512.0,3143694.0,,,3100823.0,,,48660.0,-115538.5,2088952.0,645825.0
1956-07-01,11829.0,,,,3153183.0,618679.0,3140874.0,,,3095132.0,,,51044.0,-113934.5,2082446.0,643480.0
1956-10-01,10471.0,,,,3207939.0,628199.0,3192570.0,,,3144854.0,,,52906.0,-117092.5,2132786.0,639930.0
1957-01-01,5663.0,,,,3236651.0,633873.0,3213011.0,,,3164368.0,,,53769.0,-117169.0,2143167.0,641006.0
1957-04-01,8145.0,,,,3225587.0,630557.0,3205970.0,,,3156149.0,,,54737.0,-118606.0,2151907.0,632956.0
1957-07-01,11901.0,,,,3250495.0,640661.0,3237386.0,,,3186480.0,,,55778.0,-112732.0,2165883.0,631295.0
1957-10-01,-11091.0,,,,3249407.0,614021.0,3203894.0,,,3151817.0,,,56637.0,-143577.0,2209146.0,633458.0
1958-01-01,-13882.0,,,,3169750.0,589526.0,3120724.0,,,3067391.0,,,57374.0,-152649.5,2169078.0,632276.0
1958-04-01,-12101.0,,,,3187662.0,589180.0,3141224.0,,,3087253.0,,,57993.0,-158210.5,2209781.0,624347.0
1958-07-01,6134.0,,,,3233965.0,609037.0,3213884.0,,,3158734.0,,,59273.0,-149296.5,2233395.0,643829.0
1958-10-01,16137.0,,,,3297015.0,626024.0,3289032.0,,,3232795.0,,,60487.0,-148847.5,2254530.0,682052.0
1959-01-01,13080.0,,,,3361576.0,641071.0,3352129.0,,,3294926.0,,,61553.0,-147715.5,2268082.0,715882.0
1959-04-01,33118.0,,,,3411095.0,661772.0,3427667.0,,,3369362.0,,,62782.0,-139612.0,2296485.0,732088.0
1959-07-01,3920.0,,,,3457844.0,654827.0,3430057.0,,,3370808.0,,,63591.0,-156720.5,2331418.0,725546.0
1959-10-01,19404.0,,,,3443344.0,660220.0,3439832.0,,,3379223.0,,,64781.0,-146768.0,2347347.0,702885.0
1960-01-01,48436.0,,,,3482330.0,691748.0,3517181.0,,,3454312.0,,,66996.0,-123831.0,2335651.0,723859.0
1960-04-01,13840.0,,,,3511526.0,680195.0,3498246.0,,,3432781.0,,,69114.0,-139286.5,2363041.0,706463.0
1960-07-01,19572.0,,,,3518424.0,684410.0,3515385.0,,,3448371.0,,,70491.0,-136200.0,2375638.0,705127.0
1960-10-01,-22782.0,,,,3533666.0,654228.0,3470278.0,,,3401712.0,,,71637.0,-172132.5,2403168.0,716541.0
1961-01-01,-10386.0,,,,3539849.0,660043.0,3493703.0,,,3423407.0,,,73203.0,-169552.5,2406000.0,731006.0
1961-04-01,8962.0,,,,3572625.0,678977.0,3553021.0,,,3480480.0,,,75344.0,-156593.5,2445414.0,713252.0
1961-07-01,29740.0,,,,3611972.0,697968.0,3621252.0,,,3546757.0,,,77271.0,-148224.5,2466254.0,733020.0
1961-10-01,24675.0,,,,3691148.0,711679.0,3692289.0,,,3616118.0,,,78968.0,-153119.0,2506992.0,756322.0
1962-01-01,38993.0,,,,3736430.0,729270.0,3758147.0,,,3680510.0,,,80466.0,-145732.0,2543438.0,759627.0
1962-04-01,24493.0,,,,3791785.0,729157.0,3792149.0,,,3712129.0,,,82635.0,-159669.0,2579346.0,778855.0
1962-07-01,28725.0,,,,3833079.0,738723.0,3838776.0,,,3756160.0,,,85039.0,-159817.0,2613385.0,783273.0
1962-10-01,17055.0,,,,3862374.0,736606.0,3851421.0,,,3765451.0,,,87982.0,-168007.5,2641755.0,781067.0
1963-01-01,33543.0,,,,3880573.0,754276.0,3893482.0,,,3803497.0,,,91615.0,-154130.5,2638497.0,788338.0
1963-04-01,22120.0,,,,3940647.0,759166.0,3937183.0,,,3843571.0,,,94922.0,-164720.5,2657574.0,824299.0
1963-07-01,26255.0,,,,4023250.0,774004.0,4023755.0,,,3927217.0,,,97766.0,-170701.0,2718839.0,846564.0
1963-10-01,19180.0,,,,4060478.0,778579.0,4050147.0,,,3951291.0,,,99880.0,-174274.5,2737681.0,852926.0
