Date,Business,Farm,Federal,General government,Gross domestic product,Gross housing value added,Households,Households and institutions,Nonfarm,Nonprofit institutions serving households,State and local
1947-01-01,9.581,17.896,49.689,29.334,11.129,8.846,8.872,8.556,9.299,8.317,16.38
1947-04-01,9.611,15.012,46.493,28.081,11.1,8.905,8.973,8.641,9.513,8.366,16.636
1947-07-01,9.588,19.234,45.392,27.732,11.077,8.988,9.241,8.874,9.247,8.526,16.864
1947-10-01,9.788,14.51,43.863,27.188,11.25,9.091,9.295,8.985,9.729,8.787,17.032
1948-01-01,9.966,15.85,43.598,27.08,11.42,9.21,9.27,9.065,9.835,9.143,17.018
1948-04-01,10.173,20.434,42.549,26.662,11.609,9.343,9.391,9.228,9.805,9.426,17.029
1948-07-01,10.215,19.814,43.031,26.937,11.675,9.488,9.582,9.422,9.885,9.638,17.169
1948-10-01,10.208,20.75,43.368,27.21,11.689,9.643,9.671,9.523,9.837,9.778,17.415
1949-01-01,10.034,18.289,42.823,27.183,11.528,9.806,9.782,9.619,9.77,9.843,17.77
1949-04-01,9.983,18.536,42.253,27.156,11.488,9.972,9.966,9.773,9.708,9.929,18.148
1949-07-01,10.104,18.625,41.479,27.031,11.607,10.141,10.14,9.925,9.833,10.036,18.5
1949-10-01,9.998,18.234,40.103,26.613,11.51,10.313,10.567,10.261,9.738,10.162,18.766
1950-01-01,10.48,20.374,39.152,26.261,11.963,10.482,10.785,10.455,10.151,10.307,18.835
1950-04-01,10.835,20.179,40.05,26.665,12.327,10.663,10.907,10.576,10.53,10.435,18.89
1950-07-01,11.29,18.353,41.421,27.26,12.804,10.853,11.174,10.796,11.097,10.55,18.949
1950-10-01,11.415,18.558,47.176,29.64,13.049,11.05,11.316,10.925,11.22,10.652,19.036
1951-01-01,11.526,17.024,49.6,30.694,13.226,11.252,11.678,11.201,11.421,10.734,19.168
1951-04-01,11.637,18.186,55.268,33.065,13.455,11.468,11.805,11.316,11.477,10.826,19.325
1951-07-01,11.826,19.36,59.234,34.746,13.733,11.693,12.098,11.549,11.619,10.922,19.505
1951-10-01,11.833,18.71,59.915,35.122,13.763,11.926,12.169,11.627,11.66,11.021,19.692
1952-01-01,11.943,18.368,61.586,35.852,13.91,12.182,12.253,11.717,11.795,11.129,19.814
1952-04-01,11.918,19.344,62.778,36.401,13.939,12.404,12.741,12.09,11.722,11.247,19.951
1952-07-01,11.986,20.319,63.214,36.679,14.04,12.609,13.138,12.407,11.749,11.38,20.137
1952-10-01,12.475,19.157,62.697,36.6,14.501,12.796,13.137,12.447,12.316,11.529,20.352
1953-01-01,12.74,20.215,63.105,36.885,14.771,12.943,13.17,12.516,12.551,11.689,20.565
1953-04-01,12.828,21.216,63.239,37.074,14.885,13.125,13.528,12.81,12.604,11.844,20.798
1953-07-01,12.711,19.862,63.252,37.241,14.801,13.32,13.84,13.069,12.533,11.988,21.074
1953-10-01,12.472,19.605,62.462,37.073,14.577,13.531,13.967,13.195,12.294,12.12,21.316
1954-01-01,12.394,21.2,61.875,36.968,14.507,13.772,14.088,13.316,12.154,12.246,21.529
1954-04-01,12.392,21.299,61.654,37.001,14.523,13.992,14.348,13.539,12.147,12.391,21.732
1954-07-01,12.539,20.803,61.643,37.134,14.687,14.205,14.636,13.789,12.318,12.562,21.964
1954-10-01,12.81,20.47,61.509,37.247,14.975,14.409,15.087,14.16,12.611,12.759,22.241
1955-01-01,13.247,20.478,61.15,37.214,15.402,14.604,15.373,14.423,13.066,12.982,22.425
1955-04-01,13.509,22.08,60.305,37.019,15.653,14.797,15.577,14.625,13.283,13.191,22.661
1955-07-01,13.695,22.251,60.374,37.261,15.865,14.99,15.978,14.961,13.471,13.387,23.031
1955-10-01,13.758,20.808,60.387,37.482,15.96,15.183,16.383,15.296,13.584,13.571,23.402
1956-01-01,13.673,20.577,60.28,37.58,15.898,15.364,16.562,15.467,13.502,13.735,23.64
1956-04-01,13.791,21.377,60.003,37.764,16.029,15.576,16.729,15.63,13.598,13.898,24.141
1956-07-01,13.732,21.266,60.477,38.192,16.015,15.804,17.019,15.877,13.541,14.054,24.554
1956-10-01,13.981,22.467,60.732,38.505,16.279,16.049,17.231,16.067,13.762,14.204,24.915
1957-01-01,14.067,19.853,60.878,38.685,16.383,16.335,17.454,16.265,13.933,14.35,25.124
1957-04-01,13.993,20.146,61.139,38.958,16.347,16.59,17.749,16.521,13.848,14.529,25.415
1957-07-01,14.125,20.423,61.375,39.287,16.507,16.839,18.055,16.794,13.975,14.741,25.817
1957-10-01,13.94,22.024,60.097,39.027,16.336,17.082,18.252,17.002,13.732,14.985,26.234
1958-01-01,13.473,22.261,59.547,38.976,15.912,17.287,18.407,17.192,13.24,15.265,26.523
1958-04-01,13.536,22.565,59.605,39.28,16.017,17.55,18.893,17.595,13.295,15.498,27.009
1958-07-01,13.886,21.05,60.301,39.813,16.387,17.836,19.131,17.816,13.707,15.692,27.454
1958-10-01,14.268,19.589,60.409,40.062,16.77,18.148,19.361,18.021,14.149,15.847,27.812
1959-01-01,14.606,21.403,59.793,39.905,17.092,18.566,19.643,18.246,14.441,15.953,27.966
1959-04-01,14.988,20.724,59.932,40.078,17.477,18.836,19.969,18.541,14.857,16.193,28.17
1959-07-01,14.96,20.54,60.152,40.336,17.489,19.201,20.301,18.87,14.834,16.531,28.468
1959-10-01,14.966,22.177,60.444,40.634,17.539,19.546,20.67,19.247,14.79,16.943,28.786
1960-01-01,15.339,20.353,60.961,41.086,17.934,19.846,20.94,19.574,15.23,17.418,29.213
1960-04-01,15.164,21.366,62.135,41.796,17.837,20.109,21.278,19.921,15.018,17.8,29.636
1960-07-01,15.225,23.336,61.909,41.972,17.925,20.412,21.577,20.205,15.023,18.06,30.091
1960-10-01,14.933,24.506,62.149,42.284,17.695,20.782,21.941,20.499,14.689,18.213,30.464
1961-01-01,15.019,23.95,62.545,42.76,17.814,21.041,22.202,20.679,14.793,18.22,31.008
1961-04-01,15.325,22.652,63.058,43.065,18.116,21.263,22.209,20.706,15.147,18.294,31.184
1961-07-01,15.649,22.136,63.993,43.659,18.464,21.558,22.449,20.917,15.496,18.45,31.569
1961-10-01,15.954,21.624,65.838,44.529,18.827,21.983,22.973,21.346,15.827,18.688,31.824
1962-01-01,16.27,21.882,66.755,44.956,19.162,22.23,23.222,21.619,16.145,19.024,31.944
1962-04-01,16.411,22.511,67.178,45.348,19.336,22.655,23.524,21.911,16.272,19.308,32.327
1962-07-01,16.622,21.889,67.345,45.667,19.574,22.988,23.903,22.248,16.509,19.569,32.753
1962-10-01,16.654,22.369,67.093,45.806,19.638,23.448,24.337,22.601,16.528,19.763,33.153
1963-01-01,16.85,24.189,67.525,46.209,19.852,23.622,24.484,22.753,16.677,19.93,33.547
1963-04-01,17.044,23.051,68.268,46.736,20.075,23.877,24.676,22.94,16.911,20.114,33.946
1963-07-01,17.468,22.175,68.816,47.294,20.517,24.188,24.985,23.211,17.373,20.313,34.525
1963-10-01,17.583,21.994,68.825,47.55,20.651,24.487,25.168,23.401,17.497,20.527,34.948
1964-01-01,18.015,20.959,68.987,47.967,21.087,24.695,25.376,23.624,17.971,20.784,35.546
1964-04-01,18.206,21.605,69.507,48.475,21.316,24.956,25.766,23.952,18.149,20.997,36.062
1964-07-01,18.523,22.39,70.04,48.929,21.649,25.251,25.952,24.17,18.454,21.289,36.479
1964-10-01,18.548,23.259,70.134,49.335,21.716,25.677,26.228,24.434,18.454,21.535,37.105
1965-01-01,19.095,23.61,69.888,49.446,22.242,25.988,26.476,24.708,19.008,21.87,37.455
1965-04-01,19.338,22.711,70.188,50.005,22.523,26.312,26.82,25.044,19.285,22.201,38.203
1965-07-01,19.807,24.172,70.875,50.682,23.024,26.711,27.292,25.482,19.726,22.58,38.894
1965-10-01,20.306,23.565,71.989,51.473,23.554,27.077,27.71,25.862,20.259,22.895,39.495
1966-01-01,20.872,24.014,73.142,52.168,24.127,27.31,27.834,26.097,20.829,23.348,39.906
1966-04-01,20.891,22.787,74.523,53.046,24.21,27.566,27.934,26.247,20.887,23.598,40.48
1966-07-01,21.006,21.248,76.481,54.152,24.415,27.964,28.444,26.674,21.054,23.876,41.061
1966-10-01,21.129,22.84,78.226,55.236,24.615,28.329,28.807,26.958,21.132,24.024,41.747
1967-01-01,21.303,24.055,80.126,55.974,24.833,28.646,29.03,27.143,21.276,24.142,41.765
1967-04-01,21.272,24.667,80.396,56.302,24.848,28.968,29.323,27.44,21.226,24.454,42.137
1967-07-01,21.451,24.803,81.236,57.025,25.083,29.36,29.616,27.809,21.406,24.964,42.799
1967-10-01,21.598,24.516,81.344,57.421,25.273,29.689,29.884,28.218,21.565,25.631,43.38
1968-01-01,22.086,23.856,82.007,58.218,25.788,29.931,29.976,28.533,22.086,26.358,44.272
1968-04-01,22.484,23.513,82.991,58.92,26.219,30.054,30.171,28.889,22.506,27.016,44.809
1968-07-01,22.648,23.518,83.302,59.377,26.422,30.362,30.404,29.245,22.674,27.598,45.362
1968-10-01,22.737,23.762,82.554,59.392,26.526,30.747,30.654,29.541,22.76,27.979,45.852
1969-01-01,23.135,24.266,82.957,59.873,26.94,31.095,30.998,29.885,23.156,28.324,46.387
1969-04-01,23.161,24.419,83.504,60.375,27.022,31.501,31.394,30.222,23.179,28.56,46.867
1969-07-01,23.306,24.775,83.974,60.858,27.201,31.849,31.673,30.451,23.317,28.702,47.362
1969-10-01,23.126,24.693,83.651,61.087,27.068,32.165,31.932,30.615,23.134,28.707,47.93
1970-01-01,23.109,24.741,81.926,60.742,27.027,32.291,31.916,30.587,23.115,28.66,48.434
1970-04-01,23.148,25.019,81.126,60.763,27.066,32.486,31.978,30.609,23.148,28.618,48.967
