Date,Business,Farm,Federal,General government,Gross domestic product,Gross housing value added,Households,Households and institutions,Nonfarm,Nonprofit institutions serving households,State and local
1947-01-01,13.851,83.612,6.86,4.954,11.148,7.649,7.649,6.0,12.889,3.634,3.455
1947-04-01,14.03,85.151,6.859,4.972,11.3,7.812,7.819,6.297,13.049,4.098,3.504
1947-07-01,14.383,71.401,6.377,4.751,11.478,7.957,7.958,6.382,13.664,4.107,3.569
1947-10-01,14.71,93.475,6.385,4.805,11.714,8.093,8.078,6.421,13.634,4.038,3.688
1948-01-01,14.878,87.866,6.401,4.873,11.849,8.228,8.184,6.454,13.888,3.973,3.828
1948-04-01,15.043,86.832,6.467,4.953,11.989,8.334,8.265,6.538,14.077,4.059,3.936
1948-07-01,15.312,86.846,6.487,5.029,12.198,8.418,8.325,6.63,14.354,4.187,4.086
1948-10-01,15.283,73.989,6.508,5.081,12.193,8.486,8.371,6.63,14.552,4.13,4.181
1949-01-01,15.171,74.776,6.752,5.187,12.153,8.543,8.405,6.699,14.424,4.241,4.144
1949-04-01,15.056,71.022,6.781,5.177,12.078,8.6,8.44,6.736,14.369,4.277,4.091
1949-07-01,14.931,66.884,6.759,5.172,11.991,8.661,8.481,6.713,14.314,4.173,4.103
1949-10-01,14.883,65.754,6.951,5.252,11.988,8.726,8.526,6.782,14.283,4.27,4.079
1950-01-01,14.829,62.054,6.944,5.252,11.954,8.801,8.579,6.814,14.293,4.272,4.086
1950-04-01,14.91,65.882,6.814,5.215,12.004,8.882,8.645,6.863,14.304,4.298,4.136
1950-07-01,15.233,74.692,6.954,5.326,12.254,8.971,8.723,6.919,14.488,4.322,4.231
1950-10-01,15.522,79.413,6.758,5.27,12.45,9.068,8.814,7.09,14.712,4.599,4.316
1951-01-01,16.047,90.012,7.156,5.515,12.871,9.178,8.923,7.16,15.096,4.615,4.422
1951-04-01,16.189,88.3,6.928,5.422,12.945,9.279,9.025,7.23,15.268,4.639,4.481
1951-07-01,16.242,81.201,6.883,5.436,12.987,9.376,9.126,7.265,15.43,4.582,4.578
1951-10-01,16.44,85.341,6.982,5.516,13.158,9.469,9.227,7.436,15.57,4.853,4.65
1952-01-01,16.414,81.203,7.095,5.588,13.175,9.548,9.312,7.56,15.603,5.031,4.681
1952-04-01,16.47,78.361,7.162,5.65,13.225,9.65,9.42,7.521,15.703,4.783,4.75
1952-07-01,16.583,79.71,7.222,5.72,13.325,9.765,9.535,7.572,15.799,4.739,4.85
1952-10-01,16.604,74.935,7.309,5.783,13.372,9.891,9.655,7.703,15.894,4.887,4.895
1953-01-01,16.593,71.849,7.282,5.791,13.385,10.04,9.797,7.874,15.928,5.101,4.952
1953-04-01,16.617,67.34,7.351,5.829,13.417,10.16,9.906,7.927,16.02,5.072,4.955
1953-07-01,16.697,66.807,7.315,5.804,13.467,10.262,9.997,7.972,16.109,5.05,4.939
1953-10-01,16.732,63.327,7.38,5.854,13.507,10.347,10.069,7.994,16.196,4.997,4.981
1954-01-01,16.795,66.004,7.406,5.884,13.564,10.409,10.118,8.06,16.22,5.09,5.023
1954-04-01,16.781,63.858,7.506,5.981,13.589,10.465,10.162,8.11,16.24,5.148,5.135
1954-07-01,16.742,62.619,7.503,6.013,13.577,10.511,10.198,8.149,16.221,5.19,5.215
1954-10-01,16.735,60.941,7.568,6.059,13.595,10.55,10.229,8.227,16.241,5.343,5.247
1955-01-01,16.802,60.525,7.661,6.112,13.646,10.574,10.248,8.165,16.315,5.157,5.258
1955-04-01,16.837,60.368,7.95,6.272,13.722,10.607,10.277,8.244,16.353,5.312,5.286
1955-07-01,16.963,59.034,7.974,6.298,13.816,10.643,10.31,8.28,16.501,5.355,5.319
1955-10-01,17.07,55.422,8.026,6.351,13.908,10.681,10.349,8.34,16.664,5.448,5.382
1956-01-01,17.238,56.395,8.129,6.453,14.045,10.732,10.397,8.333,16.822,5.356,5.499
1956-04-01,17.388,59.177,8.299,6.555,14.177,10.775,10.443,8.386,16.936,5.421,5.54
1956-07-01,17.592,58.654,8.318,6.6,14.334,10.82,10.49,8.475,17.152,5.578,5.621
1956-10-01,17.694,58.171,8.348,6.642,14.422,10.866,10.538,8.559,17.263,5.719,5.682
1957-01-01,17.896,57.801,8.497,6.743,14.587,10.902,10.585,8.598,17.474,5.748,5.745
1957-04-01,18.012,57.777,8.582,6.826,14.69,10.951,10.637,8.638,17.592,5.77,5.836
