Date,Business,Farm,Federal,General government,Gross domestic product,Gross housing value added,Households,Households and institutions,Nonfarm,Nonprofit institutions serving households,Residual,State and local
1947-01-01,1431581.0,24827.0,348886.0,659132.0,2182681.0,153384.0,120598.0,207334.0,1376591.0,88490.0,-29759.0,253047.0
1947-04-01,1435994.0,20826.0,326449.0,630987.0,2176892.0,154410.0,121966.0,209383.0,1408277.0,89006.0,-46640.0,257008.0
1947-07-01,1432599.0,26684.0,318719.0,623135.0,2172432.0,155852.0,125615.0,215030.0,1368795.0,90709.0,-18617.0,260529.0
1947-10-01,1462577.0,20130.0,307984.0,610928.0,2206452.0,157636.0,126343.0,217718.0,1440195.0,93490.0,-44817.0,263127.0
1948-01-01,1489083.0,21988.0,306118.0,608485.0,2239682.0,159696.0,126002.0,219654.0,1455932.0,97277.0,-30539.0,262904.0
1948-04-01,1520021.0,28348.0,298759.0,599098.0,2276690.0,162009.0,127655.0,223618.0,1451474.0,100286.0,7097.0,263071.0
1948-07-01,1526382.0,27488.0,302142.0,605284.0,2289770.0,164528.0,130247.0,228307.0,1463362.0,102544.0,-1255.0,265242.0
1948-10-01,1525339.0,28786.0,304506.0,611407.0,2292364.0,167212.0,131454.0,230764.0,1456122.0,104031.0,-1574.0,269038.0
1949-01-01,1499276.0,25372.0,300678.0,610807.0,2260807.0,170031.0,132966.0,233098.0,1446209.0,104718.0,-23653.0,274518.0
1949-04-01,1491675.0,25716.0,296679.0,610196.0,2253128.0,172917.0,135472.0,236820.0,1437108.0,105635.0,-27847.0,280366.0
1949-07-01,1509653.0,25838.0,291239.0,607398.0,2276424.0,175854.0,137837.0,240512.0,1455583.0,106774.0,-26645.0,285798.0
1949-10-01,1493876.0,25296.0,281582.0,597987.0,2257352.0,178830.0,143633.0,248651.0,1441585.0,108111.0,-32758.0,289903.0
1950-01-01,1565896.0,28265.0,274902.0,590096.0,2346104.0,181753.0,146597.0,253343.0,1502615.0,109661.0,-6908.0,290972.0
1950-04-01,1618921.0,27994.0,281212.0,599162.0,2417682.0,184901.0,148259.0,256284.0,1558822.0,111022.0,-1453.0,291825.0
1950-07-01,1686908.0,25461.0,290832.0,612531.0,2511127.0,188188.0,151882.0,261609.0,1642751.0,112239.0,-4773.0,292734.0
1950-10-01,1705563.0,25746.0,331240.0,666013.0,2559214.0,191618.0,153822.0,264732.0,1660863.0,113324.0,-19859.0,294080.0
1951-01-01,1722199.0,23617.0,348261.0,689695.0,2593967.0,195112.0,158742.0,271430.0,1690730.0,114197.0,-37706.0,296127.0
1951-04-01,1738771.0,25229.0,388063.0,742985.0,2638898.0,198859.0,160460.0,274215.0,1698966.0,115185.0,-47554.0,298548.0
1951-07-01,1767019.0,26858.0,415907.0,780749.0,2693259.0,202763.0,164444.0,279855.0,1720025.0,116201.0,-51505.0,301328.0
1951-10-01,1768018.0,25956.0,420691.0,789201.0,2699156.0,206793.0,165409.0,281736.0,1726026.0,117253.0,-60391.0,304211.0
1952-01-01,1784528.0,25482.0,432423.0,805592.0,2727954.0,211245.0,166560.0,283917.0,1745979.0,118402.0,-66988.0,306096.0
1952-04-01,1780825.0,26837.0,440793.0,817936.0,2733800.0,215097.0,173183.0,292958.0,1735263.0,119656.0,-70147.0,308216.0
1952-07-01,1790988.0,28188.0,443853.0,824192.0,2753517.0,218648.0,178587.0,300638.0,1739252.0,121075.0,-68524.0,311085.0
1952-10-01,1863933.0,26577.0,440224.0,822402.0,2843941.0,221890.0,178566.0,301615.0,1823116.0,122664.0,-61612.0,314407.0
1953-01-01,1903576.0,28044.0,443087.0,828814.0,2896811.0,224439.0,179026.0,303286.0,1857905.0,124364.0,-53319.0,317704.0
1953-04-01,1916788.0,29433.0,444026.0,833066.0,2919206.0,227588.0,183891.0,310419.0,1865752.0,126013.0,-51206.0,321298.0
1953-07-01,1899217.0,27555.0,444118.0,836821.0,2902785.0,230979.0,188127.0,316702.0,1855294.0,127544.0,-65415.0,325563.0
1953-10-01,1863594.0,27198.0,438574.0,833034.0,2858845.0,234637.0,189849.0,319750.0,1819901.0,128949.0,-74928.0,329302.0
1954-01-01,1851947.0,29412.0,434453.0,830678.0,2845192.0,238813.0,191502.0,322668.0,1799142.0,130286.0,-72203.0,332600.0
1954-04-01,1851559.0,29549.0,432901.0,831425.0,2848305.0,242633.0,195034.0,328075.0,1798141.0,131829.0,-74884.0,335735.0
