Date,Equals: Final sales to domestic purchasers,Equals: Gross domestic purchases,Final sales of domestic product,Final sales to private domestic purchasers,Gross domestic product,Less: Exports of goods and services,Plus: Imports of goods and services
1947-01-01,10.588,10.473,11.253,9.409,11.129,3.926,1.837
1947-04-01,10.663,10.461,11.311,9.49,11.1,3.877,1.873
1947-07-01,10.739,10.44,11.386,9.572,11.077,3.68,1.661
1947-10-01,10.866,10.724,11.399,9.722,11.25,3.263,1.75
1948-01-01,10.988,10.969,11.442,9.823,11.42,3.114,1.974
1948-04-01,11.133,11.236,11.506,9.911,11.609,2.823,2.052
1948-07-01,11.163,11.308,11.531,9.902,11.675,2.889,2.159
1948-10-01,11.27,11.336,11.624,9.943,11.689,2.788,2.124
1949-01-01,11.23,11.094,11.669,9.844,11.528,3.121,2.06
1949-04-01,11.378,11.056,11.819,9.907,11.488,3.094,2.03
1949-07-01,11.404,11.21,11.806,9.922,11.607,2.836,1.948
1949-10-01,11.54,11.198,11.858,10.108,11.51,2.455,1.977
1950-01-01,11.738,11.661,12.042,10.362,11.963,2.415,2.032
1950-04-01,12.074,12.036,12.367,10.681,12.327,2.444,2.144
1950-07-01,12.595,12.591,12.807,11.274,12.804,2.507,2.646
1950-10-01,12.446,12.793,12.695,10.959,13.049,2.71,2.651
1951-01-01,12.795,12.941,13.078,11.081,13.226,2.846,2.651
1951-04-01,12.791,13.089,13.153,10.731,13.455,3.126,2.563
1951-07-01,13.156,13.295,13.593,10.799,13.733,3.203,2.346
1951-10-01,13.349,13.317,13.798,10.832,13.763,3.172,2.285
1952-01-01,13.494,13.485,13.92,10.885,13.91,3.341,2.55
1952-04-01,13.8,13.589,14.155,11.092,13.939,2.974,2.537
1952-07-01,13.761,13.771,14.03,11.014,14.04,2.739,2.692
1952-10-01,14.262,14.27,14.492,11.488,14.501,2.758,2.933
1953-01-01,14.561,14.529,14.803,11.688,14.771,2.711,2.861
1953-04-01,14.705,14.667,14.922,11.763,14.885,2.728,3.01
1953-07-01,14.649,14.56,14.891,11.745,14.801,2.838,2.998
1953-10-01,14.561,14.329,14.813,11.661,14.577,2.744,2.851
1954-01-01,14.468,14.252,14.727,11.663,14.507,2.621,2.686
1954-04-01,14.496,14.241,14.783,11.821,14.523,2.998,2.928
1954-07-01,14.624,14.385,14.931,12.038,14.687,2.901,2.751
1954-10-01,14.841,14.646,15.174,12.293,14.975,3.035,2.777
1955-01-01,15.136,15.076,15.464,12.609,15.402,3.148,2.941
1955-04-01,15.382,15.37,15.664,12.91,15.653,3.074,3.108
1955-07-01,15.577,15.548,15.895,13.098,15.865,3.276,3.16
1955-10-01,15.639,15.661,15.937,13.238,15.96,3.291,3.275
1956-01-01,15.609,15.596,15.911,13.208,15.898,3.447,3.412
1956-04-01,15.737,15.675,16.093,13.272,16.029,3.679,3.394
1956-07-01,15.729,15.642,16.105,13.297,16.015,3.802,3.424
1956-10-01,15.938,15.836,16.384,13.427,16.279,3.972,3.267
1957-01-01,16.081,15.937,16.531,13.499,16.383,4.231,3.527
1957-04-01,16.056,15.933,16.474,13.493,16.347,4.105,3.554
1957-07-01,16.192,16.1,16.602,13.606,16.507,3.991,3.486
1957-10-01,16.213,15.958,16.596,13.563,16.336,3.872,3.497
1958-01-01,15.899,15.627,16.189,13.257,15.912,3.488,3.549
1958-04-01,16.014,15.754,16.281,13.281,16.017,3.504,3.701
1958-07-01,16.235,16.107,16.517,13.497,16.387,3.515,3.645
1958-10-01,16.589,16.521,16.839,13.799,16.77,3.502,3.837
1959-01-01,16.882,16.806,17.169,14.162,17.092,3.756,3.938
1959-04-01,17.172,17.226,17.422,14.425,17.477,3.726,4.129
1959-07-01,17.344,17.176,17.661,14.576,17.489,4.085,4.169
