Date,Equals: Final sales to domestic purchasers,Equals: Gross domestic purchases,Final sales of domestic product,Final sales to private domestic purchasers,Gross domestic product,Less: Exports of goods and services,Plus: Imports of goods and services
1947-01-01,10.881,11.013,11.015,12.175,11.148,19.531,13.931
1947-04-01,10.997,11.132,11.164,12.338,11.3,20.977,14.912
1947-07-01,11.142,11.292,11.328,12.582,11.478,22.045,15.711
1947-10-01,11.39,11.528,11.574,12.885,11.714,22.589,16.247
1948-01-01,11.528,11.674,11.702,13.025,11.849,22.732,16.626
1948-04-01,11.675,11.823,11.84,13.19,11.989,22.61,16.682
1948-07-01,11.892,12.038,12.05,13.431,12.198,22.343,16.518
1948-10-01,11.9,12.037,12.056,13.426,12.193,21.997,16.253
1949-01-01,11.866,11.998,12.021,13.335,12.153,21.608,15.887
1949-04-01,11.801,11.93,11.948,13.265,12.078,21.206,15.722
1949-07-01,11.723,11.851,11.862,13.176,11.991,20.871,15.654
1949-10-01,11.729,11.856,11.859,13.158,11.988,20.646,15.715
1950-01-01,11.714,11.839,11.828,13.14,11.954,20.311,16.009
1950-04-01,11.773,11.897,11.88,13.232,12.004,20.351,16.35
1950-07-01,12.029,12.155,12.127,13.528,12.254,20.539,16.877
1950-10-01,12.226,12.364,12.312,13.772,12.45,20.917,17.661
1951-01-01,12.644,12.793,12.72,14.214,12.871,22.158,19.129
1951-04-01,12.72,12.875,12.79,14.348,12.945,22.966,20.158
1951-07-01,12.765,12.913,12.839,14.386,12.987,23.635,20.742
1951-10-01,12.929,13.075,13.011,14.567,13.158,24.022,20.825
1952-01-01,12.942,13.086,13.03,14.63,13.175,23.422,19.976
1952-04-01,12.988,13.129,13.083,14.641,13.225,23.35,19.652
1952-07-01,13.08,13.22,13.184,14.723,13.325,23.304,19.308
1952-10-01,13.123,13.258,13.236,14.737,13.372,23.271,18.99
1953-01-01,13.134,13.264,13.254,14.785,13.385,23.364,18.824
1953-04-01,13.163,13.291,13.288,14.819,13.417,23.323,18.64
1953-07-01,13.212,13.34,13.339,14.907,13.467,23.248,18.555
1953-10-01,13.254,13.382,13.379,14.951,13.507,23.15,18.558
1954-01-01,13.317,13.447,13.434,15.014,13.564,23.041,18.771
1954-04-01,13.346,13.476,13.458,15.009,13.589,22.958,18.857
1954-07-01,13.34,13.469,13.448,14.969,13.577,22.912,18.977
