Date,Equals: Final sales to domestic purchasers,Equals: Gross domestic purchases,Final sales of domestic product,Final sales to private domestic purchasers,Gross domestic product,Less: Change in private inventories,Less: Exports of goods and services,Plus: Imports of goods and services
1947-01-01,231794.0,232289.0,242669.0,191520.0,243164.0,495.0,18394.0,7519.0
1947-04-01,235913.0,234674.0,247207.0,195775.0,245968.0,-1240.0,19497.0,8203.0
1947-07-01,240732.0,237815.0,252502.0,201370.0,249585.0,-2917.0,19433.0,7663.0
1947-10-01,249000.0,250456.0,258289.0,209466.0,259745.0,1456.0,17636.0,8347.0
1948-01-01,254823.0,258449.0,262116.0,213948.0,265742.0,3626.0,16917.0,9624.0
1948-04-01,261503.0,267362.0,266708.0,218619.0,272567.0,5859.0,15241.0,10036.0
1948-07-01,267096.0,274247.0,272045.0,222436.0,279196.0,7152.0,15405.0,10456.0
1948-10-01,269868.0,275865.0,274369.0,223265.0,280366.0,5997.0,14625.0,10124.0
1949-01-01,268168.0,268556.0,274646.0,219583.0,275034.0,388.0,16082.0,9604.0
1949-04-01,270216.0,265068.0,276499.0,219835.0,271351.0,-5148.0,15647.0,9364.0
1949-07-01,269018.0,267710.0,274197.0,218662.0,272889.0,-1307.0,14115.0,8936.0
1949-10-01,272326.0,267628.0,275325.0,222416.0,270627.0,-4699.0,12091.0,9092.0
1950-01-01,276601.0,278625.0,278804.0,227645.0,280828.0,2024.0,11704.0,9501.0
1950-04-01,285907.0,288740.0,287550.0,236264.0,290383.0,2833.0,11872.0,10229.0
1950-07-01,304716.0,308893.0,303976.0,254970.0,308153.0,4177.0,12293.0,13033.0
1950-10-01,306055.0,320099.0,305901.0,252342.0,319945.0,14044.0,13531.0,13685.0
1951-01-01,325437.0,335823.0,325614.0,263403.0,336000.0,10386.0,15043.0,14866.0
1951-04-01,327354.0,342147.0,329297.0,257533.0,344090.0,14792.0,17121.0,15178.0
1951-07-01,337904.0,347643.0,341646.0,259858.0,351385.0,9740.0,18052.0,14310.0
1951-10-01,347269.0,351988.0,351459.0,263955.0,356178.0,4719.0,18180.0,13990.0
1952-01-01,351367.0,356099.0,355088.0,266369.0,359820.0,4732.0,18679.0,14958.0
1952-04-01,360602.0,359079.0,362553.0,271616.0,361030.0,-1523.0,16581.0,14630.0
1952-07-01,362131.0,367705.0,362127.0,271199.0,367701.0,5574.0,15246.0,15250.0
1952-10-01,376551.0,381825.0,375538.0,283133.0,380812.0,5274.0,15329.0,16342.0
1953-01-01,384757.0,388647.0,384090.0,288993.0,387980.0,3890.0,15128.0,15795.0
1953-04-01,389423.0,393000.0,388172.0,291498.0,391749.0,3577.0,15196.0,16447.0
1953-07-01,389391.0,391723.0,388839.0,292770.0,391171.0,2331.0,15755.0,16307.0
1953-10-01,388311.0,386305.0,387976.0,291564.0,385970.0,-2006.0,15172.0,15507.0
1954-01-01,387667.0,385701.0,387311.0,292836.0,385345.0,-1966.0,14424.0,14780.0
1954-04-01,389245.0,385867.0,389499.0,296712.0,386121.0,-3378.0,16438.0,16184.0
1954-07-01,392513.0,390422.0,393087.0,301365.0,390996.0,-2091.0,15878.0,15304.0
1954-10-01,398905.0,398589.0,400050.0,307549.0,399734.0,-316.0,16605.0,15460.0
1955-01-01,408166.0,411969.0,409270.0,316296.0,413073.0,3804.0,17273.0,16169.0
1955-04-01,417066.0,421687.0,416911.0,324534.0,421532.0,4620.0,16942.0,17097.0
1955-07-01,425202.0,429497.0,425926.0,331103.0,430221.0,4295.0,18145.0,17421.0
1955-10-01,429619.0,436852.0,429859.0,336288.0,437092.0,7233.0,18349.0,18109.0
1956-01-01,432908.0,439306.0,433348.0,338060.0,439746.0,6398.0,19365.0,18925.0
1956-04-01,440516.0,444101.0,442425.0,342269.0,446010.0,3585.0,20882.0,18973.0
1956-07-01,445052.0,448622.0,447621.0,346773.0,451191.0,3569.0,21822.0,19253.0
1956-10-01,453692.0,455936.0,458219.0,352347.0,460463.0,2244.0,23068.0,18541.0
1957-01-01,462798.0,464960.0,467617.0,357455.0,469779.0,2162.0,24919.0,20100.0
1957-04-01,465269.0,467926.0,469368.0,359427.0,472025.0,2657.0,24369.0,20270.0
1957-07-01,472685.0,475493.0,476682.0,365280.0,479490.0,2808.0,23759.0,19762.0
1957-10-01,475994.0,471476.0,479382.0,365932.0,474864.0,-4518.0,23022.0,19634.0
1958-01-01,470470.0,466461.0,471549.0,360627.0,467540.0,-4009.0,20534.0,19455.0
1958-04-01,475742.0,471507.0,476213.0,362119.0,471978.0,-4235.0,20546.0,20075.0
1958-07-01,483438.0,484985.0,484294.0,368345.0,485841.0,1547.0,20595.0,19739.0
1958-10-01,494580.0,499815.0,494320.0,376588.0,499555.0,5235.0,20563.0,20823.0
1959-01-01,505935.0,509811.0,506454.0,388739.0,510330.0,3876.0,21915.0,21396.0
1959-04-01,516133.0,523421.0,515365.0,397598.0,522653.0,7288.0,21776.0,22544.0
1959-07-01,523439.0,523823.0,524650.0,403947.0,525034.0,384.0,24079.0,22868.0
1959-10-01,523854.0,527974.0,524480.0,405246.0,528600.0,4120.0,23131.0,22504.0
1960-01-01,528590.0,539790.0,531448.0,411639.0,542648.0,11200.0,26145.0,23288.0
1960-04-01,534461.0,537685.0,537856.0,416081.0,541080.0,3224.0,26850.0,23455.0
1960-07-01,536602.0,540922.0,541284.0,414183.0,545604.0,4320.0,27561.0,22879.0
1960-10-01,540129.0,534317.0,546009.0,415799.0,540197.0,-5812.0,27622.0,21742.0
1961-01-01,541664.0,539116.0,547566.0,415446.0,545018.0,-2548.0,27560.0,21658.0
1961-04-01,549026.0,550818.0,553753.0,421771.0,555545.0,1792.0,26627.0,21899.0
1961-07-01,556554.0,563210.0,561008.0,426593.0,567664.0,6656.0,27779.0,23326.0
1961-10-01,570043.0,576039.0,574616.0,436527.0,580612.0,5996.0,28442.0,23870.0
1962-01-01,580595.0,590003.0,584605.0,443488.0,594013.0,9408.0,28325.0,24314.0
1962-04-01,590145.0,595589.0,594922.0,451719.0,600366.0,5444.0,29662.0,24884.0
1962-07-01,598357.0,604545.0,602839.0,456305.0,609027.0,6188.0,29593.0,25111.0
1962-10-01,605783.0,609147.0,608916.0,462221.0,612280.0,3364.0,28683.0,25550.0
1963-01-01,610828.0,617696.0,614804.0,467104.0,621672.0,6868.0,29161.0,25185.0
1963-04-01,619358.0,624194.0,624916.0,475226.0,629752.0,4836.0,31448.0,25890.0
1963-07-01,634217.0,639933.0,638728.0,484290.0,644444.0,5716.0,31215.0,26704.0
1963-10-01,643164.0,648228.0,648874.0,492175.0,653938.0,5064.0,32474.0,26764.0
1964-01-01,657485.0,662609.0,664698.0,504931.0,669822.0,5124.0,34192.0,26978.0
1964-04-01,667913.0,672369.0,674218.0,513599.0,678674.0,4456.0,34030.0,27726.0
1964-07-01,680394.0,685086.0,687339.0,524361.0,692031.0,4692.0,35375.0,28429.0
1964-10-01,685108.0,690124.0,692303.0,528955.0,697319.0,5016.0,36480.0,29285.0
1965-01-01,701734.0,713278.0,706246.0,544709.0,717790.0,11544.0,32969.0,28457.0
1965-04-01,714935.0,723503.0,721623.0,555127.0,730191.0,8568.0,38367.0,31679.0
1965-07-01,734510.0,743802.0,740031.0,567749.0,749323.0,9292.0,37551.0,32030.0
1965-10-01,758523.0,766107.0,764273.0,585903.0,771857.0,7584.0,39698.0,33948.0
1966-01-01,777496.0,791368.0,781862.0,600464.0,795734.0,13872.0,39356.0,34990.0
1966-04-01,788033.0,800349.0,792665.0,606374.0,804981.0,12316.0,40872.0,36240.0
1966-07-01,805100.0,816952.0,807786.0,615634.0,819638.0,11852.0,40857.0,38171.0
1966-10-01,813032.0,829536.0,816798.0,619411.0,833302.0,16504.0,42594.0,38829.0
1967-01-01,824294.0,839716.0,828747.0,621705.0,844170.0,15423.0,43886.0,39432.0
