Date,Equals: Final sales to domestic purchasers,Equals: Gross domestic purchases,Final sales of domestic product,Final sales to private domestic purchasers,Gross domestic product,Less: Change in private inventories,Less: Exports of goods and services,Plus: Imports of goods and services
1947-01-01,2130684.0,2110969.0,2203239.0,1573641.0,2182681.0,6238.0,93767.0,53861.0
1947-04-01,2145709.0,2108470.0,2214637.0,1587300.0,2176892.0,-4326.0,92584.0,54898.0
1947-07-01,2161001.0,2104181.0,2229365.0,1600899.0,2172432.0,-16874.0,87885.0,48687.0
1947-10-01,2186627.0,2161460.0,2231863.0,1626037.0,2206452.0,-2822.0,77928.0,51312.0
1948-01-01,2210989.0,2210816.0,2240271.0,1642923.0,2239682.0,14095.0,74373.0,57862.0
1948-04-01,2240241.0,2264672.0,2252906.0,1657677.0,2276690.0,26813.0,67420.0,60156.0
1948-07-01,2246332.0,2279093.0,2257767.0,1656227.0,2289770.0,31333.0,69005.0,63297.0
1948-10-01,2267855.0,2284786.0,2275959.0,1662956.0,2292364.0,24243.0,66573.0,62270.0
1949-01-01,2259826.0,2236042.0,2284726.0,1646466.0,2260807.0,-2474.0,74540.0,60402.0
1949-04-01,2289615.0,2228304.0,2314115.0,1657082.0,2253128.0,-21832.0,73902.0,59521.0
1949-07-01,2294773.0,2259498.0,2311600.0,1659589.0,2276424.0,-4783.0,67729.0,57095.0
1949-10-01,2322158.0,2257063.0,2321810.0,1690622.0,2257352.0,-21818.0,58631.0,57955.0
1950-01-01,2362024.0,2350375.0,2357676.0,1733147.0,2346104.0,9151.0,57665.0,59575.0
1950-04-01,2429571.0,2425848.0,2421397.0,1786451.0,2417682.0,13359.0,58361.0,62863.0
1950-07-01,2534441.0,2537815.0,2507599.0,1885714.0,2511127.0,17541.0,59875.0,77573.0
1950-10-01,2504398.0,2578494.0,2485585.0,1833007.0,2559214.0,56183.0,64728.0,77719.0
1951-01-01,2574667.0,2608309.0,2560549.0,1853431.0,2593967.0,34908.0,67963.0,77724.0
1951-04-01,2573987.0,2638182.0,2575253.0,1794864.0,2638898.0,50756.0,74651.0,75148.0
1951-07-01,2647434.0,2679709.0,2661476.0,1806149.0,2693259.0,33468.0,76485.0,68784.0
1951-10-01,2686257.0,2684196.0,2701485.0,1811766.0,2699156.0,14383.0,75767.0,66985.0
1952-01-01,2715315.0,2718042.0,2725455.0,1820640.0,2727954.0,18048.0,79800.0,74757.0
1952-04-01,2776874.0,2738981.0,2771477.0,1855278.0,2733800.0,-4389.0,71028.0,74371.0
1952-07-01,2769055.0,2775514.0,2747011.0,1842185.0,2753517.0,19996.0,65418.0,78921.0
1952-10-01,2869851.0,2876130.0,2837526.0,1921486.0,2843941.0,20051.0,65866.0,85997.0
1953-01-01,2929985.0,2928308.0,2898301.0,1954963.0,2896811.0,16203.0,64752.0,83877.0
1953-04-01,2958954.0,2956265.0,2921652.0,1967404.0,2919206.0,15897.0,65156.0,88227.0
1953-07-01,2947700.0,2934588.0,2915603.0,1964399.0,2902785.0,9642.0,67767.0,87891.0
1953-10-01,2930126.0,2888072.0,2900354.0,1950437.0,2858845.0,-8267.0,65534.0,83568.0
1954-01-01,2911395.0,2872602.0,2883493.0,1950690.0,2845192.0,-7346.0,62595.0,78742.0
1954-04-01,2916968.0,2870261.0,2894514.0,1977145.0,2848305.0,-11829.0,71588.0,85824.0
1954-07-01,2942723.0,2899377.0,2923399.0,2013509.0,2880482.0,-9423.0,69288.0,80647.0
1954-10-01,2986347.0,2951869.0,2971022.0,2056151.0,2936852.0,-3480.0,72479.0,81412.0
1955-01-01,3045804.0,3038640.0,3027804.0,2108942.0,3020746.0,14027.0,75172.0,86223.0
1955-04-01,3095184.0,3097980.0,3066990.0,2159237.0,3069910.0,20699.0,73419.0,91112.0
1955-07-01,3134552.0,3133769.0,3112064.0,2190645.0,3111379.0,18889.0,78238.0,92645.0
1955-10-01,3146899.0,3156611.0,3120311.0,2214189.0,3130068.0,26017.0,78590.0,96002.0
1956-01-01,3141020.0,3143497.0,3115344.0,2209125.0,3117922.0,21944.0,82321.0,100032.0
1956-04-01,3166727.0,3159397.0,3150930.0,2219767.0,3143694.0,15246.0,87867.0,99511.0
1956-07-01,3165170.0,3152758.0,3153183.0,2223968.0,3140874.0,11829.0,90792.0,100376.0
1956-10-01,3207168.0,3191797.0,3207939.0,2245800.0,3192570.0,10471.0,94860.0,95771.0
1957-01-01,3235904.0,3212187.0,3236651.0,2257802.0,3213011.0,5663.0,101041.0,103391.0
1957-04-01,3230988.0,3211272.0,3225587.0,2256788.0,3205970.0,8145.0,98048.0,104198.0
1957-07-01,3258184.0,3245012.0,3250495.0,2275710.0,3237386.0,11901.0,95307.0,102186.0
1957-10-01,3262411.0,3216416.0,3249407.0,2268500.0,3203894.0,-11091.0,92467.0,102531.0
1958-01-01,3199336.0,3149627.0,3169750.0,2217353.0,3120724.0,-13882.0,83302.0,104048.0
1958-04-01,3222433.0,3175299.0,3187662.0,2221323.0,3141224.0,-12101.0,83692.0,108497.0
1958-07-01,3266831.0,3246388.0,3233965.0,2257505.0,3213884.0,6134.0,83936.0,106863.0
1958-10-01,3338131.0,3329861.0,3297015.0,2307890.0,3289032.0,16137.0,83634.0,112484.0
1959-01-01,3397102.0,3387403.0,3361576.0,2368718.0,3352129.0,13080.0,89697.0,115440.0
1959-04-01,3455381.0,3471902.0,3411095.0,2412740.0,3427667.0,33118.0,88981.0,121057.0
1959-07-01,3490033.0,3461819.0,3457844.0,2437993.0,3430057.0,3920.0,97562.0,122212.0
1959-10-01,3479458.0,3475760.0,3443344.0,2434320.0,3439832.0,19404.0,92734.0,119109.0
1960-01-01,3504757.0,3540016.0,3482330.0,2469384.0,3517181.0,48436.0,104686.0,123608.0
1960-04-01,3530507.0,3517092.0,3511526.0,2484808.0,3498246.0,13840.0,107689.0,124527.0
