Date,Clothing and footwear,Computers and peripheral equipment,Consumption expenditures,Durable goods,"Entertainment, literary, and artistic originals",Equipment,Exports,Federal,Final consumption expenditures of nonprofit institutions serving households (NPISHs),Financial services and insurance,Fixed investment,Food and beverages purchased for off-premises consumption,Food services and accommodations,Furnishings and durable household equipment,Gasoline and other energy goods,Goods,Government consumption expenditures and gross investment,Gross domestic product,Gross investment,Gross output of nonprofit institutions,Gross private domestic investment,Health care,Household consumption expenditures (for services),Housing and utilities,Imports,Industrial equipment,Information processing equipment,Intellectual property products,Less: Receipts from sales of goods and services by nonprofit institutions,Motor vehicles and parts,National defense,Nondefense,Nondurable goods,Nonresidential,Other,Other durable goods,Other equipment,Other nondurable goods,Other services,Personal consumption expenditures,Recreation services,Recreational goods and vehicles,Research and development,Residential,Services,Software,State and local,Structures,Transportation equipment,Transportation services
1947-04-01,-4.7,,62.699999999999996,8.6,-15.2,-8.3,-4.9,-3.2,,,-10.0,8.2,,12.6,14.3,2.0000000000000004,-0.3,-1.0,129.56666666666666,,-27.3,,,,8.1,-25.2,-21.0,-4.8,,7.3,-25.1,224.5,7.0,-6.1,-21.8,-1.9,0.6,18.0,,6.8,,8.7,6.4,-18.5,15.933333333333332,,5.7,-2.1,9.5,
1947-07-01,6.7,,-15.733333333333334,5.8,-6.5,-12.8,-18.8,-4.9,,,13.5,-1.6,,20.4,4.2,-20.5,0.0,-0.8,81.43333333333334,,-11.3,,,,-38.2,3.0,19.5,-0.4,,-20.0,11.3,-48.5,1.9,-7.2,18.6,13.8,-30.9,5.1,,1.3,,17.5,5.5,76.7,-8.066666666666668,,9.4,2.8,-19.5,
1947-10-01,-0.4,,-19.933333333333334,28.5,-23.7,25.2,-38.2,-8.5,,,37.3,-9.6,,21.1,-1.0,-11.333333333333334,-3.1,6.4,40.4,,103.0,,,,23.2,-33.2,-5.7,-7.9,,68.1,9.0,-58.5,-5.1,11.6,-7.3,1.5,95.5,0.5,,0.1,,9.8,9.0,102.4,26.3,,6.4,-5.6,69.3,
1948-01-01,-3.7,,22.3,-1.9,2.9,38.4,-17.1,10.5,,,13.4,0.8,,-15.6,9.5,23.666666666666668,6.1,6.2,113.73333333333333,,47.8,,,,61.9,39.0,25.7,3.4,,29.2,-4.4,113.2,1.3,25.3,25.7,-1.0,72.5,5.8,,2.0,,-18.6,3.8,-5.1,-5.2,,-0.9,8.6,17.3,
1948-04-01,2.5,,94.43333333333334,2.7,-7.5,-24.0,-32.5,17.0,,,-0.6,7.0,,23.3,0.9,-4.666666666666667,14.9,6.8,26.0,,27.1,,,,16.8,-22.7,-15.7,-6.1,,-20.8,-8.6,200.5,4.0,-12.7,-16.6,1.0,-24.4,-1.5,,4.7,,8.4,-5.1,25.2,1.7666666666666664,,11.4,11.6,-27.2,
1948-07-01,3.8,,20.599999999999998,6.8,0.9,-5.0,9.7,9.6,,,-4.0,-8.7,,7.8,4.1,6.333333333333333,8.7,2.3,23.866666666666664,,4.2,,,,22.5,-25.4,-11.1,0.4,,11.9,-2.9,61.3,-2.4,1.0,-8.4,1.7,17.4,5.7,,0.6,,-3.1,-0.2,-12.1,26.633333333333336,,7.0,12.5,-4.5,
1948-10-01,9.3,,17.033333333333335,-5.6,14.0,13.5,-13.3,19.3,,,-4.5,7.6,,-22.3,-4.5,-4.533333333333334,15.6,0.5,26.400000000000002,,-17.8,,,,-6.3,28.2,40.9,-2.9,,25.6,16.0,29.8,5.3,9.6,43.0,1.2,30.0,-0.5,,3.2,,-19.3,-15.3,-26.2,-6.3,,9.8,5.8,-17.6,
1949-01-01,0.6,,3.6666666666666665,-7.1,11.4,-23.1,57.0,7.4,,,-20.3,0.4,,-27.3,-3.5,17.73333333333333,11.1,-5.4,43.1,,-47.6,,,,-11.5,-30.8,-15.5,-8.6,,16.9,8.8,3.2,1.6,-17.2,-19.6,-9.7,-42.6,9.7,,0.6,,8.7,-24.0,-26.4,3.700000000000001,,17.4,-7.3,10.9,
1949-04-01,-4.9,,18.166666666666668,39.5,16.3,-18.3,-3.4,15.2,,,-11.6,0.0,,10.6,6.1,-2.9333333333333336,18.6,-1.4,51.86666666666667,,-43.5,,,,-5.7,-47.1,-34.4,-1.3,,117.7,6.5,43.5,1.1,-14.0,-32.0,-1.9,-16.1,10.6,,6.3,,-3.3,-16.5,-6.5,9.299999999999999,,24.4,-9.0,16.0,
1949-07-01,-13.8,,-9.766666666666666,20.5,10.9,-19.6,-29.4,-6.5,,,-0.7,-1.8,,39.1,0.2,-12.4,2.2,4.2,55.4,,37.5,,,,-15.2,-24.6,-17.7,3.1,,13.9,-1.4,-18.9,-3.4,-17.1,-19.8,-3.9,-35.5,4.3,,0.9,,15.9,-4.3,38.9,-20.933333333333334,,17.5,-16.6,0.0,
