Date,Change in private inventories,Clothing and footwear,Computers and peripheral equipment,Consumption expenditures,Durable goods,"Entertainment, literary, and artistic originals",Equipment,Exports,Farm,Federal,Final consumption expenditures of nonprofit institutions serving households (NPISHs),Financial services and insurance,Fixed investment,Food and beverages purchased for off-premises consumption,Food services and accommodations,Furnishings and durable household equipment,Gasoline and other energy goods,Goods,Government consumption expenditures and gross investment,Gross investment,Gross output of nonprofit institutions,Gross private domestic investment,Health care,Household consumption expenditures (for services),Housing and utilities,Imports,Industrial equipment,Information processing equipment,Intellectual property products,Less: Receipts from sales of goods and services by nonprofit institutions,Motor vehicles and parts,National defense,Net exports of goods and services,Nondefense,Nondurable goods,Nonfarm,Nonresidential,Other,Other durable goods,Other equipment,Other nondurable goods,Other services,Personal consumption expenditures,Recreation services,Recreational goods and vehicles,Research and development,Residential,Services,Software,State and local,Structures,Transportation equipment,Transportation services
1947-04-01,-3.25,-0.36,,-0.06333333333333341,0.73,-0.07,-0.51,-0.42,-2.6,-0.27,,,-1.47,1.33,,0.44,0.36,0.6233333333333333,0.04,0.07666666666666667,,-4.71,,,,-0.26,-0.54,-0.17,-0.04,,0.19,-2.53,-0.68,2.25,2.15,-0.65,-0.59,-0.17,-0.02,0.02,0.82,,4.3,,0.12,0.03,-0.88,0.5833333333333334,,0.32,-0.05,0.19,
1947-07-01,-3.85,0.44,,-0.32666666666666666,0.53,-0.03,-0.79,-1.68,-1.32,-0.29,,,2.02,-0.17,,0.73,0.12,0.33333333333333326,0.23,0.4033333333333333,,-1.83,,,,1.52,0.06,0.12,0.0,,-0.55,0.98,-0.16,-1.27,0.65,-2.52,-0.66,0.12,0.14,-0.57,0.26,,0.94,,0.21,0.02,2.68,-0.07333333333333332,,0.52,0.14,-0.4,
1947-10-01,5.38,-0.08,,-0.3266666666666667,2.35,-0.1,1.52,-3.53,0.28,-0.67,,,5.32,-1.45,,0.8,-0.03,-0.8966666666666668,-0.29,0.22999999999999998,,10.69,,,,-0.7,-0.7,-0.04,-0.06,,1.41,0.83,-4.23,-1.5,-1.52,5.1,1.34,-0.04,0.01,1.16,0.04,,0.25,,0.13,0.04,3.98,-0.43333333333333335,,0.38,-0.12,1.1,
1948-01-01,3.96,-0.32,,-0.003333333333333336,-0.09,0.01,2.21,-1.32,3.2,1.37,,,2.31,0.31,,-0.63,0.28,-0.7200000000000001,1.36,0.4633333333333334,,6.28,,,,-1.67,0.61,0.17,0.03,,0.76,-0.13,-2.98,1.49,0.57,0.77,2.62,0.17,-0.02,1.07,0.31,,1.51,,-0.21,0.01,-0.31,0.22666666666666668,,-0.01,0.39,0.37,
1948-04-01,4.19,0.14,,0.48,0.34,-0.03,-1.69,-2.37,3.86,1.67,,,0.13,1.25,,0.86,-0.02,-0.3500000000000001,2.34,0.3033333333333333,,4.32,,,,-0.63,-0.43,-0.12,-0.05,,-0.63,-0.61,-3.0,2.28,1.28,0.33,-1.26,-0.12,0.01,-0.51,-0.09,,3.12,,0.1,-0.02,1.39,0.38999999999999996,,0.67,0.48,-0.63,
1948-07-01,1.46,0.25,,0.3133333333333333,0.68,0.0,-0.3,0.49,0.34,0.94,,,-0.54,-1.29,,0.34,0.04,0.01666666666666668,1.36,0.14,,0.92,,,,-0.81,-0.47,-0.05,0.01,,0.33,-0.19,-0.32,1.13,-0.78,1.12,0.21,-0.05,0.03,0.32,0.23,,0.37,,-0.02,0.0,-0.75,0.0,,0.42,0.5,-0.09,
1948-10-01,-2.3,0.62,,0.48666666666666664,-0.47,0.04,0.74,-0.79,-0.99,1.69,,,-0.74,1.14,,-0.95,-0.27,0.03333333333333333,2.26,0.26333333333333336,,-3.04,,,,0.2,0.4,0.23,-0.02,,0.68,1.09,-0.6,0.6,1.39,-1.31,1.0,0.23,0.03,0.52,-0.1,,1.83,,-0.23,-0.06,-1.74,0.3766666666666667,,0.57,0.27,-0.41,
1949-01-01,-6.26,0.07,,0.10999999999999999,-0.61,0.04,-1.74,2.45,-2.29,0.5,,,-3.65,0.1,,-1.12,-0.28,0.6966666666666667,1.5,0.38999999999999996,,-9.91,,,,0.4,-0.63,-0.15,-0.07,,0.5,0.57,2.85,-0.07,0.24,-3.97,-2.01,-0.15,-0.08,-1.14,0.35,,0.17,,0.09,-0.1,-1.63,0.31,,0.99,-0.21,0.18,
1949-04-01,-5.98,-0.33,,0.4066666666666667,3.0,0.06,-1.28,-0.16,-1.0,1.47,,,-1.88,0.01,,0.34,0.07,1.04,2.92,0.57,,-7.86,,,,0.18,-0.97,-0.25,-0.01,,2.77,0.47,0.02,1.0,0.13,-4.99,-1.55,-0.25,0.0,-0.34,0.37,,3.57,,-0.11,-0.06,-0.33,0.15333333333333335,,1.45,-0.26,0.28,
1949-07-01,5.01,-0.96,,-0.2733333333333334,1.67,0.04,-1.26,-1.87,0.35,-0.77,,,-0.02,-0.27,,1.14,-0.04,-0.27666666666666667,0.39,0.39999999999999997,,4.98,,,,0.55,-0.38,-0.13,0.03,,0.55,-0.13,-1.32,-0.64,-1.23,4.65,-1.77,-0.13,-0.03,-0.76,0.04,,0.15,,0.02,-0.01,1.75,-0.11333333333333333,,1.15,-0.53,0.0,
