Date,Clothing and footwear,Computers and peripheral equipment,Consumption expenditures,Durable goods,"Entertainment, literary, and artistic originals",Equipment,Exports,Federal,Final consumption expenditures of nonprofit institutions serving households (NPISHs),Financial services and insurance,Fixed investment,Food and beverages purchased for off-premises consumption,Food services and accommodations,Furnishings and durable household equipment,Gasoline and other energy goods,Goods,Government consumption expenditures and gross investment,Gross domestic product,Gross investment,Gross output of nonprofit institutions,Gross private domestic investment,Health care,Household consumption expenditures (for services),Housing and utilities,Imports,Industrial equipment,Information processing equipment,Intellectual property products,Less: Receipts from sales of goods and services by nonprofit institutions,Motor vehicles and parts,National defense,Nondefense,Nondurable goods,Nonresidential,Other,Other durable goods,Other equipment,Other nondurable goods,Other services,Personal consumption expenditures,Recreation services,Recreational goods and vehicles,Research and development,Residential,Services,Software,State and local,Structures,Transportation equipment,Transportation services
1947-01-01,44.63,,6.453,51.892,10.943,35.341,19.531,9.668,31.784,6.156,14.837,13.226,7.359,48.665,6.783,20.102666666666668,7.184,11.148,13.418333333333331,,15.866,3.407,6.67,8.041,13.931,7.874,628.474,22.342,,21.145,9.616,9.134,14.928,19.181,86.431,31.938,9.848,12.334,7.274,11.557,8.593,314.697,13.275,7.186,11.072333333333333,,5.186,5.236,14.487,7.292
1947-04-01,45.512,,6.338333333333334,52.369,11.096,36.836,20.977,9.555,32.047,6.202,15.396,13.261,7.375,49.32,6.975,21.375333333333334,7.166,11.3,13.450333333333333,,16.473,3.48,6.706,8.083,14.912,8.228,650.591,22.569,,21.162,9.572,8.691,15.074,19.763,89.472,32.307,10.607,12.44,7.319,11.649,8.612,318.534,13.363,7.584,10.873,,5.268,5.303,14.694,7.271
1947-07-01,45.948,,6.378666666666667,52.662,11.419,37.664,22.045,9.169,33.329,6.404,15.781,13.544,7.524,49.807,7.188,22.403666666666666,7.029,11.478,14.628666666666666,,17.022,3.669,6.863,8.243,15.711,8.39,662.84,23.036,,21.482,8.825,9.752,15.346,20.284,91.157,31.649,10.998,12.604,7.517,11.866,8.775,317.415,13.54,7.751,10.835333333333333,,5.38,5.489,14.911,7.274
1947-10-01,46.862,,6.5,53.348,11.726,38.013,22.589,9.184,34.164,6.507,16.105,14.033,7.782,50.461,7.513,23.128,7.118,11.714,14.419666666666666,,17.227,3.749,7.018,8.475,16.247,8.639,667.298,23.561,,21.792,8.82,9.905,15.81,20.652,91.77,31.852,10.74,12.834,7.62,12.162,8.941,322.419,13.804,7.943,10.883666666666665,,5.552,5.673,15.212,7.293
1948-01-01,47.826,,6.441333333333334,53.756,11.446,37.805,22.732,9.259,34.577,6.526,16.265,14.17,7.841,50.767,7.857,23.42533333333333,7.252,11.849,14.506,,17.448,3.725,7.058,8.551,16.626,8.559,659.381,23.622,,22.03,9.04,9.304,16.07,20.762,90.681,31.86,10.644,13.024,7.678,12.297,8.844,326.079,14.154,8.085,11.063666666666668,,5.757,5.824,15.264,7.359
1948-04-01,48.6,,6.461333333333333,54.461,11.644,38.916,22.61,9.336,35.215,6.608,16.62,14.234,7.87,51.422,8.066,23.464333333333332,7.35,11.989,14.707666666666666,,17.823,3.764,7.125,8.606,16.682,8.723,663.381,24.015,,22.297,9.187,9.143,16.23,21.343,91.231,32.194,11.349,13.14,7.767,12.424,8.944,331.949,14.388,8.173,11.136333333333333,,5.883,5.984,15.458,7.555
1948-07-01,48.881,,6.530333333333334,56.356,11.905,40.532,22.343,9.433,35.833,6.72,17.124,14.325,7.925,52.131,8.209,23.375,7.497,12.198,15.182333333333334,,18.313,3.818,7.232,8.68,16.518,9.164,670.144,24.361,,24.034,9.327,9.116,16.388,22.074,92.161,32.457,11.829,13.412,7.871,12.614,9.139,341.127,14.508,8.36,11.204,,6.094,6.138,16.134,8.005
1948-10-01,48.886,,6.558333333333334,56.459,11.791,41.266,21.997,9.439,35.842,6.742,17.309,14.003,7.773,52.28,8.268,23.019666666666666,7.543,12.193,15.087333333333333,,18.418,3.804,7.259,8.756,16.253,9.457,673.278,24.254,,23.839,9.367,9.025,16.218,22.373,92.592,32.659,11.781,13.428,7.902,12.574,9.268,347.675,14.512,8.405,11.216999999999999,,6.188,6.195,16.685,8.328
1949-01-01,47.758,,6.779,56.269,11.989,41.205,21.608,9.735,35.528,6.725,17.278,13.808,7.697,51.441,8.242,22.58366666666667,7.658,12.153,15.203333333333333,,18.363,3.807,7.256,8.836,15.887,9.515,673.35,24.189,,23.938,9.538,9.668,15.971,22.22,92.602,32.744,11.707,13.222,7.917,12.475,9.05,350.593,14.213,8.471,11.153666666666666,,6.123,6.09,16.622,8.287
1949-04-01,46.78,,6.768000000000001,55.9,11.986,41.451,21.206,9.726,35.53,6.739,17.254,13.669,7.654,50.43,8.23,22.221,7.608,12.078,15.074333333333334,,18.33,3.826,7.272,8.867,15.722,9.486,669.518,24.111,,24.004,9.51,9.717,15.766,22.186,92.075,32.625,11.948,12.989,7.945,12.399,9.178,350.742,14.114,8.461,11.149333333333333,,6.027,6.006,16.674,8.288
