Date,Change in private inventories,Clothing and footwear,Computers and peripheral equipment,Consumption expenditures,Durable goods,"Entertainment, literary, and artistic originals",Equipment,Exports,Farm,Federal,Final consumption expenditures of nonprofit institutions serving households (NPISHs),Financial services and insurance,Fixed investment,Food and beverages purchased for off-premises consumption,Food services and accommodations,Furnishings and durable household equipment,Gasoline and other energy goods,Goods,Government consumption expenditures and gross investment,Gross domestic product,Gross investment,Gross output of nonprofit institutions,Gross private domestic investment,Health care,Household consumption expenditures (for services),Housing and utilities,Imports,Industrial equipment,Information processing equipment,Intellectual property products,Less: Receipts from sales of goods and services by nonprofit institutions,Motor vehicles and parts,National defense,Net exports of goods and services,Nondefense,Nondurable goods,Nonfarm,Nonresidential,Other,Other durable goods,Other equipment,Other nondurable goods,Other services,Personal consumption expenditures,Recreation services,Recreational goods and vehicles,Research and development,Residential,Services,Software,State and local,Structures,Transportation equipment,Transportation services
1947-01-01,495.0,17623.0,,11775.333333333334,20722.0,993.0,14927.0,18394.0,-1144.0,26956.0,,,35359.0,39079.0,,8844.0,6415.0,38978.0,40274.0,243164.0,1649.3333333333333,,35854.0,,,,7519.0,4718.0,1709.0,2002.0,,6319.0,22790.0,10875.0,4166.0,74872.0,1639.0,24818.0,1709.0,2749.0,3815.0,11755.0,,156161.0,,2809.0,1009.0,10541.0,21713.333333333332,,13318.0,7889.0,4684.0,
1947-04-01,-1240.0,17754.0,,11673.333333333334,21351.0,966.0,15226.0,19497.0,-2720.0,26424.0,,,35744.0,39964.0,,9234.0,6822.0,40424.0,40138.0,245968.0,1705.6666666666667,,34505.0,,,,8203.0,4585.0,1664.0,1998.0,,6437.0,21105.0,11294.0,5319.0,76897.0,1480.0,25171.0,1664.0,2768.0,4116.0,12358.0,,160031.0,,2913.0,1032.0,10573.0,22153.0,,13714.0,7947.0,4861.0,
1947-07-01,-2917.0,18215.0,,11089.666666666666,21770.0,977.0,15044.0,19433.0,-2476.0,25038.0,,,37827.0,40652.0,,9767.0,7103.0,41013.0,39361.0,249585.0,2031.0,,34911.0,,,,7663.0,4709.0,1770.0,2037.0,,6181.0,19985.0,11770.0,5053.0,78649.0,-441.0,25361.0,1770.0,2800.0,3890.0,12678.0,,163543.0,,3022.0,1060.0,12466.0,22533.333333333332,,14324.0,8280.0,4675.0,
1947-10-01,1456.0,18558.0,,10983.333333333334,23488.0,937.0,16067.0,17636.0,-824.0,24525.0,,,41794.0,41073.0,,10383.0,7408.0,41583.0,39534.0,259745.0,2195.3333333333335,,43250.0,,,,8347.0,4383.0,1749.0,2041.0,,7139.0,20410.0,9289.0,4115.0,79965.0,2280.0,26540.0,1749.0,2828.0,4491.0,12927.0,,167672.0,,3137.0,1104.0,15254.0,22968.666666666668,,15009.0,8432.0,5444.0,
1948-01-01,3626.0,18761.0,,11113.0,23547.0,921.0,17334.0,16917.0,1260.0,25350.0,,,43576.0,41553.0,,10015.0,7927.0,42336.333333333336,40875.0,265742.0,2512.3333333333335,,47202.0,,,,9624.0,4714.0,1831.0,2064.0,,7694.0,20685.0,7293.0,4666.0,81546.0,2366.0,28231.0,1831.0,2822.0,5099.0,13305.0,,170372.0,,3017.0,1143.0,15345.0,23301.333333333332,,15525.0,8833.0,5690.0,
1948-04-01,5859.0,19184.0,,11546.0,24019.0,919.0,16658.0,15241.0,2832.0,26585.0,,,44477.0,42455.0,,10690.0,8155.0,42612.0,42884.0,272567.0,2748.6666666666665,,50336.0,,,,10036.0,4504.0,1759.0,2065.0,,7347.0,20555.0,5205.0,6030.0,83169.0,3027.0,28050.0,1759.0,2859.0,5069.0,13375.0,,174142.0,,3123.0,1147.0,16427.0,23861.0,,16299.0,9327.0,5326.0,
1948-07-01,7152.0,19477.0,,11960.333333333334,25277.0,941.0,17130.0,15405.0,3420.0,27485.0,,,45365.0,41763.0,,11047.0,8383.0,43192.333333333336,44660.0,279196.0,2926.0,,52516.0,,,,10456.0,4396.0,1738.0,2097.0,,8146.0,20716.0,4949.0,6769.0,83465.0,3732.0,29081.0,1738.0,2894.0,5499.0,13843.0,,177072.0,,3190.0,1156.0,16283.0,24451.666666666668,,17174.0,9854.0,5497.0,
1948-10-01,5997.0,19915.0,,12412.666666666666,24971.0,963.0,17998.0,14625.0,3140.0,28744.0,,,45337.0,41580.0,,10404.0,8345.0,42848.333333333336,46603.0,280366.0,3122.0,,51334.0,,,,10124.0,4825.0,1909.0,2072.0,,8554.0,21593.0,4501.0,7150.0,83686.0,2857.0,30160.0,1909.0,2921.0,5849.0,13846.0,,177928.0,,3091.0,1109.0,15177.0,24710.666666666668,,17859.0,10090.0,5415.0,
1949-01-01,388.0,19483.0,,12777.666666666666,24436.0,1006.0,16826.0,16082.0,-204.0,30182.0,,,42752.0,41046.0,,9456.0,8245.0,42669.0,48585.0,275034.0,3417.3333333333335,,43140.0,,,,9604.0,4426.0,1809.0,2021.0,,8935.0,22461.0,6478.0,7720.0,82731.0,592.0,28583.0,1809.0,2855.0,5059.0,13958.0,,176831.0,,3189.0,1015.0,14169.0,24836.666666666668,,18403.0,9736.0,5531.0,
1949-04-01,-5148.0,18844.0,,13028.666666666666,26389.0,1045.0,16090.0,15647.0,-1152.0,31243.0,,,41389.0,40631.0,,9511.0,8358.0,42767.333333333336,50381.0,271351.0,3765.0,,36241.0,,,,9364.0,3761.0,1634.0,2008.0,,10886.0,22753.0,6283.0,8490.0,81894.0,-3996.0,27476.0,1634.0,2831.0,4941.0,14061.0,,178446.0,,3161.0,964.0,13913.0,25051.666666666668,,19138.0,9377.0,5754.0,
1949-07-01,-1307.0,17835.0,,12810.333333333334,27313.0,1069.0,15176.0,14115.0,-884.0,30476.0,,,40856.0,39994.0,,10237.0,8348.0,42024.333333333336,50356.0,272889.0,3974.6666666666665,,39549.0,,,,8936.0,3469.0,1544.0,2021.0,,11123.0,22546.0,5179.0,7930.0,80255.0,-423.0,26112.0,1544.0,2721.0,4451.0,14078.0,,177806.0,,3233.0,952.0,14744.0,24928.0,,19880.0,8915.0,5713.0,
1949-10-01,-4699.0,18289.0,,12707.0,28356.0,1132.0,14836.0,12091.0,-172.0,29790.0,,,42167.0,39745.0,,11043.0,8421.0,42096.333333333336,49910.0,270627.0,3929.6666666666665,,37468.0,,,,9092.0,3236.0,1525.0,2108.0,,11168.0,21602.0,2999.0,8188.0,80949.0,-4527.0,25628.0,1525.0,2762.0,4261.0,14494.0,,180249.0,,3383.0,976.0,16538.0,25047.666666666668,,20121.0,8684.0,5814.0,
1950-01-01,2024.0,18164.0,,12758.666666666666,29335.0,1110.0,15130.0,11704.0,-140.0,28544.0,,,44725.0,40231.0,,10777.0,8472.0,42536.0,48956.0,280828.0,3560.3333333333335,,46749.0,,,,9501.0,3544.0,1607.0,2181.0,,11997.0,20890.0,2203.0,7654.0,81465.0,2164.0,26386.0,1607.0,2759.0,4418.0,14598.0,,182920.0,,3802.0,1071.0,18339.0,25505.666666666668,,20412.0,9075.0,5560.0,
1950-04-01,2833.0,18510.0,,12851.0,29799.0,1075.0,17114.0,11872.0,-1332.0,28924.0,,,49458.0,40699.0,,10533.0,8811.0,43382.333333333336,49643.0,290383.0,3697.0,,52291.0,,,,10229.0,4292.0,1822.0,2239.0,,12661.0,20950.0,1643.0,7973.0,82788.0,4165.0,28855.0,1822.0,2814.0,5082.0,14768.0,,186806.0,,3792.0,1164.0,20603.0,26253.333333333332,,20720.0,9502.0,5918.0,
1950-07-01,4177.0,19636.0,,12671.0,37355.0,1051.0,19343.0,12293.0,480.0,28428.0,,,54465.0,42135.0,,14109.0,9142.0,48210.333333333336,49746.0,308153.0,3911.0,,58641.0,,,,13033.0,4566.0,1878.0,2298.0,,15521.0,22696.0,-740.0,5732.0,86632.0,3697.0,31910.0,1878.0,3012.0,5498.0,15720.0,,200505.0,,4713.0,1247.0,22555.0,27066.666666666668,,21319.0,10269.0,7401.0,
1950-10-01,14044.0,19408.0,,13798.0,33292.0,1038.0,19609.0,13531.0,652.0,31776.0,,,54397.0,42574.0,,11782.0,9031.0,47356.0,53713.0,319945.0,4106.333333333333,,68441.0,,,,13685.0,5506.0,2056.0,2328.0,,14424.0,26061.0,-154.0,5715.0,86652.0,13392.0,32919.0,2056.0,2939.0,5226.0,15638.0,,197946.0,,4147.0,1289.0,21478.0,27698.0,,21937.0,10982.0,6821.0,
1951-01-01,10386.0,20542.0,,15713.0,35638.0,993.0,19383.0,15043.0,1172.0,39574.0,,,54196.0,45251.0,,13823.0,9499.0,50628.333333333336,62033.0,336000.0,4965.0,,64582.0,,,,14866.0,5073.0,1979.0,2289.0,,14309.0,33539.0,177.0,6035.0,91966.0,9214.0,33139.0,1979.0,3127.0,5396.0,16675.0,,209207.0,,4379.0,1296.0,21057.0,29077.333333333332,,22460.0,11467.0,6935.0,
1951-04-01,14792.0,20097.0,,17205.666666666668,30735.0,969.0,19672.0,17121.0,944.0,46602.0,,,52591.0,45574.0,,11629.0,9408.0,49509.333333333336,69821.0,344090.0,6067.666666666667,,67383.0,,,,15178.0,5550.0,2106.0,2301.0,,12111.0,40264.0,1943.0,6338.0,91445.0,13848.0,34124.0,2106.0,3082.0,5387.0,16367.0,,204942.0,,3914.0,1332.0,18467.0,29571.333333333332,,23220.0,12151.0,6629.0,
1951-07-01,9740.0,20529.0,,18968.666666666668,30193.0,979.0,20198.0,18052.0,768.0,54303.0,,,52241.0,46253.0,,11830.0,9584.0,49756.0,78046.0,351385.0,7046.666666666667,,61981.0,,,,14310.0,6089.0,2251.0,2365.0,,11173.0,48081.0,3742.0,6222.0,93171.0,8972.0,34843.0,2251.0,3177.0,5341.0,16805.0,,207616.0,,4012.0,1385.0,17398.0,30236.666666666668,,23743.0,12280.0,6518.0,
1951-10-01,4719.0,20745.0,,19741.666666666668,30391.0,989.0,20242.0,18180.0,1108.0,59311.0,,,52365.0,46986.0,,12182.0,9889.0,50329.666666666664,83314.0,356178.0,8029.666666666667,,57084.0,,,,13990.0,5964.0,2261.0,2482.0,,10839.0,52874.0,4190.0,6437.0,95454.0,3611.0,34642.0,2261.0,3245.0,5847.0,17834.0,,211590.0,,4124.0,1493.0,17723.0,30923.666666666668,,24003.0,11918.0,6170.0,
1952-01-01,4732.0,20439.0,,20307.333333333332,30776.0,1015.0,20418.0,18679.0,972.0,60899.0,,,53400.0,46963.0,,12067.0,9915.0,50550.0,84998.0,359820.0,8025.0,,58132.0,,,,14958.0,5965.0,2399.0,2684.0,,11242.0,53490.0,3721.0,7409.0,94762.0,3760.0,35131.0,2399.0,3253.0,5776.0,17445.0,,212969.0,,4214.0,1668.0,18269.0,31652.0,,24098.0,12029.0,6279.0,
1952-04-01,-1523.0,20770.0,,21574.333333333332,31007.0,1071.0,20821.0,16581.0,1880.0,64067.0,,,54528.0,48243.0,,11928.0,10077.0,50550.666666666664,88987.0,361030.0,8088.0,,53004.0,,,,14630.0,6538.0,2641.0,2869.0,,11517.0,56979.0,1951.0,7088.0,96601.0,-3403.0,35765.0,2641.0,3326.0,5829.0,17510.0,,217088.0,,4235.0,1798.0,18763.0,32215.666666666668,,24919.0,12075.0,5813.0,
1952-07-01,5574.0,21188.0,,22029.0,29467.0,1124.0,17671.0,15246.0,2216.0,66178.0,,,51646.0,49176.0,,12093.0,10305.0,50369.666666666664,90931.0,367701.0,8281.333333333334,,57220.0,,,,15250.0,5517.0,2241.0,3071.0,,9673.0,58675.0,-4.0,7503.0,98474.0,3358.0,32892.0,2241.0,3396.0,5069.0,17805.0,,219553.0,,4305.0,1948.0,18754.0,32980.0,,24753.0,12150.0,4844.0,
1952-10-01,5274.0,22331.0,,22706.666666666668,33723.0,1171.0,19867.0,15329.0,456.0,68116.0,,,55463.0,49293.0,,12679.0,10439.0,52626.333333333336,93418.0,380812.0,8433.0,,60737.0,,,,16342.0,5696.0,2439.0,3307.0,,12972.0,60506.0,-1013.0,7610.0,100331.0,4818.0,35816.0,2439.0,3556.0,5699.0,18268.0,,227670.0,,4516.0,2136.0,19647.0,33821.0,,25302.0,12642.0,6033.0,
