Date,Implicit price deflator for gross domestic purchases
1947-01-01,11.004
1947-04-01,11.13
1947-07-01,11.302
1947-10-01,11.587
1948-01-01,11.69
1948-04-01,11.806
1948-07-01,12.033
1948-10-01,12.074
1949-01-01,12.01
1949-04-01,11.895
1949-07-01,11.848
1949-10-01,11.857
1950-01-01,11.855
1950-04-01,11.903
1950-07-01,12.172
1950-10-01,12.414
1951-01-01,12.875
1951-04-01,12.969
1951-07-01,12.973
1951-10-01,13.113
1952-01-01,13.101
1952-04-01,13.11
1952-07-01,13.248
1952-10-01,13.276
1953-01-01,13.272
1953-04-01,13.294
1953-07-01,13.348
1953-10-01,13.376
1954-01-01,13.427
1954-04-01,13.444
1954-07-01,13.466
1954-10-01,13.503
1955-01-01,13.558
1955-04-01,13.612
1955-07-01,13.705
1955-10-01,13.839
1956-01-01,13.975
1956-04-01,14.057
1956-07-01,14.229
1956-10-01,14.285
1957-01-01,14.475
1957-04-01,14.571
1957-07-01,14.653
1957-10-01,14.658
1958-01-01,14.81
1958-04-01,14.849
1958-07-01,14.939
1958-10-01,15.01
1959-01-01,15.05
1959-04-01,15.076
1959-07-01,15.131
1959-10-01,15.19
1960-01-01,15.248
1960-04-01,15.288
1960-07-01,15.341
1960-10-01,15.387
1961-01-01,15.418
1961-04-01,15.442
1961-07-01,15.483
1961-10-01,15.526
1962-01-01,15.598
1962-04-01,15.632
1962-07-01,15.663
1962-10-01,15.698
1963-01-01,15.772
1963-04-01,15.803
1963-07-01,15.83
1963-10-01,15.962
1964-01-01,16.017
1964-04-01,16.058
1964-07-01,16.115
1964-10-01,16.182
1965-01-01,16.251
1965-04-01,16.326
1965-07-01,16.394
1965-10-01,16.518
1966-01-01,16.615
1966-04-01,16.753
1966-07-01,16.903
1966-10-01,17.036
1967-01-01,17.091
1967-04-01,17.178
1967-07-01,17.344
1967-10-01,17.533
1968-01-01,17.727
1968-04-01,17.903
1968-07-01,18.093
1968-10-01,18.348
1969-01-01,18.528
1969-04-01,18.767
1969-07-01,19.024
1969-10-01,19.271
1970-01-01,19.554
1970-04-01,19.818
1970-07-01,20.009
1970-10-01,20.281
1971-01-01,20.583
1971-04-01,20.855
1971-07-01,21.088
1971-10-01,21.273
1972-01-01,21.586
1972-04-01,21.742
1972-07-01,21.965
1972-10-01,22.245
1973-01-01,22.504
1973-04-01,22.897
1973-07-01,23.327
1973-10-01,23.827
1974-01-01,24.412
1974-04-01,25.137
1974-07-01,25.864
1974-10-01,26.582
1975-01-01,27.156
1975-04-01,27.574
1975-07-01,28.025
1975-10-01,28.485
1976-01-01,28.788
1976-04-01,29.088
1976-07-01,29.491
1976-10-01,30.0
1977-01-01,30.542
1977-04-01,31.007
1977-07-01,31.429
1977-10-01,32.117
1978-01-01,32.579
1978-04-01,33.204
1978-07-01,33.77
1978-10-01,34.42
1979-01-01,35.079
1979-04-01,35.978
1979-07-01,36.933
1979-10-01,37.787
1980-01-01,38.789
1980-04-01,39.798
1980-07-01,40.684
1980-10-01,41.676
1981-01-01,42.774
1981-04-01,43.625
1981-07-01,44.321
1981-10-01,45.079
1982-01-01,45.66
1982-04-01,46.178
1982-07-01,46.806
1982-10-01,47.273
1983-01-01,47.521
1983-04-01,47.855
1983-07-01,48.343
1983-10-01,48.641
1984-01-01,49.135
1984-04-01,49.551
1984-07-01,49.93
1984-10-01,50.272
1985-01-01,50.679
1985-04-01,51.031
1985-07-01,51.354
1985-10-01,51.736
1986-01-01,52.016
1986-04-01,52.071
1986-07-01,52.334
1986-10-01,52.645
1987-01-01,53.09
1987-04-01,53.53
1987-07-01,53.968
1987-10-01,54.406
1988-01-01,54.853
1988-04-01,55.383
1988-07-01,55.912
1988-10-01,56.441
1989-01-01,57.064
1989-04-01,57.719
1989-07-01,58.063
1989-10-01,58.52
1990-01-01,59.233
1990-04-01,59.768
1990-07-01,60.401
1990-10-01,61.108
1991-01-01,61.482
1991-04-01,61.787
1991-07-01,62.213
1991-10-01,62.598
1992-01-01,62.868
1992-04-01,63.264
1992-07-01,63.654
1992-10-01,64.048
1993-01-01,64.358
1993-04-01,64.744
1993-07-01,65.069
1993-10-01,65.394
1994-01-01,65.669
1994-04-01,66.023
1994-07-01,66.489
1994-10-01,66.832
1995-01-01,67.182
1995-04-01,67.56
1995-07-01,67.856
1995-10-01,68.141
1996-01-01,68.461
1996-04-01,68.721
1996-07-01,68.914
1996-10-01,69.351
1997-01-01,69.717
1997-04-01,69.682
1997-07-01,69.948
1997-10-01,70.145
1998-01-01,70.106
1998-04-01,70.204
1998-07-01,70.443
1998-10-01,70.658
1999-01-01,70.868
1999-04-01,71.225
1999-07-01,71.57
1999-10-01,72.055
2000-01-01,72.654
2000-04-01,73.044
2000-07-01,73.492
2000-10-01,73.902
2001-01-01,74.352
2001-04-01,74.625
2001-07-01,74.802
2001-10-01,74.881
2002-01-01,75.109
2002-04-01,75.523
2002-07-01,75.898
2002-10-01,76.369
2003-01-01,76.942
2003-04-01,77.032
2003-07-01,77.471
2003-10-01,77.934
2004-01-01,78.601
2004-04-01,79.256
2004-07-01,79.821
2004-10-01,80.608
2005-01-01,81.233
2005-04-01,81.863
2005-07-01,82.763
2005-10-01,83.57
2006-01-01,84.11
2006-04-01,84.85
2006-07-01,85.437
2006-10-01,85.572
2007-01-01,86.339
2007-04-01,87.014
2007-07-01,87.582
2007-10-01,88.277
2008-01-01,88.928
2008-04-01,89.82
2008-07-01,90.678
2008-10-01,89.867
2009-01-01,89.054
2009-04-01,89.087
2009-07-01,89.463
2009-10-01,89.971
2010-01-01,90.338
2010-04-01,90.582
2010-07-01,90.739
2010-10-01,91.319
2011-01-01,92.056
2011-04-01,92.858
2011-07-01,93.312
2011-10-01,93.506
2012-01-01,94.11
2012-04-01,94.34
2012-07-01,94.597
2012-10-01,95.175
2013-01-01,95.527
2013-04-01,95.613
2013-07-01,95.976
2013-10-01,96.447
2014-01-01,96.898
2014-04-01,97.328
2014-07-01,97.655
2014-10-01,97.675
2015-01-01,97.281
2015-04-01,97.653
2015-07-01,97.859
2015-10-01,97.725
2016-01-01,97.569
2016-04-01,98.17
2016-07-01,98.457
2016-10-01,98.885
2017-01-01,99.448
2017-04-01,99.704
2017-07-01,100.106
2017-10-01,100.723
2018-01-01,101.465
2018-04-01,102.055
2018-07-01,102.479
2018-10-01,102.879
2019-01-01,103.105
2019-04-01,103.603
2019-07-01,103.837
2019-10-01,104.154
2020-01-01,104.628
2020-04-01,104.33
2020-07-01,105.176
2020-10-01,105.808
2021-01-01,106.997
2021-04-01,108.567
2021-07-01,110.09
2021-10-01,112.001
2022-01-01,114.206
2022-04-01,116.586
2022-07-01,117.958
2022-10-01,119.016
2023-01-01,119.999
2023-04-01,120.452
2023-07-01,121.25
2023-10-01,121.772
2024-01-01,122.685
2024-04-01,123.434
2024-07-01,124.018
2024-10-01,124.692
