Date,Change in private inventories,Clothing and footwear,Computers and peripheral equipment,Consumption expenditures,Durable goods,Energy goods and services,"Entertainment, literary, and artistic originals",Equipment,Farm,Federal,Final consumption expenditures of nonprofit institutions serving households (NPISHs),Final sales of computers to domestic purchasers,Financial services and insurance,Fixed investment,Food,Food and beverages purchased for off-premises consumption,Food services and accommodations,Furnishings and durable household equipment,Gasoline and other energy goods,Goods,Government consumption expenditures and gross investment,Gross domestic purchases excluding final sales of computers to domestic purchasers,Gross domestic purchases excluding food and energy,Gross investment,Gross private domestic investment,Health care,Household consumption expenditures,Housing and utilities,Industrial equipment,Information processing equipment,Intellectual property products,Motor vehicles and parts,National defense,Nondefense,Nondurable goods,Nonfarm,Nonresidential,Other,Other durable goods,Other equipment,Other nondurable goods,Other services,Personal consumption expenditures,Recreation services,Recreational goods and vehicles,Research and development,Residential,Services,Software,State and local,Structures,Transportation equipment,Transportation services
1947-04-01,0.04,0.62,,-0.0666666666666667,0.33,,0.02,1.09,-0.01,-0.49,0.03,,0.06,2.27,,0.13,0.05,0.21,0.32,1.58,-0.12,,,0.023333333333333334,2.31,0.19,0.59,0.16,0.36,0.1,0.04,0.01,-0.16,-0.33,1.25,0.05,1.27,0.1,0.06,0.51,0.18,0.13,2.2,0.02,0.05,0.01,1.0,0.62,,0.37,0.15,0.12,-0.02
1947-07-01,0.37,0.33,,-0.5466666666666667,0.21,,0.05,0.59,0.33,-1.73,0.15,,0.24,1.54,,1.37,0.44,0.16,0.36,2.55,-1.22,,,0.13999999999999999,1.91,0.47,2.47,0.63,0.16,0.06,0.07,0.17,-2.8,1.08,2.34,0.03,1.09,0.06,-0.09,0.25,0.28,0.57,5.17,0.12,-0.03,0.03,0.45,2.62,,0.51,0.43,0.13,0.01
1947-10-01,-0.63,0.67,,0.2733333333333334,0.49,,0.04,0.27,-0.65,0.17,0.1,,0.13,1.35,,2.33,0.73,0.22,0.55,4.42,0.96,,,0.04666666666666667,0.72,0.2,2.45,0.91,0.23,0.02,0.08,0.17,0.01,0.16,3.93,0.02,0.74,0.02,0.04,-0.17,0.38,0.31,6.96,0.12,0.06,0.04,0.61,2.54,,0.78,0.39,0.19,0.03
1948-01-01,0.12,0.69,,0.37666666666666665,0.28,,-0.04,-0.11,0.03,0.41,0.05,,0.05,0.66,,0.47,0.16,0.09,0.57,2.3,1.31,,,0.060000000000000005,0.78,-0.03,0.71,0.3,-0.07,-0.03,0.01,0.15,0.81,-0.39,2.02,0.1,0.16,-0.03,0.01,-0.07,0.3,0.19,3.06,-0.05,0.03,0.05,0.49,0.75,,0.9,0.26,0.05,0.09
1948-04-01,0.02,0.52,,0.23333333333333336,0.45,,0.02,0.79,-0.01,0.38,0.07,,0.11,1.43,,0.15,0.08,0.19,0.38,1.71,0.92,,,0.07333333333333335,1.45,0.1,1.06,0.22,0.14,0.02,0.05,0.15,0.5,-0.13,1.26,0.03,1.13,0.02,0.04,0.51,0.2,0.26,2.84,0.07,0.07,0.03,0.3,1.13,,0.55,0.29,0.12,0.23
1948-07-01,0.01,0.19,,0.32666666666666666,1.23,,0.03,1.06,-0.01,0.45,0.07,,0.13,1.96,,0.31,0.14,0.2,0.31,2.51,1.36,,,0.13,1.97,0.12,1.57,0.28,0.34,0.03,0.04,0.89,0.47,-0.02,1.28,0.02,1.39,0.03,0.03,0.34,0.47,0.28,4.15,0.12,0.12,0.01,0.57,1.64,,0.91,0.29,0.36,0.49
1948-10-01,-0.28,0.0,,0.13,-0.02,,-0.01,0.45,-0.28,0.0,0.0,,0.03,0.59,,-1.46,-0.35,0.0,0.21,-1.18,0.4,,,0.003333333333333334,0.32,-0.05,0.41,0.28,0.21,0.01,-0.02,-0.12,0.12,-0.12,-1.16,0.0,0.49,0.01,0.01,-0.03,0.1,0.08,-0.77,0.08,0.09,-0.01,0.1,0.41,,0.4,0.06,0.26,0.35
1949-01-01,-0.02,-0.72,,0.3233333333333333,-0.24,,0.02,-0.06,0.01,1.29,-0.03,,-0.02,-0.26,,-0.9,-0.17,-0.29,0.13,-1.94,1.01,,,0.01333333333333333,-0.28,-0.02,-0.02,0.29,0.04,0.0,-0.02,0.02,0.57,0.71,-1.7,-0.03,-0.39,0.0,-0.02,-0.05,-0.21,0.03,-2.0,-0.13,0.05,-0.04,0.13,-0.06,,-0.27,-0.32,-0.04,0.0
1949-04-01,0.04,-0.66,,-0.09999999999999999,-0.26,,0.0,0.11,0.01,-0.11,0.0,,0.02,-0.25,,-0.66,-0.11,-0.29,0.09,-1.73,-0.56,,,-0.08666666666666667,-0.21,0.02,0.25,0.12,-0.03,-0.02,-0.02,0.0,-0.13,0.02,-1.47,0.02,-0.19,-0.02,-0.03,0.14,-0.24,0.07,-1.49,0.08,0.07,-0.02,-0.06,0.25,,-0.45,-0.28,0.01,0.03
1949-07-01,0.11,-0.57,,-0.08666666666666667,-0.37,,0.0,-0.12,0.03,-0.48,0.01,,0.05,-0.86,,-0.73,-0.12,-0.08,0.02,-1.66,-0.57,,,-0.10000000000000002,-0.75,0.01,0.36,0.16,-0.06,-0.01,-0.01,-0.23,-0.24,-0.24,-1.29,0.08,-0.29,-0.01,-0.14,0.03,-0.02,0.13,-1.29,0.06,0.08,-0.01,-0.57,0.37,,-0.09,-0.16,-0.08,0.06
1949-10-01,0.02,-0.46,,0.19000000000000003,0.22,,-0.01,-0.33,0.0,0.69,0.01,,0.08,-0.41,,-0.36,-0.01,0.07,-0.06,-0.64,0.45,,,-0.03333333333333333,-0.39,0.02,0.73,0.29,-0.11,0.02,0.0,-0.02,0.46,0.23,-0.86,0.02,-0.4,0.02,-0.02,-0.25,0.02,0.14,0.1,0.04,0.19,0.0,-0.01,0.74,,-0.24,-0.07,0.01,0.16
1950-01-01,-0.02,-0.22,,0.0033333333333333335,0.29,,-0.02,-0.04,0.0,0.13,0.01,,0.08,-0.24,,-0.63,-0.08,0.08,-0.08,-0.47,-0.26,,,-0.09000000000000001,-0.26,0.02,0.42,0.36,0.05,0.02,0.0,0.0,0.05,0.08,-0.76,-0.02,-0.18,0.02,-0.01,-0.1,0.17,0.08,-0.04,-0.12,0.22,0.01,-0.06,0.43,,-0.39,-0.14,0.0,0.07
1950-04-01,-0.01,0.02,,-0.09000000000000001,0.54,,0.01,0.33,-0.01,-0.62,0.01,,0.01,0.89,,0.4,0.15,0.27,-0.02,1.12,-0.48,,,-0.06666666666666667,0.87,0.01,0.44,0.15,0.08,-0.03,0.03,0.12,-0.22,-0.41,0.58,-0.01,0.26,-0.03,0.01,0.2,0.18,0.01,1.56,0.07,0.14,0.02,0.63,0.45,,0.15,-0.1,0.08,0.03
1950-07-01,0.12,0.61,,0.29,0.7,,0.03,0.51,0.01,0.4,0.08,,0.07,1.96,,1.83,0.52,0.58,0.21,4.03,1.2,,,0.11333333333333334,2.08,0.13,1.58,0.3,0.25,0.03,0.07,-0.02,0.63,-0.23,3.33,0.11,0.85,0.03,0.01,0.2,0.68,0.29,5.7,0.1,0.12,0.03,1.1,1.66,,0.79,0.27,0.03,0.17
