Date,Equals: Gross national product,Equals: Net national product,General government,Government,Government enterprises,Gross domestic product (GDP),Less: Consumption of fixed capital,Less: Income payments to the rest of the world,Net domestic product,Net domestic purchases,Plus: Income receipts from the rest of the world,Private
1947-04-01,-0.9,-0.8,-16.0,-15.5,2.2,-1.0,-2.3,-10.3,-0.9,-0.2,14.8,7.9
1947-07-01,-0.8,-0.7,-15.3,-14.8,2.5,-0.8,-1.4,-13.1,-0.8,-0.7,-5.4,8.2
1947-10-01,6.5,7.5,-14.5,-13.9,2.9,6.4,-0.6,91.4,7.4,13.1,44.8,8.4
1948-01-01,6.3,7.1,-13.6,-13.0,3.1,6.2,0.3,-22.1,6.9,10.7,24.6,8.7
1948-04-01,6.9,7.7,-12.6,-12.0,3.3,6.8,0.5,1.9,7.6,11.5,18.7,7.8
1948-07-01,2.3,2.5,-11.6,-10.9,3.7,2.3,0.7,94.6,2.6,2.8,22.9,7.1
1948-10-01,0.4,0.4,-10.5,-9.9,3.9,0.5,0.8,-40.2,0.4,1.0,-14.1,6.3
1949-01-01,-5.5,-6.3,-9.3,-8.7,4.1,-5.4,0.8,80.4,-6.2,-9.4,3.9,5.7
1949-04-01,-1.4,-1.7,-9.0,-8.4,4.3,-1.4,1.1,-11.2,-1.7,-1.7,-12.2,5.5
1949-07-01,4.1,4.5,-8.7,-8.0,4.6,4.2,1.2,13.2,4.6,6.4,-6.2,5.5
1949-10-01,-3.5,-4.1,-8.3,-7.7,4.8,-3.3,1.4,3.8,-3.9,-0.7,-24.6,5.4
1950-01-01,16.7,18.9,-7.9,-7.2,5.2,16.7,1.6,18.6,18.8,19.9,27.1,5.4
1950-04-01,12.8,14.3,-6.3,-5.8,5.2,12.7,2.1,10.5,14.2,15.0,22.2,5.3
1950-07-01,16.7,18.6,-4.5,-4.0,5.2,16.4,2.7,11.3,18.2,22.1,73.0,5.4
1950-10-01,7.8,8.4,-2.7,-2.3,5.2,7.9,3.3,5.9,8.5,7.0,-0.2,5.3
1951-01-01,5.4,5.6,-0.7,-0.4,5.2,5.5,3.8,30.4,5.8,4.8,-5.2,5.3
1951-04-01,7.5,7.9,2.3,2.4,5.4,7.1,4.2,2.7,7.5,4.7,66.5,4.8
1951-07-01,8.6,9.1,5.2,5.2,5.4,8.5,4.6,-6.8,9.0,6.7,10.8,4.3
1951-10-01,1.0,0.6,8.1,7.9,5.6,0.9,4.9,-2.7,0.4,0.2,18.6,3.8
1952-01-01,4.2,4.0,10.8,10.5,5.8,4.3,5.2,-14.5,4.2,5.1,-21.2,3.3
1952-04-01,0.9,0.3,10.7,10.4,5.6,0.8,5.5,33.5,0.3,2.9,10.7,3.7
1952-07-01,2.8,2.5,10.6,10.2,5.6,2.9,5.7,4.0,2.6,5.4,-4.6,4.1
1952-10-01,13.7,14.6,10.4,10.1,5.3,13.8,6.0,16.0,14.8,16.5,-2.8,4.5
1953-01-01,7.5,7.7,10.3,10.0,5.2,7.7,6.3,-6.5,7.8,7.6,-7.8,4.9
1953-04-01,3.3,2.9,9.5,9.2,4.9,3.1,6.0,-2.5,2.8,3.6,19.3,4.8
1953-07-01,-2.5,-3.4,8.8,8.5,4.6,-2.2,5.7,13.9,-3.2,-3.9,-26.6,4.7
1953-10-01,-5.9,-7.2,8.2,7.9,4.3,-5.9,5.5,22.2,-7.3,-7.6,9.0,4.5
1954-01-01,-1.7,-2.6,7.6,7.4,4.1,-1.9,5.3,-13.0,-2.8,-3.1,20.5,4.4
1954-04-01,0.4,-0.2,6.5,6.3,4.2,0.4,5.0,-2.0,-0.2,-1.0,-2.4,4.5
1954-07-01,4.6,4.6,5.5,5.5,4.3,4.6,4.8,-5.6,4.6,4.0,1.8,4.6
1954-10-01,8.3,8.8,4.7,4.6,4.4,8.1,4.6,0.8,8.5,7.8,45.2,4.7
1955-01-01,11.9,12.9,3.7,3.8,4.4,11.9,4.5,12.5,13.0,13.4,9.5,4.7
1955-04-01,6.6,6.9,3.6,3.7,4.4,6.7,4.5,38.7,6.9,8.5,4.0,4.8
1955-07-01,5.5,5.6,3.6,3.6,4.5,5.5,4.6,8.0,5.6,4.7,5.6,4.9
1955-10-01,2.5,2.2,3.5,3.6,4.5,2.4,4.6,-1.8,2.1,2.7,6.4,5.0
1956-01-01,-1.3,-2.0,3.4,3.5,4.5,-1.5,4.6,4.4,-2.3,-2.5,40.2,5.1
1956-04-01,3.3,3.1,3.7,3.8,4.6,3.3,4.5,-10.7,3.2,1.7,-6.4,4.8
1956-07-01,-0.3,-0.9,4.0,4.0,4.6,-0.3,4.4,20.3,-1.0,-1.6,13.5,4.5
1956-10-01,6.3,6.6,4.3,4.3,4.7,6.8,4.3,1.8,7.1,5.1,-32.8,4.3
1957-01-01,3.0,2.8,4.5,4.5,4.7,2.6,4.2,1.1,2.4,2.4,66.3,4.1
1957-04-01,-0.7,-1.4,4.5,4.5,4.8,-0.9,4.5,-2.8,-1.6,-0.7,25.0,4.5
1957-07-01,3.8,3.7,4.4,4.5,4.8,4.0,4.8,9.9,3.9,4.2,-10.9,4.9
1957-10-01,-4.6,-5.9,4.4,4.5,4.9,-4.1,5.0,2.4,-5.3,-4.7,-50.0,5.3
1958-01-01,-9.9,-11.9,4.4,4.5,4.9,-10.0,5.4,9.6,-12.1,-9.9,11.9,5.7
