Date,Equals: Gross national product,Equals: Net national product,General government,Government,Government enterprises,Gross domestic product,Less: Consumption of fixed capital,Less: Income payments to the rest of the world,Net domestic product,Net domestic purchases,Plus: Income receipts from the rest of the world,Private
1947-01-01,11.036,12.032,21.214,19.571,6.433,11.129,6.699,0.598,12.159,11.311,1.484,4.538
1947-04-01,11.01,12.008,20.307,18.765,6.468,11.1,6.66,0.582,12.132,11.305,1.536,4.625
1947-07-01,10.987,11.986,19.48,18.03,6.508,11.077,6.636,0.562,12.109,11.284,1.515,4.717
1947-10-01,11.162,12.204,18.73,17.366,6.554,11.25,6.626,0.661,12.327,11.637,1.662,4.813
1948-01-01,11.335,12.416,18.06,16.774,6.604,11.42,6.631,0.621,12.535,11.937,1.756,4.914
1948-04-01,11.525,12.649,17.463,16.248,6.658,11.609,6.64,0.624,12.767,12.265,1.833,5.007
1948-07-01,11.591,12.728,16.934,15.784,6.718,11.675,6.651,0.737,12.848,12.351,1.93,5.094
1948-10-01,11.604,12.741,16.47,15.377,6.782,11.689,6.664,0.648,12.861,12.383,1.858,5.173
1949-01-01,11.442,12.537,16.071,15.029,6.851,11.528,6.678,0.751,12.657,12.08,1.876,5.245
1949-04-01,11.401,12.483,15.696,14.702,6.924,11.488,6.696,0.729,12.604,12.028,1.816,5.316
1949-07-01,11.517,12.621,15.344,14.397,7.003,11.607,6.716,0.752,12.747,12.215,1.787,5.387
1949-10-01,11.415,12.488,15.015,14.113,7.086,11.51,6.74,0.759,12.62,12.194,1.665,5.458
1950-01-01,11.865,13.041,14.708,13.85,7.176,11.963,6.767,0.792,13.176,12.761,1.768,5.53
1950-04-01,12.229,13.483,14.469,13.646,7.268,12.327,6.803,0.812,13.622,13.216,1.859,5.602
1950-07-01,12.711,14.071,14.302,13.507,7.36,12.804,6.848,0.834,14.204,13.892,2.132,5.676
1950-10-01,12.953,14.358,14.205,13.43,7.453,13.049,6.903,0.846,14.495,14.129,2.131,5.75
1951-01-01,13.124,14.555,14.18,13.418,7.548,13.226,6.967,0.904,14.7,14.297,2.103,5.825
1951-04-01,13.363,14.834,14.26,13.499,7.647,13.455,7.039,0.91,14.968,14.463,2.389,5.893
1951-07-01,13.641,15.159,14.441,13.672,7.749,13.733,7.118,0.894,15.293,14.698,2.451,5.956
1951-10-01,13.675,15.181,14.724,13.935,7.856,13.763,7.203,0.888,15.309,14.704,2.558,6.012
1952-01-01,13.815,15.331,15.108,14.288,7.968,13.91,7.295,0.854,15.468,14.889,2.41,6.061
1952-04-01,13.845,15.343,15.496,14.646,8.078,13.939,7.393,0.918,15.48,14.994,2.472,6.116
1952-07-01,13.942,15.438,15.89,15.007,8.188,14.04,7.497,0.927,15.578,15.192,2.443,6.178
1952-10-01,14.396,15.974,16.289,15.374,8.294,14.501,7.607,0.962,16.125,15.784,2.426,6.247
1953-01-01,14.66,16.274,16.695,15.746,8.399,14.771,7.724,0.946,16.431,16.076,2.377,6.322
1953-04-01,14.778,16.391,17.078,16.098,8.501,14.885,7.837,0.94,16.544,16.219,2.484,6.396
1953-07-01,14.686,16.248,17.441,16.431,8.597,14.801,7.947,0.971,16.411,16.057,2.299,6.47
1953-10-01,14.465,15.946,17.786,16.748,8.689,14.577,8.054,1.021,16.103,15.744,2.349,6.542
1954-01-01,14.403,15.842,18.113,17.048,8.777,14.507,8.158,0.986,15.99,15.622,2.461,6.613
1954-04-01,14.418,15.835,18.399,17.311,8.868,14.523,8.258,0.981,15.983,15.582,2.446,6.686
1954-07-01,14.581,16.013,18.647,17.543,8.961,14.687,8.356,0.967,16.163,15.737,2.457,6.761
1954-10-01,14.876,16.355,18.861,17.742,9.057,14.975,8.451,0.969,16.497,16.036,2.697,6.839
1955-01-01,15.3,16.859,19.034,17.907,9.155,15.402,8.544,0.998,17.007,16.547,2.759,6.918
1955-04-01,15.546,17.141,19.204,18.069,9.255,15.653,8.638,1.083,17.295,16.888,2.786,7.0
1955-07-01,15.755,17.377,19.374,18.231,9.357,15.865,8.735,1.104,17.534,17.084,2.824,7.084
1955-10-01,15.852,17.472,19.543,18.393,9.461,15.96,8.833,1.099,17.627,17.2,2.868,7.171
1956-01-01,15.802,17.384,19.709,18.552,9.566,15.898,8.933,1.111,17.524,17.093,3.121,7.26
1956-04-01,15.93,17.518,19.89,18.724,9.674,16.029,9.032,1.08,17.662,17.166,3.07,7.346
1956-07-01,15.919,17.478,20.086,18.91,9.784,16.015,9.13,1.131,17.618,17.099,3.169,7.428
1956-10-01,16.165,17.761,20.297,19.11,9.896,16.279,9.227,1.136,17.922,17.315,2.869,7.507
1957-01-01,16.286,17.886,20.523,19.323,10.01,16.383,9.323,1.139,18.027,17.416,3.258,7.583
1957-04-01,16.259,17.825,20.749,19.536,10.127,16.347,9.426,1.131,17.954,17.384,3.445,7.666
1957-07-01,16.412,17.987,20.976,19.751,10.246,16.507,9.537,1.158,18.125,17.563,3.347,7.759
1957-10-01,16.219,17.714,21.205,19.968,10.369,16.336,9.655,1.165,17.879,17.355,2.814,7.86
1958-01-01,15.803,17.161,21.437,20.187,10.494,15.912,9.782,1.192,17.314,16.909,2.894,7.97
1958-04-01,15.907,17.263,21.672,20.41,10.623,16.017,9.895,1.111,17.415,17.038,2.864,8.063
1958-07-01,16.27,17.689,21.909,20.635,10.757,16.387,9.994,1.165,17.853,17.452,2.827,8.141
