Date,Equals: Gross national product,Equals: Net national product,General government,Government,Government enterprises,Gross domestic product,Less: Consumption of fixed capital,Less: Income payments to the rest of the world,Net domestic product,Net domestic purchases,Plus: Income receipts from the rest of the world,Private
1947-01-01,11.127,10.733,11.219,10.935,8.524,11.148,13.305,10.539,10.753,10.627,9.582,13.824
1947-04-01,11.28,10.86,11.346,11.038,8.172,11.3,13.686,10.805,10.879,10.716,10.002,14.407
1947-07-01,11.459,11.01,11.668,11.359,8.582,11.478,14.123,11.089,11.027,10.843,10.347,14.892
1947-10-01,11.695,11.231,11.911,11.6,8.857,11.714,14.468,11.369,11.248,11.065,10.608,15.281
1948-01-01,11.83,11.358,11.922,11.621,9.063,11.849,14.661,11.599,11.375,11.204,10.78,15.579
1948-04-01,11.969,11.488,12.05,11.756,9.378,11.989,14.866,11.796,11.506,11.346,10.858,15.812
1948-07-01,12.176,11.689,12.361,12.073,9.856,12.198,15.111,11.901,11.708,11.556,10.859,15.988
1948-10-01,12.171,11.671,12.467,12.176,9.927,12.193,15.229,11.945,11.691,11.542,10.813,16.11
1949-01-01,12.132,11.618,12.638,12.33,9.83,12.153,15.334,11.973,11.638,11.489,10.752,16.183
1949-04-01,12.056,11.539,12.454,12.156,9.768,12.078,15.298,11.98,11.56,11.419,10.701,16.235
1949-07-01,11.97,11.45,12.272,11.976,9.599,11.991,15.25,11.983,11.47,11.338,10.674,16.267
1949-10-01,11.966,11.446,12.269,11.971,9.551,11.988,15.258,12.01,11.466,11.342,10.679,16.28
1950-01-01,11.934,11.415,12.139,11.844,9.463,11.954,15.21,12.075,11.435,11.329,10.77,16.274
1950-04-01,11.984,11.461,12.142,11.843,9.412,12.004,15.301,12.172,11.48,11.383,10.836,16.405
1950-07-01,12.232,11.703,12.396,12.103,9.782,12.254,15.572,12.322,11.723,11.635,10.928,16.669
1950-10-01,12.427,11.871,12.959,12.641,10.05,12.45,16.024,12.508,11.892,11.818,11.047,17.06
1951-01-01,12.846,12.273,13.422,13.089,10.374,12.871,16.528,12.894,12.297,12.233,11.232,17.573
1951-04-01,12.921,12.325,13.583,13.253,10.586,12.945,16.848,13.016,12.348,12.291,11.369,17.957
1951-07-01,12.963,12.35,13.729,13.397,10.717,12.987,17.077,13.057,12.372,12.312,11.483,18.219
1951-10-01,13.134,12.52,13.858,13.517,10.734,13.158,17.217,12.956,12.543,12.473,11.551,18.365
1952-01-01,13.15,12.538,13.771,13.437,10.729,13.175,17.212,12.852,12.561,12.485,11.485,18.397
1952-04-01,13.2,12.587,13.824,13.487,10.753,13.225,17.261,12.846,12.61,12.527,11.501,18.444
1952-07-01,13.3,12.684,14.019,13.684,11.004,13.325,17.371,12.861,12.707,12.615,11.529,18.505
1952-10-01,13.346,12.73,13.974,13.659,11.233,13.372,17.413,12.884,12.754,12.651,11.575,18.578
1953-01-01,13.36,12.739,13.988,13.66,11.072,13.385,17.472,13.087,12.763,12.653,11.684,18.663
1953-04-01,13.392,12.768,14.027,13.696,11.072,13.417,17.53,13.146,12.792,12.677,11.741,18.731
1953-07-01,13.442,12.824,13.837,13.538,11.32,13.467,17.508,13.166,12.847,12.731,11.786,18.782
1953-10-01,13.482,12.868,13.748,13.449,11.206,13.507,17.498,13.171,12.891,12.777,11.819,18.816
1954-01-01,13.539,12.93,13.708,13.405,11.116,13.564,17.494,13.077,12.954,12.848,11.807,18.835
1954-04-01,13.563,12.949,13.904,13.587,11.122,13.589,17.571,13.05,12.972,12.871,11.842,18.851
1954-07-01,13.552,12.934,13.948,13.634,11.225,13.577,17.598,13.042,12.957,12.861,11.894,18.865
1954-10-01,13.571,12.948,14.107,13.782,11.24,13.595,17.659,13.08,12.97,12.875,11.969,18.876
1955-01-01,13.622,13.005,14.049,13.723,11.156,13.646,17.643,13.19,13.027,12.922,12.11,18.884
1955-04-01,13.699,13.081,14.059,13.74,11.263,13.722,17.715,13.287,13.102,12.995,12.221,18.982
1955-07-01,13.793,13.161,14.323,14.001,11.53,13.816,17.933,13.386,13.183,13.073,12.331,19.166
