Date,Average of GDP and GDI,Equals: Gross national product,Equals: Net national product,General government,Government,Government enterprises,Gross domestic income (GDI),Gross domestic product (GDP),Gross national income,Less: Consumption of fixed capital,Less: Income payments to the rest of the world,Net domestic income,Net domestic product,Net domestic purchases,Plus: Income receipts from the rest of the world,Private
1947-01-01,2168894.0,2196821.0,2016021.0,101359.0,107616.0,4639.0,2155107.0,2182681.0,2169189.0,210941.0,4412.0,1973185.0,2001773.0,1923559.0,15303.0,117949.0
1947-04-01,2164684.0,2191585.0,2012114.0,97024.0,103184.0,4664.0,2152475.0,2176892.0,2167121.0,209711.0,4294.0,1971927.0,1997290.0,1922503.0,15837.0,120218.0
1947-07-01,2163701.0,2187057.0,2008331.0,93070.0,99144.0,4693.0,2154969.0,2172432.0,2169565.0,208966.0,4147.0,1975401.0,1993576.0,1918968.0,15619.0,122595.0
1947-10-01,2191064.0,2221790.0,2044854.0,89490.0,95494.0,4726.0,2175676.0,2206452.0,2190947.0,208662.0,4879.0,1997326.0,2029354.0,1978978.0,17141.0,125089.0
1948-01-01,2236850.0,2256235.0,2080502.0,86287.0,92237.0,4762.0,2234019.0,2239682.0,2250560.0,208818.0,4583.0,2057837.0,2063734.0,2030146.0,18102.0,127708.0
1948-04-01,2281230.0,2294013.0,2119498.0,83435.0,89345.0,4801.0,2285769.0,2276690.0,2303119.0,209100.0,4608.0,2111389.0,2101928.0,2085888.0,18900.0,130146.0
1948-07-01,2288721.0,2307190.0,2132775.0,80909.0,86792.0,4844.0,2287672.0,2289770.0,2305087.0,209449.0,5438.0,2112918.0,2115104.0,2100444.0,19902.0,132397.0
1948-10-01,2295869.0,2309778.0,2134959.0,78691.0,84558.0,4890.0,2299374.0,2292364.0,2316804.0,209844.0,4782.0,2124602.0,2117295.0,2105855.0,19161.0,134453.0
1949-01-01,2257298.0,2277553.0,2100747.0,76785.0,82644.0,4940.0,2253788.0,2260807.0,2270508.0,210296.0,5545.0,2076454.0,2083783.0,2054399.0,19346.0,136309.0
1949-04-01,2250266.0,2269468.0,2091609.0,74991.0,80846.0,4993.0,2247403.0,2253128.0,2263729.0,210838.0,5383.0,2069086.0,2075070.0,2045623.0,18721.0,138163.0
1949-07-01,2267973.0,2292396.0,2114711.0,73310.0,79169.0,5049.0,2259522.0,2276424.0,2275446.0,211493.0,5548.0,2080886.0,2098556.0,2077352.0,18428.0,140016.0
1949-10-01,2243195.0,2272116.0,2092520.0,71739.0,77607.0,5110.0,2229038.0,2257352.0,2243735.0,212241.0,5602.0,2048030.0,2077632.0,2073805.0,17169.0,141869.0
1950-01-01,2332225.0,2361759.0,2185086.0,70274.0,76158.0,5174.0,2318346.0,2346104.0,2333937.0,213075.0,5846.0,2140251.0,2169265.0,2170172.0,18232.0,143725.0
1950-04-01,2415802.0,2434182.0,2259296.0,69132.0,75039.0,5240.0,2413923.0,2417682.0,2430423.0,214208.0,5996.0,2238661.0,2242591.0,2247531.0,19173.0,145606.0
1950-07-01,2508563.0,2530169.0,2357746.0,68331.0,74272.0,5307.0,2505999.0,2511127.0,2525028.0,215644.0,6158.0,2333024.0,2338383.0,2362615.0,21984.0,147512.0
1950-10-01,2556623.0,2578279.0,2405794.0,67869.0,73852.0,5374.0,2554032.0,2559214.0,2573084.0,217370.0,6241.0,2380989.0,2386411.0,2402853.0,21970.0,149440.0
1951-01-01,2580591.0,2612438.0,2438864.0,67749.0,73783.0,5442.0,2567214.0,2593967.0,2585617.0,219392.0,6672.0,2392127.0,2420106.0,2431341.0,21680.0,151389.0
1951-04-01,2625704.0,2659989.0,2485638.0,68129.0,74230.0,5514.0,2612511.0,2638898.0,2633536.0,221651.0,6716.0,2436502.0,2464140.0,2459564.0,24631.0,153176.0
1951-07-01,2675776.0,2715158.0,2540127.0,68998.0,75179.0,5588.0,2658293.0,2693259.0,2680107.0,224130.0,6595.0,2481105.0,2517788.0,2499695.0,25268.0,154797.0
1951-10-01,2690417.0,2722073.0,2543690.0,70350.0,76627.0,5665.0,2681678.0,2699156.0,2704545.0,226820.0,6554.0,2501962.0,2520291.0,2500691.0,26377.0,156250.0
1952-01-01,2713673.0,2749856.0,2568864.0,72182.0,78569.0,5745.0,2699392.0,2727954.0,2721217.0,229710.0,6305.0,2516584.0,2546537.0,2532174.0,24845.0,157529.0
1952-04-01,2724616.0,2755812.0,2570880.0,74038.0,80534.0,5825.0,2715431.0,2733800.0,2737398.0,232787.0,6774.0,2529180.0,2548448.0,2549871.0,25493.0,158971.0
1952-07-01,2747146.0,2775246.0,2586761.0,75918.0,82524.0,5904.0,2740774.0,2753517.0,2762472.0,236062.0,6844.0,2551278.0,2564636.0,2583643.0,25190.0,160581.0
1952-10-01,2834453.0,2865493.0,2676633.0,77827.0,84541.0,5981.0,2824964.0,2843941.0,2846469.0,239542.0,7103.0,2634809.0,2654702.0,2684306.0,25018.0,162361.0
1953-01-01,2885957.0,2918168.0,2726822.0,79766.0,86587.0,6056.0,2875103.0,2896811.0,2896407.0,243230.0,6985.0,2682340.0,2705105.0,2733917.0,24508.0,164318.0
1953-04-01,2907155.0,2941622.0,2746519.0,81594.0,88518.0,6130.0,2895104.0,2919206.0,2917470.0,246799.0,6938.0,2698423.0,2723702.0,2758293.0,25617.0,166248.0
1953-07-01,2889530.0,2923279.0,2722534.0,83329.0,90351.0,6199.0,2876276.0,2902785.0,2896706.0,250261.0,7170.0,2673960.0,2701745.0,2730788.0,23705.0,168151.0
1953-10-01,2838677.0,2879321.0,2671874.0,84980.0,92095.0,6266.0,2818509.0,2858845.0,2838895.0,253621.0,7538.0,2608851.0,2651117.0,2677436.0,24224.0,170027.0
