Date,Command-basis gross domestic product,Command-basis gross national product,Command-basis net domestic product,Command-basis net national product,Equals: Command-basis gross domestic product,Equals: Command-basis gross national product,Equals: Gross domestic purchases,Gross domestic product,Less: Exports of goods and services,"Less: Imports of goods and services, command basis","Less: Income payments to the rest of the world, command basis",Net domestic product,Net national product,"Plus: Exports of goods and services, command basis",Plus: Imports of goods and services,"Plus: Income receipts from the rest of the world, command basis",Real gross domestic product,Real gross national product
1947-01-01,,,13.985,13.813,12.843,12.713,10.473,11.129,3.926,2.331,0.673,12.159,12.032,7.12,1.837,1.498,,
1947-04-01,0.3,0.5,14.009,13.844,12.853,12.728,10.461,11.1,3.877,2.516,0.664,12.132,12.008,7.467,1.873,1.601,-1.0,-0.9
1947-07-01,0.1,0.2,14.023,13.859,12.857,12.733,10.44,11.077,3.68,2.317,0.649,12.109,11.986,7.337,1.661,1.611,-0.8,-0.8
1947-10-01,8.0,8.1,14.334,14.17,13.106,12.983,10.724,11.25,3.263,2.472,0.767,12.327,12.204,6.522,1.75,1.776,6.4,6.5
1948-01-01,4.2,4.4,14.5,14.341,13.242,13.123,10.969,11.42,3.114,2.815,0.726,12.535,12.416,6.178,1.974,1.883,6.2,6.3
1948-04-01,5.2,5.3,14.705,14.548,13.41,13.293,11.236,11.609,2.823,2.898,0.733,12.767,12.649,5.496,2.052,1.956,6.8,6.9
1948-07-01,2.4,2.4,14.801,14.641,13.491,13.371,11.308,11.675,2.889,2.965,0.857,12.848,12.728,5.456,2.159,2.024,2.3,2.3
1948-10-01,1.7,1.7,14.87,14.708,13.549,13.428,11.336,11.689,2.788,2.872,0.757,12.861,12.741,5.18,2.124,1.941,0.5,0.4
1949-01-01,-6.2,-6.3,14.6,14.438,13.334,13.212,11.094,11.528,3.121,2.733,0.883,12.657,12.537,5.714,2.06,1.954,-5.4,-5.5
1949-04-01,-3.1,-3.1,14.467,14.305,13.231,13.108,11.056,11.488,3.094,2.68,0.862,12.604,12.483,5.592,2.03,1.893,-1.4,-1.4
1949-07-01,5.0,4.9,14.664,14.495,13.394,13.267,11.21,11.607,2.836,2.574,0.895,12.747,12.621,5.078,1.948,1.871,4.2,4.1
1949-10-01,-3.4,-3.6,14.513,14.338,13.278,13.145,11.198,11.51,2.455,2.618,0.905,12.62,12.488,4.348,1.977,1.743,-3.3,-3.5
1950-01-01,16.6,16.7,15.151,14.971,13.798,13.662,11.661,11.963,2.415,2.74,0.951,13.176,13.041,4.215,2.032,1.869,16.7,16.7
1950-04-01,12.1,12.2,15.637,15.454,14.198,14.061,12.036,12.327,2.444,2.935,0.978,13.622,13.483,4.254,2.144,1.967,12.7,12.8
1950-07-01,16.4,16.7,16.305,16.126,14.747,14.614,12.591,12.804,2.507,3.661,0.995,14.204,14.071,4.312,2.646,2.226,16.4,16.7
1950-10-01,8.6,8.5,16.67,16.483,15.053,14.915,12.793,13.049,2.71,3.779,1.007,14.495,14.358,4.666,2.651,2.211,7.9,7.8
1951-01-01,6.1,5.9,16.93,16.733,15.278,15.131,12.941,13.226,2.846,3.967,1.073,14.7,14.555,5.013,2.651,2.144,5.5,5.4
1951-04-01,7.2,7.6,17.243,17.059,15.546,15.411,13.089,13.455,3.126,4.025,1.083,14.968,14.834,5.669,2.563,2.45,7.1,7.5
1951-07-01,7.5,7.6,17.572,17.389,15.829,15.694,13.295,13.733,3.203,3.784,1.064,15.293,15.159,5.96,2.346,2.531,8.5,8.6
