Date,Command-basis net domestic product,Command-basis net national product,Equals: Command-basis gross domestic product,Equals: Command-basis gross national product,Equals: Gross domestic purchases,Gross domestic product,Less: Exports of goods and services,"Less: Imports of goods and services, command basis","Less: Income payments to the rest of the world, command basis",Net domestic product,Net national product,"Plus: Exports of goods and services, command basis",Plus: Imports of goods and services,"Plus: Income receipts from the rest of the world, command basis"
1947-01-01,2024039.0,2033242.0,2207925.0,2216805.0,2110969.0,2182681.0,93767.0,68272.0,4231.0,2001773.0,2016021.0,167017.0,53861.0,13111.0
1947-04-01,2027513.0,2037731.0,2209553.0,2219389.0,2108470.0,2176892.0,92584.0,73688.0,4177.0,1997290.0,2012114.0,175144.0,54898.0,14014.0
1947-07-01,2029525.0,2039955.0,2210331.0,2220347.0,2104181.0,2172432.0,87885.0,67864.0,4083.0,1993576.0,2008331.0,172099.0,48687.0,14099.0
1947-10-01,2074527.0,2085697.0,2253125.0,2263847.0,2161460.0,2206452.0,77928.0,72405.0,4823.0,2029354.0,2044854.0,152981.0,51312.0,15544.0
1948-01-01,2098542.0,2110957.0,2276411.0,2288327.0,2210816.0,2239682.0,74373.0,82442.0,4566.0,2063734.0,2080502.0,144915.0,57862.0,16481.0
1948-04-01,2128303.0,2141338.0,2305368.0,2317878.0,2264672.0,2276690.0,67420.0,84884.0,4610.0,2101928.0,2119498.0,128908.0,60156.0,17119.0
1948-07-01,2142238.0,2155072.0,2319229.0,2331548.0,2279093.0,2289770.0,69005.0,86856.0,5391.0,2115104.0,2132775.0,127966.0,63297.0,17710.0
1948-10-01,2152228.0,2164973.0,2329269.0,2341490.0,2284786.0,2292364.0,66573.0,84110.0,4760.0,2117295.0,2134959.0,121504.0,62270.0,16981.0
1949-01-01,2113133.0,2125197.0,2292288.0,2303839.0,2236042.0,2260807.0,74540.0,80045.0,5551.0,2083783.0,2100747.0,134037.0,60402.0,17103.0
1949-04-01,2093908.0,2105547.0,2274534.0,2285674.0,2228304.0,2253128.0,73902.0,78491.0,5423.0,2075070.0,2091609.0,131157.0,59521.0,16563.0
1949-07-01,2122401.0,2133629.0,2302601.0,2313342.0,2259498.0,2276424.0,67729.0,75401.0,5628.0,2098556.0,2114711.0,119100.0,57095.0,16369.0
1949-10-01,2100488.0,2110477.0,2282583.0,2292139.0,2257063.0,2257352.0,58631.0,76686.0,5693.0,2077632.0,2092520.0,101981.0,57955.0,15249.0
1950-01-01,2192805.0,2203644.0,2371973.0,2382345.0,2350375.0,2346104.0,57665.0,80249.0,5980.0,2169265.0,2185086.0,98856.0,59575.0,16352.0
1950-04-01,2263232.0,2274793.0,2440788.0,2451849.0,2425848.0,2417682.0,58361.0,85979.0,6153.0,2242591.0,2259296.0,99789.0,62863.0,17214.0
1950-07-01,2359903.0,2373714.0,2535121.0,2548341.0,2537815.0,2511127.0,59875.0,107220.0,6261.0,2338383.0,2357746.0,101132.0,77573.0,19481.0
1950-10-01,2412643.0,2426258.0,2587767.0,2600780.0,2578494.0,2559214.0,64728.0,110686.0,6333.0,2386411.0,2405794.0,109441.0,77719.0,19347.0
1951-01-01,2450369.0,2462934.0,2626425.0,2638440.0,2608309.0,2593967.0,67963.0,116204.0,6746.0,2420106.0,2438864.0,117587.0,77724.0,18760.0
1951-04-01,2495654.0,2510973.0,2672564.0,2687189.0,2638182.0,2638898.0,74651.0,117888.0,6812.0,2464140.0,2485638.0,132980.0,75148.0,21437.0
1951-07-01,2543287.0,2559500.0,2721202.0,2736660.0,2679709.0,2693259.0,76485.0,110820.0,6691.0,2517788.0,2540127.0,139799.0,68784.0,22148.0
1951-10-01,2542567.0,2559820.0,2724083.0,2740542.0,2684196.0,2699156.0,75767.0,106997.0,6516.0,2520291.0,2543690.0,139043.0,66985.0,22975.0
