Date,Terms of trade index,"Terms of trade, goods","Terms of trade, nonpetroleum goods",Trading gains index
1947-01-01,140.193,,,101.226
1947-04-01,140.667,,,101.507
1947-07-01,140.318,,,101.65
1947-10-01,139.037,,,101.612
1948-01-01,136.725,,,101.499
1948-04-01,135.534,,,101.4
1948-07-01,135.268,,,101.322
1948-10-01,135.338,,,101.296
1949-01-01,136.008,,,101.294
1949-04-01,134.879,,,101.238
1949-07-01,133.321,,,101.178
1949-10-01,131.381,,,101.109
1950-01-01,126.87,,,100.969
1950-04-01,124.474,,,100.9
1950-07-01,121.7,,,100.811
1950-10-01,118.437,,,100.698
1951-01-01,115.839,,,100.606
1951-04-01,113.933,,,100.548
1951-07-01,113.951,,,100.578
1951-10-01,115.352,,,100.637
1952-01-01,117.255,,,100.68
1952-04-01,118.818,,,100.731
1952-07-01,120.701,,,100.795
1952-10-01,122.542,,,100.86
1953-01-01,124.114,,,100.913
1953-04-01,125.123,,,100.947
1953-07-01,125.289,,,100.954
1953-10-01,124.743,,,100.936
1954-01-01,122.75,,,100.871
1954-04-01,121.751,,,100.837
1954-07-01,120.741,,,100.804
1954-10-01,120.623,,,100.8
1955-01-01,122.505,,,100.861
1955-04-01,122.957,,,100.877
1955-07-01,123.349,,,100.889
1955-10-01,123.823,,,100.905
1956-01-01,124.431,,,100.925
1956-04-01,124.756,,,100.936
1956-07-01,125.411,,,100.958
1956-10-01,125.678,,,100.971
1957-01-01,126.862,,,101.013
1957-04-01,127.73,,,101.043
1957-07-01,128.86,,,101.077
1957-10-01,129.993,,,101.108
1958-01-01,131.853,,,101.159
1958-04-01,132.713,,,101.186
1958-07-01,132.865,,,101.19
1958-10-01,132.826,,,101.189
1959-01-01,131.826,,,101.156
1959-04-01,131.429,,,101.142
1959-07-01,131.917,,,101.159
1959-10-01,132.03,,,101.165
1960-01-01,132.57,,,101.184
1960-04-01,132.378,,,101.175
1960-07-01,132.316,,,101.174
1960-10-01,132.26,,,101.165
1961-01-01,132.744,,,101.184
