Date,Business,Farm,Federal,General government,Households,Households and institutions,Net domestic product,Nonfarm,Nonprofit institutions serving households,State and local
1929-01-01,5.445,10.734,12.728,14.579,7.769,7.677,6.641,5.101,7.265,13.97
1930-01-01,4.832,9.996,13.857,15.272,7.495,7.505,5.996,4.504,7.56,14.468
1931-01-01,4.436,12.488,13.143,15.433,7.118,7.206,5.562,4.011,7.611,14.893
1932-01-01,3.696,12.178,12.43,15.084,6.737,6.87,4.761,3.293,7.461,14.696
1933-01-01,3.63,11.615,15.504,15.972,6.682,6.775,4.711,3.243,7.206,14.75
1934-01-01,4.141,8.845,20.841,18.254,6.799,6.83,5.316,3.844,7.042,15.751
1935-01-01,4.613,11.349,23.134,19.557,6.84,6.878,5.853,4.223,7.114,16.597
1936-01-01,5.308,9.581,38.877,23.166,6.893,6.953,6.693,5.02,7.269,15.491
1937-01-01,5.679,11.868,33.178,21.819,7.011,7.044,7.051,5.292,7.265,15.941
1938-01-01,5.367,11.562,37.529,23.593,6.985,7.054,6.775,4.984,7.397,16.6
1939-01-01,5.923,13.02,38.116,23.929,7.162,7.218,7.377,5.489,7.524,16.816
1940-01-01,6.545,11.204,42.596,25.284,7.354,7.482,8.084,6.187,8.037,16.936
1941-01-01,7.802,12.651,68.511,32.475,7.633,7.759,9.625,7.408,8.311,17.047
1942-01-01,9.115,13.797,132.216,49.921,8.252,8.251,11.514,8.706,8.381,16.768
1943-01-01,10.164,13.473,249.269,81.819,8.519,8.486,13.483,9.84,8.512,16.313
1944-01-01,10.762,13.328,292.163,93.185,9.05,8.985,14.447,10.489,8.914,15.921
1945-01-01,10.562,13.29,277.521,89.551,9.497,9.324,14.159,10.279,8.918,16.383
1946-01-01,10.465,13.335,99.228,39.758,9.101,9.183,12.317,10.17,9.544,17.448
1947-01-01,10.687,11.808,62.174,29.611,9.544,9.677,12.182,10.547,10.189,18.748
1948-01-01,11.214,13.624,62.611,30.058,9.864,10.278,12.753,10.956,11.56,19.246
1949-01-01,11.022,12.869,64.599,31.548,10.544,10.939,12.657,10.81,12.177,20.641
1950-01-01,12.142,13.455,69.075,33.23,11.61,11.868,13.874,11.959,12.758,21.331
1951-01-01,12.933,12.542,104.991,43.105,12.599,12.692,15.067,12.874,13.166,21.833
1952-01-01,13.344,13.247,117.796,46.935,13.583,13.54,15.663,13.26,13.676,22.526
1953-01-01,14.023,13.925,114.256,46.747,14.46,14.37,16.372,13.934,14.397,23.512
1954-01-01,13.781,14.455,107.377,45.744,15.463,15.283,16.158,13.65,15.09,24.53
1955-01-01,14.951,14.79,102.754,45.374,16.941,16.618,17.366,14.855,16.077,25.627
1956-01-01,15.177,14.804,100.761,46.061,18.097,17.675,17.681,15.09,16.897,27.26
1957-01-01,15.398,14.163,100.026,46.965,19.198,18.684,17.996,15.349,17.694,28.741
1958-01-01,15.026,14.726,95.762,47.127,20.425,19.88,17.723,14.935,18.832,30.475
1959-01-01,16.31,14.6,93.646,47.441,21.782,21.122,19.047,16.276,19.814,31.687
1960-01-01,16.622,15.644,95.024,49.0,23.319,22.752,19.521,16.554,21.683,33.349
1961-01-01,16.953,15.833,97.139,50.793,24.523,23.756,19.983,16.889,22.233,35.054
1962-01-01,18.099,15.46,101.547,52.803,26.089,25.195,21.259,18.093,23.4,36.246
1963-01-01,18.923,15.98,101.431,54.148,27.258,26.27,22.172,18.925,24.275,38.104
1964-01-01,20.146,15.205,101.999,55.956,28.299,27.306,23.479,20.221,25.303,40.375
1965-01-01,21.611,16.297,102.537,57.863,29.663,28.687,25.039,21.692,26.722,42.817
1966-01-01,23.075,15.448,111.481,62.023,31.001,30.089,26.71,23.247,28.247,45.323
1967-01-01,23.447,16.781,120.343,65.62,32.36,31.398,27.33,23.576,29.458,47.102
1968-01-01,24.609,15.898,122.217,68.18,33.202,33.034,28.654,24.811,32.529,49.922
1969-01-01,25.284,16.551,122.572,69.909,34.541,34.454,29.468,25.483,34.083,52.143
1970-01-01,25.124,17.055,116.029,69.891,35.243,34.929,29.353,25.298,34.179,54.435
1971-01-01,26.052,18.111,110.261,69.957,37.1,36.53,30.313,26.216,35.366,56.654
1972-01-01,27.798,18.017,104.875,69.872,38.559,37.857,31.975,28.026,36.478,58.6
1973-01-01,29.734,17.661,101.032,70.254,39.579,38.907,33.809,30.069,37.564,60.653
1974-01-01,29.04,17.011,101.425,71.909,41.397,40.425,33.392,29.381,38.647,62.859
1975-01-01,28.592,20.929,100.961,73.11,42.47,41.752,33.148,28.706,40.303,64.742
1976-01-01,30.657,19.531,101.113,73.663,42.56,41.934,35.065,30.908,40.605,65.466
1977-01-01,32.469,20.694,101.239,74.362,41.719,41.741,36.731,32.734,41.284,66.399
1978-01-01,34.593,19.135,102.597,75.841,43.501,43.052,38.828,34.991,41.96,67.963
1979-01-01,35.716,21.2,102.01,76.528,43.821,43.955,39.946,36.064,43.608,69.138
1980-01-01,35.094,20.165,103.337,77.482,44.978,45.235,39.532,35.461,45.033,69.979
1981-01-01,36.033,30.315,104.434,77.599,45.358,46.1,40.446,36.136,46.529,69.743
1982-01-01,34.593,32.724,105.449,78.119,46.097,47.753,39.307,34.609,49.426,70.096
1983-01-01,36.52,18.545,107.041,78.159,48.343,50.042,41.201,36.873,51.747,69.587
1984-01-01,40.006,29.919,108.101,78.603,49.054,51.086,44.405,40.18,53.24,69.827
1985-01-01,41.8,38.385,109.607,80.417,49.956,51.738,46.157,41.842,53.538,71.773
1986-01-01,43.235,37.135,109.399,81.837,50.594,53.255,47.631,43.322,56.255,73.755
1987-01-01,44.709,38.416,110.688,83.095,51.564,55.184,49.16,44.799,59.497,75.017
1988-01-01,46.62,33.276,110.529,84.934,53.72,58.304,51.206,46.831,63.914,77.508
1989-01-01,48.379,40.155,110.707,86.642,55.309,60.67,53.047,48.496,67.335,79.713
1990-01-01,48.992,44.212,111.863,88.554,56.256,62.59,53.877,49.048,70.602,81.868
1991-01-01,48.435,44.557,111.497,89.021,57.024,63.743,53.535,48.476,72.282,82.588
1992-01-01,50.597,54.669,107.765,89.047,58.295,65.257,55.51,50.529,74.116,83.744
1993-01-01,51.993,47.016,104.702,89.043,61.498,68.89,57.015,52.044,78.301,84.648
1994-01-01,54.537,60.284,100.177,89.013,64.998,71.247,59.375,54.453,79.05,85.941
1995-01-01,56.042,44.152,95.265,89.072,67.356,73.369,60.841,56.175,80.825,87.474
1996-01-01,58.56,53.746,91.75,89.136,68.509,74.657,63.081,58.595,82.285,88.606
1997-01-01,61.529,61.343,89.5,89.785,70.29,76.826,65.823,61.502,84.967,90.129
1998-01-01,64.759,58.818,88.179,90.741,71.758,77.213,68.628,64.795,83.883,91.772
1999-01-01,68.318,60.062,86.969,91.355,73.744,78.476,71.745,68.375,84.175,92.931
2000-01-01,71.077,75.411,87.702,92.8,77.071,81.293,74.417,71.034,86.306,94.593
2001-01-01,70.95,69.34,88.004,94.428,79.881,82.93,74.621,70.954,86.411,96.619
2002-01-01,71.951,73.184,89.985,96.173,79.375,83.492,75.647,71.932,88.346,98.298
2003-01-01,74.247,81.582,92.776,97.121,81.219,84.656,77.709,74.181,88.654,98.657
2004-01-01,77.632,92.537,93.496,97.336,83.751,87.36,80.734,77.497,91.563,98.705
2005-01-01,80.69,98.276,93.648,97.723,87.515,89.717,83.472,80.533,92.236,99.171
2006-01-01,83.215,94.676,92.814,97.952,89.168,90.388,85.591,83.1,91.764,99.763
2007-01-01,84.71,79.037,92.861,98.858,91.259,91.657,87.008,84.729,92.084,100.963
2008-01-01,83.378,78.36,96.369,100.584,98.241,96.349,86.616,83.392,94.102,102.085
2009-01-01,79.623,95.577,102.122,102.117,95.895,95.327,83.688,79.479,94.639,102.195
2010-01-01,82.496,91.205,105.856,102.108,98.954,97.547,86.197,82.402,95.867,100.927
2011-01-01,84.113,85.106,106.032,101.026,99.2,98.701,87.487,84.093,98.088,99.419
2012-01-01,86.854,78.621,104.955,99.509,97.328,98.261,89.446,86.942,99.325,97.754
2013-01-01,89.138,89.795,101.513,98.425,98.675,98.905,91.204,89.113,99.156,97.44
2014-01-01,92.058,85.878,100.219,98.066,98.666,98.552,93.424,92.118,98.415,97.379
2015-01-01,95.506,94.674,99.253,98.324,98.11,98.695,96.169,95.516,99.332,98.026
2016-01-01,97.249,104.868,100.027,99.341,98.688,99.308,97.707,97.197,99.982,99.121
2017-01-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2018-01-01,103.354,106.649,100.27,100.572,101.635,101.963,102.895,103.332,102.319,100.669
2019-01-01,106.241,92.552,101.193,101.574,102.721,103.079,105.375,106.326,103.467,101.697
2020-01-01,102.296,92.655,104.618,99.711,105.135,102.443,102.049,102.357,99.616,98.157
2021-01-01,110.864,105.027,105.019,99.617,109.091,104.405,108.87,110.9,99.58,97.909
2022-01-01,113.347,104.106,103.167,100.657,117.456,109.037,111.438,113.416,100.661,99.875
2023-01-01,116.429,109.579,103.227,104.462,120.504,112.036,114.584,116.471,103.604,104.95
