Date,Business,Farm,Federal,General government,Households,Households and institutions,Net domestic product,Nonfarm,Nonprofit institutions serving households,State and local
1929-01-01,11.673,84.348,1.923,1.777,8.542,5.403,8.584,11.284,1.994,1.888
1930-01-01,11.199,68.824,1.838,1.779,8.169,5.191,8.255,11.012,1.957,1.916
1931-01-01,9.908,44.152,1.947,1.801,7.595,4.859,7.407,10.057,1.886,1.915
1932-01-01,8.655,30.387,1.948,1.748,6.822,4.41,6.552,8.983,1.783,1.842
1933-01-01,8.499,33.744,1.973,1.726,5.876,3.88,6.363,8.718,1.694,1.803
1934-01-01,8.987,45.084,2.066,1.783,5.506,3.715,6.653,9.012,1.744,1.852
1935-01-01,9.219,57.343,1.965,1.788,5.594,3.768,6.804,9.046,1.76,1.903
1936-01-01,9.292,61.03,2.259,1.843,5.738,3.869,6.882,9.066,1.814,1.82
1937-01-01,9.601,65.567,2.242,1.862,6.023,4.058,7.102,9.33,1.896,1.867
1938-01-01,9.319,50.785,2.287,1.905,6.047,4.087,6.946,9.266,1.93,1.915
1939-01-01,9.185,43.092,2.212,1.877,6.083,4.102,6.854,9.254,1.923,1.918
1940-01-01,9.283,51.461,2.105,1.853,6.102,4.097,6.907,9.225,1.895,1.954
1941-01-01,9.973,66.405,2.087,1.86,6.199,4.168,7.352,9.769,1.935,1.987
1942-01-01,10.789,92.389,2.308,2.01,6.534,4.427,7.947,10.332,2.108,2.058
1943-01-01,11.426,112.873,2.213,1.973,6.937,4.749,8.333,10.785,2.339,2.206
1944-01-01,11.561,113.391,2.389,2.133,7.293,4.997,8.537,10.919,2.468,2.401
1945-01-01,11.618,118.224,2.733,2.412,7.587,5.233,8.779,10.933,2.641,2.546
1946-01-01,12.4,139.319,4.354,3.562,7.946,5.561,9.911,11.548,2.933,2.767
1947-01-01,13.871,166.549,4.508,3.77,7.952,5.709,10.977,12.827,3.222,3.063
1948-01-01,14.704,166.342,4.172,3.791,8.281,5.907,11.57,13.683,3.283,3.462
1949-01-01,14.545,135.104,4.474,3.998,8.479,6.088,11.534,13.79,3.437,3.576
1950-01-01,14.636,136.771,4.502,4.072,8.712,6.27,11.632,13.869,3.559,3.695
1951-01-01,15.687,169.887,4.462,4.155,9.022,6.542,12.39,14.692,3.781,3.943
