Date,Business,Farm,Federal,General government,Households,Households and institutions,Net domestic product,Nonfarm,Nonprofit institutions serving households,State and local
1929-01-01,81788.0,8213.0,1053.0,4584.0,6474.0,7776.0,94148.0,73575.0,1302.0,3531.0
1930-01-01,69834.0,6241.0,1096.0,4807.0,5972.0,7303.0,81943.0,63593.0,1330.0,3711.0
1931-01-01,56394.0,5002.0,1101.0,4919.0,5274.0,6564.0,67877.0,51393.0,1290.0,3818.0
1932-01-01,40838.0,3357.0,1042.0,4666.0,4484.0,5680.0,51184.0,37481.0,1196.0,3624.0
1933-01-01,39337.0,3555.0,1316.0,4877.0,3830.0,4928.0,49142.0,35781.0,1098.0,3561.0
1934-01-01,47856.0,3617.0,1853.0,5758.0,3652.0,4756.0,58370.0,44239.0,1104.0,3905.0
1935-01-01,54716.0,5904.0,1956.0,6186.0,3732.0,4858.0,65761.0,48813.0,1126.0,4230.0
1936-01-01,63431.0,5304.0,3779.0,7554.0,3858.0,5043.0,76029.0,58127.0,1185.0,3775.0
1937-01-01,70691.0,7059.0,3201.0,7186.0,4120.0,5358.0,83236.0,63632.0,1239.0,3985.0
1938-01-01,63956.0,5326.0,3694.0,7951.0,4120.0,5404.0,77310.0,58629.0,1283.0,4257.0
1939-01-01,69836.0,5090.0,3628.0,7948.0,4250.0,5550.0,83334.0,64746.0,1301.0,4320.0
1940-01-01,78286.0,5230.0,3858.0,8290.0,4378.0,5747.0,92322.0,73055.0,1369.0,4432.0
1941-01-01,100496.0,7621.0,6154.0,10689.0,4616.0,6062.0,117247.0,92875.0,1446.0,4535.0
1942-01-01,126443.0,11563.0,13130.0,17750.0,5260.0,6848.0,151041.0,114879.0,1589.0,4620.0
1943-01-01,148940.0,13795.0,23739.0,28558.0,5765.0,7555.0,185054.0,135144.0,1790.0,4819.0
1944-01-01,159531.0,13709.0,30040.0,35158.0,6439.0,8417.0,203106.0,145822.0,1978.0,5118.0
1945-01-01,157534.0,14252.0,32635.0,38220.0,7030.0,9147.0,204901.0,143281.0,2117.0,5585.0
1946-01-01,167215.0,16853.0,18593.0,25057.0,7055.0,9572.0,201844.0,150362.0,2517.0,6464.0
1947-01-01,190392.0,17840.0,12060.0,19748.0,7404.0,10356.0,220496.0,172552.0,2952.0,7688.0
1948-01-01,211600.0,20557.0,11240.0,20162.0,7969.0,11381.0,243143.0,191043.0,3412.0,8922.0
1949-01-01,205388.0,15772.0,12436.0,22318.0,8722.0,12485.0,240191.0,189616.0,3763.0,9882.0
1950-01-01,228546.0,16694.0,13383.0,23937.0,9868.0,13950.0,266433.0,211852.0,4083.0,10554.0
1951-01-01,261938.0,19328.0,20160.0,31686.0,11089.0,15564.0,309189.0,242610.0,4476.0,11526.0
1952-01-01,273264.0,18281.0,23406.0,36056.0,12554.0,17414.0,326735.0,254983.0,4860.0,12650.0
1953-01-01,289166.0,16072.0,23255.0,37018.0,14191.0,19545.0,345730.0,273094.0,5355.0,13763.0
1954-01-01,285579.0,15534.0,22464.0,37567.0,15620.0,21423.0,344569.0,270045.0,5803.0,15103.0
1955-01-01,313740.0,14570.0,22937.0,39242.0,17266.0,23604.0,376586.0,299169.0,6339.0,16305.0
1956-01-01,328058.0,14239.0,23466.0,41590.0,18686.0,25578.0,395226.0,313819.0,6892.0,18124.0
1957-01-01,342898.0,13994.0,24267.0,44354.0,20287.0,27867.0,415120.0,328905.0,7580.0,20087.0
1958-01-01,340701.0,16020.0,25339.0,47559.0,22134.0,30515.0,418775.0,324681.0,8380.0,22220.0
1959-01-01,373596.0,14175.0,25750.0,49304.0,24111.0,33310.0,456209.0,359421.0,9199.0,23554.0
1960-01-01,385099.0,15065.0,26622.0,52526.0,26370.0,36856.0,474481.0,370033.0,10486.0,25904.0
1961-01-01,396052.0,15220.0,27743.0,56250.0,28137.0,39303.0,491605.0,380832.0,11165.0,28507.0
1962-01-01,427107.0,15245.0,29484.0,60043.0,30370.0,42672.0,529822.0,411862.0,12302.0,30559.0
1963-01-01,449816.0,15235.0,30800.0,64029.0,32225.0,45587.0,559432.0,434581.0,13363.0,33229.0
