Date,Business,Farm,Federal,General government,Households,Households and institutions,Net domestic product,Nonfarm,Nonprofit institutions serving households,Residual,State and local
2007-01-01,10859183.0,72819.0,399597.0,1749026.0,890274.0,1718220.0,14324264.0,10783617.0,827903.0,-1751.0,1351804.0
2008-01-01,10688470.0,72195.0,414694.0,1779574.0,958381.0,1806181.0,14259769.0,10613391.0,846048.0,-11768.0,1366827.0
2009-01-01,10207095.0,88058.0,439448.0,1806683.0,935496.0,1787014.0,13777746.0,10115367.0,850872.0,-19802.0,1368307.0
2010-01-01,10575441.0,84030.0,455518.0,1806536.0,965340.0,1828639.0,14190724.0,10487401.0,861914.0,-14813.0,1351335.0
2011-01-01,10782753.0,78410.0,456273.0,1787380.0,967735.0,1850261.0,14403106.0,10702665.0,881881.0,-15002.0,1331144.0
2012-01-01,11134102.0,72436.0,451642.0,1760546.0,949476.0,1842024.0,14725699.0,11065304.0,893004.0,-15009.0,1308847.0
2013-01-01,11426816.0,82731.0,436828.0,1741373.0,962618.0,1854089.0,15015080.0,11341615.0,891488.0,-4838.0,1304638.0
2014-01-01,11801190.0,79122.0,431261.0,1735016.0,962530.0,1847464.0,15380596.0,11724019.0,884826.0,-4986.0,1303824.0
2015-01-01,12243221.0,87226.0,427105.0,1739573.0,957105.0,1850156.0,15832486.0,12156430.0,893068.0,-930.0,1312483.0
2016-01-01,12466591.0,96619.0,430432.0,1757576.0,962746.0,1861639.0,16085660.0,12370457.0,898914.0,-656.0,1327149.0
2017-01-01,12819299.0,92133.0,430318.0,1769234.0,975543.0,1874615.0,16463149.0,12727166.0,899073.0,0.0,1338917.0
2018-01-01,13249292.0,98259.0,431479.0,1779349.0,991496.0,1911420.0,16939835.0,13151230.0,919918.0,-420.0,1347874.0
2019-01-01,13619349.0,85271.0,435450.0,1797084.0,1002092.0,1932344.0,17347980.0,13532269.0,930245.0,1014.0,1361640.0
2020-01-01,13113617.0,85366.0,450189.0,1764118.0,1025634.0,1920416.0,16800525.0,13027101.0,895620.0,2370.0,1314245.0
2021-01-01,14212051.0,96765.0,451913.0,1762453.0,1064231.0,1957194.0,17923456.0,14114477.0,895300.0,-10154.0,1310923.0
2022-01-01,14530333.0,95916.0,443946.0,1780858.0,1145829.0,2044028.0,18346225.0,14434615.0,905020.0,-16340.0,1337240.0
2023-01-01,14925331.0,100959.0,444203.0,1848184.0,1175567.0,2100236.0,18864158.0,14823442.0,931472.0,-16678.0,1405193.0
