Date,Business current transfer payments (net),"Compensation of employees, paid",Consumption of fixed capital,"Corporate profits with inventory valuation and capital consumption adjustments, domestic industries",Current surplus of government enterprises,Government,Gross domestic income,Less: Subsidies,Net dividends,"Net interest and miscellaneous payments, domestic industries",Net operating surplus,Private,Private enterprises,Profits after tax with inventory valuation and capital consumption adjustments,Proprietors' income with inventory valuation and capital consumption adjustments,Rental income of persons with capital consumption adjustment,Statistical discrepancy,Supplements to wages and salaries,Taxes on corporate income,Taxes on production and imports,To persons,To the rest of the world,Undistributed corporate profits with inventory valuation and capital consumption adjustments,Wages and salaries
1947-01-01,524.0,128920.0,28071.0,20571.0,,11780.0,240092.0,511.0,5432.0,1992.0,,16291.0,65933.0,9075.0,36188.0,6657.0,3072.0,10125.0,11496.0,17679.0,,,3643.0,118795.0
1947-04-01,685.0,130718.0,28706.0,23523.0,,11401.0,243209.0,417.0,5680.0,2223.0,,17305.0,66462.0,12643.0,33262.0,6768.0,2759.0,9526.0,10880.0,17740.0,,,6963.0,121191.0
1947-07-01,797.0,132712.0,29515.0,23616.0,,11273.0,247579.0,364.0,5924.0,2404.0,,18242.0,67684.0,12892.0,33893.0,6973.0,2006.0,8793.0,10724.0,18031.0,,,6968.0,123919.0
1947-10-01,854.0,136808.0,30191.0,25003.0,,11088.0,256122.0,302.0,5792.0,2465.0,,19102.0,70451.0,13331.0,34972.0,7157.0,3623.0,8610.0,11672.0,18974.0,,,7539.0,128198.0
1948-01-01,732.0,140319.0,30615.0,28771.0,,10728.0,265070.0,384.0,6376.0,2352.0,,19886.0,75557.0,16763.0,36384.0,7319.0,672.0,8740.0,12008.0,18963.0,,,10387.0,131579.0
1948-04-01,705.0,141984.0,31086.0,30473.0,,10511.0,273654.0,292.0,5972.0,2336.0,,20574.0,81211.0,17825.0,40231.0,7465.0,-1087.0,8692.0,12648.0,19665.0,,,11853.0,133292.0
1948-07-01,700.0,146761.0,31650.0,29898.0,,10484.0,278941.0,615.0,6436.0,2400.0,,21166.0,81138.0,17490.0,40604.0,7536.0,256.0,8790.0,12408.0,20006.0,,,11054.0,137971.0
1948-10-01,692.0,147843.0,31959.0,31385.0,,10298.0,281223.0,869.0,6684.0,2429.0,,21661.0,82021.0,19433.0,39897.0,7617.0,-857.0,8828.0,11952.0,20270.0,,,12749.0,139015.0
1949-01-01,650.0,146209.0,32249.0,29780.0,,10188.0,274180.0,585.0,6564.0,2552.0,,22061.0,75939.0,18944.0,35414.0,7543.0,854.0,9525.0,10836.0,20369.0,,,12380.0,136684.0
1949-04-01,657.0,144622.0,32256.0,27496.0,,9824.0,270661.0,399.0,6540.0,2616.0,,22432.0,73360.0,17976.0,34937.0,7654.0,690.0,9675.0,9520.0,20822.0,,,11436.0,134947.0
