Date,Business current transfer payments (net),"Compensation of employees, paid",Consumption of fixed capital,"Corporate profits with inventory valuation and capital consumption adjustments, domestic industries",Current surplus of government enterprises,Government,Gross domestic income,Less: Subsidies,Net dividends,"Net interest and miscellaneous payments, domestic industries",Net operating surplus,Private,Private enterprises,Profits after tax with inventory valuation and capital consumption adjustments,Proprietors' income with inventory valuation and capital consumption adjustments,Rental income of persons with capital consumption adjustment,Supplements to wages and salaries,Taxes on corporate income,Taxes on production and imports,To persons,To the rest of the world,Undistributed corporate profits with inventory valuation and capital consumption adjustments,Wages and salaries
1929-01-01,0.5,49.5,10.0,10.2,,1.0,100.0,0.0,5.4,3.9,,9.1,33.9,8.9,13.5,5.8,0.9,1.3,6.6,,,3.5,48.6
1930-01-01,0.5,50.9,11.0,7.9,,1.1,100.0,0.1,5.8,4.6,,10.0,30.6,7.0,11.7,5.8,1.0,0.9,7.5,,,1.3,49.9
1931-01-01,0.7,52.3,12.4,3.9,,1.3,100.0,0.2,5.3,5.6,,11.2,26.8,3.2,10.8,5.8,1.2,0.6,8.7,,,-2.1,51.1
1932-01-01,1.0,52.9,14.1,-0.3,,1.5,100.0,0.2,4.4,6.9,,12.6,22.1,-0.9,8.5,6.1,1.4,0.6,11.1,,,-5.3,51.5
1933-01-01,0.9,52.6,14.1,-0.3,,1.7,100.0,0.3,3.6,6.5,,12.4,21.4,-1.2,9.3,5.0,1.3,0.9,12.1,,,-4.8,51.3
1934-01-01,0.8,52.0,12.7,3.7,,1.7,100.0,0.7,3.8,5.7,,11.0,24.5,2.6,10.5,3.8,1.2,1.1,11.5,,,-1.2,50.8
1935-01-01,0.7,50.6,11.4,5.2,,1.6,100.0,0.8,3.6,5.2,,9.8,28.1,3.9,13.6,3.4,1.3,1.3,10.7,,,0.3,49.3
1936-01-01,0.6,51.7,10.5,7.3,,1.5,100.0,0.3,5.3,4.4,,9.0,28.0,5.6,12.4,3.2,1.6,1.7,10.1,,,0.4,50.2
1937-01-01,0.6,51.9,10.5,7.3,,1.5,100.0,0.4,4.9,3.9,,9.0,28.4,5.7,13.5,3.2,2.3,1.6,9.6,,,0.8,49.6
1938-01-01,0.5,52.4,11.6,5.4,,1.7,100.0,0.6,3.4,4.1,,9.9,26.3,4.2,12.2,4.0,2.8,1.2,10.3,,,0.9,49.6
1939-01-01,0.5,52.7,11.0,6.8,,1.6,100.0,0.9,3.9,3.9,,9.3,27.3,5.2,12.1,4.0,2.8,1.6,9.9,,,1.4,49.9
1940-01-01,0.4,51.8,10.4,9.4,,1.6,100.0,0.7,3.7,3.3,,8.8,28.9,6.7,12.0,3.8,2.8,2.8,9.6,,,2.9,49.0
1941-01-01,0.4,51.3,9.4,11.9,,1.6,100.0,0.4,3.3,2.5,,7.7,31.1,6.0,12.9,3.4,3.2,5.9,8.6,,,2.7,48.1
1942-01-01,0.3,52.8,8.9,12.2,,2.2,100.0,0.3,2.4,1.9,,6.7,31.7,5.4,14.0,3.3,3.6,6.8,6.9,,,3.0,49.2
1943-01-01,0.3,55.0,8.8,12.0,,3.2,100.0,0.3,2.1,1.4,,5.6,30.4,5.1,13.8,2.9,3.4,6.9,6.1,,,3.0,51.6
1944-01-01,0.4,56.0,9.6,11.1,,4.2,100.0,0.5,1.9,1.1,,5.4,28.6,5.2,13.2,2.9,3.4,5.8,6.2,,,3.3,52.6
1945-01-01,0.4,56.4,10.3,9.0,,4.7,100.0,0.5,2.0,1.0,,5.6,27.1,4.2,13.7,2.9,3.9,4.8,6.7,,,2.3,52.4
