Date,Business current transfer payments (net),Capital consumption adjustment,Compensation of employees,Consumption of fixed capital,Corporate profits with IVA,Corporate profits with IVA and CCAdj,Current surplus of government enterprises,Employer contributions for employee pension and insurance funds,Employer contributions for government social insurance,Farm,Government,Inventory valuation adjustment,Less: Capital transfers paid (net),Less: Subsidies,National income,Net cash flow with IVA,Net dividends,Net interest and miscellaneous payments,Nonfarm,Other,Profits after tax (without IVA and CCAdj),Profits after tax with IVA and CCAdj,Profits before tax (without IVA and CCAdj),Proprietors' income (without IVA and CCAdj),Proprietors' income with IVA,Proprietors' income with IVA and CCAdj,Rental income of persons (without CCAdj),Rental income of persons with CCAdj,Supplements to wages and salaries,Taxes on corporate income,Taxes on production and imports,To government (net),To persons (net),To the rest of the world (net),Undistributed profits (without IVA and CCAdj),Undistributed profits with IVA and CCAdj,Wages and salaries
1947-01-01,524.0,-779.75,128989.0,9036.0,23814.0,21455.0,,5453.0,4672.0,15980.0,17126.0,-5926.0,,511.0,213000.0,12927.0,6068.0,2018.0,20208.0,101738.0,21970.0,9959.0,33466.0,22457.0,16241.0,36188.0,7107.0,6657.0,10125.0,11496.0,17679.0,315.0,209.0,,15902.0,3891.0,118864.0
1947-04-01,685.0,-888.25,130787.0,9561.0,26992.0,24483.0,,5238.0,4288.0,12355.0,17346.0,-2716.0,,417.0,215599.0,16796.0,6368.0,2290.0,20907.0,103914.0,20788.0,13603.0,31668.0,21931.0,12642.0,33262.0,7257.0,6768.0,9526.0,10880.0,17740.0,319.0,366.0,,14420.0,7235.0,121260.0
1947-07-01,797.0,-967.0,132781.0,10059.0,27240.0,24592.0,,5249.0,3544.0,14098.0,17598.0,-2720.0,,364.0,219196.0,17335.0,6592.0,2491.0,19795.0,106390.0,20564.0,13868.0,31288.0,21575.0,14412.0,33893.0,7491.0,6973.0,8793.0,10724.0,18031.0,327.0,470.0,,13972.0,7276.0,123988.0
1947-10-01,854.0,-1022.25,136877.0,10529.0,28903.0,26127.0,,5390.0,3220.0,14935.0,17973.0,-3378.0,,302.0,227168.0,18428.0,6556.0,2508.0,20037.0,110294.0,22451.0,14455.0,34123.0,22004.0,15278.0,34972.0,7696.0,7157.0,8610.0,11672.0,18974.0,331.0,523.0,,15895.0,7899.0,128267.0
1948-01-01,732.0,-1058.25,140405.0,10972.0,32871.0,29979.0,,5532.0,3208.0,14486.0,18294.0,-1751.5,,384.0,235846.0,21779.0,7164.0,2449.0,21897.0,113371.0,23739.0,17971.0,35747.0,22943.0,14859.0,36384.0,7869.0,7319.0,8740.0,12008.0,18963.0,350.0,384.0,,16575.0,10807.0,131665.0
1948-04-01,705.0,-1073.5,142070.0,11356.0,34721.0,31757.0,,5704.0,2988.0,17972.0,18631.0,-1840.0,,292.0,244048.0,23641.0,6824.0,2446.0,22259.0,114747.0,24941.0,19109.0,37589.0,23445.0,18370.0,40231.0,8023.0,7465.0,8692.0,12648.0,19665.0,342.0,364.0,,18117.0,12285.0,133378.0
1948-07-01,700.0,-1070.5,146847.0,11680.0,34163.0,31170.0,,5846.0,2944.0,17924.0,19254.0,-1704.0,,615.0,248774.0,23182.0,7260.0,2525.0,22680.0,118803.0,24551.0,18762.0,36959.0,23604.0,18340.0,40604.0,8097.0,7536.0,8790.0,12408.0,20006.0,332.0,368.0,,17291.0,11502.0,138057.0
1948-10-01,692.0,-1052.75,147929.0,11944.0,35644.0,32665.0,,5952.0,2876.0,16436.0,19902.0,171.5,,869.0,250735.0,25094.0,7564.0,2534.0,23462.0,119199.0,23760.0,20713.0,35712.0,23294.0,16865.0,39897.0,8177.0,7617.0,8828.0,11952.0,20270.0,324.0,368.0,,16196.0,13149.0,139101.0
1949-01-01,650.0,-1021.75,146267.0,12149.0,33923.0,31004.0,,5985.0,3540.0,12707.0,20350.0,978.0,,585.0,243316.0,24885.0,7432.0,2655.0,22707.0,116392.0,21683.0,20168.0,32519.0,22333.0,13142.0,35414.0,8098.0,7543.0,9525.0,10836.0,20369.0,319.0,332.0,,14251.0,12736.0,136742.0
1949-04-01,657.0,-992.75,144680.0,12336.0,31528.0,28664.0,,6143.0,3532.0,12132.0,20689.0,1810.0,,399.0,239734.0,24081.0,7400.0,2719.0,22805.0,114316.0,19172.0,19144.0,28692.0,22141.0,12569.0,34937.0,8204.0,7654.0,9675.0,9520.0,20822.0,326.0,332.0,,11772.0,11744.0,135005.0
1949-07-01,697.0,-966.25,143608.0,12506.0,32736.0,29923.0,,6341.0,3284.0,11615.0,21079.0,1754.0,,529.0,239881.0,25197.0,7296.0,2803.0,22623.0,112904.0,19816.0,19987.0,29752.0,22172.0,12048.0,34238.0,8435.0,7888.0,9625.0,9936.0,21253.0,342.0,356.0,,12520.0,12691.0,133983.0
