Date,Capital consumption adjustment,Compensation of employees,Corporate business,Corporate profits,Corporate profits with IVA and CCAdj,Current surplus of government enterprises,Domestic business,Farm,Farm proprietors' income with IVA and CCAdj,General government,Government enterprises,Households,Households and institutions,Inventory valuation adjustment,National income,Net interest,Net interest and miscellaneous payments,Noncorporate business,Nonfarm,Nonfarm proprietors' income with IVA and CCAdj,Nonprofit institutions serving households,Other private business,Profits before tax (without IVA and CCAdj),Proprietors' income (without IVA and CCAdj),Proprietors' income with IVA,Proprietors' income with IVA and CCAdj,Rental income of persons,Rental income of persons (without CCAdj),Rental income of persons with CCAdj,Rest of the world,Sole proprietorships and partnerships,Supplements to wages and salaries,Taxes on production and imports,Taxes on production and imports less subsidies plus business current transfer payments,Wages and salaries
1948-01-01,-851.0,19073.444444444445,134575.0,1261.0,30132.0,,211852.0,16704.0,16704.0,20162.0,,7969.0,11381.0,-1281.0,244848.0,601.8333333333334,7.0,77276.0,22377.0,22377.0,3412.0,,35241.0,23099.0,8665.5,23567.4,,5044.0,4114.5,1456.0,,1250.5,115.0,6594.0,20214.5
1949-01-01,-784.6,19062.555555555555,130610.0,1125.0,27933.0,,203648.0,11989.0,11989.0,22318.0,,8722.0,12485.0,1159.5,239726.0,684.8333333333334,-47.0,73038.0,22503.0,22503.0,3763.0,,28917.0,22114.0,6323.5,20814.0,,4949.0,4149.5,1280.0,,1364.75,126.0,6990.666666666667,20094.125
1950-01-01,-761.0,20823.444444444445,148826.0,1269.0,34790.0,,227285.0,12872.0,12872.0,23937.0,,9868.0,13950.0,-3029.5,266611.0,782.8333333333334,-133.0,78459.0,24440.0,24440.0,4083.0,,42512.0,25583.0,6759.5,22508.4,,5327.0,4581.25,1440.0,,1569.75,137.0,7599.333333333333,21869.625
1951-01-01,-866.0,24248.444444444445,170655.0,1744.0,39454.0,,258499.0,15303.0,15303.0,31686.0,,11089.0,15564.0,-763.0,307635.0,924.8333333333334,-222.0,87844.0,27046.0,27046.0,4476.0,,43636.0,27547.0,8054.5,25556.4,,5697.0,4972.25,1892.0,,1987.0,149.0,8237.333333333334,25317.0
1952-01-01,-777.8,26206.444444444445,178911.0,1888.0,37777.0,,270662.0,14313.0,14313.0,36056.0,,12554.0,17414.0,591.0,326118.0,1024.3333333333333,-249.0,91751.0,28460.0,28460.0,4860.0,,39394.0,28326.0,7591.0,25824.0,,5831.0,5308.5,1985.0,,2175.625,161.0,9129.333333333334,27335.875
1953-01-01,-603.2,27965.333333333332,191884.0,1798.0,38496.0,,285377.0,12169.0,12169.0,37018.0,,14191.0,19545.0,-582.5,343835.0,1101.6666666666667,-45.0,93493.0,29563.0,29563.0,5355.0,,41351.0,29708.0,6511.0,25210.2,,5923.0,5662.0,1899.0,,2289.25,173.0,9857.333333333334,29204.5
1954-01-01,-414.2,27826.666666666668,188525.0,1962.0,37498.0,,282675.0,11749.0,11749.0,37567.0,,15620.0,21423.0,-183.5,343755.0,1241.3333333333333,160.0,94150.0,30213.0,30213.0,5803.0,,38831.0,30196.0,6282.0,25353.0,,6020.0,5975.25,2095.0,,2383.75,184.0,9766.333333333334,28963.5
1955-01-01,-126.0,29803.0,213491.0,2354.0,47814.0,,311614.0,10716.0,10716.0,39242.0,,17266.0,23604.0,-967.0,376907.0,1373.5,140.0,98123.0,33250.0,33250.0,6339.0,,49087.0,33465.0,5745.5,26563.2,,5985.0,6044.5,2449.0,,2596.875,200.0,10789.333333333334,30978.25
1956-01-01,-266.8,32111.88888888889,227965.0,2821.0,46825.0,,330098.0,10588.0,10588.0,41590.0,,18686.0,25578.0,-1597.5,400057.0,1533.0,18.0,102134.0,34922.0,34922.0,6892.0,,49804.0,35282.0,5731.0,27491.4,,6075.0,6142.0,2796.0,,2851.75,222.0,11643.0,33326.625
1957-01-01,-337.0,33754.88888888889,237097.0,3092.0,46048.0,,343262.0,10550.0,10550.0,44354.0,,20287.0,27867.0,-919.5,418532.0,1764.1666666666667,164.0,106165.0,36924.0,36924.0,7580.0,,48102.0,37134.0,5752.0,28671.0,,6033.0,6221.5,3055.0,,3192.375,245.0,12356.333333333334,34838.75
1958-01-01,-454.0,34038.333333333336,230435.0,2523.0,41334.0,,340065.0,12422.0,12422.0,47559.0,,22134.0,30515.0,-155.5,420757.0,2015.0,555.0,109630.0,37390.0,37390.0,8380.0,,42507.0,37533.0,6715.0,30094.8,,6245.0,6520.25,2628.0,,3297.75,268.0,12598.333333333334,35056.625
1959-01-01,-308.8,36638.0,259826.0,2718.0,52796.0,545.0,373399.0,10044.0,10044.0,49304.0,5950.0,24111.0,33310.0,-154.5,458772.0,2198.3333333333335,-193.0,113573.0,39980.0,39980.0,9199.0,11061.0,53236.0,40131.0,5515.5,30207.6,,6081.0,6631.75,2761.0,96562.0,3677.0,263.0,10200.2,37606.625
1960-01-01,-59.8,38401.11111111111,271391.0,3137.0,51543.0,467.0,386404.0,10648.0,10648.0,52526.0,6347.0,26370.0,36856.0,-74.0,478901.0,2397.6666666666665,-187.0,115013.0,39593.0,39593.0,10486.0,11523.0,50716.0,39690.0,5799.5,30352.2,,6042.0,6850.75,3112.0,97142.0,4024.25,291.0,11017.4,39262.5
1961-01-01,89.0,39413.22222222222,279205.0,3316.0,52629.0,338.0,396969.0,11249.0,11249.0,56250.0,6510.0,28137.0,39303.0,137.0,496038.0,2652.1666666666665,432.0,117764.0,41564.0,41564.0,11165.0,12173.0,50588.0,41777.0,6102.5,31919.4,,6075.0,7068.0,3519.0,99080.0,4236.75,325.0,11332.4,40199.125
1962-01-01,728.4,41981.77777777778,305114.0,3772.0,60271.0,398.0,427137.0,11217.0,11217.0,60043.0,6977.0,30370.0,42672.0,11.0,533951.0,2959.0,760.0,122023.0,43593.0,43593.0,12302.0,12757.0,55432.0,43701.0,6098.0,33140.4,,6096.0,7303.25,4097.0,102289.0,4640.25,361.0,12064.8,42683.875
1963-01-01,1000.0,44169.555555555555,324946.0,4081.0,66427.0,814.0,451286.0,11010.0,11010.0,64029.0,7896.0,32225.0,45587.0,5.0,565376.0,3291.1666666666665,396.0,126339.0,44941.0,44941.0,13363.0,13605.0,60335.0,44996.0,5995.5,33838.8,,6310.0,7590.5,4476.0,104838.0,5023.75,398.0,12834.8,44764.875
1964-01-01,1153.8,47307.444444444445,351570.0,4469.0,73239.0,866.0,484442.0,9781.0,9781.0,69191.0,8484.0,33916.0,48487.0,-275.0,607041.0,3709.3333333333335,817.0,132872.0,48896.0,48896.0,14571.0,14149.0,66977.0,48909.0,5383.0,35479.2,,6274.0,7594.75,4920.0,110239.0,5380.25,435.0,13666.0,47946.0
1965-01-01,1216.8,50783.555555555555,386637.0,4706.0,84583.0,788.0,526998.0,12029.0,12029.0,74593.0,9008.0,35896.0,51948.0,-705.5,658819.0,4123.333333333333,1237.0,140360.0,51175.0,51175.0,16052.0,14899.0,78404.0,51581.0,6520.0,38197.2,,6495.0,7808.0,5280.0,116453.0,5844.75,475.0,14440.4,51394.875
1966-01-01,1245.6,56035.77777777778,424230.0,4528.0,91594.0,388.0,572612.0,13018.0,13018.0,84361.0,9314.0,38001.0,56052.0,-1165.5,718094.0,4531.166666666667,2321.0,148381.0,54441.0,54441.0,18051.0,15589.0,85856.0,55081.0,7041.0,40759.8,,6602.0,7973.25,5071.0,123478.0,6835.5,511.0,14694.0,56323.25
1967-01-01,1200.8,59818.11111111111,446076.0,4775.0,89091.0,278.0,599164.0,11642.0,11642.0,93385.0,9779.0,40340.0,60494.0,-879.0,758437.0,4852.0,4041.0,153088.0,57353.0,57353.0,20154.0,16304.0,82829.0,58027.0,6390.5,41685.0,,6590.0,8039.75,5394.0,127004.0,7344.5,562.0,15964.4,60082.375
1968-01-01,1114.2,65625.55555555556,492119.0,5636.0,96111.0,453.0,654213.0,11660.0,11660.0,104592.0,11164.0,42548.0,65357.0,-2032.0,830246.0,5287.666666666667,4266.0,162094.0,61708.0,61708.0,22809.0,17186.0,92270.0,62496.0,6432.0,44299.2,,6801.0,8021.5,6085.0,133745.0,8175.0,631.0,17736.0,65810.625
1969-01-01,1100.0,71930.55555555556,534949.0,6595.0,91821.0,163.0,704731.0,12833.0,12833.0,114592.0,12005.0,45499.0,71810.0,-3167.0,897250.0,5743.5,8491.0,169782.0,63724.0,63724.0,26310.0,17933.0,90057.0,64483.0,7070.5,46203.0,,6913.0,8054.0,6115.0,139845.0,9171.0,705.0,19393.0,71930.5
1970-01-01,814.8,76621.11111111111,550323.0,7100.0,79144.0,-1034.0,726329.0,12894.0,12894.0,126673.0,12844.0,48741.0,78127.0,-3542.5,937521.0,6469.666666666667,12459.0,176006.0,64462.0,64462.0,29386.0,19211.0,79163.0,65420.0,7164.0,46681.8,,7202.0,8243.25,6393.0,143951.0,9993.125,805.0,21051.4,76410.375
1971-01-01,586.4,81493.88888888889,593302.0,7855.0,92792.0,-1515.0,780812.0,13386.0,13386.0,139282.0,13847.0,53456.0,86313.0,-2570.5,1014002.0,7510.166666666667,12642.0,187510.0,70043.0,70043.0,32857.0,20434.0,91416.0,71256.0,7514.0,50342.4,142.0,7409.0,8523.25,7594.0,153229.0,11226.0,905.0,23200.4,80690.625
1972-01-01,1035.8,89265.11111111111,659462.0,9534.0,107678.0,-936.0,865075.0,17023.0,17023.0,152166.0,15754.0,57423.0,93694.0,-3665.5,1119498.0,8510.166666666666,12434.0,205613.0,77514.0,77514.0,36270.0,22604.0,106351.0,78318.0,9436.5,57056.4,150.0,8640.0,9271.25,8564.0,167255.0,12876.875,969.0,24351.4,87817.375
1973-01-01,743.6,99246.11111111111,738228.0,14898.0,118492.0,-1958.0,976153.0,29075.0,29075.0,163088.0,16402.0,61019.0,101307.0,-10728.0,1253166.0,10020.666666666666,14744.0,237924.0,82846.0,82846.0,40288.0,25401.0,131233.0,84795.0,15528.0,67512.6,123.0,10117.0,9973.5,12617.0,196122.0,14454.625,1028.0,27179.6,97475.0
1974-01-01,-433.4,108349.55555555556,793539.0,17469.0,108236.0,-2446.0,1044910.0,23468.0,23468.0,175839.0,18341.0,65343.0,110153.0,-20807.0,1346406.0,11932.5,23076.0,251371.0,88183.0,88183.0,44810.0,26423.0,144058.0,92091.0,13016.0,67327.8,91.0,10288.0,9892.0,15506.0,206607.0,16060.5,1059.0,30049.0,106139.875
1975-01-01,-2397.0,115655.44444444444,852029.0,14631.0,124228.0,-4068.0,1118488.0,21999.0,21999.0,193822.0,19069.0,70801.0,120740.0,-5824.5,1446042.0,13719.833333333334,27239.0,266459.0,95691.0,95691.0,49939.0,28668.0,140142.0,98086.0,12717.5,70942.8,81.0,10749.0,9709.0,12993.0,218722.0,18386.0,1140.0,32620.8,112075.25
1976-01-01,-2960.6,127756.66666666667,962280.0,16548.0,157790.0,-2385.0,1254892.0,17210.0,17210.0,207082.0,22355.0,76186.0,130554.0,-7586.5,1609374.0,15506.0,22707.0,292612.0,113195.0,113195.0,54367.0,30174.0,179666.0,115366.0,10500.5,78584.4,73.0,10944.0,9177.25,16846.0,240083.0,20596.125,1221.0,35030.8,123471.875
1977-01-01,-2905.6,141627.88888888888,1092063.0,19113.0,186670.0,-2958.0,1409299.0,15964.0,15964.0,222995.0,23350.0,80854.0,140255.0,-8404.5,1792840.0,17883.5,27672.0,317236.0,127915.0,127915.0,59402.0,32814.0,209380.0,129721.0,10105.0,86695.2,144.0,11864.0,8269.0,20292.0,261072.0,23688.625,1304.0,37150.8,136020.0
1978-01-01,-3233.0,159625.22222222222,1247614.0,22869.0,215700.0,-2377.0,1602789.0,19922.0,19922.0,242802.0,26265.0,89199.0,155488.0,-12798.0,2022661.0,19980.0,30608.0,355175.0,145421.0,145421.0,66289.0,34685.0,247541.0,147346.0,12341.5,99584.4,152.0,13119.0,8725.25,21582.0,294225.0,26420.375,1286.0,39574.6,153170.5
1979-01-01,-4044.4,178953.88888888888,1381003.0,34611.0,214605.0,-2699.0,1773892.0,22150.0,22150.0,262582.0,28657.0,97634.0,171973.0,-21387.5,2240379.0,23988.5,36126.0,392888.0,156622.0,156622.0,74339.0,37099.0,266767.0,158018.0,13843.0,107662.8,170.0,14765.0,9078.75,31930.0,327132.0,30102.0,1278.0,42472.2,171230.125
1980-01-01,-5388.0,196382.55555555556,1490293.0,35471.0,187655.0,-4481.0,1900024.0,11707.0,11707.0,288617.0,30896.0,110916.0,195956.0,-22511.5,2418790.0,29131.333333333332,60018.0,409731.0,159294.0,159294.0,85040.0,42135.0,246853.0,160617.0,9191.5,102941.4,310.0,18371.0,11185.5,34184.0,336701.0,33395.875,1351.0,47119.6,187546.625
1981-01-01,-2462.4,216633.0,1690250.0,29679.0,216215.0,-4717.0,2140860.0,19028.0,19028.0,318095.0,35234.0,126778.0,223148.0,-12940.5,2715045.0,35972.833333333336,84794.0,450609.0,160052.0,160052.0,96370.0,48678.0,245346.0,156011.0,13399.5,107808.0,455.0,23488.0,14609.5,32933.0,366698.0,37661.625,1490.0,55333.8,206070.0
1982-01-01,-875.6,228679.77777777778,1746045.0,32587.0,195169.0,-3417.0,2201642.0,13314.0,13314.0,345601.0,38549.0,142748.0,250930.0,-4004.0,2834688.0,42009.333333333336,97829.0,455598.0,157153.0,157153.0,108182.0,53660.0,197639.0,153025.0,10896.0,102714.6,661.0,27315.0,16305.5,36511.0,363389.0,40838.875,1661.0,54491.8,216449.875
1983-01-01,4565.8,242974.77777777778,1886578.0,35056.0,242847.0,-1884.0,2370819.0,6173.0,6173.0,367270.0,43126.0,156105.0,276468.0,-3980.5,3051648.0,45377.333333333336,93826.0,484241.0,179079.0,179079.0,120363.0,57133.0,226967.0,166180.0,7375.5,111750.0,796.0,28710.0,17099.25,37084.0,383982.0,44802.125,1812.0,57551.4,228565.875
1984-01-01,10583.8,267404.1111111111,2131609.0,36569.0,300699.0,-867.0,2700549.0,20938.0,20938.0,394328.0,47756.0,169784.0,302907.0,-2190.5,3434085.0,53003.5,107313.0,568940.0,206052.0,206052.0,133123.0,63822.0,261058.0,183419.0,14732.5,136948.2,824.0,31476.0,18462.25,36291.0,457362.0,49659.625,1964.0,65477.6,251196.125
1985-01-01,16645.2,288085.55555555556,2274629.0,38098.0,314980.0,1871.0,2892510.0,20981.0,20981.0,426625.0,54457.0,182884.0,325633.0,-82.5,3670134.0,56932.0,103791.0,617881.0,219053.0,219053.0,142749.0,71853.0,250141.0,187493.0,14381.5,144630.6,998.0,35961.0,20995.0,25365.0,491570.0,54215.25,2095.0,70650.2,269907.75
1986-01-01,14779.0,306353.3333333333,2356904.0,39474.0,284091.0,2541.0,3007679.0,22795.0,22795.0,453260.0,56922.0,197171.0,353554.0,3511.5,3831445.0,61405.666666666664,100551.0,650774.0,232702.0,232702.0,156383.0,74943.0,225911.0,196362.0,15232.5,153887.4,1018.0,33623.0,17667.0,16957.0,518909.0,58793.25,2245.0,73446.2,286077.0
1987-01-01,13718.8,327401.6666666667,2523841.0,48009.0,322803.0,2748.0,3212652.0,28894.0,28894.0,480876.0,59466.0,211788.0,387700.0,-8525.0,4098711.0,61229.833333333336,95117.0,688811.0,255948.0,255948.0,175911.0,78602.0,287611.0,225866.0,18483.0,171880.8,1034.0,32693.0,16594.5,17485.0,550742.0,62071.875,2485.0,76935.8,306424.375
1988-01-01,12909.0,353902.0,2742681.0,56985.0,359258.0,5557.0,3501757.0,26790.0,26790.0,516305.0,66934.0,232293.0,431057.0,-11687.0,4471776.0,66396.5,102750.0,759076.0,296887.0,296887.0,198764.0,82550.0,333159.0,267942.0,17491.0,195314.4,1059.0,32548.0,17867.75,22658.0,609593.0,67990.0,2677.0,83202.8,330258.125
