Date,Consumption of fixed capital,Gross value added of nonfinancial corporate business,Net value added
1947-01-01,60179.0,690756.0,630577.0
1947-04-01,61337.0,704526.0,643189.0
1947-07-01,62541.0,704750.0,642210.0
1947-10-01,63795.0,715584.0,651789.0
1948-01-01,65104.0,749094.0,683990.0
1948-04-01,66300.0,759728.0,693428.0
1948-07-01,67377.0,757923.0,690546.0
1948-10-01,68332.0,767479.0,699148.0
1949-01-01,69161.0,758181.0,689020.0
1949-04-01,69960.0,748808.0,678848.0
1949-07-01,70729.0,759259.0,688530.0
1949-10-01,71467.0,740319.0,668852.0
1950-01-01,72175.0,784367.0,712192.0
1950-04-01,72913.0,834710.0,761797.0
1950-07-01,73682.0,877969.0,804287.0
1950-10-01,74480.0,898698.0,824219.0
1951-01-01,75306.0,888425.0,813120.0
1951-04-01,76104.0,889963.0,813860.0
1951-07-01,76873.0,899925.0,823052.0
1951-10-01,77612.0,906900.0,829288.0
1952-01-01,78319.0,914057.0,835739.0
1952-04-01,79127.0,913419.0,834293.0
1952-07-01,80038.0,915485.0,835446.0
1952-10-01,81056.0,978463.0,897407.0
1953-01-01,82183.0,1003400.0,921217.0
1953-04-01,83293.0,1015309.0,932017.0
1953-07-01,84384.0,1008813.0,924429.0
1953-10-01,85458.0,969418.0,883960.0
1954-01-01,86512.0,970635.0,884123.0
1954-04-01,87570.0,976030.0,888460.0
1954-07-01,88632.0,987182.0,898550.0
1954-10-01,89698.0,1023314.0,933616.0
1955-01-01,90768.0,1070353.0,979584.0
1955-04-01,91894.0,1105257.0,1013363.0
1955-07-01,93074.0,1118945.0,1025870.0
1955-10-01,94310.0,1136663.0,1042353.0
1956-01-01,95600.0,1131628.0,1036028.0
1956-04-01,96898.0,1146128.0,1049229.0
1956-07-01,98205.0,1138555.0,1040350.0
1956-10-01,99520.0,1167905.0,1068385.0
1957-01-01,100842.0,1172885.0,1072043.0
1957-04-01,102237.0,1165184.0,1062947.0
1957-07-01,103711.0,1163475.0,1059764.0
1957-10-01,105269.0,1144626.0,1039357.0
1958-01-01,106915.0,1091168.0,984253.0
1958-04-01,108301.0,1088841.0,980540.0
1958-07-01,109419.0,1121951.0,1012532.0
1958-10-01,110263.0,1168161.0,1057898.0
1959-01-01,110829.0,1210532.0,1099703.0
1959-04-01,111398.0,1264313.0,1152914.0
1959-07-01,111972.0,1242760.0,1130788.0
1959-10-01,112552.0,1255704.0,1143152.0
1960-01-01,113138.0,1297836.0,1184698.0
1960-04-01,113875.0,1286996.0,1173122.0
1960-07-01,114764.0,1284971.0,1170207.0
1960-10-01,115809.0,1272110.0,1156301.0
1961-01-01,117012.0,1262596.0,1145584.0
1961-04-01,118210.0,1300209.0,1181999.0
1961-07-01,119402.0,1329632.0,1210230.0
1961-10-01,120588.0,1372517.0,1251929.0
1962-01-01,121769.0,1393975.0,1272206.0
1962-04-01,123048.0,1418578.0,1295530.0
1962-07-01,124428.0,1438838.0,1314410.0
1962-10-01,125911.0,1459744.0,1333834.0
1963-01-01,127497.0,1477367.0,1349870.0
1963-04-01,129088.0,1509154.0,1380067.0
1963-07-01,130682.0,1530045.0,1399363.0
1963-10-01,132278.0,1546414.0,1414136.0
1964-01-01,133877.0,1582736.0,1448860.0
1964-04-01,135638.0,1609712.0,1474074.0
1964-07-01,137565.0,1641659.0,1504093.0
1964-10-01,139661.0,1654073.0,1514413.0
1965-01-01,141927.0,1710230.0,1568304.0
1965-04-01,144383.0,1735606.0,1591224.0
1965-07-01,147032.0,1768500.0,1621467.0
1965-10-01,149878.0,1818781.0,1668903.0
1966-01-01,152924.0,1860573.0,1707649.0
1966-04-01,155947.0,1881563.0,1725616.0
1966-07-01,158945.0,1897094.0,1738149.0
1966-10-01,161916.0,1913481.0,1751565.0
1967-01-01,164858.0,1915941.0,1751083.0
1967-04-01,167750.0,1927511.0,1759761.0
1967-07-01,170592.0,1946139.0,1775547.0
1967-10-01,173381.0,1979301.0,1805920.0
1968-01-01,176117.0,2015609.0,1839492.0
1968-04-01,178977.0,2057575.0,1878598.0
1968-07-01,181961.0,2089103.0,1907142.0
1968-10-01,185073.0,2110837.0,1925764.0
1969-01-01,188314.0,2137491.0,1949177.0
1969-04-01,191437.0,2150001.0,1958564.0
1969-07-01,194439.0,2161452.0,1967013.0
1969-10-01,197318.0,2155038.0,1957721.0
1970-01-01,200070.0,2129177.0,1929108.0
1970-04-01,202682.0,2133781.0,1931099.0
1970-07-01,205150.0,2150609.0,1945459.0
1970-10-01,207473.0,2115414.0,1907941.0
1971-01-01,209646.0,2185166.0,1975520.0
1971-04-01,211834.0,2200273.0,1988439.0
1971-07-01,214042.0,2221525.0,2007483.0
1971-10-01,216273.0,2258237.0,2041964.0
1972-01-01,218530.0,2324919.0,2106389.0
1972-04-01,221406.0,2363781.0,2142375.0
1972-07-01,224876.0,2397583.0,2172707.0
1972-10-01,228879.0,2449791.0,2220911.0
1973-01-01,233315.0,2525401.0,2292086.0
1973-04-01,237363.0,2527891.0,2290527.0
1973-07-01,241122.0,2525164.0,2284042.0
1973-10-01,244658.0,2538911.0,2294253.0
1974-01-01,248012.0,2523304.0,2275292.0
1974-04-01,251104.0,2520750.0,2269646.0
1974-07-01,253926.0,2486513.0,2232587.0
1974-10-01,256469.0,2434136.0,2177668.0
1975-01-01,258721.0,2384462.0,2125741.0
1975-04-01,260872.0,2423205.0,2162333.0
1975-07-01,262923.0,2491759.0,2228836.0
1975-10-01,264874.0,2527342.0,2262467.0
1976-01-01,266728.0,2629875.0,2363147.0
1976-04-01,268911.0,2647398.0,2378487.0
1976-07-01,271427.0,2674266.0,2402839.0
1976-10-01,274278.0,2679928.0,2405650.0
1977-01-01,277469.0,2740360.0,2462891.0
1977-04-01,280783.0,2842909.0,2562126.0
1977-07-01,284221.0,2922952.0,2638731.0
1977-10-01,287784.0,2911727.0,2623943.0
1978-01-01,291474.0,2939905.0,2648431.0
