Date,Business current transfer payments (net),Capital consumption adjustment,Compensation of employees,Consumption of fixed capital,Corporate profits with IVA and CCAdj,Gross value added of corporate business,Gross value added of financial corporate business,Gross value added of nonfinancial corporate business,Inventory valuation adjustment,Net dividends,Net interest and miscellaneous payments,Net operating surplus,Net value added,Profits after tax (without IVA and CCAdj),Profits after tax with IVA and CCAdj,Profits before tax (without IVA and CCAdj),Supplements to wages and salaries,Taxes on corporate income,Taxes on production and imports less subsidies,Undistributed profits after tax (without IVA and CCAdj),Undistributed profits with IVA and CCAdj,Wages and salaries
1947-01-01,606.5,-2268.0,77478.0,8889.5,19703.5,120994.0,5458.0,115535.0,-9652.0,5262.0,559.0,20869.5,109375.5,20335.5,8415.5,31623.5,3904.0,11288.0,11028.0,15654.0,3153.5,73574.0
1947-04-01,593.0,-2410.0,78860.0,9404.0,22687.5,125842.0,5278.0,120564.0,-4676.0,5516.0,544.0,23824.5,113798.5,19095.5,12009.5,29773.5,3982.0,10678.0,11114.0,14148.0,6493.5,74878.0
1947-07-01,564.0,-2542.0,81116.0,9893.5,22781.5,128759.0,5114.0,123645.0,-4048.0,5750.0,515.0,23860.5,116308.5,18849.5,12259.5,29371.5,4134.0,10522.0,11332.0,13664.0,6509.5,76982.0
1947-10-01,561.0,-2664.5,84344.0,10357.0,24065.5,134417.0,5317.0,129100.0,-5220.0,5604.0,470.5,25097.5,121401.5,20498.0,12613.5,31950.0,4278.0,11452.0,11960.0,15535.0,7009.5,80066.0
1948-01-01,586.0,-2776.5,87284.0,10795.5,27675.5,141649.0,5604.0,136045.0,-2876.0,6156.0,446.0,28707.0,128051.0,21574.0,15921.5,33328.0,4082.0,11754.0,12060.0,16155.0,9765.5,83202.0
1948-04-01,585.5,-2847.5,88020.0,11174.0,29269.0,144979.0,5900.0,139080.0,-2868.0,5750.0,420.5,30275.5,130855.5,22614.5,16899.0,34984.5,4080.0,12370.0,12560.0,17685.0,11149.0,83940.0
1948-07-01,591.5,-2877.5,90744.0,11493.5,28584.5,147673.0,6173.0,141499.0,-2796.0,6182.0,422.5,29598.5,133092.5,22148.0,16474.5,34258.0,4140.0,12110.0,12750.0,16843.0,10292.5,86604.0
1948-10-01,600.5,-2866.5,91108.0,11753.0,29962.0,149954.0,6413.0,143541.0,-68.0,6400.0,439.5,31002.5,134994.5,21261.0,18326.0,32897.0,4174.0,11636.0,12884.0,15796.0,11926.0,86934.0
1949-01-01,561.0,-2814.5,89152.0,11953.5,28259.5,146620.0,6615.0,140005.0,1404.0,6284.0,488.5,29309.0,131359.0,19198.0,17787.5,29670.0,4176.0,10472.0,12898.0,13895.0,11503.5,84976.0
1949-04-01,557.5,-2762.5,87056.0,12136.0,25951.0,142641.0,6686.0,135955.0,2836.0,6264.0,495.5,27004.0,127162.0,16729.5,16803.0,25877.5,4290.0,9148.0,13102.0,11464.0,10539.0,82766.0
1949-07-01,564.0,-2709.5,86140.0,12301.5,27245.0,143434.0,6738.0,136696.0,2984.0,6166.0,477.0,28286.0,127764.0,17413.0,17687.0,26971.0,4350.0,9558.0,13338.0,12260.0,11521.0,81790.0
1949-10-01,605.0,-2657.0,85052.0,12449.0,24089.5,139393.0,6883.0,132510.0,200.0,6564.0,442.5,25136.5,123502.5,17180.5,14723.5,26546.5,4426.0,9366.0,13314.0,11613.0,8159.5,80626.0
1950-01-01,579.5,-2603.5,88596.0,12579.0,27402.5,146682.0,6957.0,139726.0,-700.0,7256.0,429.0,28411.0,130625.0,17744.0,14440.5,30706.0,5040.0,12962.0,13618.0,11333.0,7184.5,83556.0
1950-04-01,609.5,-2592.5,93548.0,12826.5,31291.5,156524.0,7121.0,149403.0,-3316.0,7416.0,398.0,32299.0,140137.0,21568.5,15659.5,37200.5,5340.0,15632.0,14290.0,14979.0,8243.5,88208.0
1950-07-01,669.0,-2624.0,99476.0,13191.5,35503.5,168459.0,7321.0,161138.0,-7304.0,7870.0,385.5,36559.0,151607.0,26188.0,16259.5,45432.0,5734.0,19244.0,15572.0,19137.0,8389.5,93742.0
1950-10-01,732.0,-2698.0,104462.0,13674.5,38851.0,176791.0,7592.0,169199.0,-8540.0,8310.0,387.5,39970.0,159320.0,28942.0,17705.0,50088.0,6094.0,21146.0,14888.0,21481.0,9395.0,98368.0
1951-01-01,816.0,-2814.0,109036.0,14275.5,37656.0,182052.0,7767.0,174285.0,-8724.0,7278.0,418.0,38889.5,163893.5,23704.0,12166.0,49194.0,6606.0,25490.0,15968.0,17269.0,4888.0,102430.0
1951-04-01,865.0,-2871.0,112210.0,14759.5,37240.5,184648.0,7927.0,176722.0,-1012.0,7434.0,431.5,38537.5,165925.5,19690.0,15806.5,41124.0,6856.0,21434.0,15178.0,13149.0,8372.5,105354.0
1951-07-01,880.5,-2869.5,112970.0,15128.0,37581.0,186488.0,8177.0,178311.0,3464.0,7358.0,443.5,38905.5,167271.5,17701.0,18295.0,36987.0,6934.0,19286.0,15396.0,11314.0,10937.0,106036.0
1951-10-01,926.0,-2809.0,114506.0,15381.0,38451.5,189972.0,8720.0,181252.0,1476.0,7340.0,454.0,39831.0,170231.0,19178.5,17845.5,39784.5,7154.0,20606.0,15894.0,12944.0,10505.5,107352.0
1952-01-01,931.0,-2689.5,117382.0,15517.5,36253.0,191255.0,8602.0,182653.0,1272.0,6972.0,482.5,37666.5,171436.5,18792.5,17375.0,37670.5,7216.0,18878.0,16388.0,12874.0,10403.0,110166.0
1952-04-01,932.0,-2546.5,117562.0,15704.0,34243.0,190354.0,8949.0,181405.0,1156.0,7576.0,494.5,35669.5,170175.5,17959.5,16569.0,35633.5,7262.0,17674.0,16944.0,11499.0,8993.0,110300.0
1952-07-01,913.5,-2380.0,119860.0,15941.5,34029.0,193134.0,9325.0,183809.0,700.0,7418.0,509.5,35451.5,172529.5,18136.5,16457.0,35708.5,7400.0,17572.0,17218.0,11894.0,9039.0,112460.0
1952-10-01,946.5,-2190.0,126766.0,16229.0,38336.5,205365.0,9702.0,195663.0,796.0,7646.0,529.5,39813.0,184285.0,20286.5,18892.5,39730.5,7618.0,19444.0,17706.0,13868.0,11246.5,119148.0
1953-01-01,981.5,-1976.5,129602.0,16566.5,39273.0,209942.0,9812.0,200130.0,-432.0,7242.0,575.0,40829.0,188469.0,21157.5,18749.0,41681.5,7820.0,20524.0,18038.0,15101.0,11507.0,121782.0
1953-04-01,1000.0,-1785.5,132014.0,16881.0,38377.5,212171.0,10041.0,202130.0,-1596.0,7874.0,613.0,39990.0,190270.0,21152.5,17771.5,41758.5,7978.0,20606.0,18266.0,14450.0,9897.5,124036.0
1953-07-01,970.5,-1617.5,132116.0,17171.0,37243.0,211630.0,10315.0,201315.0,-2004.0,7860.0,663.5,38877.0,189301.0,20793.0,17171.0,40865.0,8114.0,20072.0,18308.0,14165.0,9311.0,124002.0
1953-10-01,927.5,-1472.5,130634.0,17437.5,29977.5,202993.0,10395.0,192598.0,44.0,7698.0,725.0,31629.5,180357.5,15981.5,14553.5,31405.5,8146.0,15424.0,18094.0,9535.0,6855.5,122488.0
1954-01-01,836.0,-1350.0,128724.0,17681.0,32299.0,203265.0,10445.0,192820.0,-12.0,7996.0,844.5,33979.0,180361.0,18453.0,17091.0,33661.0,8332.0,15208.0,17658.0,11663.0,9095.0,120392.0
