Date,Compensation of employees (unit labor cost),Consumption of fixed capital,Corporate profits with IVA and CCAdj (unit profits from current production),Net interest and miscellaneous payments,Price per unit of real gross value added of nonfinancial corporate business,Profits after tax with IVA and CCAdj,Taxes on corporate income,Taxes on production and imports less subsidies plus business current transfer payments (net)
1947-01-01,0.11,0.013,0.027,0.001,0.167,0.011,0.016,0.017
1947-04-01,0.11,0.013,0.031,0.001,0.171,0.016,0.015,0.016
1947-07-01,0.113,0.014,0.031,0.001,0.175,0.016,0.015,0.017
1947-10-01,0.116,0.014,0.032,0.001,0.18,0.017,0.016,0.017
1948-01-01,0.114,0.014,0.035,0.001,0.182,0.02,0.015,0.017
1948-04-01,0.113,0.014,0.037,0.001,0.183,0.021,0.016,0.017
1948-07-01,0.117,0.015,0.036,0.001,0.187,0.02,0.016,0.017
1948-10-01,0.116,0.015,0.037,0.001,0.187,0.022,0.015,0.017
1949-01-01,0.115,0.016,0.035,0.001,0.185,0.022,0.013,0.018
1949-04-01,0.114,0.016,0.033,0.001,0.182,0.021,0.012,0.018
1949-07-01,0.111,0.016,0.034,0.001,0.18,0.022,0.012,0.018
1949-10-01,0.112,0.017,0.03,0.001,0.179,0.018,0.012,0.019
1950-01-01,0.11,0.016,0.033,0.001,0.178,0.017,0.016,0.018
1950-04-01,0.11,0.015,0.036,0.001,0.179,0.018,0.018,0.018
1950-07-01,0.111,0.015,0.039,0.001,0.184,0.017,0.021,0.018
1950-10-01,0.114,0.015,0.041,0.001,0.188,0.019,0.023,0.017
1951-01-01,0.12,0.016,0.041,0.001,0.196,0.013,0.028,0.018
1951-04-01,0.123,0.016,0.04,0.001,0.199,0.017,0.023,0.018
1951-07-01,0.123,0.017,0.04,0.001,0.198,0.019,0.021,0.018
1951-10-01,0.124,0.017,0.04,0.001,0.2,0.018,0.022,0.018
1952-01-01,0.126,0.017,0.038,0.001,0.2,0.018,0.02,0.019
1952-04-01,0.126,0.017,0.035,0.001,0.199,0.017,0.019,0.019
1952-07-01,0.128,0.017,0.035,0.001,0.201,0.016,0.018,0.019
1952-10-01,0.127,0.016,0.037,0.001,0.2,0.018,0.019,0.019
1953-01-01,0.126,0.016,0.037,0.001,0.199,0.017,0.02,0.019
1953-04-01,0.127,0.016,0.036,0.001,0.199,0.016,0.02,0.019
1953-07-01,0.128,0.017,0.035,0.001,0.2,0.016,0.019,0.019
