Date,Unit nonlabor cost
1947-01-01,0.03
1947-04-01,0.031
1947-07-01,0.032
1947-10-01,0.033
1948-01-01,0.032
1948-04-01,0.033
1948-07-01,0.033
1948-10-01,0.034
1949-01-01,0.034
1949-04-01,0.035
1949-07-01,0.035
1949-10-01,0.036
1950-01-01,0.035
1950-04-01,0.034
1950-07-01,0.034
1950-10-01,0.033
1951-01-01,0.035
1951-04-01,0.035
1951-07-01,0.035
1951-10-01,0.036
1952-01-01,0.037
1952-04-01,0.037
1952-07-01,0.038
1952-10-01,0.036
1953-01-01,0.036
1953-04-01,0.036
1953-07-01,0.037
1953-10-01,0.038
1954-01-01,0.038
1954-04-01,0.038
1954-07-01,0.038
1954-10-01,0.037
1955-01-01,0.037
1955-04-01,0.036
1955-07-01,0.037
1955-10-01,0.037
1956-01-01,0.038
1956-04-01,0.039
1956-07-01,0.04
1956-10-01,0.04
1957-01-01,0.041
1957-04-01,0.042
1957-07-01,0.043
1957-10-01,0.044
1958-01-01,0.047
1958-04-01,0.047
1958-07-01,0.046
1958-10-01,0.045
1959-01-01,0.044
1959-04-01,0.043
1959-07-01,0.045
1959-10-01,0.045
1960-01-01,0.044
1960-04-01,0.045
1960-07-01,0.046
1960-10-01,0.047
1961-01-01,0.048
1961-04-01,0.047
1961-07-01,0.046
1961-10-01,0.046
1962-01-01,0.046
1962-04-01,0.046
1962-07-01,0.046
1962-10-01,0.046
1963-01-01,0.046
1963-04-01,0.046
1963-07-01,0.046
1963-10-01,0.046
1964-01-01,0.046
1964-04-01,0.046
1964-07-01,0.046
1964-10-01,0.046
1965-01-01,0.046
1965-04-01,0.046
1965-07-01,0.046
1965-10-01,0.045
1966-01-01,0.045
1966-04-01,0.045
1966-07-01,0.046
1966-10-01,0.046
1967-01-01,0.047
1967-04-01,0.048
1967-07-01,0.049
1967-10-01,0.05
1968-01-01,0.05
1968-04-01,0.051
1968-07-01,0.052
1968-10-01,0.053
1969-01-01,0.054
1969-04-01,0.055
1969-07-01,0.056
1969-10-01,0.058
1970-01-01,0.061
1970-04-01,0.062
1970-07-01,0.063
1970-10-01,0.066
1971-01-01,0.065
1971-04-01,0.066
1971-07-01,0.067
1971-10-01,0.067
1972-01-01,0.066
1972-04-01,0.066
1972-07-01,0.066
1972-10-01,0.067
1973-01-01,0.067
1973-04-01,0.069
1973-07-01,0.071
1973-10-01,0.073
1974-01-01,0.075
1974-04-01,0.078
1974-07-01,0.081
1974-10-01,0.086
1975-01-01,0.091
1975-04-01,0.092
1975-07-01,0.092
1975-10-01,0.092
1976-01-01,0.089
1976-04-01,0.09
1976-07-01,0.091
1976-10-01,0.093
1977-01-01,0.094
1977-04-01,0.093
1977-07-01,0.093
1977-10-01,0.097
