Date,Business current transfer payments (net),Corporate profits with inventory valuation and capital consumption adjustments,Dividend payments to the rest of the world,Dividend receipts from the rest of the world,Income payments on assets,Income receipts on assets,Interest,Interest and miscellaneous payments,Net dividends,Net operating surplus,Profits after tax with inventory valuation and capital consumption adjustments,Proprietors' income with inventory valuation and capital consumption adjustments,Reinvested earnings on U.S. direct investment abroad,Reinvested earnings on foreign direct investment in the United States,Rental income of persons with capital consumption adjustment,Sources of private enterprise income,Taxes on corporate income,To government,To government (net),To persons (net),To the rest of the world,To the rest of the world (net),Undistributed corporate profits with inventory valuation and capital consumption adjustments,Uses of private enterprise income
1948-01-01,707.0,31393.0,235.0,1071.0,11857.0,10741.0,9089.0,11466.0,7203.0,79979.0,19139.0,39279.0,581.0,156.0,7484.0,90719.0,12254.0,12254.0,337.0,371.0,0.0,,11936.0,90719.0
1949-01-01,688.0,29058.0,286.0,1118.0,13004.0,11473.0,9919.0,12575.0,7431.0,73765.0,19048.0,34690.0,436.0,143.0,7798.0,85238.0,10010.0,10010.0,334.0,355.0,0.0,,11617.0,85238.0
1950-01-01,824.0,36059.0,308.0,1292.0,14339.0,12641.0,10874.0,13841.0,9035.0,84874.0,18331.0,37514.0,475.0,190.0,8779.0,97514.0,17728.0,17728.0,269.0,555.0,0.0,,9296.0,97514.0
1951-01-01,1159.0,41198.0,336.0,1498.0,15993.0,14308.0,12059.0,15488.0,8825.0,96355.0,18894.0,42594.0,751.0,169.0,9720.0,110663.0,22304.0,22304.0,287.0,873.0,0.0,,10069.0,110663.0
1952-01-01,1199.0,39665.0,323.0,1422.0,17993.0,16014.0,13669.0,17536.0,8852.0,96699.0,20558.0,43040.0,923.0,134.0,10816.0,112713.0,19107.0,19107.0,309.0,888.0,0.0,,11706.0,112713.0
1953-01-01,1153.0,40294.0,327.0,1462.0,20093.0,17488.0,15200.0,19603.0,9229.0,98097.0,20350.0,42017.0,826.0,163.0,12028.0,115585.0,19944.0,19944.0,312.0,842.0,0.0,,11121.0,115586.0
1954-01-01,916.0,39460.0,318.0,1740.0,22070.0,18860.0,16418.0,21590.0,9558.0,98903.0,22112.0,42255.0,702.0,162.0,13061.0,117763.0,17348.0,17348.0,348.0,567.0,0.0,,12554.0,117762.0
1955-01-01,1298.0,50168.0,349.0,1928.0,24751.0,21360.0,18470.0,24215.0,10730.0,112552.0,28379.0,44272.0,962.0,187.0,13423.0,133912.0,21789.0,21789.0,367.0,930.0,0.0,,17649.0,133911.0
1956-01-01,1651.0,49646.0,368.0,2181.0,28043.0,24419.0,21063.0,27508.0,11682.0,114408.0,28055.0,45819.0,1175.0,167.0,13668.0,138827.0,21591.0,21591.0,416.0,1235.0,0.0,,16373.0,138827.0
1957-01-01,1823.0,49140.0,381.0,2267.0,32255.0,27717.0,24087.0,31717.0,12285.0,117340.0,28260.0,47785.0,1363.0,157.0,14054.0,145056.0,20880.0,20880.0,428.0,1395.0,0.0,,15975.0,145056.0
