Date,Command-basis gross domestic product,Command-basis gross national product,Command-basis net domestic product,Command-basis net national product,Final sales to domestic purchasers,Final sales to private domestic purchasers,Gross domestic product (GDP),Gross domestic purchases,Gross national product,Net domestic product,Net national product
1947-04-01,0.3,0.5,0.7,0.9,2.9,3.5,-1.0,-0.5,-0.9,-0.9,-0.8
1947-07-01,0.1,0.2,0.4,0.4,2.9,3.5,-0.8,-0.8,-0.8,-0.8,-0.7
1947-10-01,8.0,8.1,9.2,9.3,4.8,6.4,6.4,11.3,6.5,7.4,7.5
1948-01-01,4.2,4.4,4.7,4.9,4.6,4.2,6.2,9.5,6.3,6.9,7.1
1948-04-01,5.2,5.3,5.8,5.9,5.4,3.6,6.8,10.1,6.9,7.6,7.7
1948-07-01,2.4,2.4,2.6,2.6,1.1,-0.4,2.3,2.6,2.3,2.6,2.5
1948-10-01,1.7,1.7,1.9,1.8,3.9,1.7,0.5,1.0,0.4,0.4,0.4
1949-01-01,-6.2,-6.3,-7.1,-7.1,-1.4,-3.9,-5.4,-8.3,-5.5,-6.2,-6.3
1949-04-01,-3.1,-3.1,-3.6,-3.6,5.4,2.6,-1.4,-1.4,-1.4,-1.7,-1.7
1949-07-01,5.0,4.9,5.6,5.4,0.9,0.6,4.2,5.7,4.1,4.6,4.5
1949-10-01,-3.4,-3.6,-4.1,-4.3,4.9,7.7,-3.3,-0.4,-3.5,-3.9,-4.1
1950-01-01,16.6,16.7,18.8,18.9,7.0,10.4,16.7,17.6,16.7,18.8,18.9
1950-04-01,12.1,12.2,13.5,13.5,12.0,12.9,12.7,13.5,12.8,14.2,14.3
1950-07-01,16.4,16.7,18.2,18.6,18.4,24.1,16.4,19.8,16.7,18.2,18.6
1950-10-01,8.6,8.5,9.3,9.2,-4.6,-10.7,7.9,6.6,7.8,8.5,8.4
1951-01-01,6.1,5.9,6.4,6.2,11.7,4.5,5.5,4.7,5.4,5.8,5.6
1951-04-01,7.2,7.6,7.6,8.0,-0.1,-12.0,7.1,4.7,7.5,7.5,7.9
1951-07-01,7.5,7.6,7.9,8.0,11.9,2.6,8.5,6.4,8.6,9.0,9.1
1951-10-01,0.4,0.6,-0.1,0.0,6.0,1.2,0.9,0.7,1.0,0.4,0.6
1952-01-01,3.8,3.6,3.6,3.4,4.4,2.0,4.3,5.1,4.2,4.2,4.0
1952-04-01,0.0,0.0,-0.6,-0.6,9.4,7.8,0.8,3.1,0.9,0.3,0.3
1952-07-01,4.7,4.6,4.5,4.5,-1.1,-2.8,2.9,5.5,2.8,2.6,2.5
1952-10-01,13.7,13.6,14.7,14.6,15.4,18.4,13.8,15.3,13.7,14.8,14.6
1953-01-01,7.6,7.5,7.7,7.6,8.7,7.1,7.7,7.5,7.5,7.8,7.7
1953-04-01,3.1,3.2,2.7,2.9,4.0,2.6,3.1,3.9,3.3,2.8,2.9
