Date,Average of GDP and GDI,Disposable personal income,Final sales to domestic purchasers,Final sales to private domestic purchasers,Gross domestic income (GDI),Gross domestic product (GDP),Gross domestic purchases,Gross national income,Gross national product,National income,Net domestic income,Net domestic product,Net national product
1947-01-01,241628.0,170548.0,231794.0,191520.0,240092.0,243164.0,232289.0,241071.0,244142.0,213000.0,212021.0,215093.0,216071.0
1947-04-01,244588.0,170245.0,235913.0,195775.0,243209.0,245968.0,234674.0,244305.0,247063.0,215599.0,214503.0,217262.0,218357.0
1947-07-01,248582.0,178047.0,240732.0,201370.0,247579.0,249585.0,237815.0,248711.0,250716.0,219196.0,218064.0,220070.0,221201.0
1947-10-01,257934.0,179916.0,249000.0,209466.0,256122.0,259745.0,250456.0,257358.0,260981.0,227168.0,225932.0,229555.0,230791.0
1948-01-01,265406.0,185295.0,254823.0,213948.0,265070.0,265742.0,258449.0,266461.0,267133.0,235846.0,234455.0,235127.0,236518.0
1948-04-01,273110.0,193025.0,261503.0,218619.0,273654.0,272567.0,267362.0,275134.0,274046.0,244048.0,242568.0,241481.0,242960.0
1948-07-01,279069.0,199178.0,267096.0,222436.0,278941.0,279196.0,274247.0,280424.0,280679.0,248774.0,247291.0,247547.0,249030.0
1948-10-01,280795.0,199673.0,269868.0,223265.0,281223.0,280366.0,275865.0,282694.0,281837.0,250735.0,249264.0,248407.0,249878.0
1949-01-01,274607.0,194220.0,268168.0,219583.0,274180.0,275034.0,268556.0,275565.0,276420.0,243316.0,241931.0,242785.0,244171.0
1949-04-01,271006.0,193991.0,270216.0,219835.0,270661.0,271351.0,265068.0,271990.0,272680.0,239734.0,238405.0,239095.0,240424.0
1949-07-01,271876.0,194108.0,269018.0,218662.0,270863.0,272889.0,267710.0,272135.0,274162.0,239881.0,238609.0,240635.0,241908.0
1949-10-01,268929.0,195034.0,272326.0,222416.0,267232.0,270627.0,267628.0,268365.0,271760.0,235983.0,234850.0,238244.0,239377.0
1950-01-01,279167.0,209698.0,276601.0,227645.0,277506.0,280828.0,278625.0,278734.0,282056.0,246329.0,245101.0,248423.0,249651.0
1950-04-01,290157.0,210065.0,285907.0,236264.0,289932.0,290383.0,288740.0,291249.0,291699.0,258480.0,257163.0,257614.0,258930.0
1950-07-01,307839.0,217145.0,304716.0,254970.0,307524.0,308153.0,308893.0,309131.0,309760.0,275559.0,273952.0,274582.0,276189.0
1950-10-01,319621.0,222384.0,306055.0,252342.0,319297.0,319945.0,320099.0,320906.0,321554.0,286083.0,284474.0,285122.0,286731.0
1951-01-01,334267.0,229715.0,325437.0,263403.0,332534.0,336000.0,335823.0,334071.0,337537.0,297818.0,296281.0,299746.0,301283.0
