Date,Average of GDP and GDI,Command-basis gross domestic product,Command-basis gross national product,Command-basis net domestic product,Command-basis net national product,Disposable personal income,Final sales to domestic purchasers,Final sales to private domestic purchasers,Gross domestic income (GDI),Gross domestic product (GDP),Gross domestic purchases,Gross national income,Gross national product,Net domestic income,Net domestic product,Net national product
1947-01-01,2168894.0,2207925.0,2216805.0,2024039.0,2033242.0,1475895.0,2130684.0,1573641.0,2155107.0,2182681.0,2110969.0,2169189.0,2196821.0,1973185.0,2001773.0,2016021.0
1947-04-01,2164684.0,2209553.0,2219389.0,2027513.0,2037731.0,1461568.0,2145709.0,1587300.0,2152475.0,2176892.0,2108470.0,2167121.0,2191585.0,1971927.0,1997290.0,2012114.0
1947-07-01,2163701.0,2210331.0,2220347.0,2029525.0,2039955.0,1500603.0,2161001.0,1600899.0,2154969.0,2172432.0,2104181.0,2169565.0,2187057.0,1975401.0,1993576.0,2008331.0
1947-10-01,2191064.0,2253125.0,2263847.0,2074527.0,2085697.0,1479486.0,2186627.0,1626037.0,2175676.0,2206452.0,2161460.0,2190947.0,2221790.0,1997326.0,2029354.0,2044854.0
1948-01-01,2236850.0,2276411.0,2288327.0,2098542.0,2110957.0,1507039.0,2210989.0,1642923.0,2234019.0,2239682.0,2210816.0,2250560.0,2256235.0,2057837.0,2063734.0,2080502.0
1948-04-01,2281230.0,2305368.0,2317878.0,2128303.0,2141338.0,1553784.0,2240241.0,1657677.0,2285769.0,2276690.0,2264672.0,2303119.0,2294013.0,2111389.0,2101928.0,2119498.0
1948-07-01,2288721.0,2319229.0,2331548.0,2142238.0,2155072.0,1579120.0,2246332.0,1656227.0,2287672.0,2289770.0,2279093.0,2305087.0,2307190.0,2112918.0,2115104.0,2132775.0
1948-10-01,2295869.0,2329269.0,2341490.0,2152228.0,2164973.0,1588002.0,2267855.0,1662956.0,2299374.0,2292364.0,2284786.0,2316804.0,2309778.0,2124602.0,2117295.0,2134959.0
1949-01-01,2257298.0,2292288.0,2303839.0,2113133.0,2125197.0,1556734.0,2259826.0,1646466.0,2253788.0,2260807.0,2236042.0,2270508.0,2277553.0,2076454.0,2083783.0,2100747.0
1949-04-01,2250266.0,2274534.0,2285674.0,2093908.0,2105547.0,1564437.0,2289615.0,1657082.0,2247403.0,2253128.0,2228304.0,2263729.0,2269468.0,2069086.0,2075070.0,2091609.0
