Date,"Population (midperiod, thousands)"
1947-01-01,143143.0
1947-04-01,143790.0
1947-07-01,144449.0
1947-10-01,145122.0
1948-01-01,145709.0
1948-04-01,146289.0
1948-07-01,146921.0
1948-10-01,147607.0
1949-01-01,148254.0
1949-04-01,148847.0
1949-07-01,149485.0
1949-10-01,150167.0
1950-01-01,150786.0
1950-04-01,151319.0
1950-07-01,151973.0
1950-10-01,152658.0
1951-01-01,153291.0
1951-04-01,153902.0
1951-07-01,154610.0
1951-10-01,155344.0
1952-01-01,155976.0
1952-04-01,156587.0
1952-07-01,157267.0
1952-10-01,157986.0
1953-01-01,158574.0
1953-04-01,159160.0
1953-07-01,159889.0
1953-10-01,160639.0
1954-01-01,161328.0
1954-04-01,161983.0
1954-07-01,162731.0
1954-10-01,163524.0
1955-01-01,164204.0
1955-04-01,164864.0
1955-07-01,165612.0
1955-10-01,166419.0
1956-01-01,167109.0
1956-04-01,167788.0
1956-07-01,168573.0
1956-10-01,169416.0
1957-01-01,170172.0
1957-04-01,170869.0
1957-07-01,171638.0
1957-10-01,172417.0
1958-01-01,173064.0
1958-04-01,173729.0
1958-07-01,174483.0
1958-10-01,175288.0
1959-01-01,176045.0
1959-04-01,176727.0
1959-07-01,177481.0
1959-10-01,178268.0
1960-01-01,179319.0
1960-04-01,180401.0
1960-07-01,181301.0
1960-10-01,182019.0
1961-01-01,182634.0
1961-04-01,183337.0
1961-07-01,184103.0
1961-10-01,184894.0
1962-01-01,185553.0
1962-04-01,186203.0
1962-07-01,186926.0
1962-10-01,187680.0
1963-01-01,188299.0
1963-04-01,188906.0
1963-07-01,189631.0
1963-10-01,190362.0
1964-01-01,190954.0
1964-04-01,191560.0
1964-07-01,192256.0
1964-10-01,192938.0
1965-01-01,193467.0
1965-04-01,193994.0
1965-07-01,194647.0
1965-10-01,195279.0
1966-01-01,195763.0
1966-04-01,196277.0
1966-07-01,196877.0
1966-10-01,197481.0
1967-01-01,197967.0
1967-04-01,198455.0
1967-07-01,199012.0
1967-10-01,199572.0
1968-01-01,199995.0
1968-04-01,200452.0
1968-07-01,200997.0
1968-10-01,201538.0
1969-01-01,201955.0
1969-04-01,202419.0
1969-07-01,202986.0
1969-10-01,203584.0
1970-01-01,204086.0
1970-04-01,204721.0
1970-07-01,205419.0
1970-10-01,206130.0
1971-01-01,206763.0
1971-04-01,207362.0
1971-07-01,208000.0
1971-10-01,208642.0
1972-01-01,209142.0
1972-04-01,209637.0
1972-07-01,210181.0
1972-10-01,210737.0
1973-01-01,211192.0
1973-04-01,211663.0
1973-07-01,212191.0
1973-10-01,212708.0
1974-01-01,213144.0
1974-04-01,213602.0
1974-07-01,214147.0
1974-10-01,214700.0
1975-01-01,215135.0
1975-04-01,215652.0
1975-07-01,216289.0
1975-10-01,216848.0
1976-01-01,217314.0
1976-04-01,217776.0
1976-07-01,218338.0
1976-10-01,218917.0
1977-01-01,219427.0
1977-04-01,219956.0
1977-07-01,220573.0
1977-10-01,221201.0
1978-01-01,221719.0
1978-04-01,222281.0
1978-07-01,222933.0
1978-10-01,223583.0
1979-01-01,224152.0
1979-04-01,224737.0
1979-07-01,225418.0
1979-10-01,226117.0
1980-01-01,226754.0
1980-04-01,227389.0
1980-07-01,228070.0
1980-10-01,228689.0
1981-01-01,229155.0
1981-04-01,229674.0
1981-07-01,230301.0
1981-10-01,230903.0
1982-01-01,231395.0
1982-04-01,231906.0
1982-07-01,232498.0
1982-10-01,233074.0
1983-01-01,233546.0
1983-04-01,234028.0
1983-07-01,234603.0
1983-10-01,235153.0
1984-01-01,235605.0
1984-04-01,236082.0
1984-07-01,236657.0
1984-10-01,237232.0
1985-01-01,237673.0
1985-04-01,238176.0
1985-07-01,238789.0
1985-10-01,239387.0
1986-01-01,239861.0
1986-04-01,240368.0
1986-07-01,240962.0
1986-10-01,241539.0
1987-01-01,242009.0
1987-04-01,242520.0
1987-07-01,243120.0
1987-10-01,243721.0
1988-01-01,244208.0
1988-04-01,244716.0
1988-07-01,245354.0
1988-10-01,245966.0
1989-01-01,246460.0
1989-04-01,247017.0
1989-07-01,247698.0
1989-10-01,248374.0
1990-01-01,248936.0
1990-04-01,249711.0
1990-07-01,250595.0
1990-10-01,251482.0
1991-01-01,252258.0
1991-04-01,253063.0
1991-07-01,253965.0
1991-10-01,254835.0
1992-01-01,255585.0
1992-04-01,256439.0
1992-07-01,257386.0
1992-10-01,258277.0
1993-01-01,259039.0
1993-04-01,259826.0
1993-07-01,260714.0
1993-10-01,261547.0
1994-01-01,262250.0
1994-04-01,263020.0
1994-07-01,263870.0
1994-10-01,264678.0
1995-01-01,265388.0
1995-04-01,266142.0
1995-07-01,267000.0
1995-10-01,267820.0
1996-01-01,268487.0
1996-04-01,269251.0
1996-07-01,270128.0
1996-10-01,270991.0
1997-01-01,271709.0
1997-04-01,272487.0
1997-07-01,273391.0
1997-10-01,274246.0
1998-01-01,274950.0
1998-04-01,275703.0
1998-07-01,276564.0
1998-10-01,277400.0
1999-01-01,278103.0
1999-04-01,278864.0
1999-07-01,279751.0
1999-10-01,280592.0
2000-01-01,281304.0
2000-04-01,282002.0
2000-07-01,282769.0
2000-10-01,283518.0
2001-01-01,284169.0
2001-04-01,284838.0
2001-07-01,285584.0
2001-10-01,286311.0
2002-01-01,286935.0
2002-04-01,287574.0
2002-07-01,288303.0
2002-10-01,289007.0
2003-01-01,289609.0
2003-04-01,290253.0
2003-07-01,290974.0
2003-10-01,291669.0
2004-01-01,292237.0
2004-04-01,292875.0
2004-07-01,293603.0
2004-10-01,294334.0
2005-01-01,294957.0
2005-04-01,295588.0
2005-07-01,296340.0
2005-10-01,297086.0
2006-01-01,297736.0
2006-04-01,298408.0
2006-07-01,299180.0
2006-10-01,299946.0
2007-01-01,300609.0
2007-04-01,301284.0
2007-07-01,302062.0
2007-10-01,302829.0
2008-01-01,303494.0
2008-04-01,304160.0
2008-07-01,304902.0
2008-10-01,305616.0
2009-01-01,306237.0
2009-04-01,306866.0
2009-07-01,307573.0
2009-10-01,308285.0
2010-01-01,308901.0
