Date,Goods-producing industries,Government,Manufacturing,Other services-producing industries,Private industries,Services-producing industries,"Trade, transportation, and utilities",Wages and salaries
2001-01-01,1069912.0,801784.0,740306.0,2254755.0,4177675.0,3107763.0,853008.0,4979459.0
2001-04-01,1054357.0,813978.0,722601.0,2243865.0,4147413.0,3093056.0,849191.0,4961391.0
2001-07-01,1032931.0,828908.0,701461.0,2230042.0,4107022.0,3074091.0,844049.0,4935931.0
2001-10-01,1020275.0,843322.0,689128.0,2233670.0,4094437.0,3074162.0,840492.0,4937759.0
2002-01-01,1012836.0,855146.0,680182.0,2235801.0,4090725.0,3077889.0,842088.0,4945871.0
2002-04-01,1016437.0,868166.0,686108.0,2266185.0,4130152.0,3113714.0,847529.0,4998318.0
2002-07-01,1008649.0,879779.0,678017.0,2274310.0,4132342.0,3123693.0,849383.0,5012121.0
2002-10-01,1004770.0,888373.0,673612.0,2285811.0,4138691.0,3133921.0,848111.0,5027065.0
2003-01-01,995954.0,901176.0,667597.0,2278315.0,4125830.0,3129876.0,851561.0,5027006.0
2003-04-01,1000885.0,911947.0,667873.0,2333015.0,4189413.0,3188529.0,855513.0,5101360.0
2003-07-01,1006487.0,917751.0,668916.0,2379627.0,4250978.0,3244491.0,864863.0,5168728.0
2003-10-01,1035706.0,924933.0,689791.0,2414675.0,4331048.0,3295342.0,880667.0,5255981.0
2004-01-01,1020619.0,936559.0,674045.0,2437114.0,4337902.0,3317283.0,880169.0,5274461.0
2004-04-01,1046630.0,948262.0,688919.0,2486812.0,4432464.0,3385834.0,899022.0,5380726.0
2004-07-01,1073381.0,956626.0,706568.0,2544584.0,4536146.0,3462766.0,918181.0,5492772.0
2004-10-01,1068694.0,967909.0,702054.0,2576626.0,4568186.0,3499492.0,922867.0,5536095.0
2005-01-01,1082227.0,977820.0,704895.0,2586795.0,4596804.0,3514577.0,927782.0,5574624.0
2005-04-01,1090196.0,986120.0,706008.0,2625114.0,4651722.0,3561526.0,936412.0,5637841.0
2005-07-01,1110760.0,995511.0,712808.0,2682594.0,4742755.0,3631995.0,949401.0,5738267.0
2005-10-01,1117643.0,1005828.0,714973.0,2732149.0,4808956.0,3691312.0,959163.0,5814784.0
2006-01-01,1169482.0,1014610.0,739035.0,2804601.0,4956775.0,3787292.0,982691.0,5971384.0
2006-04-01,1166715.0,1025795.0,735238.0,2831871.0,4986834.0,3820118.0,988248.0,6012628.0
2006-07-01,1163555.0,1041941.0,733034.0,2861216.0,5019945.0,3856390.0,995174.0,6061887.0
2006-10-01,1182328.0,1055752.0,741001.0,2933399.0,5125304.0,3942976.0,1009576.0,6181056.0
2007-01-01,1205094.0,1071605.0,752841.0,3035118.0,5272146.0,4067052.0,1031934.0,6343751.0
2007-04-01,1210936.0,1080510.0,753123.0,3033097.0,5289822.0,4078887.0,1045790.0,6370332.0
2007-07-01,1205263.0,1093595.0,748988.0,3057756.0,5303967.0,4098704.0,1040948.0,6397562.0
2007-10-01,1213136.0,1108468.0,749199.0,3100670.0,5365453.0,4152317.0,1051646.0,6473921.0
2008-01-01,1217165.0,1124808.0,749604.0,3143248.0,5414586.0,4197421.0,1054172.0,6539394.0
2008-04-01,1210384.0,1135996.0,745918.0,3137739.0,5396659.0,4186275.0,1048535.0,6532655.0
2008-07-01,1197426.0,1151172.0,739015.0,3153516.0,5395983.0,4198556.0,1045041.0,6547155.0
2008-10-01,1179910.0,1163429.0,725232.0,3137620.0,5353750.0,4173840.0,1036220.0,6517178.0
2009-01-01,1089715.0,1162798.0,673394.0,2982371.0,5062780.0,3973065.0,990694.0,6225578.0
2009-04-01,1055074.0,1176045.0,658511.0,3040457.0,5078441.0,4023367.0,982910.0,6254486.0
2009-07-01,1037940.0,1178993.0,648705.0,3042092.0,5058222.0,4020282.0,978190.0,6237216.0
2009-10-01,1041894.0,1183056.0,661554.0,3069622.0,5096102.0,4054208.0,984586.0,6279158.0
2010-01-01,1021417.0,1185755.0,648501.0,3053739.0,5047491.0,4026075.0,972336.0,6233246.0
2010-04-01,1048543.0,1196595.0,672005.0,3119693.0,5164100.0,4115556.0,995863.0,6360695.0
2010-07-01,1061814.0,1191252.0,681329.0,3161260.0,5231278.0,4169463.0,1008203.0,6422530.0
2010-10-01,1071846.0,1191093.0,691495.0,3195635.0,5282477.0,4210632.0,1014996.0,6473571.0
2011-01-01,1089020.0,1193065.0,704627.0,3261583.0,5384214.0,4295194.0,1033611.0,6577279.0
2011-04-01,1092203.0,1199207.0,703759.0,3277110.0,5409024.0,4316821.0,1039711.0,6608231.0
2011-07-01,1109308.0,1197632.0,710026.0,3323866.0,5483983.0,4374675.0,1050809.0,6681614.0
2011-10-01,1100704.0,1189501.0,705012.0,3298360.0,5448103.0,4347398.0,1049039.0,6637603.0
2012-01-01,1144864.0,1198655.0,729089.0,3408927.0,5637629.0,4492765.0,1083838.0,6836284.0
2012-04-01,1150970.0,1195793.0,733124.0,3446319.0,5680191.0,4529222.0,1082902.0,6875985.0
2012-07-01,1150137.0,1196831.0,732162.0,3468150.0,5709222.0,4559085.0,1090935.0,6906053.0
2012-10-01,1168891.0,1201957.0,739474.0,3612351.0,5892218.0,4723328.0,1110976.0,7094176.0
2013-01-01,1172217.0,1206382.0,739847.0,3554756.0,5837470.0,4665253.0,1110497.0,7043853.0
2013-04-01,1184584.0,1206753.0,744517.0,3595524.0,5896201.0,4711616.0,1116092.0,7102954.0
2013-07-01,1191045.0,1204848.0,747187.0,3600551.0,5908015.0,4716970.0,1116419.0,7112863.0
2013-10-01,1202410.0,1214041.0,752979.0,3648189.0,5982267.0,4779857.0,1131668.0,7196308.0
2014-01-01,1232988.0,1221874.0,770924.0,3752836.0,6136750.0,4903762.0,1150925.0,7358624.0
2014-04-01,1248361.0,1230580.0,774879.0,3765557.0,6178800.0,4930439.0,1164882.0,7409380.0
2014-07-01,1263649.0,1241451.0,781270.0,3818602.0,6261565.0,4997916.0,1179314.0,7503016.0
2014-10-01,1284894.0,1253699.0,794833.0,3894667.0,6380609.0,5095715.0,1201049.0,7634308.0
2015-01-01,1297370.0,1263191.0,802571.0,3963825.0,6482992.0,5185622.0,1221797.0,7746184.0
2015-04-01,1302335.0,1272958.0,805561.0,4022839.0,6557830.0,5255494.0,1232656.0,7830788.0
2015-07-01,1310707.0,1280192.0,809971.0,4067711.0,6622786.0,5312079.0,1244368.0,7902978.0
2015-10-01,1316586.0,1286681.0,810318.0,4105031.0,6671298.0,5354712.0,1249681.0,7957979.0
2016-01-01,1316804.0,1294432.0,809275.0,4133560.0,6698278.0,5381474.0,1247914.0,7992710.0
2016-04-01,1319380.0,1302561.0,809828.0,4163947.0,6736650.0,5417270.0,1253323.0,8039211.0
2016-07-01,1329313.0,1314084.0,814557.0,4212267.0,6805230.0,5475917.0,1263650.0,8119315.0
2016-10-01,1346291.0,1321039.0,822169.0,4265164.0,6892679.0,5546388.0,1281224.0,8213718.0
2017-01-01,1363610.0,1331511.0,830692.0,4320279.0,6979473.0,5615864.0,1295585.0,8310984.0
2017-04-01,1380797.0,1340313.0,840660.0,4377643.0,7061801.0,5681004.0,1303361.0,8402114.0
2017-07-01,1400364.0,1353262.0,848832.0,4446487.0,7164996.0,5764632.0,1318144.0,8518258.0
2017-10-01,1424423.0,1367726.0,863250.0,4543927.0,7298558.0,5874135.0,1330209.0,8666283.0
2018-01-01,1453146.0,1381575.0,877774.0,4580759.0,7380966.0,5927820.0,1347061.0,8762541.0
2018-04-01,1454679.0,1394958.0,874558.0,4638353.0,7448445.0,5993766.0,1355413.0,8843404.0
2018-07-01,1476670.0,1411545.0,887531.0,4712674.0,7557474.0,6080804.0,1368131.0,8969020.0
2018-10-01,1491205.0,1419418.0,894591.0,4738156.0,7604913.0,6113708.0,1375551.0,9024330.0
2019-01-01,1524492.0,1424204.0,908129.0,4866119.0,7797756.0,6273264.0,1407145.0,9221960.0
