Date,Clothing and footwear,Durable goods,Energy goods and services,Final consumption expenditures of nonprofit institutions serving households (NPISHs),Financial services and insurance,Food and beverages purchased for off-premises consumption,Food services and accommodations,Furnishings and durable household equipment,Gasoline and other energy goods,Goods,Gross output of nonprofit institutions,Health care,Household consumption expenditures (for services),Housing,Housing and utilities,Less: Receipts from sales of goods and services by nonprofit institutions,Market-based PCE,Market-based PCE excluding food and energy,Motor vehicles and parts,Nondurable goods,Other durable goods,Other nondurable goods,Other services,PCE excluding food and energy,"PCE excluding food, energy, and housing",PCE services excluding energy and housing,Recreation services,Recreational goods and vehicles,Services,Transportation services
1947-04-01,-0.56,1.17,,,,2.1,,0.7,0.57,4.58,,,,,,,,,0.31,3.41,-0.04,1.3,,,,,,0.19,2.25,
1947-07-01,0.67,0.76,,,,-0.27,,1.1,0.18,1.73,,,,,,,,,-0.87,0.98,0.22,0.4,,,,,,0.31,-0.42,
1947-10-01,-0.12,3.47,,,,-2.28,,1.18,-0.05,1.07,,,,,,,,,2.08,-2.39,0.02,0.06,,,,,,0.19,-0.95,
1948-01-01,-0.52,-0.24,,,,0.45,,-1.0,0.41,0.56,,,,,,,,,1.12,0.81,-0.03,0.46,,,,,,-0.33,1.44,
1948-04-01,0.22,0.49,,,,1.91,,1.32,-0.03,2.45,,,,,,,,,-1.0,1.96,0.02,-0.14,,,,,,0.15,2.28,
1948-07-01,0.39,1.06,,,,-2.02,,0.53,0.06,-0.14,,,,,,,,,0.52,-1.2,0.04,0.37,,,,,,-0.03,0.74,
1948-10-01,1.01,-0.61,,,,1.86,,-1.44,-0.41,1.71,,,,,,,,,1.13,2.32,0.05,-0.15,,,,,,-0.35,1.52,
1949-01-01,0.11,-0.8,,,,0.16,,-1.67,-0.42,-0.36,,,,,,,,,0.84,0.44,-0.12,0.58,,,,,,0.15,1.01,
1949-04-01,-0.47,5.13,,,,0.02,,0.58,0.13,5.43,,,,,,,,,4.71,0.31,0.0,0.63,,,,,,-0.16,0.84,
1949-07-01,-1.35,2.84,,,,-0.38,,1.9,-0.05,1.13,,,,,,,,,0.96,-1.71,-0.05,0.07,,,,,,0.03,-0.22,
1949-10-01,1.85,2.27,,,,-0.07,,1.93,0.28,5.35,,,,,,,,,0.19,3.08,0.14,1.02,,,,,,0.01,0.64,
1950-01-01,0.01,2.07,,,,2.17,,-0.64,0.25,4.44,,,,,,,,,2.08,2.36,0.01,-0.07,,,,,,0.63,2.39,
1950-04-01,0.79,0.36,,,,0.39,,-0.89,0.85,2.46,,,,,,,,,1.36,2.1,0.12,0.07,,,,,,-0.24,4.29,
1950-07-01,1.57,16.27,,,,0.21,,7.28,0.41,19.52,,,,,,,,,6.64,3.25,0.43,1.05,,,,,,1.92,2.66,
1950-10-01,-1.77,-8.7,,,,-0.78,,-5.35,-0.47,-12.48,,,,,,,,,-2.2,-3.78,-0.16,-0.77,,,,,,-0.99,0.95,
1951-01-01,0.72,2.69,,,,0.56,,3.0,0.61,5.91,,,,,,,,,-1.17,3.22,0.21,1.34,,,,,,0.66,4.11,
1951-04-01,-1.52,-9.31,,,,-0.13,,-4.36,-0.22,-11.82,,,,,,,,,-4.31,-2.51,-0.06,-0.65,,,,,,-0.58,0.99,
1951-07-01,0.74,-0.96,,,,1.66,,0.5,0.39,2.81,,,,,,,,,-1.86,3.78,0.1,1.0,,,,,,0.3,1.93,
1951-10-01,0.47,-0.18,,,,-0.52,,0.77,0.33,2.02,,,,,,,,,-1.31,2.2,0.15,1.92,,,,,,0.22,0.33,
1952-01-01,-0.35,0.1,,,,-0.39,,-0.2,-0.13,-1.28,,,,,,,,,0.39,-1.38,-0.04,-0.51,,,,,,-0.05,2.21,
1952-04-01,1.38,0.98,,,,2.65,,-0.04,0.15,5.4,,,,,,,,,1.04,4.42,0.09,0.23,,,,,,-0.11,2.67,
1952-07-01,1.15,-3.42,,,,1.3,,0.23,0.21,-0.23,,,,,,,,,-3.73,3.2,0.1,0.54,,,,,,-0.03,2.16,
1952-10-01,0.9,9.62,,,,0.77,,1.23,0.16,12.39,,,,,,,,,7.81,2.77,0.23,0.94,,,,,,0.35,2.49,
1953-01-01,-1.32,1.97,,,,1.9,,-0.52,-0.01,3.1,,,,,,,,,2.09,1.13,0.04,0.57,,,,,,0.35,1.68,
1953-04-01,0.94,-0.43,,,,0.16,,0.25,-0.11,0.37,,,,,,,,,-0.57,0.8,-0.05,-0.18,,,,,,-0.06,2.06,
1953-07-01,-0.7,-0.49,,,,-0.52,,-0.05,0.18,-2.05,,,,,,,,,-0.24,-1.57,-0.08,-0.53,,,,,,-0.12,1.1,
