Date,Clothing and footwear,Durable goods,Energy goods and services,Final consumption expenditures of nonprofit institutions serving households (NPISHs),Financial services and insurance,Food and beverages purchased for off-premises consumption,Food services and accommodations,Furnishings and durable household equipment,Gasoline and other energy goods,Goods,Gross output of nonprofit institutions,Health care,Household consumption expenditures (for services),Housing,Housing and utilities,Less: Receipts from sales of goods and services by nonprofit institutions,Market-based PCE,Market-based PCE excluding food and energy,Motor vehicles and parts,Nondurable goods,Other durable goods,Other nondurable goods,Other services,PCE excluding food and energy,"PCE excluding food, energy, and housing",PCE services excluding energy and housing,Personal consumption expenditures (PCE),Recreation services,Recreational goods and vehicles,Services,Transportation services
1947-01-01,9.845,2.821,,,,29.235,,5.698,29.213,10.0,,,,,,,,,5.646,17.937,4.492,8.987,,,,,10.168,,0.238,9.491,
1947-04-01,9.726,2.88,,,,29.82,,5.869,30.205,10.18,,,,,,,,,5.747,18.244,4.47,9.367,,,,,10.337,,0.243,9.628,
1947-07-01,9.884,2.921,,,,29.701,,6.148,30.517,10.248,,,,,,,,,5.436,18.328,4.617,9.485,,,,,10.371,,0.253,9.608,
1947-10-01,9.874,3.11,,,,28.962,,6.45,30.44,10.286,,,,,,,,,6.19,18.088,4.634,9.498,,,,,10.374,,0.259,9.558,
1948-01-01,9.781,3.095,,,,29.019,,6.183,31.135,10.301,,,,,,,,,6.6,18.148,4.622,9.633,,,,,10.426,,0.246,9.66,
1948-04-01,9.842,3.116,,,,29.517,,6.515,31.204,10.395,,,,,,,,,6.227,18.325,4.634,9.597,,,,,10.547,,0.251,9.812,
1948-07-01,9.935,3.168,,,,28.851,,6.639,31.522,10.385,,,,,,,,,6.404,18.214,4.654,9.73,,,,,10.563,,0.249,9.864,
1948-10-01,10.158,3.123,,,,29.386,,6.233,31.163,10.454,,,,,,,,,6.78,18.452,4.668,9.719,,,,,10.647,,0.236,9.963,
1949-01-01,10.173,3.066,,,,29.419,,5.756,30.883,10.439,,,,,,,,,7.05,18.524,4.551,9.947,,,,,10.664,,0.241,10.026,
1949-04-01,10.045,3.332,,,,29.418,,5.903,31.346,10.668,,,,,,,,,8.564,18.575,4.529,10.2,,,,,10.828,,0.239,10.077,
1949-07-01,9.679,3.491,,,,29.286,,6.411,31.362,10.722,,,,,,,,,8.848,18.413,4.484,10.307,,,,,10.852,,0.248,10.056,
1949-10-01,10.058,3.63,,,,29.269,,6.936,31.731,10.962,,,,,,,,,8.881,18.714,4.573,10.704,,,,,11.011,,0.26,10.085,
1950-01-01,10.041,3.769,,,,29.925,,6.811,31.897,11.175,,,,,,,,,9.529,18.954,4.591,10.803,,,,,11.195,,0.295,10.211,
1950-04-01,10.215,3.801,,,,30.05,,6.581,33.105,11.295,,,,,,,,,9.977,19.174,4.668,10.906,,,,,11.379,,0.294,10.47,
1950-07-01,10.589,4.702,,,,30.111,,8.546,33.747,12.14,,,,,,,,,12.25,19.505,4.954,11.275,,,,,11.963,,0.361,10.632,
1950-10-01,10.118,4.12,,,,29.808,,6.884,32.932,11.5,,,,,,,,,11.356,19.072,4.774,10.986,,,,,11.603,,0.315,10.7,
1951-01-01,10.331,4.25,,,,29.971,,7.717,34.238,11.753,,,,,,,,,10.919,19.422,4.882,11.408,,,,,11.883,,0.325,10.993,
1951-04-01,9.953,3.64,,,,29.899,,6.406,33.985,11.156,,,,,,,,,9.17,19.138,4.805,11.125,,,,,11.548,,0.293,11.068,
1951-07-01,10.163,3.574,,,,30.43,,6.534,34.857,11.279,,,,,,,,,8.426,19.54,4.884,11.428,,,,,11.682,,0.303,11.206,
1951-10-01,10.306,3.563,,,,30.228,,6.749,35.603,11.37,,,,,,,,,7.864,19.769,5.037,12.05,,,,,11.75,,0.316,11.234,
1952-01-01,10.227,3.583,,,,30.068,,6.698,35.462,11.316,,,,,,,,,7.96,19.606,5.072,11.818,,,,,11.777,,0.326,11.376,
1952-04-01,10.591,3.653,,,,30.892,,6.694,35.867,11.569,,,,,,,,,8.296,20.062,5.193,11.87,,,,,12.008,,0.331,11.551,
1952-07-01,10.912,3.436,,,,31.313,,6.77,36.407,11.557,,,,,,,,,6.786,20.415,5.302,12.047,,,,,12.066,,0.336,11.703,
1952-10-01,11.15,4.029,,,,31.553,,7.133,36.846,12.142,,,,,,,,,9.714,20.714,5.487,12.366,,,,,12.491,,0.354,11.868,
1953-01-01,10.762,4.164,,,,32.219,,6.97,36.977,12.302,,,,,,,,,10.598,20.843,5.494,12.584,,,,,12.638,,0.371,11.985,
1953-04-01,11.024,4.14,,,,32.257,,7.053,36.854,12.325,,,,,,,,,10.362,20.938,5.438,12.527,,,,,12.714,,0.371,12.127,
1953-07-01,10.814,4.114,,,,32.029,,7.041,37.265,12.222,,,,,,,,,10.256,20.746,5.373,12.339,,,,,12.684,,0.37,12.2,
1953-10-01,10.662,3.999,,,,32.036,,7.059,37.18,12.148,,,,,,,,,9.511,20.777,5.335,12.647,,,,,12.599,,0.371,12.108,
1954-01-01,10.787,3.875,,,,32.592,,6.915,37.387,12.14,,,,,,,,,8.906,20.978,5.258,12.52,,,,,12.645,,0.378,12.221,
1954-04-01,10.787,4.062,,,,32.488,,6.901,37.495,12.259,,,,,,,,,9.882,20.922,5.498,12.425,,,,,12.809,,0.389,12.431,
1954-07-01,10.745,4.08,,,,33.194,,7.002,38.265,12.389,,,,,,,,,9.546,21.186,5.8,12.454,,,,,12.983,,0.406,12.646,
1954-10-01,10.984,4.331,,,,33.734,,7.305,39.273,12.735,,,,,,,,,10.506,21.543,5.918,12.537,,,,,13.255,,0.422,12.799,
1955-01-01,11.111,4.72,,,,33.937,,7.707,39.91,13.126,,,,,,,,,12.381,21.766,5.758,12.755,,,,,13.553,,0.432,12.948,
1955-04-01,11.416,4.976,,,,34.457,,7.805,40.886,13.495,,,,,,,,,13.607,22.168,5.978,12.919,,,,,13.812,,0.445,13.043,
1955-07-01,11.322,5.137,,,,34.733,,8.095,41.312,13.683,,,,,,,,,14.09,22.317,6.004,13.154,,,,,13.983,,0.457,13.176,
1955-10-01,11.563,5.001,,,,35.255,,8.086,42.439,13.78,,,,,,,,,13.101,22.77,6.221,13.53,,,,,14.158,,0.465,13.439,
1956-01-01,11.568,4.773,,,,35.792,,8.19,42.86,13.719,,,,,,,,,11.625,23.027,6.109,13.721,,,,,14.181,,0.465,13.568,
1956-04-01,11.611,4.779,,,,35.628,,8.446,42.945,13.699,,,,,,,,,11.198,22.97,6.194,13.628,,,,,14.229,,0.476,13.698,
1956-07-01,11.719,4.695,,,,35.637,,8.29,42.42,13.642,,,,,,,,,10.827,22.985,6.324,13.631,,,,,14.261,,0.476,13.843,
1956-10-01,11.704,4.846,,,,35.924,,8.312,43.356,13.838,,,,,,,,,11.611,23.169,6.448,13.761,,,,,14.457,,0.48,14.024,
1957-01-01,11.558,4.935,,,,36.188,,8.232,43.955,13.967,,,,,,,,,12.398,23.309,6.277,14.013,,,,,14.558,,0.47,14.079,
1957-04-01,11.509,4.818,,,,36.533,,8.218,43.429,13.916,,,,,,,,,11.888,23.397,6.117,14.121,,,,,14.583,,0.46,14.2,
1957-07-01,11.754,4.785,,,,36.877,,8.173,44.277,14.033,,,,,,,,,11.531,23.722,6.471,14.315,,,,,14.699,,0.467,14.303,
1957-10-01,11.454,4.729,,,,36.788,,7.982,44.17,13.923,,,,,,,,,11.56,23.567,6.42,14.317,,,,,14.705,,0.455,14.458,
1958-01-01,11.342,4.415,,,,36.506,,7.983,44.42,13.59,,,,,,,,,9.75,23.355,6.303,14.018,,,,,14.501,,0.457,14.438,
1958-04-01,11.559,4.347,,,,36.456,,7.85,45.748,13.631,,,,,,,,,9.611,23.566,6.265,14.197,,,,,14.621,,0.447,14.649,
1958-07-01,11.819,4.437,,,,36.793,,8.121,46.563,13.889,,,,,,,,,9.618,23.997,6.432,14.726,,,,,14.864,,0.463,14.852,
1958-10-01,12.023,4.6,,,,37.239,,8.245,46.98,14.157,,,,,,,,,10.248,24.327,6.558,14.979,,,,,15.066,,0.477,14.953,
1959-01-01,12.068,4.85,38.967,2.488,10.863,37.919,22.256,8.403,47.063,14.486,11.237,11.821,16.147,17.669,19.103,17.787,,,11.298,24.643,6.46,15.223,20.822,12.395,11.494,13.93,15.342,8.181,0.506,15.139,16.202
1959-04-01,12.378,5.032,38.861,2.476,11.231,38.149,22.552,8.586,47.155,14.715,10.964,11.911,16.395,17.893,19.291,17.17,,,11.995,24.848,6.583,15.227,21.285,12.652,11.754,14.229,15.579,8.379,0.515,15.366,16.445
1959-07-01,12.294,5.13,39.068,2.464,11.455,38.378,23.04,8.629,46.984,14.832,10.735,11.954,16.622,18.182,19.638,16.662,,,12.471,24.943,6.611,15.438,21.32,12.812,11.893,14.416,15.741,8.435,0.516,15.573,16.786
1959-10-01,12.411,4.884,39.175,2.532,11.676,38.631,23.299,8.674,46.982,14.711,10.738,11.922,16.812,18.446,19.915,16.427,,,10.982,25.097,6.723,15.525,21.538,12.807,11.848,14.584,15.759,8.536,0.518,15.762,16.993
1960-01-01,12.448,5.041,39.747,2.695,11.665,38.498,22.914,8.529,47.381,14.859,11.225,12.085,16.936,18.656,20.189,17.015,,,12.128,25.16,6.612,15.722,21.756,12.963,11.994,14.663,15.91,8.734,0.511,15.904,17.089
1960-04-01,12.534,5.156,40.496,2.786,11.808,38.738,23.259,8.605,48.492,15.067,11.484,12.172,17.113,18.84,20.389,17.322,,,12.588,25.435,6.726,16.015,22.006,13.137,12.165,14.823,16.111,8.832,0.518,16.08,17.125
