Date,Clothing and footwear,Durable goods,Energy goods and services,Final consumption expenditures of nonprofit institutions serving households (NPISHs),Financial services and insurance,Food and beverages purchased for off-premises consumption,Food services and accommodations,Furnishings and durable household equipment,Gasoline and other energy goods,Goods,Gross output of nonprofit institutions,Health care,Household consumption expenditures (for services),Housing,Housing and utilities,Less: Receipts from sales of goods and services by nonprofit institutions,Market-based PCE,Market-based PCE excluding food and energy,Motor vehicles and parts,Nondurable goods,Other durable goods,Other nondurable goods,Other services,PCE excluding food and energy,"PCE excluding food, energy, and housing",PCE services excluding energy and housing,Personal consumption expenditures (PCE),Recreation services,Recreational goods and vehicles,Services,Transportation services
1947-01-01,17623.0,20722.0,,,,39079.0,,8844.0,6415.0,95594.0,,,,,,,,,6319.0,74872.0,2749.0,11755.0,,,,,156161.0,,2809.0,60567.0,
1947-04-01,17754.0,21351.0,,,,39964.0,,9234.0,6822.0,98248.0,,,,,,,,,6437.0,76897.0,2768.0,12358.0,,,,,160031.0,,2913.0,61783.0,
1947-07-01,18215.0,21770.0,,,,40652.0,,9767.0,7103.0,100419.0,,,,,,,,,6181.0,78649.0,2800.0,12678.0,,,,,163543.0,,3022.0,63124.0,
1947-10-01,18558.0,23488.0,,,,41073.0,,10383.0,7408.0,103453.0,,,,,,,,,7139.0,79965.0,2828.0,12927.0,,,,,167672.0,,3137.0,64219.0,
1948-01-01,18761.0,23547.0,,,,41553.0,,10015.0,7927.0,105093.0,,,,,,,,,7694.0,81546.0,2822.0,13305.0,,,,,170372.0,,3017.0,65279.0,
1948-04-01,19184.0,24019.0,,,,42455.0,,10690.0,8155.0,107188.0,,,,,,,,,7347.0,83169.0,2859.0,13375.0,,,,,174142.0,,3123.0,66954.0,
1948-07-01,19477.0,25277.0,,,,41763.0,,11047.0,8383.0,108741.0,,,,,,,,,8146.0,83465.0,2894.0,13843.0,,,,,177072.0,,3190.0,68330.0,
1948-10-01,19915.0,24971.0,,,,41580.0,,10404.0,8345.0,108657.0,,,,,,,,,8554.0,83686.0,2921.0,13846.0,,,,,177928.0,,3091.0,69271.0,
1949-01-01,19483.0,24436.0,,,,41046.0,,9456.0,8245.0,107167.0,,,,,,,,,8935.0,82731.0,2855.0,13958.0,,,,,176831.0,,3189.0,69664.0,
1949-04-01,18844.0,26389.0,,,,40631.0,,9511.0,8358.0,108282.0,,,,,,,,,10886.0,81894.0,2831.0,14061.0,,,,,178446.0,,3161.0,70164.0,
