Date,Clothing and footwear,Durable goods,Energy goods and services,Final consumption expenditures of nonprofit institutions serving households (NPISHs),Financial services and insurance,Food and beverages purchased for off-premises consumption,Food services and accommodations,Furnishings and durable household equipment,Gasoline and other energy goods,Goods,Gross output of nonprofit institutions,Health care,Household consumption expenditures (for services),Housing,Housing and utilities,Less: Receipts from sales of goods and services by nonprofit institutions,Market-based PCE,Market-based PCE excluding food and energy,Motor vehicles and parts,Nondurable goods,Other durable goods,Other nondurable goods,Other services,PCE excluding food and energy,"PCE excluding food, energy, and housing",PCE services excluding energy and housing,Personal consumption expenditures (PCE),Recreation services,Recreational goods and vehicles,Residual,Services,Transportation services
2007-01-01,335130.0,969916.0,545560.0,270190.0,1003080.0,871766.0,766353.0,231738.0,316770.0,3397288.0,1179231.0,1736720.0,7521183.0,1837086.0,2175769.0,913279.0,9743460.0,8313499.0,424253.0,2435014.0,148075.0,903205.0,1024202.0,9750985.0,7919909.0,5720786.0,11183323.0,453246.0,190965.0,-39586.0,7785646.0,375685.0
2007-04-01,334914.0,980094.0,541046.0,266615.0,1007339.0,867326.0,769105.0,230336.0,312855.0,3405241.0,1180224.0,1745909.0,7546946.0,1848090.0,2185758.0,918394.0,9772174.0,8351719.0,424790.0,2429864.0,152307.0,907326.0,1022767.0,9789991.0,7948278.0,5732000.0,11212669.0,455233.0,196142.0,-36124.0,7807260.0,374856.0
2007-07-01,337554.0,992086.0,542875.0,270628.0,1022015.0,868047.0,769763.0,231202.0,313868.0,3426664.0,1187025.0,1762547.0,7596324.0,1863953.0,2202412.0,920814.0,9834422.0,8411323.0,422704.0,2437516.0,154815.0,910247.0,1019471.0,9862229.0,8004911.0,5769091.0,11287468.0,460650.0,203570.0,-31662.0,7860926.0,374056.0
2007-10-01,336249.0,999506.0,533386.0,284560.0,1021798.0,871617.0,777877.0,230778.0,312991.0,3433425.0,1199642.0,1770735.0,7620037.0,1884535.0,2211724.0,918044.0,9869552.0,8454524.0,425253.0,2435524.0,154879.0,906909.0,1017264.0,9914921.0,8037989.0,5799138.0,11331949.0,462369.0,207706.0,-30713.0,7900087.0,372914.0
2008-01-01,333725.0,967195.0,533872.0,294420.0,1028918.0,866873.0,766825.0,224751.0,307398.0,3377016.0,1216158.0,1788975.0,7661231.0,1908291.0,2245070.0,923961.0,9838999.0,8427220.0,402649.0,2416648.0,151142.0,901875.0,1014762.0,9902813.0,8004330.0,5818768.0,11316411.0,461156.0,204140.0,-44079.0,7952040.0,370034.0
2008-04-01,341037.0,960307.0,524855.0,307819.0,1038358.0,864653.0,771178.0,224082.0,302629.0,3371949.0,1226659.0,1793987.0,7685824.0,1925129.0,2256639.0,919792.0,9850409.0,8452934.0,387491.0,2420379.0,149542.0,907131.0,1011842.0,9948711.0,8034101.0,5846872.0,11347595.0,463916.0,209371.0,-46560.0,7991302.0,365433.0
2008-07-01,332863.0,927915.0,506937.0,317732.0,1041305.0,850411.0,765525.0,214966.0,294094.0,3301278.0,1238053.0,1800011.0,7667719.0,1933937.0,2251843.0,920503.0,9757487.0,8397957.0,367342.0,2385067.0,147452.0,905692.0,1006057.0,9899844.0,7977846.0,5843739.0,11260136.0,459690.0,205493.0,-59401.0,7984146.0,359240.0
2008-10-01,321562.0,859616.0,528292.0,332378.0,1044330.0,838342.0,756029.0,203808.0,302808.0,3200645.0,1248600.0,1804937.0,7664855.0,1934588.0,2269240.0,915267.0,9627375.0,8250392.0,324163.0,2362307.0,140421.0,893516.0,1004812.0,9781260.0,7860273.0,5839940.0,11158801.0,455516.0,193387.0,-74109.0,7997195.0,346707.0
2009-01-01,317937.0,861124.0,530428.0,325562.0,1042757.0,841398.0,743690.0,197924.0,305244.0,3201452.0,1251602.0,1817906.0,7640771.0,1928487.0,2261024.0,925883.0,9600708.0,8218568.0,332046.0,2361431.0,140187.0,890882.0,998423.0,9747421.0,7832490.0,5814786.0,11130464.0,455128.0,194648.0,-72841.0,7965723.0,338391.0
2009-04-01,312271.0,854876.0,525468.0,317711.0,1037543.0,846751.0,738313.0,194130.0,303478.0,3180867.0,1259328.0,1838011.0,7615171.0,1925602.0,2253992.0,942199.0,9573583.0,8191185.0,334568.0,2347273.0,141062.0,878929.0,979148.0,9692178.0,7780573.0,5787255.0,11075748.0,451185.0,190825.0,-74506.0,7931732.0,332920.0
