Date,Durable goods,Energy goods and services,Goods,Housing,Nondurable goods,PCE excluding food and energy,"PCE excluding food, energy, and housing",PCE services excluding energy and housing,Personal consumption expenditures,Services
1948-01-01,3.6,,6.7,,7.7,,,,6.4,5.9
1948-04-01,4.0,,6.8,,7.7,,,,6.7,6.4
1948-07-01,7.0,,6.8,,6.8,,,,6.3,5.4
1948-10-01,5.8,,3.3,,2.6,,,,3.4,3.5
1949-01-01,4.7,,0.6,,-0.6,,,,1.4,2.8
1949-04-01,2.6,,-1.6,,-2.9,,,,-0.2,2.0
1949-07-01,-2.0,,-4.2,,-4.9,,,,-2.3,0.8
1949-10-01,-2.3,,-4.1,,-4.6,,,,-2.0,1.2
1950-01-01,-2.3,,-3.4,,-3.8,,,,-1.4,1.7
1950-04-01,-0.9,,-1.7,,-2.1,,,,-0.3,1.8
1950-07-01,1.7,,1.9,,1.9,,,,2.3,3.1
1950-10-01,3.5,,4.6,,5.0,,,,4.2,3.6
1951-01-01,7.7,,9.5,,10.2,,,,7.7,5.1
1951-04-01,7.6,,9.8,,10.7,,,,8.1,5.5
1951-07-01,6.2,,7.0,,7.3,,,,6.0,4.4
1951-10-01,5.4,,6.1,,6.3,,,,5.5,4.7
1952-01-01,2.4,,2.2,,2.1,,,,2.7,3.5
1952-04-01,0.5,,0.7,,0.8,,,,1.9,3.6
1952-07-01,1.5,,1.2,,1.2,,,,2.4,4.1
1952-10-01,-1.8,,-0.2,,0.3,,,,1.2,3.4
1953-01-01,-1.6,,-0.6,,-0.2,,,,1.2,3.7
1953-04-01,-0.3,,-0.3,,-0.3,,,,1.3,3.7
1953-07-01,-1.9,,-0.7,,-0.2,,,,1.2,3.9
1953-10-01,0.6,,-0.4,,-0.7,,,,1.5,4.1
1954-01-01,0.5,,0.2,,0.1,,,,1.6,3.7
1954-04-01,-2.2,,0.1,,0.8,,,,1.3,3.1
1954-07-01,-3.2,,-0.6,,0.2,,,,0.5,1.9
1954-10-01,-3.9,,-1.2,,-0.2,,,,-0.1,1.4
1955-01-01,-4.1,,-1.5,,-0.5,,,,-0.2,1.4
1955-04-01,-1.1,,-1.2,,-1.1,,,,0.0,1.5
1955-07-01,1.5,,-0.1,,-0.7,,,,0.7,1.9
1955-10-01,2.3,,0.4,,-0.3,,,,1.1,2.0
1956-01-01,2.1,,0.5,,0.0,,,,1.2,2.0
1956-04-01,1.8,,1.4,,1.2,,,,1.8,2.2
1956-07-01,2.3,,2.1,,2.1,,,,2.4,2.6
1956-10-01,3.4,,2.7,,2.5,,,,2.7,2.6
1957-01-01,3.8,,3.3,,3.2,,,,3.2,3.0
1957-04-01,5.0,,3.3,,2.8,,,,3.1,2.9
1957-07-01,3.5,,3.0,,2.9,,,,3.0,2.9
1957-10-01,2.4,,2.8,,3.0,,,,2.9,3.0
1958-01-01,3.4,,3.6,,3.6,,,,3.2,2.8
1958-04-01,1.6,,2.8,,3.3,,,,2.8,2.7
1958-07-01,1.5,,1.8,,1.9,,,,2.0,2.3
1958-10-01,0.9,,0.9,,1.0,,,,1.5,2.1
1959-01-01,0.9,,0.0,,-0.3,,,,0.9,2.0
1959-04-01,1.7,,0.1,,-0.5,,,,1.1,2.4
1959-07-01,1.8,,0.6,,0.3,,,,1.7,2.9
1959-10-01,2.1,,1.4,,1.1,,,,2.3,3.3
1960-01-01,0.2,2.6,0.6,1.9,0.7,2.1,2.2,3.1,1.7,3.1
1960-04-01,-0.3,2.0,0.9,1.5,1.4,1.9,2.1,3.4,1.8,2.9
1960-07-01,-0.6,3.1,0.8,1.6,1.3,1.7,1.7,3.2,1.6,2.5
1960-10-01,-0.7,1.5,0.9,1.4,1.4,1.4,1.4,2.8,1.5,2.2
1961-01-01,-0.6,2.0,1.1,1.3,1.7,1.3,1.3,2.4,1.5,2.0
1961-04-01,0.0,0.1,0.2,1.6,0.3,1.2,1.1,2.0,1.0,1.9
1961-07-01,0.8,0.0,0.3,1.5,0.2,1.3,1.2,1.9,1.0,1.7
