Date,Accommodations,Air transportation,Alcoholic beverages purchased for off-premises consumption,"Audio-video, photographic, and information processing equipment services",Children's and infants' clothing,Clothing and footwear,Commercial and vocational schools,Communication,Dental services,Durable goods,Education services,Educational books,Electricity,Electricity and gas,Final consumption expenditures of nonprofit institutions serving households (NPISHs),"Financial service charges, fees, and commissions",Financial services,Financial services and insurance,Financial services furnished without payment,Food and beverages purchased for off-premises consumption,Food and nonalcoholic beverages purchased for off-premises consumption,Food furnished to employees (including military),Food produced and consumed on farms,Food services,Food services and accommodations,Foreign travel by U.S. residents,Fuel oil and other fuels,Furnishings and durable household equipment,Furniture and furnishings,Gambling,Garments,Gasoline and other energy goods,"Glassware, tableware, and household utensils",Goods,Gross output of nonprofit institutions,Ground transportation,Group housing,Health care,Higher education,Hospital and nursing home services,Hospitals,Household appliances,Household consumption expenditures (for services),Household maintenance,Household supplies,Household utilities,Housing,Housing and utilities,Imputed rental of owner-occupied nonfarm housing,Insurance,Internet access,Jewelry and watches,Less: Expenditures in the United States by nonresidents,Less: Receipts from sales of goods and services by nonprofit institutions,Life insurance,Luggage and similar personal items,"Magazines, newspapers, and stationery","Membership clubs, sports centers, parks, theaters, and museums",Men's and boys' clothing,"Motor vehicle fuels, lubricants, and fluids",Motor vehicle maintenance and repair,Motor vehicle parts and accessories,Motor vehicle services,Motor vehicles and parts,Musical instruments,Natural gas,Net expenditures abroad by U.S. residents,Net foreign travel,Net health insurance,Net household insurance,Net motor vehicle and other transportation insurance,Net purchases of used motor vehicles,New motor vehicles,Nondurable goods,"Nursery, elementary, and secondary schools",Nursing homes,Other clothing materials and footwear,Other durable goods,Other motor vehicle services,Other nondurable goods,Other recreational services,Other services,Outpatient services,Paramedical services,Personal care and clothing services,Personal care products,Pharmaceutical and other medical products,Physician services,Postal and delivery services,Professional and other services,Public transportation,Purchased meals and beverages,Recreation services,Recreational books,Recreational goods and vehicles,Recreational items,Rental of tenant-occupied nonfarm housing,Rental value of farm dwellings,Services,Social services and religious activities,"Sporting equipment, supplies, guns, and ammunition",Sports and recreational vehicles,Telecommunication services,Telephone and related communication equipment,Therapeutic appliances and equipment,Tobacco,Tools and equipment for house and garden,Transportation services,"Video, audio, photographic, and information processing equipment and media",Water supply and sanitation,Water transportation,Women's and girls' clothing
1947-04-01,,,,,,-0.56,,,,1.17,,,,,,,,,,2.1,,,,,,,,0.7,,,,0.57,,4.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,,3.41,,,,-0.04,,1.3,,,,,,,,,,,,,,,0.19,,,,2.25,,,,,,,,,,,,,
1947-07-01,,,,,,0.67,,,,0.76,,,,,,,,,,-0.27,,,,,,,,1.1,,,,0.18,,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.87,,,,,,,,,,0.98,,,,0.22,,0.4,,,,,,,,,,,,,,,0.31,,,,-0.42,,,,,,,,,,,,,
1947-10-01,,,,,,-0.12,,,,3.47,,,,,,,,,,-2.28,,,,,,,,1.18,,,,-0.05,,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08,,,,,,,,,,-2.39,,,,0.02,,0.06,,,,,,,,,,,,,,,0.19,,,,-0.95,,,,,,,,,,,,,
1948-01-01,,,,,,-0.52,,,,-0.24,,,,,,,,,,0.45,,,,,,,,-1.0,,,,0.41,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,,,,,,,,,,0.81,,,,-0.03,,0.46,,,,,,,,,,,,,,,-0.33,,,,1.44,,,,,,,,,,,,,
1948-04-01,,,,,,0.22,,,,0.49,,,,,,,,,,1.91,,,,,,,,1.32,,,,-0.03,,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,1.96,,,,0.02,,-0.14,,,,,,,,,,,,,,,0.15,,,,2.28,,,,,,,,,,,,,
1948-07-01,,,,,,0.39,,,,1.06,,,,,,,,,,-2.02,,,,,,,,0.53,,,,0.06,,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,-1.2,,,,0.04,,0.37,,,,,,,,,,,,,,,-0.03,,,,0.74,,,,,,,,,,,,,
1948-10-01,,,,,,1.01,,,,-0.61,,,,,,,,,,1.86,,,,,,,,-1.44,,,,-0.41,,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,,,,,,,,,,2.32,,,,0.05,,-0.15,,,,,,,,,,,,,,,-0.35,,,,1.52,,,,,,,,,,,,,
1949-01-01,,,,,,0.11,,,,-0.8,,,,,,,,,,0.16,,,,,,,,-1.67,,,,-0.42,,-0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,0.44,,,,-0.12,,0.58,,,,,,,,,,,,,,,0.15,,,,1.01,,,,,,,,,,,,,
1949-04-01,,,,,,-0.47,,,,5.13,,,,,,,,,,0.02,,,,,,,,0.58,,,,0.13,,5.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71,,,,,,,,,,0.31,,,,0.0,,0.63,,,,,,,,,,,,,,,-0.16,,,,0.84,,,,,,,,,,,,,
1949-07-01,,,,,,-1.35,,,,2.84,,,,,,,,,,-0.38,,,,,,,,1.9,,,,-0.05,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,,,,,,,,,,-1.71,,,,-0.05,,0.07,,,,,,,,,,,,,,,0.03,,,,-0.22,,,,,,,,,,,,,
