Date,Accommodations (104),Air transportation (64),Alcoholic beverages purchased for off-premises consumption (5),"Audio-video, photographic, and information processing equipment services (parts of 77 and 93)",Children's and infants' clothing (12),Clothing and footwear,Commercial and vocational schools (99),Communication,Dental services (45),Durable goods,Education services,Educational books (96),Electricity (27),Electricity and gas,Final consumption expenditures of nonprofit institutions serving households (NPISHs),"Financial service charges, fees, and commissions (108)",Financial services,Financial services and insurance,Financial services furnished without payment (107),Food and beverages purchased for off-premises consumption,Food and nonalcoholic beverages purchased for off-premises consumption (4),Food furnished to employees (including military) (103),Food produced and consumed on farms (6),Food services,Food services and accommodations,Foreign travel by U.S. residents (129),Fuel oil and other fuels (29),Furnishings and durable household equipment,Furniture and furnishings (parts of 31 and 32),Gambling (91),Garments,Gasoline and other energy goods,"Glassware, tableware, and household utensils (34)",Goods,Gross output of nonprofit institutions (133),Ground transportation (63),Group housing (23),Health care,Higher education (97),Hospital and nursing home services,Hospitals (51),Household appliances (part of 33),Household consumption expenditures (for services),"Household maintenance (parts of 31, 33, and 36)",Household supplies (parts of 32 and 36),Household utilities,Housing,Housing and utilities,Imputed rental of owner-occupied nonfarm housing (21),Insurance,Internet access (72),Jewelry and watches (part of 119),Less: Expenditures in the United States by nonresidents (130),Less: Receipts from sales of goods and services by nonprofit institutions (134),Life insurance (110),Luggage and similar personal items (part of 119),"Magazines, newspapers, and stationery (part of 90)","Membership clubs, sports centers, parks, theaters, and museums (82)",Men's and boys' clothing (11),"Motor vehicle fuels, lubricants, and fluids (59)",Motor vehicle maintenance and repair (60),Motor vehicle parts and accessories (58),Motor vehicle services,Motor vehicles and parts,Musical instruments (part of 80),Natural gas (28),Net health insurance (112),Net household insurance (111),Net motor vehicle and other transportation insurance (116),Net purchases of used motor vehicles (56),New motor vehicles (55),Nondurable goods,"Nursery, elementary, and secondary schools (98)",Nursing homes (52),Other clothing materials and footwear (13 and 17),Other durable goods,Other motor vehicle services (61),Other nondurable goods,"Other recreational services (81, 94, and part of 92)",Other services,Outpatient services,Paramedical services (46),Personal care and clothing services (14 and parts of 17 and 118),Personal care products (part of 118),Personal consumption expenditures,Pharmaceutical and other medical products (40 and 41),Physician services (44),Postal and delivery services (68),Professional and other services (121),Public transportation,Purchased meals and beverages (102),Recreation services,Recreational books (part of 90),Recreational goods and vehicles,"Recreational items (parts of 80, 92, and 93)",Rental of tenant-occupied nonfarm housing (20),Rental value of farm dwellings (22),Services,Social services and religious activities (120),"Sporting equipment, supplies, guns, and ammunition (part of 80)",Sports and recreational vehicles (79),Telecommunication services (71),Telephone and related communication equipment,Therapeutic appliances and equipment (42),Tobacco (127),Tools and equipment for house and garden (35),Transportation services,"Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)",Water supply and sanitation (25),Water transportation (65),Women's and girls' clothing (10)
1947-01-01,,,,,,9.845,,,,2.821,,,,,,,,,,29.235,,,,,,,,5.698,,,,29.213,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.646,,,,,,,,17.937,,,,4.492,,8.987,,,,,,,10.168,,,,,,,,,0.238,,,,9.491,,,,,,,,,,,,,
1947-04-01,,,,,,9.726,,,,2.88,,,,,,,,,,29.82,,,,,,,,5.869,,,,30.205,,10.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.747,,,,,,,,18.244,,,,4.47,,9.367,,,,,,,10.337,,,,,,,,,0.243,,,,9.628,,,,,,,,,,,,,
1947-07-01,,,,,,9.884,,,,2.921,,,,,,,,,,29.701,,,,,,,,6.148,,,,30.517,,10.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.436,,,,,,,,18.328,,,,4.617,,9.485,,,,,,,10.371,,,,,,,,,0.253,,,,9.608,,,,,,,,,,,,,
1947-10-01,,,,,,9.874,,,,3.11,,,,,,,,,,28.962,,,,,,,,6.45,,,,30.44,,10.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.19,,,,,,,,18.088,,,,4.634,,9.498,,,,,,,10.374,,,,,,,,,0.259,,,,9.558,,,,,,,,,,,,,
1948-01-01,,,,,,9.781,,,,3.095,,,,,,,,,,29.019,,,,,,,,6.183,,,,31.135,,10.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,,,18.148,,,,4.622,,9.633,,,,,,,10.426,,,,,,,,,0.246,,,,9.66,,,,,,,,,,,,,
1948-04-01,,,,,,9.842,,,,3.116,,,,,,,,,,29.517,,,,,,,,6.515,,,,31.204,,10.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.227,,,,,,,,18.325,,,,4.634,,9.597,,,,,,,10.547,,,,,,,,,0.251,,,,9.812,,,,,,,,,,,,,
1948-07-01,,,,,,9.935,,,,3.168,,,,,,,,,,28.851,,,,,,,,6.639,,,,31.522,,10.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.404,,,,,,,,18.214,,,,4.654,,9.73,,,,,,,10.563,,,,,,,,,0.249,,,,9.864,,,,,,,,,,,,,
1948-10-01,,,,,,10.158,,,,3.123,,,,,,,,,,29.386,,,,,,,,6.233,,,,31.163,,10.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.78,,,,,,,,18.452,,,,4.668,,9.719,,,,,,,10.647,,,,,,,,,0.236,,,,9.963,,,,,,,,,,,,,
1949-01-01,,,,,,10.173,,,,3.066,,,,,,,,,,29.419,,,,,,,,5.756,,,,30.883,,10.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.05,,,,,,,,18.524,,,,4.551,,9.947,,,,,,,10.664,,,,,,,,,0.241,,,,10.026,,,,,,,,,,,,,
1949-04-01,,,,,,10.045,,,,3.332,,,,,,,,,,29.418,,,,,,,,5.903,,,,31.346,,10.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.564,,,,,,,,18.575,,,,4.529,,10.2,,,,,,,10.828,,,,,,,,,0.239,,,,10.077,,,,,,,,,,,,,
1949-07-01,,,,,,9.679,,,,3.491,,,,,,,,,,29.286,,,,,,,,6.411,,,,31.362,,10.722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.848,,,,,,,,18.413,,,,4.484,,10.307,,,,,,,10.852,,,,,,,,,0.248,,,,10.056,,,,,,,,,,,,,
1949-10-01,,,,,,10.058,,,,3.63,,,,,,,,,,29.269,,,,,,,,6.936,,,,31.731,,10.962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.881,,,,,,,,18.714,,,,4.573,,10.704,,,,,,,11.011,,,,,,,,,0.26,,,,10.085,,,,,,,,,,,,,
1950-01-01,,,,,,10.041,,,,3.769,,,,,,,,,,29.925,,,,,,,,6.811,,,,31.897,,11.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.529,,,,,,,,18.954,,,,4.591,,10.803,,,,,,,11.195,,,,,,,,,0.295,,,,10.211,,,,,,,,,,,,,
1950-04-01,,,,,,10.215,,,,3.801,,,,,,,,,,30.05,,,,,,,,6.581,,,,33.105,,11.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.977,,,,,,,,19.174,,,,4.668,,10.906,,,,,,,11.379,,,,,,,,,0.294,,,,10.47,,,,,,,,,,,,,
1950-07-01,,,,,,10.589,,,,4.702,,,,,,,,,,30.111,,,,,,,,8.546,,,,33.747,,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.25,,,,,,,,19.505,,,,4.954,,11.275,,,,,,,11.963,,,,,,,,,0.361,,,,10.632,,,,,,,,,,,,,
1950-10-01,,,,,,10.118,,,,4.12,,,,,,,,,,29.808,,,,,,,,6.884,,,,32.932,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.356,,,,,,,,19.072,,,,4.774,,10.986,,,,,,,11.603,,,,,,,,,0.315,,,,10.7,,,,,,,,,,,,,
1951-01-01,,,,,,10.331,,,,4.25,,,,,,,,,,29.971,,,,,,,,7.717,,,,34.238,,11.753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.919,,,,,,,,19.422,,,,4.882,,11.408,,,,,,,11.883,,,,,,,,,0.325,,,,10.993,,,,,,,,,,,,,
1951-04-01,,,,,,9.953,,,,3.64,,,,,,,,,,29.899,,,,,,,,6.406,,,,33.985,,11.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.17,,,,,,,,19.138,,,,4.805,,11.125,,,,,,,11.548,,,,,,,,,0.293,,,,11.068,,,,,,,,,,,,,
1951-07-01,,,,,,10.163,,,,3.574,,,,,,,,,,30.43,,,,,,,,6.534,,,,34.857,,11.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.426,,,,,,,,19.54,,,,4.884,,11.428,,,,,,,11.682,,,,,,,,,0.303,,,,11.206,,,,,,,,,,,,,
1951-10-01,,,,,,10.306,,,,3.563,,,,,,,,,,30.228,,,,,,,,6.749,,,,35.603,,11.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.864,,,,,,,,19.769,,,,5.037,,12.05,,,,,,,11.75,,,,,,,,,0.316,,,,11.234,,,,,,,,,,,,,
1952-01-01,,,,,,10.227,,,,3.583,,,,,,,,,,30.068,,,,,,,,6.698,,,,35.462,,11.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96,,,,,,,,19.606,,,,5.072,,11.818,,,,,,,11.777,,,,,,,,,0.326,,,,11.376,,,,,,,,,,,,,
