Date,Accommodations (104),Air transportation (64),Alcoholic beverages purchased for off-premises consumption (5),"Audio-video, photographic, and information processing equipment services (parts of 77 and 93)",Children's and infants' clothing (12),Clothing and footwear,Commercial and vocational schools (99),Communication,Dental services (45),Durable goods,Education services,Educational books (96),Electricity (27),Electricity and gas,Final consumption expenditures of nonprofit institutions serving households (NPISHs),"Financial service charges, fees, and commissions (108)",Financial services,Financial services and insurance,Financial services furnished without payment (107),Food and beverages purchased for off-premises consumption,Food and nonalcoholic beverages purchased for off-premises consumption (4),Food furnished to employees (including military) (103),Food produced and consumed on farms (6),Food services,Food services and accommodations,Foreign travel by U.S. residents (129),Fuel oil and other fuels (29),Furnishings and durable household equipment,Furniture and furnishings (parts of 31 and 32),Gambling (91),Garments,Gasoline and other energy goods,"Glassware, tableware, and household utensils (34)",Goods,Gross output of nonprofit institutions (133),Ground transportation (63),Group housing (23),Health care,Higher education (97),Hospital and nursing home services,Hospitals (51),Household appliances (part of 33),Household consumption expenditures (for services),"Household maintenance (parts of 31, 33, and 36)",Household supplies (parts of 32 and 36),Household utilities,Housing,Housing and utilities,Imputed rental of owner-occupied nonfarm housing (21),Insurance,Internet access (72),Jewelry and watches (part of 119),Less: Expenditures in the United States by nonresidents (130),Less: Receipts from sales of goods and services by nonprofit institutions (134),Life insurance (110),Luggage and similar personal items (part of 119),"Magazines, newspapers, and stationery (part of 90)","Membership clubs, sports centers, parks, theaters, and museums (82)",Men's and boys' clothing (11),"Motor vehicle fuels, lubricants, and fluids (59)",Motor vehicle maintenance and repair (60),Motor vehicle parts and accessories (58),Motor vehicle services,Motor vehicles and parts,Musical instruments (part of 80),Natural gas (28),Net expenditures abroad by U.S. residents (131),Net foreign travel,Net health insurance (112),Net household insurance (111),Net motor vehicle and other transportation insurance (116),Net purchases of used motor vehicles (56),New motor vehicles (55),Nondurable goods,"Nursery, elementary, and secondary schools (98)",Nursing homes (52),Other clothing materials and footwear (13 and 17),Other durable goods,Other motor vehicle services (61),Other nondurable goods,"Other recreational services (81, 94, and part of 92)",Other services,Outpatient services,Paramedical services (46),Personal care and clothing services (14 and parts of 17 and 118),Personal care products (part of 118),Personal consumption expenditures,Pharmaceutical and other medical products (40 and 41),Physician services (44),Postal and delivery services (68),Professional and other services (121),Public transportation,Purchased meals and beverages (102),Recreation services,Recreational books (part of 90),Recreational goods and vehicles,"Recreational items (parts of 80, 92, and 93)",Rental of tenant-occupied nonfarm housing (20),Rental value of farm dwellings (22),Residual,Services,Social services and religious activities (120),"Sporting equipment, supplies, guns, and ammunition (part of 80)",Sports and recreational vehicles (79),Telecommunication services (71),Telephone and related communication equipment,Therapeutic appliances and equipment (42),Tobacco (127),Tools and equipment for house and garden (35),Transportation services,"Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)",Water supply and sanitation (25),Water transportation (65),Women's and girls' clothing (10)
2007-01-01,107016.0,76672.0,114532.0,111849.0,17353.0,335130.0,48375.0,164004.0,127627.0,969916.0,291891.0,15769.0,178194.0,229238.0,270190.0,332960.0,642123.0,1003080.0,306697.0,871766.0,756655.0,20056.0,510.0,659913.0,766353.0,116158.0,25676.0,231738.0,135535.0,128523.0,263306.0,316770.0,37424.0,3397288.0,1179231.0,44830.0,1551.0,1736720.0,195935.0,966071.0,801629.0,38051.0,7521183.0,78813.0,100804.0,336567.0,1837086.0,2175769.0,1411137.0,359459.0,26043.0,82568.0,125663.0,913279.0,103273.0,20597.0,70786.0,160672.0,90745.0,291175.0,181504.0,66177.0,251352.0,424253.0,5676.0,51077.0,6704.0,-9504.0,164571.0,8885.0,83856.0,98952.0,260984.0,2435014.0,47513.0,164708.0,71687.0,148075.0,71152.0,903205.0,51638.0,1024202.0,771116.0,250431.0,142477.0,98763.0,11183323.0,389916.0,395752.0,19199.0,222540.0,123987.0,639869.0,453246.0,24598.0,190965.0,101711.0,401682.0,21435.0,-124664.0,7785646.0,152182.0,45800.0,55370.0,115952.0,2604.0,52138.0,157528.0,20108.0,375685.0,80049.0,108485.0,2515.0,155314.0
2007-04-01,107095.0,75221.0,114761.0,113242.0,17591.0,334914.0,49110.0,165995.0,127878.0,980094.0,292980.0,15359.0,176992.0,228967.0,266615.0,336871.0,643954.0,1007339.0,304699.0,867326.0,751984.0,20036.0,459.0,662623.0,769105.0,115217.0,24744.0,230336.0,136320.0,128165.0,262375.0,312855.0,36471.0,3405241.0,1180224.0,44271.0,1580.0,1745909.0,196319.0,971146.0,805799.0,37243.0,7546946.0,80234.0,100798.0,335714.0,1848090.0,2185758.0,1419995.0,361789.0,27834.0,84501.0,126477.0,918394.0,103103.0,20849.0,69303.0,161658.0,89497.0,288168.0,181704.0,66588.0,252421.0,424790.0,5819.0,51643.0,7912.0,-11261.0,164679.0,9382.0,85965.0,104251.0,254994.0,2429864.0,47434.0,165618.0,72478.0,152307.0,71949.0,907326.0,51635.0,1022767.0,775229.0,253988.0,141868.0,99529.0,11212669.0,393573.0,396088.0,19537.0,216050.0,122015.0,642594.0,455233.0,24491.0,196142.0,102926.0,403795.0,21427.0,-117519.0,7807260.0,154048.0,46154.0,56691.0,116262.0,2818.0,54245.0,155021.0,19571.0,374856.0,83081.0,107775.0,2538.0,155353.0
2007-07-01,106620.0,74770.0,114255.0,113657.0,18196.0,337554.0,49336.0,167531.0,127978.0,992086.0,293144.0,15450.0,182016.0,229880.0,270628.0,340356.0,656336.0,1022015.0,313419.0,868047.0,753270.0,20010.0,436.0,663831.0,769763.0,113836.0,24287.0,231202.0,137133.0,129477.0,264854.0,313868.0,36654.0,3426664.0,1187025.0,43731.0,1599.0,1762547.0,195992.0,980931.0,813402.0,37253.0,7596324.0,81280.0,101818.0,336602.0,1863953.0,2202412.0,1433082.0,364289.0,29165.0,84853.0,131105.0,920814.0,103822.0,21069.0,69130.0,164996.0,88004.0,289602.0,180728.0,66942.0,252541.0,422704.0,5673.0,48986.0,7258.0,-17269.0,164908.0,9769.0,87207.0,107174.0,249114.0,2437516.0,47667.0,167809.0,72598.0,154815.0,72908.0,910247.0,51886.0,1019471.0,782125.0,257171.0,141197.0,101255.0,11287468.0,391777.0,399579.0,19751.0,215289.0,121077.0,643827.0,460650.0,25276.0,203570.0,104231.0,406513.0,21423.0,-111273.0,7860926.0,154975.0,47377.0,57336.0,116549.0,3021.0,55506.0,155500.0,19385.0,374056.0,87289.0,107613.0,2559.0,158653.0
2007-10-01,109588.0,75646.0,113867.0,114890.0,17998.0,336249.0,49566.0,169609.0,128043.0,999506.0,293107.0,15248.0,176364.0,220085.0,284560.0,343534.0,654250.0,1021798.0,308345.0,871617.0,757276.0,19868.0,428.0,668789.0,777877.0,112444.0,23414.0,230778.0,137181.0,130466.0,264076.0,312991.0,36649.0,3433425.0,1199642.0,43904.0,1609.0,1770735.0,195903.0,980993.0,812565.0,37013.0,7620037.0,82184.0,101967.0,325871.0,1884535.0,2211724.0,1450299.0,366004.0,30611.0,84228.0,138474.0,918044.0,104628.0,21256.0,70102.0,164423.0,87826.0,289566.0,178468.0,66292.0,250360.0,425253.0,5878.0,45442.0,7191.0,-26030.0,165193.0,10039.0,87541.0,106518.0,253108.0,2435524.0,47475.0,168717.0,72051.0,154879.0,72886.0,906909.0,51986.0,1017264.0,789923.0,258963.0,140436.0,101243.0,11331949.0,387139.0,405313.0,19979.0,218626.0,122172.0,648913.0,462369.0,25307.0,207706.0,104831.0,409810.0,21417.0,-108402.0,7900087.0,155774.0,48067.0,56433.0,117198.0,3226.0,55060.0,153864.0,19127.0,372914.0,90212.0,107758.0,2581.0,158263.0
2008-01-01,109112.0,75838.0,112483.0,116307.0,18175.0,333725.0,49373.0,171515.0,127801.0,967195.0,291713.0,14959.0,178483.0,227985.0,294420.0,349877.0,663799.0,1028918.0,311552.0,866873.0,753908.0,19678.0,463.0,658109.0,766825.0,112627.0,21965.0,224751.0,132344.0,126975.0,262231.0,307398.0,34720.0,3377016.0,1216158.0,43336.0,1612.0,1788975.0,194975.0,994193.0,823955.0,37560.0,7661231.0,82130.0,100962.0,335201.0,1908291.0,2245070.0,1470197.0,363887.0,31939.0,80874.0,138651.0,923961.0,104798.0,21002.0,67718.0,165132.0,87245.0,285433.0,174859.0,64406.0,247844.0,402649.0,5739.0,49856.0,7199.0,-26024.0,163230.0,10182.0,87032.0,103688.0,234815.0,2416648.0,47205.0,170523.0,71362.0,151142.0,73735.0,901875.0,52318.0,1014762.0,795171.0,260432.0,139313.0,102391.0,11316411.0,390434.0,409169.0,20742.0,215333.0,121842.0,638428.0,461156.0,24344.0,204140.0,104207.0,413609.0,21402.0,-113493.0,7952040.0,155865.0,46729.0,54515.0,117454.0,3320.0,53716.0,146380.0,19474.0,370034.0,89561.0,108487.0,2575.0,156826.0
2008-04-01,112388.0,73419.0,112076.0,118300.0,18653.0,341037.0,49612.0,173528.0,127549.0,960307.0,291169.0,15063.0,176047.0,223440.0,307819.0,357655.0,677495.0,1038358.0,317412.0,864653.0,752101.0,19547.0,454.0,658929.0,771178.0,107549.0,20335.0,224082.0,131212.0,127426.0,267984.0,302629.0,34659.0,3371949.0,1226659.0,44165.0,1615.0,1793987.0,194250.0,991526.0,820768.0,37581.0,7685824.0,81385.0,101122.0,330429.0,1925129.0,2256639.0,1483713.0,360270.0,33377.0,77867.0,138140.0,919792.0,105189.0,20961.0,67363.0,165162.0,88627.0,282456.0,170851.0,63912.0,244996.0,387491.0,5559.0,48134.0,6497.0,-30590.0,160016.0,10159.0,86205.0,105426.0,217732.0,2420379.0,47117.0,171049.0,72918.0,149542.0,74635.0,907131.0,52686.0,1011842.0,802468.0,262192.0,138225.0,103426.0,11347595.0,393009.0,414752.0,20441.0,216787.0,120094.0,639373.0,463916.0,23849.0,209371.0,105578.0,416930.0,21382.0,-113203.0,7991302.0,156454.0,47586.0,52730.0,118335.0,3555.0,53469.0,147679.0,20101.0,365433.0,94095.0,108865.0,2577.0,160724.0
2008-07-01,112639.0,72380.0,111961.0,119202.0,18768.0,332863.0,49805.0,173690.0,127458.0,927915.0,291744.0,14747.0,170840.0,213173.0,317732.0,364587.0,689600.0,1041305.0,322527.0,850411.0,737952.0,19555.0,432.0,652933.0,765525.0,105500.0,19921.0,214966.0,124584.0,125453.0,261254.0,294094.0,33500.0,3301278.0,1238053.0,44159.0,1623.0,1800011.0,194767.0,991649.0,822958.0,36313.0,7667719.0,79990.0,100371.0,318223.0,1933937.0,2251843.0,1489711.0,352172.0,34294.0,75472.0,135902.0,920503.0,103025.0,20418.0,64816.0,163301.0,87758.0,274377.0,166830.0,61752.0,239879.0,367342.0,5542.0,44231.0,6674.0,-30403.0,155352.0,9967.0,85204.0,102285.0,202708.0,2385067.0,46985.0,168968.0,71496.0,147452.0,73476.0,905692.0,51483.0,1006057.0,808148.0,263665.0,137237.0,103232.0,11260136.0,395578.0,418916.0,20135.0,211952.0,119003.0,633377.0,459690.0,23138.0,205493.0,105269.0,419791.0,21368.0,-127596.0,7984146.0,156786.0,46054.0,49286.0,117969.0,3724.0,53336.0,147733.0,20225.0,359240.0,93921.0,107963.0,2569.0,154744.0
2008-10-01,110924.0,69920.0,109759.0,118288.0,18164.0,321562.0,48753.0,170257.0,127582.0,859616.0,290096.0,14030.0,177890.0,226446.0,332378.0,370486.0,705280.0,1044330.0,332216.0,838342.0,728084.0,19609.0,448.0,645150.0,756029.0,111681.0,22775.0,203808.0,117832.0,124506.0,252945.0,302808.0,32054.0,3200645.0,1248600.0,42367.0,1635.0,1804937.0,194363.0,992157.0,823867.0,34417.0,7664855.0,78676.0,97760.0,333489.0,1934588.0,2269240.0,1488070.0,341439.0,34317.0,68034.0,131400.0,915267.0,99909.0,19353.0,60783.0,162446.0,84647.0,280043.0,162655.0,58885.0,231534.0,324163.0,5000.0,49190.0,8749.0,-19719.0,149439.0,9598.0,83998.0,98021.0,166018.0,2362307.0,46853.0,168564.0,68474.0,140421.0,69491.0,893516.0,49953.0,1004812.0,812416.0,265973.0,136322.0,101635.0,11158801.0,397169.0,420709.0,20021.0,206303.0,114797.0,625553.0,455516.0,21785.0,193387.0,102277.0,422188.0,21352.0,-132571.0,7997195.0,157266.0,42363.0,41053.0,114953.0,3950.0,52749.0,143312.0,19182.0,346707.0,91520.0,108531.0,2551.0,150144.0
2009-01-01,109061.0,72326.0,108986.0,119536.0,17984.0,317937.0,47858.0,168571.0,127071.0,861124.0,289073.0,13811.0,174515.0,226217.0,325562.0,374963.0,718641.0,1042757.0,341116.0,841398.0,731940.0,19705.0,456.0,634640.0,743690.0,111311.0,24807.0,197924.0,114599.0,125401.0,249896.0,305244.0,30460.0,3201452.0,1251602.0,41666.0,1650.0,1817906.0,194686.0,1008181.0,840050.0,33797.0,7640771.0,76078.0,96356.0,331517.0,1928487.0,2261024.0,1480148.0,329467.0,35082.0,66773.0,123545.0,925883.0,96383.0,19330.0,60019.0,161251.0,82543.0,280220.0,157587.0,57745.0,221607.0,332046.0,4855.0,51391.0,8725.0,-12233.0,143015.0,9100.0,82616.0,105912.0,166898.0,2361431.0,46471.0,168403.0,67910.0,140187.0,64878.0,890882.0,48620.0,998423.0,809959.0,267722.0,133465.0,100704.0,11130464.0,398060.0,417059.0,19454.0,200588.0,116573.0,614964.0,455128.0,21413.0,194648.0,102162.0,424163.0,21328.0,-131610.0,7965723.0,157268.0,42064.0,39056.0,113201.0,4303.0,52441.0,143508.0,18761.0,338391.0,93955.0,106315.0,2502.0,149381.0
2009-04-01,110941.0,74174.0,108409.0,119885.0,17553.0,312271.0,46877.0,166076.0,124355.0,854876.0,288072.0,13626.0,168889.0,223076.0,317711.0,378114.0,723506.0,1037543.0,342737.0,846751.0,737940.0,19698.0,438.0,627332.0,738313.0,109446.0,24244.0,194130.0,112040.0,123365.0,245559.0,303478.0,30438.0,3180867.0,1259328.0,41227.0,1663.0,1838011.0,194902.0,1023943.0,852362.0,32941.0,7615171.0,74073.0,95794.0,327597.0,1925602.0,2253992.0,1475021.0,321444.0,35406.0,68029.0,131521.0,942199.0,91871.0,19466.0,58845.0,160093.0,81762.0,279161.0,152939.0,56981.0,215000.0,334568.0,4874.0,53210.0,8969.0,-22075.0,141213.0,8718.0,81342.0,106355.0,169833.0,2347273.0,46300.0,171856.0,66576.0,141062.0,62900.0,878929.0,47565.0,979148.0,814609.0,271238.0,129636.0,99871.0,11075748.0,398876.0,420516.0,18937.0,199112.0,117995.0,607672.0,451185.0,21376.0,190825.0,101896.0,426547.0,21301.0,-132496.0,7931732.0,158815.0,42107.0,36801.0,111018.0,4395.0,51964.0,130231.0,18417.0,332920.0,92037.0,105724.0,2486.0,146247.0
