Date,Accommodations,Air transportation,Alcoholic beverages purchased for off-premises consumption,"Audio-video, photographic, and information processing equipment services",Children's and infants' clothing,Clothing and footwear,Commercial and vocational schools,Communication,Dental services,Durable goods,Education services,Educational books,Electricity,Electricity and gas,Final consumption expenditures of nonprofit institutions serving households (NPISHs),"Financial service charges, fees, and commissions",Financial services,Financial services and insurance,Financial services furnished without payment,Food and beverages purchased for off-premises consumption,Food and nonalcoholic beverages purchased for off-premises consumption,Food furnished to employees (including military),Food produced and consumed on farms,Food services,Food services and accommodations,Foreign travel by U.S. residents,Fuel oil and other fuels,Furnishings and durable household equipment,Furniture and furnishings,Gambling,Garments,Gasoline and other energy goods,"Glassware, tableware, and household utensils",Goods,Gross output of nonprofit institutions,Ground transportation,Group housing,Health care,Higher education,Hospital and nursing home services,Hospitals,Household appliances,Household consumption expenditures (for services),Household maintenance,Household supplies,Household utilities,Housing,Housing and utilities,Imputed rental of owner-occupied nonfarm housing,Insurance,Internet access,Jewelry and watches,Less: Expenditures in the United States by nonresidents,Less: Receipts from sales of goods and services by nonprofit institutions,Life insurance,Luggage and similar personal items,"Magazines, newspapers, and stationery","Membership clubs, sports centers, parks, theaters, and museums",Men's and boys' clothing,"Motor vehicle fuels, lubricants, and fluids",Motor vehicle maintenance and repair,Motor vehicle parts and accessories,Motor vehicle services,Motor vehicles and parts,Musical instruments,Natural gas,Net expenditures abroad by U.S. residents,Net foreign travel,Net health insurance,Net household insurance,Net motor vehicle and other transportation insurance,Net purchases of used motor vehicles,New motor vehicles,Nondurable goods,"Nursery, elementary, and secondary schools",Nursing homes,Other clothing materials and footwear,Other durable goods,Other motor vehicle services,Other nondurable goods,Other recreational services,Other services,Outpatient services,Paramedical services,Personal care and clothing services,Personal care products,Pharmaceutical and other medical products,Physician services,Postal and delivery services,Professional and other services,Public transportation,Purchased meals and beverages,Recreation services,Recreational books,Recreational goods and vehicles,Recreational items,Rental of tenant-occupied nonfarm housing,Rental value of farm dwellings,Services,Social services and religious activities,"Sporting equipment, supplies, guns, and ammunition",Sports and recreational vehicles,Telecommunication services,Telephone and related communication equipment,Therapeutic appliances and equipment,Tobacco,Tools and equipment for house and garden,Transportation services,"Video, audio, photographic, and information processing equipment and media",Water supply and sanitation,Water transportation,Women's and girls' clothing
1947-04-01,,,,,,0.91,,,,0.49,,,,,,,,,,0.2,,,,,,,,0.31,,,,0.48,,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,1.84,,,,0.08,,0.26,,,,,,,,,,,,,,,0.08,,,,0.91,,,,,,,,,,,,,
1947-07-01,,,,,,0.49,,,,0.31,,,,,,,,,,2.03,,,,,,,,0.23,,,,0.54,,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,3.47,,,,-0.13,,0.41,,,,,,,,,,,,,,,-0.04,,,,3.88,,,,,,,,,,,,,
1947-10-01,,,,,,0.99,,,,0.73,,,,,,,,,,3.46,,,,,,,,0.32,,,,0.82,,6.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,5.84,,,,0.05,,0.57,,,,,,,,,,,,,,,0.09,,,,3.78,,,,,,,,,,,,,
1948-01-01,,,,,,1.01,,,,0.41,,,,,,,,,,0.7,,,,,,,,0.14,,,,0.83,,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,2.98,,,,0.01,,0.44,,,,,,,,,,,,,,,0.05,,,,1.11,,,,,,,,,,,,,
1948-04-01,,,,,,0.78,,,,0.67,,,,,,,,,,0.23,,,,,,,,0.28,,,,0.56,,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,1.87,,,,0.07,,0.3,,,,,,,,,,,,,,,0.1,,,,1.67,,,,,,,,,,,,,
1948-07-01,,,,,,0.29,,,,1.85,,,,,,,,,,0.46,,,,,,,,0.3,,,,0.47,,3.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,,,,,,,,,,1.93,,,,0.04,,0.71,,,,,,,,,,,,,,,0.19,,,,2.47,,,,,,,,,,,,,
1948-10-01,,,,,,-0.01,,,,-0.06,,,,,,,,,,-2.28,,,,,,,,0.01,,,,0.32,,-1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.21,,,,,,,,,,-1.82,,,,0.01,,0.15,,,,,,,,,,,,,,,0.13,,,,0.61,,,,,,,,,,,,,
1949-01-01,,,,,,-1.11,,,,-0.38,,,,,,,,,,-1.39,,,,,,,,-0.45,,,,0.19,,-3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,-2.62,,,,-0.02,,-0.32,,,,,,,,,,,,,,,0.07,,,,-0.1,,,,,,,,,,,,,
1949-04-01,,,,,,-1.03,,,,-0.44,,,,,,,,,,-1.04,,,,,,,,-0.46,,,,0.13,,-2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,,,,,,,,,,-2.33,,,,-0.05,,-0.38,,,,,,,,,,,,,,,0.1,,,,0.34,,,,,,,,,,,,,
1949-07-01,,,,,,-0.93,,,,-0.65,,,,,,,,,,-1.19,,,,,,,,-0.13,,,,0.03,,-2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,,,,,,,,,,-2.12,,,,-0.23,,-0.03,,,,,,,,,,,,,,,0.12,,,,0.47,,,,,,,,,,,,,
1949-10-01,,,,,,-0.79,,,,0.23,,,,,,,,,,-0.62,,,,,,,,0.09,,,,-0.1,,-1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07,,,,,,,,,,-1.49,,,,-0.03,,0.03,,,,,,,,,,,,,,,0.25,,,,0.94,,,,,,,,,,,,,
1950-01-01,,,,,,-0.38,,,,0.32,,,,,,,,,,-1.11,,,,,,,,0.11,,,,-0.14,,-1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04,,,,,,,,,,-1.41,,,,-0.02,,0.22,,,,,,,,,,,,,,,0.28,,,,0.44,,,,,,,,,,,,,
1950-04-01,,,,,,0.03,,,,0.65,,,,,,,,,,0.51,,,,,,,,0.34,,,,-0.04,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,0.73,,,,0.01,,0.23,,,,,,,,,,,,,,,0.18,,,,0.55,,,,,,,,,,,,,
1950-07-01,,,,,,0.92,,,,1.06,,,,,,,,,,2.78,,,,,,,,0.88,,,,0.32,,6.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03,,,,,,,,,,5.05,,,,0.02,,1.03,,,,,,,,,,,,,,,0.19,,,,2.52,,,,,,,,,,,,,
1950-10-01,,,,,,1.44,,,,0.96,,,,,,,,,,1.76,,,,,,,,0.94,,,,0.28,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,4.14,,,,0.02,,0.66,,,,,,,,,,,,,,,-0.11,,,,2.22,,,,,,,,,,,,,
1951-01-01,,,,,,1.66,,,,2.11,,,,,,,,,,5.17,,,,,,,,1.1,,,,0.34,,10.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,,,,,,,,,,7.93,,,,0.17,,0.76,,,,,,,,,,,,,,,-0.19,,,,3.29,,,,,,,,,,,,,
1951-04-01,,,,,,0.75,,,,0.17,,,,,,,,,,0.81,,,,,,,,0.26,,,,0.05,,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,1.69,,,,-0.03,,0.08,,,,,,,,,,,,,,,-0.28,,,,1.38,,,,,,,,,,,,,
