Date,Accommodations,Accounting and other business services,Admissions to specified spectator amusements,Air transportation,Alcoholic beverages purchased for off-premises consumption,"Amusements parks, campgrounds, and related recreational services",Children's and infants' clothing,"Cleaning, repair, and rental of clothing",Clothing,"Clothing repair, rental, and alterations","Clothing, footwear, and related services",Commercial and vocational schools,Communication,Dental services,Education,Educational books,Electricity,"Electricity, gas, and other fuels",Final consumption expenditures of nonprofit institutions serving households (NPISHs),"Financial service charges, fees, and commissions",Financial services,Financial services and insurance,Financial services furnished without payment,First-class postal service by U.S. Postal Service (USPS),Food and beverages purchased for off-premises consumption,Food and nonalcoholic beverages purchased for off-premises consumption,Food furnished to employees (including military),Food produced and consumed on farms,Food services,Food services and accommodations,Footwear,Foreign travel by U.S. residents,Fuel oil and other fuels,Funeral and burial services,"Furnishings, household equipment, and routine household maintenance","Furniture, furnishings, and floor coverings",Gambling,Garments,"Glassware, tableware, and household utensils",Gross output of nonprofit institutions,Ground transportation,Group housing,Health,Higher education,Home health care,Hospital and nursing home services,Hospitals,Household appliances,Household consumption expenditures,Household textiles,Household utilities and fuels,Housing,"Housing, utilities, and fuels",Imputed rental of owner-occupied nonfarm housing,Income loss,Information processing equipment,Insurance,Internet access,Labor organization dues,Laundry and dry cleaning services,Legal services,Less: Expenditures in the United States by nonresidents,Less: Receipts from sales of goods and services by nonprofit institutions,Life insurance,"Live entertainment, excluding sports","Magazines, newspapers, books, and stationery",Maintenance and repair of recreational vehicles and sports equipment,Medical care and hospitalization,Medical laboratories,"Medical products, appliances, and equipment",Membership clubs and participant sports centers,"Membership clubs, sports centers, parks, theaters, and museums",Men's and boys' clothing,Motion picture theaters,"Motor vehicle fuels, lubricants, and fluids",Motor vehicle maintenance and repair,Motor vehicle operation,Motor vehicle parts and accessories,Motor vehicles,Museums and libraries,Natural gas,Net health insurance,Net household insurance,Net motor vehicle and other transportation insurance,Net purchases of used motor vehicles,New motor vehicles,"Nursery, elementary, and secondary schools",Nursing homes,Other clothing materials,Other delivery services (by non-USPS facilities),Other goods and services,Other household goods and services,Other medical products,Other motor vehicle services,Other professional medical services,Other sporting and recreational goods,Outpatient services,Package tours,Paramedical services,Personal care,Personal consumption expenditures,Personal items,"Pets, pet products, and related services",Pharmaceutical and other medical products,Pharmaceutical products,Photographic goods and services,Physician services,Postal and delivery services,Professional and other services,Professional association dues,Public transportation,Purchased meals and beverages,Recreation,Rental of tenant-occupied nonfarm housing,Rental value of farm dwellings,Services related to video and audio goods and computers,Social services and religious activities,Spectator sports,Sports and recreational goods and related services,Sports and recreational vehicles,Telecommunication services,Telephone and related communication equipment,Therapeutic appliances and equipment,Tobacco,Tools and equipment for house and garden,Transportation,Video and audio equipment,"Video and audio equipment, computers, and related services",Water supply and sanitation,Water transportation,Women's and girls' clothing,Workers' compensation
1929-01-01,3.072,,,0.013,,,,86.456,9.259,,9.452,9.491,0.613,14.051,12.691,38.084,1.952,14.096,1.465,3.938,4.396,5.41,4.774,,17.447,20.952,19.656,2402.686,7.853,7.154,11.073,3.689,243.919,,6.627,5.488,0.595,7.887,9.794,,74.031,53.178,3.361,8.769,,3.383,4.054,1.613,6.783,3.812,13.626,5.807,6.896,3.704,,,8.327,,,,,1.284,,27.734,,15.483,,,,1.238,,12.689,,,7.986,6.394,5.363,2.667,8.764,,12.061,2.066,9.81,4.374,5.687,5.565,20.834,0.728,25.498,,10.938,21.795,,0.508,,,4.49,3.15,1.59,5.078,6.626,4.329,1.568,1.144,,4.372,4.84,25.026,25.561,,14.83,7.537,1.199,10.18,72.012,,3.427,,0.905,0.724,0.749,0.011,1.725,75.844,1.589,5.857,,0.038,12.157,0.194,,
1930-01-01,2.962,,,0.013,,,,79.77,8.411,,8.528,8.842,0.617,13.129,12.974,33.71,2.16,14.331,1.536,2.676,3.619,4.943,4.667,,17.018,20.373,19.692,2405.928,8.039,7.292,9.658,3.854,238.323,,5.784,4.501,0.573,7.144,7.137,,66.967,51.287,3.272,9.668,,3.743,4.486,1.481,6.408,3.35,13.912,5.738,6.862,3.601,,,8.715,,,,,1.195,,29.468,,14.52,,,,1.189,,12.587,,,8.063,5.317,5.036,2.313,5.743,,12.438,2.067,9.904,4.397,4.614,3.632,22.683,0.805,23.471,,10.23,20.582,,0.445,,,4.201,2.116,1.449,4.769,6.271,3.941,1.515,1.081,,3.882,4.561,25.194,24.498,,13.413,7.73,1.185,10.256,71.73,,3.57,,0.786,0.561,0.754,0.01,1.737,68.811,1.417,4.864,,0.045,12.922,0.13,,
1931-01-01,2.808,,,0.013,,,,68.209,8.105,,8.284,7.836,0.593,12.508,13.399,33.897,2.294,13.784,1.572,1.852,3.018,4.617,4.47,,16.931,20.093,19.063,2577.733,8.478,7.63,9.772,3.366,216.283,,5.551,4.432,0.521,7.006,7.606,,59.47,48.608,3.161,10.337,,3.956,4.741,1.354,6.202,3.469,13.435,5.682,6.758,3.494,,,9.137,,,,,0.964,,31.131,,13.782,,,,1.091,,12.36,,,8.396,4.62,4.983,2.24,4.168,,12.305,2.175,9.883,4.36,3.356,2.636,26.447,0.851,23.037,,9.732,18.855,,0.403,,,4.003,1.722,1.356,4.542,6.075,2.949,1.455,1.002,,3.626,4.364,25.09,24.804,,11.913,8.209,1.087,10.41,71.414,,3.556,,0.733,0.528,0.721,0.009,1.547,69.395,1.194,4.323,,0.034,12.922,0.106,,
1932-01-01,2.535,,,0.021,,,,54.335,6.916,,7.273,6.826,0.517,11.355,11.506,21.352,2.323,13.419,1.453,1.356,2.568,4.42,4.224,,15.708,18.441,18.379,2615.75,8.344,7.462,9.772,3.059,206.999,,4.703,3.574,0.402,6.038,7.689,,52.018,43.886,2.945,9.727,,3.948,4.731,0.964,5.645,3.163,13.072,5.582,6.625,3.369,,,9.625,,,,,0.734,,34.233,,11.162,,,,0.971,,9.894,,,7.737,4.018,4.431,1.764,2.444,,11.857,1.935,8.774,4.116,2.309,1.537,21.191,0.849,20.105,,8.644,16.288,,0.362,,,3.69,1.876,1.197,3.985,5.531,2.48,1.299,0.905,,2.976,4.093,22.317,22.85,,10.437,8.093,0.887,10.45,70.926,,3.232,,0.633,0.399,0.626,0.008,1.311,61.611,0.976,3.517,,0.027,12.522,0.116,,
1933-01-01,2.487,,,0.021,0.847,,,49.477,6.233,,6.555,6.138,0.471,10.134,10.864,22.362,2.289,13.454,1.328,1.876,2.891,4.742,3.967,,16.417,18.786,18.379,2828.289,7.474,6.729,8.81,2.305,217.741,,4.48,3.041,0.403,5.436,7.048,,49.47,43.057,2.786,9.405,,3.76,4.505,1.191,5.529,3.039,13.185,5.479,6.544,3.402,,,9.955,,,,,0.794,,36.29,,11.422,,,,0.979,,9.579,,,7.751,4.582,4.461,1.542,3.306,,10.951,1.668,8.105,4.291,2.566,2.095,19.281,0.809,17.817,,8.162,15.808,,0.398,,,3.375,1.405,1.073,3.327,5.409,1.851,1.303,0.909,,2.753,3.802,20.619,23.204,,9.925,7.185,0.843,9.905,70.484,,2.975,,0.57,0.369,0.569,0.007,1.341,64.793,0.926,3.69,,0.022,13.276,0.087,,
1934-01-01,2.848,,,0.032,7.304,,,54.114,6.538,,6.95,5.82,0.486,10.551,10.82,24.514,2.45,13.941,1.252,1.311,2.383,4.352,3.828,,18.016,18.179,19.865,2680.051,8.489,7.647,9.796,2.352,225.019,,4.911,3.215,0.652,5.678,7.064,,51.651,49.308,2.963,9.498,,3.682,4.413,1.484,5.938,3.101,13.757,5.774,6.88,3.444,,,9.839,,,,,0.88,,35.556,,12.316,,,,1.153,,10.323,,,8.26,5.035,4.856,1.851,4.163,,10.952,1.697,8.375,4.362,3.197,2.639,18.788,0.792,17.863,,8.987,17.95,,0.424,,,3.549,1.614,1.083,3.961,5.796,2.045,1.323,1.036,,3.134,4.049,21.266,25.554,,10.38,8.194,0.912,11.027,70.011,,2.915,,0.601,0.479,0.587,0.007,1.742,69.508,1.007,4.112,,0.024,14.645,0.099,,
1935-01-01,3.072,,,0.045,9.983,,,59.38,7.215,,7.523,6.173,0.519,10.069,11.349,27.184,2.623,14.535,1.237,1.424,2.527,4.725,3.984,,18.937,18.559,21.115,2458.17,9.119,8.216,9.677,2.47,233.446,,5.383,3.88,0.774,6.265,6.533,,53.42,53.178,3.006,9.983,,3.778,4.528,1.779,6.307,3.275,14.25,5.821,6.986,3.455,,,10.839,,,,,1.017,,39.081,,13.208,,,,1.203,,10.875,,,8.761,4.992,5.088,1.952,6.218,,11.15,1.856,8.784,4.963,4.282,3.953,18.908,0.813,20.163,,9.525,18.802,,0.443,,,3.532,1.591,1.071,4.195,6.147,2.399,1.376,1.078,,3.451,4.107,22.273,26.313,,10.751,8.81,0.974,11.182,69.975,,2.928,,0.636,0.568,0.629,0.007,1.833,73.629,1.053,4.728,,0.027,14.418,0.098,,
1936-01-01,3.338,,,0.06,12.792,,,67.324,7.864,,8.215,6.388,0.566,10.858,12.062,30.606,2.824,15.536,1.257,1.692,2.794,4.908,4.16,,21.526,20.878,22.958,2495.544,10.395,9.34,10.665,2.887,252.489,,6.363,4.924,0.896,6.797,7.792,,59.35,57.793,3.208,10.293,,3.831,4.591,2.085,6.957,4.096,15.198,5.911,7.188,3.48,,,10.798,,,,,1.116,,37.92,,14.329,,,,1.291,,11.961,,,9.466,5.678,5.553,2.122,7.893,,11.458,2.001,9.655,5.366,5.636,5.014,21.503,0.824,21.52,,10.163,20.354,,0.495,,,3.848,1.799,1.141,4.49,6.773,2.629,1.559,1.156,,4.033,4.513,24.563,27.354,,11.959,10.081,1.116,11.473,70.02,,3.071,,0.789,0.752,0.684,0.009,1.968,79.338,1.29,5.432,,0.035,15.105,0.111,,
1937-01-01,3.497,,,0.061,13.25,,,71.788,7.738,,8.195,6.766,0.606,11.098,12.994,35.197,3.043,15.851,1.217,1.626,2.791,4.987,4.282,,22.121,21.501,25.493,2484.782,11.849,10.595,11.356,3.302,249.96,,6.644,4.811,1.059,6.615,8.664,,62.8,60.535,3.351,10.435,,3.948,4.73,2.316,7.221,4.273,15.497,6.008,7.312,3.496,,,11.101,,,,,1.26,,37.765,,15.266,,,,1.428,,12.639,,,10.187,5.912,5.902,2.172,8.009,,11.719,2.256,10.173,6.047,5.884,5.085,25.746,0.849,20.846,,10.888,21.592,,0.531,,,3.932,1.799,1.148,4.75,7.023,3.049,1.654,1.258,,4.56,4.624,25.782,29.425,,12.649,11.515,1.189,11.827,70.262,,3.074,,0.807,0.869,0.736,0.009,2.275,84.242,1.39,5.682,,0.039,15.332,0.111,,
1938-01-01,3.473,,,0.068,12.056,,,69.874,7.842,,8.271,6.529,0.612,10.836,13.172,31.515,3.267,15.552,1.278,1.286,2.505,4.83,4.202,,22.6,22.518,24.919,2532.643,11.959,10.684,11.248,2.832,231.942,,6.147,4.456,1.023,6.735,7.951,,59.731,60.129,3.308,10.555,,4.144,4.966,1.959,7.099,4.2,15.216,6.102,7.363,3.517,,,11.298,,,,,1.316,,38.219,,14.474,,,,1.441,,12.014,,,10.481,5.629,5.919,2.037,4.712,,11.589,2.34,10.744,6.18,4.336,2.973,28.639,0.891,21.816,,10.874,20.354,,0.52,,,3.729,1.591,1.062,4.602,6.911,3.148,1.649,1.294,,4.22,4.352,27.322,29.259,,12.044,11.65,1.149,12.18,70.211,,3.104,,0.856,0.807,0.736,0.009,2.185,84.901,1.279,4.867,,0.036,15.148,0.098,,
