Date,Accommodations,Accounting and other business services,Admissions to specified spectator amusements,Air transportation,Alcoholic beverages purchased for off-premises consumption,"Amusements parks, campgrounds, and related recreational services",Children's and infants' clothing,"Cleaning, repair, and rental of clothing",Clothing,"Clothing repair, rental, and alterations","Clothing, footwear, and related services",Commercial and vocational schools,Communication,Dental services,Education,Educational books,Electricity,"Electricity, gas, and other fuels",Final consumption expenditures of nonprofit institutions serving households (NPISHs),"Financial service charges, fees, and commissions",Financial services,Financial services and insurance,Financial services furnished without payment,First-class postal service by U.S. Postal Service (USPS),Food and beverages purchased for off-premises consumption,Food and nonalcoholic beverages purchased for off-premises consumption,Food furnished to employees (including military),Food produced and consumed on farms,Food services,Food services and accommodations,Footwear,Foreign travel by U.S. residents,Fuel oil and other fuels,Funeral and burial services,"Furnishings, household equipment, and routine household maintenance","Furniture, furnishings, and floor coverings",Gambling,Garments,"Glassware, tableware, and household utensils",Gross output of nonprofit institutions,Ground transportation,Group housing,Health,Higher education,Home health care,Hospital and nursing home services,Hospitals,Household appliances,Household consumption expenditures,Household textiles,Household utilities and fuels,Housing,"Housing, utilities, and fuels",Imputed rental of owner-occupied nonfarm housing,Income loss,Information processing equipment,Insurance,Internet access,Labor organization dues,Laundry and dry cleaning services,Legal services,Less: Expenditures in the United States by nonresidents,Less: Receipts from sales of goods and services by nonprofit institutions,Life insurance,"Live entertainment, excluding sports","Magazines, newspapers, books, and stationery",Maintenance and repair of recreational vehicles and sports equipment,Medical care and hospitalization,Medical laboratories,"Medical products, appliances, and equipment",Membership clubs and participant sports centers,"Membership clubs, sports centers, parks, theaters, and museums",Men's and boys' clothing,Motion picture theaters,"Motor vehicle fuels, lubricants, and fluids",Motor vehicle maintenance and repair,Motor vehicle operation,Motor vehicle parts and accessories,Motor vehicles,Museums and libraries,Natural gas,Net health insurance,Net household insurance,Net motor vehicle and other transportation insurance,Net purchases of used motor vehicles,New motor vehicles,"Nursery, elementary, and secondary schools",Nursing homes,Other clothing materials,Other delivery services (by non-USPS facilities),Other goods and services,Other household goods and services,Other medical products,Other motor vehicle services,Other professional medical services,Other sporting and recreational goods,Outpatient services,Package tours,Paramedical services,Personal care,Personal consumption expenditures,Personal items,"Pets, pet products, and related services",Pharmaceutical and other medical products,Pharmaceutical products,Photographic goods and services,Physician services,Postal and delivery services,Professional and other services,Professional association dues,Public transportation,Purchased meals and beverages,Recreation,Rental of tenant-occupied nonfarm housing,Rental value of farm dwellings,Services related to video and audio goods and computers,Social services and religious activities,Spectator sports,Sports and recreational goods and related services,Sports and recreational vehicles,Telecommunication services,Telephone and related communication equipment,Therapeutic appliances and equipment,Tobacco,Tools and equipment for house and garden,Transportation,Video and audio equipment,"Video and audio equipment, computers, and related services",Water supply and sanitation,Water transportation,Women's and girls' clothing,Workers' compensation
1929-01-01,5.519,,,26.315,,,,6.771,27.317,,25.598,3.714,38.975,2.653,1.703,2.496,17.759,7.932,22.026,6.648,5.826,5.005,5.249,,9.219,8.045,5.293,16.46,5.283,5.237,18.087,10.986,3.04,,19.065,23.152,4.269,28.903,17.432,,3.929,7.46,3.202,1.483,,1.398,1.309,66.175,8.701,31.642,6.427,9.718,8.847,10.333,,,3.549,,,,,5.546,,3.372,,7.535,,,,11.384,,4.937,,,7.509,6.543,9.185,29.41,6.851,,9.576,3.93,1.592,3.331,0.47,16.888,1.307,2.128,32.704,,5.73,6.758,,14.005,,,3.604,11.252,4.141,9.734,8.787,22.38,9.563,10.726,,30.773,3.602,2.973,2.34,,7.049,5.228,32.02,9.552,6.17,,5.203,,32.526,18.929,46.82,93.213,15.928,1.944,25.742,10.211,,787.141,2.321,27.536,,
1930-01-01,5.411,,,18.26,,,,6.724,26.263,,24.542,3.818,38.96,2.727,1.701,2.41,17.197,7.79,21.185,6.839,5.675,4.89,4.869,,8.624,7.556,5.037,14.893,4.941,4.915,17.107,10.165,2.983,,18.132,22.344,4.247,27.659,16.918,,3.945,7.314,3.204,1.483,,1.32,1.236,63.24,8.331,29.113,6.324,9.442,8.618,10.057,,,3.479,,,,,5.541,,3.271,,7.385,,,,11.317,,4.874,,,7.171,6.327,8.757,27.365,6.664,,9.576,3.974,1.527,3.388,0.491,16.403,1.275,2.01,31.245,,5.537,6.367,,13.733,,,3.691,11.003,4.234,9.607,8.415,21.962,9.112,10.668,,30.609,3.684,2.854,2.265,,7.072,4.882,29.714,9.298,5.868,,4.991,,31.382,18.941,47.156,87.994,15.81,1.833,24.669,9.911,,609.387,2.321,26.927,,
1931-01-01,5.121,,,18.2,,,,6.62,23.367,,21.738,3.64,38.738,2.522,1.626,2.296,16.54,7.472,19.369,6.939,5.12,4.446,4.026,,6.962,6.143,4.205,11.33,4.231,4.24,14.813,8.478,2.81,,15.974,19.611,4.02,24.245,15.338,,3.76,6.922,3.019,1.425,,1.243,1.164,58.504,7.435,24.11,6.091,8.905,8.166,9.523,,,3.187,,,,,5.097,,3.035,,7.064,,,,11.139,,4.665,,,6.063,5.939,7.592,23.392,6.4,,9.576,3.139,1.446,3.436,0.606,15.652,1.21,1.892,27.37,,5.345,5.606,,13.216,,,3.416,11.061,3.908,9.275,7.514,20.799,7.807,10.474,,29.657,3.412,2.694,2.083,,6.741,4.189,26.53,8.803,5.281,,4.598,,27.65,18.007,47.332,76.705,15.682,1.866,21.755,9.032,,439.333,2.321,27.07,,
1932-01-01,4.676,,,16.071,,,,6.412,19.534,,18.201,3.395,38.677,2.125,1.582,2.205,16.042,7.04,17.999,7.178,4.561,3.957,3.23,,5.692,5.055,3.524,8.765,3.55,3.58,12.491,7.002,2.535,,13.793,16.549,3.83,19.819,14.306,,3.547,6.32,2.713,1.353,,1.165,1.091,51.079,6.55,19.919,5.755,7.973,7.399,8.55,,,2.834,,,,,4.712,,2.664,,6.889,,,,10.687,,4.445,,,6.307,5.165,7.486,21.545,6.053,,9.576,2.694,1.427,3.459,0.722,14.682,1.291,1.773,22.383,,5.054,4.862,,12.135,,,2.926,10.997,3.397,8.723,6.627,18.312,6.763,10.077,,28.223,2.937,2.645,1.899,,6.359,3.515,24.014,7.904,4.556,,4.305,,22.79,16.098,47.419,65.475,14.909,1.866,19.446,8.73,,331.508,2.245,26.912,,
1933-01-01,4.199,,,16.032,14.258,,,6.168,20.003,,18.425,3.146,38.656,2.106,1.439,2.091,15.858,6.886,17.322,7.08,4.313,3.775,2.943,,5.72,5.11,3.414,8.408,3.454,3.462,12.03,7.177,2.44,,13.615,17.109,3.901,20.473,13.985,,3.414,5.676,2.65,1.253,,1.113,1.042,48.34,6.317,21.106,5.586,7.156,6.764,7.369,,,2.721,,,,,4.422,,2.495,,6.571,,,,10.147,,4.162,,,6.252,4.612,7.314,21.983,5.48,,9.576,2.98,1.46,3.444,0.688,13.265,1.098,1.695,23.656,,4.742,4.594,,11.318,,,2.927,10.918,3.397,8.451,6.391,18.73,6.757,9.544,,27.51,2.95,2.708,1.784,,6.12,3.421,22.891,7.381,4.239,,4.212,,22.721,15.208,47.19,67.307,14.274,1.655,19.348,8.376,,304.434,2.043,26.718,,
1934-01-01,3.957,,,13.617,13.563,,,6.117,23.067,,21.002,3.189,38.447,2.162,1.463,2.071,15.416,7.04,18.277,7.096,4.286,3.909,2.9,,6.43,5.816,3.77,9.692,3.754,3.726,13.019,7.524,2.588,,14.451,18.685,4.03,24.108,15.497,,3.464,5.348,2.701,1.281,,1.165,1.091,48.848,6.602,23.779,5.704,6.525,6.348,6.898,,,2.898,,,,,4.843,,2.63,,6.611,,,,9.841,,4.179,,,6.563,4.764,7.632,22.628,5.772,,9.576,3.618,1.513,3.482,0.622,14.045,1.114,1.774,28.147,,4.826,4.678,,11.594,,,3.02,11.146,3.537,8.212,6.681,19.827,7.425,9.174,,28.079,3.045,2.819,1.805,,6.207,3.713,23.724,6.363,4.448,,4.431,,25.88,15.357,46.523,76.454,14.226,1.711,21.404,8.701,,326.29,2.068,27.278,,
1935-01-01,3.954,,,14.345,13.27,,,6.026,22.689,,20.638,3.169,38.439,2.319,1.453,2.071,14.955,6.9,18.413,7.325,4.704,4.077,3.342,,6.94,6.251,4.103,12.398,4.056,4.006,12.734,7.866,2.53,,14.587,18.471,4.106,23.713,16.877,,3.523,5.344,2.802,1.267,,1.217,1.139,48.165,6.767,23.79,5.634,6.555,6.348,6.883,,,2.929,,,,,5.226,,2.664,,6.592,,,,9.646,,4.234,,,6.577,4.935,7.698,22.814,5.651,,9.576,3.757,1.555,3.353,0.503,13.822,1.114,1.852,27.545,,4.827,4.752,,11.675,,,3.213,10.976,3.723,8.172,6.846,19.28,7.886,8.933,,28.693,3.236,2.903,1.857,,6.313,4.01,24.068,6.363,4.75,,4.502,,27.213,15.084,46.249,76.949,14.199,1.694,21.47,8.721,,322.529,2.17,26.862,,
1936-01-01,4.031,,,14.358,13.106,,,5.909,22.627,,20.618,3.199,38.166,2.357,1.465,2.091,14.473,6.903,18.912,7.457,4.96,4.261,3.624,,6.953,6.251,4.162,12.897,4.058,4.013,12.833,8.174,2.577,,14.765,18.907,4.029,23.702,15.895,,3.494,5.448,2.845,1.282,,1.243,1.164,48.823,6.827,23.677,5.636,6.704,6.454,7.045,,,3.043,,,,,5.484,,2.765,,6.655,,,,9.642,,4.329,,,6.793,4.937,7.872,22.924,5.677,,9.576,4.124,1.533,3.303,0.432,13.934,1.114,1.892,27.528,,4.882,4.892,,11.611,,,3.278,11.175,3.817,8.223,6.909,19.878,7.919,8.939,,28.932,3.304,2.856,1.913,,6.263,4.007,24.161,6.512,4.816,,4.623,,26.24,14.436,45.994,79.857,14.151,1.683,21.709,8.816,,320.303,2.169,27.347,,
1937-01-01,4.223,,,14.37,13.239,,,6.07,23.761,,21.644,3.259,38.027,2.439,1.498,2.124,14.168,6.913,19.901,7.65,5.172,4.448,3.826,,7.166,6.469,4.304,13.324,4.199,4.155,13.452,8.408,2.614,,15.741,20.708,4.27,24.966,16.144,,3.461,5.709,2.907,1.31,,1.294,1.212,50.591,7.075,24.671,5.643,7.017,6.676,7.369,,,3.179,,,,,5.572,,2.9,,6.849,,,,9.71,,4.484,,,6.954,4.951,8.058,24.123,5.789,,9.576,4.406,1.595,3.258,0.459,14.196,1.146,1.971,28.992,,5.059,5.26,,11.569,,,3.346,11.175,3.863,8.672,7.16,20.064,8.207,9.007,,30.151,3.358,2.988,1.995,,6.204,4.147,25.359,6.812,5.077,,4.868,,29.795,14.941,45.373,88.505,14.233,1.727,23.608,8.958,,328.001,2.17,27.347,,
1938-01-01,4.336,,,12.669,13.368,,,6.153,23.216,,21.207,3.263,37.82,2.541,1.508,2.157,13.954,6.872,19.375,7.937,5.052,4.342,3.583,,6.621,5.925,4.013,11.258,3.985,3.961,13.35,8.582,2.606,,15.243,20.112,4.559,24.265,16.139,,3.503,5.86,2.955,1.325,,1.269,1.188,50.718,6.914,22.574,5.614,7.238,6.822,7.611,,,3.101,,,,,5.145,,2.799,,7.019,,,,9.767,,4.566,,,6.765,4.951,7.885,23.648,6.11,,9.576,4.47,1.552,3.226,0.587,14.904,1.146,1.931,28.18,,5.04,5.053,,11.524,,,3.477,10.644,4.049,8.812,6.997,19.082,7.792,9.072,,30.744,3.48,2.893,1.974,,6.272,3.941,25.163,7.037,5.163,,4.776,,27.212,15.428,45.372,87.197,14.265,1.739,23.271,9.01,,318.521,2.17,26.048,,
